date,price,volume
2020-08-07 01:00:00,2.503,57
2020-08-08 01:00:00,1.26,54
2020-08-09 01:00:00,1.217,50
2020-08-10 01:00:00,0.984,50
2020-08-11 01:00:00,0.819,36
2020-08-12 01:00:00,0.724,63
2020-08-13 01:00:00,0.707,49
2020-08-14 01:00:00,0.701,62
2020-08-15 01:00:00,0.725,58
2020-08-16 01:00:00,0.721,57
2020-08-17 01:00:00,0.7,42
2020-08-18 01:00:00,0.68,32
2020-08-19 01:00:00,0.589,56
2020-08-20 01:00:00,0.582,67
2020-08-21 01:00:00,0.516,43
2020-08-22 01:00:00,0.542,67
2020-08-23 01:00:00,0.53,64
2020-08-24 01:00:00,0.544,54
2020-08-25 01:00:00,0.498,58
2020-08-26 01:00:00,0.498,67
2020-08-27 01:00:00,0.453,70
2020-08-28 01:00:00,0.466,69
2020-08-29 01:00:00,0.464,69
2020-08-30 01:00:00,0.432,63
2020-08-31 01:00:00,0.447,51
2020-09-01 01:00:00,0.463,51
2020-09-02 01:00:00,0.418,40
2020-09-03 01:00:00,0.398,51
2020-09-04 01:00:00,0.392,53
2020-09-05 01:00:00,0.396,73
2020-09-06 01:00:00,0.393,60
2020-09-07 01:00:00,0.389,53
2020-09-08 01:00:00,0.399,64
2020-09-09 01:00:00,0.403,64
2020-09-10 01:00:00,0.361,51
2020-09-11 01:00:00,0.35,88
2020-09-12 01:00:00,0.385,77
2020-09-13 01:00:00,0.383,76
2020-09-14 01:00:00,0.374,71
2020-09-15 01:00:00,0.357,61
2020-09-16 01:00:00,0.386,80
2020-09-17 01:00:00,0.374,51
2020-09-18 01:00:00,0.377,55
2020-09-19 01:00:00,0.384,72
2020-09-20 01:00:00,0.394,82
2020-09-21 01:00:00,0.372,69
2020-09-22 01:00:00,0.367,53
2020-09-23 01:00:00,0.346,64
2020-09-24 01:00:00,0.348,75
2020-09-25 01:00:00,0.352,98
2020-09-26 01:00:00,0.336,67
2020-09-27 01:00:00,0.321,77
2020-09-28 01:00:00,0.318,74
2020-09-29 01:00:00,0.312,56
2020-09-30 01:00:00,0.303,81
2020-10-01 01:00:00,0.315,91
2020-10-02 01:00:00,0.292,77
2020-10-03 01:00:00,0.293,84
2020-10-04 01:00:00,0.298,87
2020-10-05 01:00:00,0.285,86
2020-10-06 01:00:00,0.287,68
2020-10-07 01:00:00,0.292,54
2020-10-08 01:00:00,0.288,73
2020-10-09 01:00:00,0.297,70
2020-10-10 01:00:00,0.291,68
2020-10-11 01:00:00,0.294,86
2020-10-12 01:00:00,0.3,78
2020-10-13 01:00:00,0.293,68
2020-10-14 01:00:00,0.273,70
2020-10-15 01:00:00,0.3,74
2020-10-16 01:00:00,0.295,74
2020-10-17 01:00:00,0.311,86
2020-10-18 01:00:00,0.309,78
2020-10-19 01:00:00,0.29,68
2020-10-20 01:00:00,0.296,79
2020-10-21 01:00:00,0.293,72
2020-10-22 01:00:00,0.3,61
2020-10-23 01:00:00,0.3,69
2020-10-24 01:00:00,0.285,103
2020-10-25 01:00:00,0.293,127
2020-10-26 01:00:00,0.292,149
2020-10-27 01:00:00,0.287,85
2020-10-28 01:00:00,0.275,73
2020-10-29 01:00:00,0.278,73
2020-10-30 01:00:00,0.267,87
2020-10-31 01:00:00,0.271,109
2020-11-01 01:00:00,0.26,106
2020-11-02 01:00:00,0.245,57
2020-11-03 01:00:00,0.27,89
2020-11-04 01:00:00,0.266,88
2020-11-05 01:00:00,0.25,86
2020-11-06 01:00:00,0.257,83
2020-11-07 01:00:00,0.268,91
2020-11-08 01:00:00,0.252,81
2020-11-09 01:00:00,0.257,81
2020-11-10 01:00:00,0.255,79
2020-11-11 01:00:00,0.262,87
2020-11-12 01:00:00,0.255,74
2020-11-13 01:00:00,0.256,91
2020-11-14 01:00:00,0.257,87
2020-11-15 01:00:00,0.248,87
2020-11-16 01:00:00,0.247,122
2020-11-17 01:00:00,0.248,113
2020-11-18 01:00:00,0.243,78
2020-11-19 01:00:00,0.25,106
2020-11-20 01:00:00,0.24,91
2020-11-21 01:00:00,0.252,118
2020-11-22 01:00:00,0.248,110
2020-11-23 01:00:00,0.252,98
2020-11-24 01:00:00,0.249,75
2020-11-25 01:00:00,0.251,110
2020-11-26 01:00:00,0.241,100
2020-11-27 01:00:00,0.229,112
2020-11-28 01:00:00,0.229,109
2020-11-29 01:00:00,0.224,114
2020-11-30 01:00:00,0.221,118
2020-12-01 01:00:00,0.218,92
2020-12-02 01:00:00,0.226,83
2020-12-03 01:00:00,0.645,90
2020-12-04 01:00:00,0.186,147
2020-12-05 01:00:00,0.193,95
2020-12-06 01:00:00,0.187,111
2020-12-07 01:00:00,0.201,102
2020-12-08 01:00:00,0.207,92
2020-12-09 01:00:00,0.204,82
2020-12-10 01:00:00,0.203,106
2020-12-11 01:00:00,0.199,114
2020-12-12 01:00:00,0.198,117
2020-12-13 01:00:00,0.204,118
2020-12-14 01:00:00,0.207,92
2020-12-15 01:00:00,0.205,103
2020-12-16 01:00:00,0.201,114
2020-12-17 01:00:00,0.201,106
2020-12-18 01:00:00,0.208,110
2020-12-19 01:00:00,0.203,100
2020-12-20 01:00:00,0.209,123
2020-12-21 01:00:00,0.21,111
2020-12-22 01:00:00,0.205,131
2020-12-23 01:00:00,0.207,106
2020-12-24 01:00:00,0.204,122
2020-12-25 01:00:00,0.207,119
2020-12-26 01:00:00,0.202,120
2020-12-27 01:00:00,0.211,95
2020-12-28 01:00:00,0.211,125
2020-12-29 01:00:00,0.204,143
2020-12-30 01:00:00,0.211,128
2020-12-31 01:00:00,0.203,96
2021-01-01 01:00:00,0.212,113
2021-01-02 01:00:00,0.209,134
2021-01-03 01:00:00,0.214,131
2021-01-04 01:00:00,0.211,111
2021-01-05 01:00:00,0.206,123
2021-01-06 01:00:00,0.21,136
2021-01-07 01:00:00,0.215,152
2021-01-08 01:00:00,0.215,130
2021-01-09 01:00:00,0.222,125
2021-01-10 01:00:00,0.225,132
2021-01-11 01:00:00,0.23,114
2021-01-12 01:00:00,0.235,119
2021-01-13 01:00:00,0.237,123
2021-01-14 01:00:00,0.247,124
2021-01-15 01:00:00,0.237,113
2021-01-16 01:00:00,0.228,145
2021-01-17 01:00:00,0.224,116
2021-01-18 01:00:00,0.229,141
2021-01-19 01:00:00,0.226,233
2021-01-20 01:00:00,0.232,104
2021-01-21 01:00:00,0.23,137
2021-01-22 01:00:00,0.228,130
2021-01-23 01:00:00,0.229,143
2021-01-24 01:00:00,0.23,140
2021-01-25 01:00:00,0.224,150
2021-01-26 01:00:00,0.221,152
2021-01-27 01:00:00,0.232,164
2021-01-28 01:00:00,0.207,180
2021-01-29 01:00:00,0.204,159
2021-01-30 01:00:00,0.2,165
2021-01-31 01:00:00,0.207,156
2021-02-01 01:00:00,0.208,127
2021-02-02 01:00:00,0.207,97
2021-02-03 01:00:00,0.212,164
2021-02-04 01:00:00,0.212,152
2021-02-05 01:00:00,0.201,160
2021-02-06 01:00:00,0.201,134
2021-02-07 01:00:00,0.204,152
2021-02-08 01:00:00,0.201,125
2021-02-09 01:00:00,0.199,148
2021-02-10 01:00:00,0.204,168
2021-02-11 01:00:00,0.204,165
2021-02-12 01:00:00,0.193,150
2021-02-13 01:00:00,0.198,165
2021-02-14 01:00:00,0.196,123
2021-02-15 01:00:00,0.197,151
2021-02-16 01:00:00,0.189,149
2021-02-17 01:00:00,0.194,135
2021-02-18 01:00:00,0.192,110
2021-02-19 01:00:00,0.188,150
2021-02-20 01:00:00,0.19,147
2021-02-21 01:00:00,0.196,156
2021-02-22 01:00:00,0.195,141
2021-02-23 01:00:00,0.203,164
2021-02-24 01:00:00,0.213,131
2021-02-25 01:00:00,0.207,125
2021-02-26 01:00:00,0.221,184
2021-02-27 01:00:00,0.225,150
2021-02-28 01:00:00,0.218,152
2021-03-01 01:00:00,0.223,96
2021-03-02 01:00:00,0.217,132
2021-03-03 01:00:00,0.212,145
2021-03-04 01:00:00,0.213,127
2021-03-05 01:00:00,0.211,140
2021-03-06 01:00:00,0.214,194
2021-03-07 01:00:00,0.215,192
2021-03-08 01:00:00,0.216,167
2021-03-09 01:00:00,0.217,144
2021-03-10 01:00:00,0.225,168
2021-03-11 01:00:00,0.223,156
2021-03-12 01:00:00,0.275,150
2021-03-13 01:00:00,0.226,185
2021-03-14 01:00:00,0.231,158
2021-03-15 01:00:00,0.228,154
2021-03-16 01:00:00,0.218,160
2021-03-17 01:00:00,0.223,143
2021-03-18 01:00:00,0.22,148
2021-03-19 01:00:00,0.215,189
2021-03-20 01:00:00,0.212,187
2021-03-21 01:00:00,0.212,168
2021-03-22 01:00:00,0.209,185
2021-03-23 01:00:00,0.215,186
2021-03-24 01:00:00,0.207,195
2021-03-25 01:00:00,0.21,182
2021-03-26 01:00:00,0.206,165
2021-03-27 01:00:00,0.21,160
2021-03-28 01:00:00,0.21,173
2021-03-29 01:00:00,0.235,157
2021-03-30 01:00:00,0.211,136
2021-03-31 01:00:00,0.21,149
2021-04-01 01:00:00,0.204,173
2021-04-02 01:00:00,0.207,194
2021-04-03 01:00:00,0.209,159
2021-04-04 01:00:00,0.212,157
2021-04-05 01:00:00,0.219,161
2021-04-06 01:00:00,0.21,152
2021-04-07 01:00:00,0.189,157
2021-04-08 01:00:00,0.184,190
2021-04-09 01:00:00,0.177,222
2021-04-10 01:00:00,0.176,180
2021-04-11 01:00:00,0.173,138
2021-04-12 01:00:00,0.168,124
2021-04-13 01:00:00,0.164,119
2021-04-14 01:00:00,0.17,24
2021-04-15 01:00:00,0.179,157
2021-04-16 01:00:00,0.167,154
2021-04-17 01:00:00,0.172,163
2021-04-18 01:00:00,0.169,132
2021-04-19 01:00:00,0.171,120
2021-04-20 01:00:00,0.173,118
2021-04-21 01:00:00,0.175,112
2021-04-22 01:00:00,0.17,120
2021-04-23 01:00:00,0.17,121
2021-04-24 01:00:00,0.175,142
2021-04-25 01:00:00,0.175,166
2021-04-26 01:00:00,0.171,149
2021-04-27 01:00:00,0.173,139
2021-04-28 01:00:00,0.173,128
2021-04-29 01:00:00,0.171,116
2021-04-30 01:00:00,0.172,125
2021-05-01 01:00:00,0.174,138
2021-05-02 01:00:00,0.175,145
2021-05-03 01:00:00,0.174,161
2021-05-04 01:00:00,0.171,207
2021-05-05 01:00:00,0.174,185
2021-05-06 01:00:00,0.167,193
2021-05-07 01:00:00,0.172,178
2021-05-08 01:00:00,0.174,180
2021-05-09 01:00:00,0.171,197
2021-05-10 01:00:00,0.178,163
2021-05-11 01:00:00,0.179,154
2021-05-12 01:00:00,0.177,188
2021-05-13 01:00:00,0.177,182
2021-05-14 01:00:00,0.174,195
2021-05-15 01:00:00,0.17,164
2021-05-16 01:00:00,0.166,137
2021-05-17 01:00:00,0.168,188
2021-05-18 01:00:00,0.17,184
2021-05-19 01:00:00,0.173,133
2021-05-20 01:00:00,0.173,161
2021-05-21 01:00:00,0.175,168
2021-05-22 01:00:00,0.176,200
2021-05-23 01:00:00,0.174,184
2021-05-24 01:00:00,0.171,176
2021-05-25 01:00:00,0.174,173
2021-05-26 01:00:00,0.173,253
2021-05-27 01:00:00,0.169,149
2021-05-28 01:00:00,0.171,162
2021-05-29 01:00:00,0.169,215
2021-05-30 01:00:00,0.168,202
2021-05-31 01:00:00,0.168,171
2021-06-01 01:00:00,0.171,138
2021-06-02 01:00:00,0.17,134
2021-06-03 01:00:00,0.165,262
2021-06-04 01:00:00,0.162,236
2021-06-05 01:00:00,0.171,176
2021-06-06 01:00:00,0.171,180
2021-06-07 01:00:00,0.17,183
2021-06-08 01:00:00,0.165,160
2021-06-09 01:00:00,0.173,163
2021-06-10 01:00:00,0.167,145
2021-06-11 01:00:00,0.166,158
2021-06-12 01:00:00,0.17,152
2021-06-13 01:00:00,0.172,144
2021-06-14 01:00:00,0.16,148
2021-06-15 01:00:00,0.162,131
2021-06-16 01:00:00,0.164,148
2021-06-17 01:00:00,0.16,137
