date,price,volume
2022-07-01 01:00:00,4.632,5
2022-07-02 01:00:00,5.989,16
2022-07-03 01:00:00,4.817,11
2022-07-04 01:00:00,4.36,18
2022-07-05 01:00:00,4.6,19
2022-07-06 01:00:00,4.156,13
2022-07-07 01:00:00,4.043,25
2022-07-08 01:00:00,3.412,25
2022-07-09 01:00:00,3.968,14
2022-07-10 01:00:00,3.915,20
2022-07-11 01:00:00,3.495,22
2022-07-12 01:00:00,3.775,28
2022-07-13 01:00:00,4.759,3
2022-07-14 01:00:00,3.685,29
2022-07-15 01:00:00,3.664,23
2022-07-16 01:00:00,3.503,7
2022-07-17 01:00:00,3.614,24
2022-07-18 01:00:00,3.728,14
2022-07-19 01:00:00,3.445,27
2022-07-20 01:00:00,3.911,22
2022-07-21 01:00:00,3.534,19
2022-07-22 01:00:00,3.691,43
2022-07-23 01:00:00,3.781,23
2022-07-24 01:00:00,3.826,27
2022-07-25 01:00:00,3.491,20
2022-07-26 01:00:00,3.145,11
2022-07-27 01:00:00,3.125,39
2022-07-28 01:00:00,3.392,19
2022-07-29 01:00:00,3.079,19
2022-07-30 01:00:00,2.686,23
2022-07-31 01:00:00,2.745,40
2022-08-01 01:00:00,2.795,29
2022-08-02 01:00:00,2.66,25
2022-08-03 01:00:00,2.912,46
2022-08-04 01:00:00,3.403,24
2022-08-05 01:00:00,3.3,17
2022-08-06 01:00:00,3.411,35
2022-08-07 01:00:00,3.439,41
2022-08-08 01:00:00,3.168,27
2022-08-09 01:00:00,3.009,13
2022-08-10 01:00:00,3.154,41
2022-08-11 01:00:00,2.905,19
2022-08-12 01:00:00,2.826,17
2022-08-13 01:00:00,2.714,29
2022-08-14 01:00:00,2.65,21
2022-08-15 01:00:00,2.546,35
2022-08-16 01:00:00,2.45,31
2022-08-17 01:00:00,2.515,30
2022-08-18 01:00:00,2.503,47
2022-08-19 01:00:00,2.608,40
2022-08-20 01:00:00,2.715,25
2022-08-21 01:00:00,2.547,29
2022-08-22 01:00:00,2.552,20
2022-08-23 01:00:00,2.768,40
2022-08-24 01:00:00,2.668,22
2022-08-25 01:00:00,2.766,27
2022-08-26 01:00:00,2.782,37
2022-08-27 01:00:00,2.935,27
2022-08-28 01:00:00,2.79,24
2022-08-29 01:00:00,2.865,30
2022-08-30 01:00:00,2.82,30
2022-08-31 01:00:00,2.549,23
2022-09-01 01:00:00,2.597,16
2022-09-02 01:00:00,2.609,18
2022-09-03 01:00:00,2.689,32
2022-09-04 01:00:00,2.634,27
2022-09-05 01:00:00,2.646,20
2022-09-06 01:00:00,2.72,26
2022-09-07 01:00:00,2.519,22
2022-09-08 01:00:00,2.546,27
2022-09-09 01:00:00,2.672,32
2022-09-10 01:00:00,2.587,30
2022-09-11 01:00:00,2.564,27
2022-09-12 01:00:00,2.587,18
2022-09-13 01:00:00,2.677,24
2022-09-14 01:00:00,2.507,29
2022-09-15 01:00:00,2.567,18
2022-09-16 01:00:00,2.439,17
2022-09-17 01:00:00,2.684,25
2022-09-18 01:00:00,2.554,21
2022-09-19 01:00:00,2.447,32
2022-09-20 01:00:00,2.473,22
2022-09-21 01:00:00,2.348,25
2022-09-22 01:00:00,2.219,23
2022-09-23 01:00:00,2.289,22
2022-09-24 01:00:00,2.347,40
2022-09-25 01:00:00,2.216,22
2022-09-26 01:00:00,2.079,27
2022-09-27 01:00:00,2.035,24
2022-09-28 01:00:00,2.064,31
2022-09-29 01:00:00,1.986,32
2022-09-30 01:00:00,2.119,16
2022-10-01 01:00:00,2.57,26
2022-10-02 01:00:00,2.106,18
2022-10-03 01:00:00,2.048,24
2022-10-04 01:00:00,2.054,22
2022-10-05 01:00:00,1.997,20
2022-10-06 01:00:00,2.03,37
2022-10-07 01:00:00,2.019,28
2022-10-08 01:00:00,1.978,24
2022-10-09 01:00:00,1.969,34
2022-10-10 01:00:00,2.064,23
2022-10-11 01:00:00,2.117,18
2022-10-12 01:00:00,2.116,20
2022-10-13 01:00:00,2.195,28
2022-10-14 01:00:00,2.09,22
2022-10-15 01:00:00,2.005,29
2022-10-16 01:00:00,1.992,29
2022-10-17 01:00:00,2.049,20
2022-10-18 01:00:00,2.046,24
2022-10-19 01:00:00,2.028,32
2022-10-20 01:00:00,2.225,28
2022-10-21 01:00:00,2.035,24
2022-10-22 01:00:00,1.96,39
2022-10-23 01:00:00,1.85,39
2022-10-24 01:00:00,1.899,22
2022-10-25 01:00:00,1.942,25
2022-10-26 01:00:00,1.928,25
2022-10-27 01:00:00,1.989,24
2022-10-28 01:00:00,1.921,21
2022-10-29 01:00:00,1.948,37
2022-10-30 01:00:00,1.893,42
2022-10-31 01:00:00,1.765,18
2022-11-01 01:00:00,1.743,31
2022-11-02 01:00:00,1.794,17
2022-11-03 01:00:00,1.853,25
2022-11-04 01:00:00,1.868,20
2022-11-05 01:00:00,1.808,27
2022-11-06 01:00:00,1.723,24
2022-11-07 01:00:00,1.866,27
2022-11-08 01:00:00,1.803,37
2022-11-09 01:00:00,1.707,32
2022-11-10 01:00:00,1.775,29
2022-11-11 01:00:00,1.806,29
2022-11-12 01:00:00,1.764,46
2022-11-13 01:00:00,1.83,36
2022-11-14 01:00:00,1.791,25
2022-11-15 01:00:00,1.697,27
2022-11-16 01:00:00,1.835,25
2022-11-17 01:00:00,1.799,24
2022-11-18 01:00:00,1.672,20
2022-11-19 01:00:00,1.648,22
2022-11-20 01:00:00,1.54,35
2022-11-21 01:00:00,1.497,32
2022-11-22 01:00:00,1.611,19
2022-11-23 01:00:00,1.488,17
2022-11-24 01:00:00,1.37,26
2022-11-25 01:00:00,1.353,23
2022-11-26 01:00:00,1.362,25
2022-11-27 01:00:00,1.388,24
2022-11-28 01:00:00,1.34,21
2022-11-29 01:00:00,1.304,16
2022-11-30 01:00:00,1.366,17
2022-12-01 01:00:00,1.374,26
2022-12-02 01:00:00,1.371,29
2022-12-03 01:00:00,1.396,36
2022-12-04 01:00:00,1.389,32
2022-12-05 01:00:00,1.402,19
2022-12-06 01:00:00,1.47,41
2022-12-07 01:00:00,1.61,28
2022-12-08 01:00:00,1.558,24
2022-12-09 01:00:00,1.407,32
2022-12-10 01:00:00,1.456,23
2022-12-11 01:00:00,1.441,42
2022-12-12 01:00:00,1.489,19
2022-12-13 01:00:00,1.434,26
2022-12-14 01:00:00,1.381,35
2022-12-15 01:00:00,1.435,26
2022-12-16 01:00:00,1.445,41
2022-12-17 01:00:00,1.415,33
2022-12-18 01:00:00,1.396,25
2022-12-19 01:00:00,1.408,20
2022-12-20 01:00:00,1.402,27
2022-12-21 01:00:00,1.425,23
2022-12-22 01:00:00,1.377,35
2022-12-23 01:00:00,1.268,37
2022-12-24 01:00:00,1.277,27
2022-12-25 01:00:00,1.248,38
2022-12-26 01:00:00,1.329,30
2022-12-27 01:00:00,1.413,37
2022-12-28 01:00:00,1.376,46
2022-12-29 01:00:00,1.304,34
2022-12-30 01:00:00,1.372,33
2022-12-31 01:00:00,1.313,33
2023-01-01 01:00:00,1.278,41
2023-01-02 01:00:00,1.27,25
2023-01-03 01:00:00,1.281,30
2023-01-04 01:00:00,1.316,31
2023-01-05 01:00:00,1.326,31
2023-01-06 01:00:00,1.356,38
2023-01-07 01:00:00,1.398,36
2023-01-08 01:00:00,1.434,25
2023-01-09 01:00:00,1.383,26
2023-01-10 01:00:00,1.396,23
2023-01-11 01:00:00,1.486,32
2023-01-12 01:00:00,1.412,26
2023-01-13 01:00:00,1.487,30
2023-01-14 01:00:00,1.539,42
2023-01-15 01:00:00,1.484,31
2023-01-16 01:00:00,1.445,31
2023-01-17 01:00:00,1.43,34
2023-01-18 01:00:00,1.503,45
2023-01-19 01:00:00,1.56,41
2023-01-20 01:00:00,1.468,42
2023-01-21 01:00:00,1.609,37
2023-01-22 01:00:00,1.462,53
2023-01-23 01:00:00,1.472,41
2023-01-24 01:00:00,1.465,37
2023-01-25 01:00:00,1.408,15
2023-01-26 01:00:00,1.449,38
2023-01-27 01:00:00,1.503,37
2023-01-28 01:00:00,1.533,35
2023-01-29 01:00:00,1.536,48
2023-01-30 01:00:00,1.468,46
2023-01-31 01:00:00,1.479,39
2023-02-01 01:00:00,1.556,29
2023-02-02 01:00:00,1.597,33
2023-02-03 01:00:00,1.589,35
2023-02-04 01:00:00,1.597,53
2023-02-05 01:00:00,1.498,51
2023-02-06 01:00:00,1.588,26
2023-02-07 01:00:00,1.594,35
2023-02-08 01:00:00,1.516,33
2023-02-09 01:00:00,1.565,37
2023-02-10 01:00:00,1.434,44
2023-02-11 01:00:00,1.518,67
2023-02-12 01:00:00,1.497,55
2023-02-13 01:00:00,1.484,53
2023-02-14 01:00:00,1.425,61
2023-02-15 01:00:00,1.41,37
2023-02-16 01:00:00,1.381,57
2023-02-17 01:00:00,1.412,53
