date,price,volume
2020-04-01 01:00:00,5.814,16
2020-04-02 01:00:00,4.38,45
2020-04-03 01:00:00,4.16,35
2020-04-04 01:00:00,4.142,35
2020-04-05 01:00:00,3.811,35
2020-04-06 01:00:00,3.628,17
2020-04-07 01:00:00,2.671,25
2020-04-08 01:00:00,2.734,53
2020-04-09 01:00:00,2.894,42
2020-04-10 01:00:00,2.731,45
2020-04-11 01:00:00,2.556,50
2020-04-12 01:00:00,2.755,36
2020-04-13 01:00:00,2.815,49
2020-04-14 01:00:00,2.828,42
2020-04-15 01:00:00,2.814,61
2020-04-16 01:00:00,2.691,32
2020-04-17 01:00:00,2.771,51
2020-04-18 01:00:00,3.075,31
2020-04-19 01:00:00,3.011,30
2020-04-20 01:00:00,2.964,40
2020-04-21 01:00:00,2.595,48
2020-04-22 01:00:00,2.34,15
2020-04-23 01:00:00,2.324,31
2020-04-24 01:00:00,1.935,54
2020-04-25 01:00:00,1.873,46
2020-04-26 01:00:00,1.822,42
2020-04-27 01:00:00,1.866,63
2020-04-28 01:00:00,1.785,50
2020-04-29 01:00:00,1.943,56
2020-04-30 01:00:00,2.239,36
2020-05-01 01:00:00,2.081,30
2020-05-02 01:00:00,2.004,59
2020-05-03 01:00:00,2.14,57
2020-05-04 01:00:00,2.259,53
2020-05-05 01:00:00,2.159,30
2020-05-06 01:00:00,2.106,45
2020-05-07 01:00:00,2.235,47
2020-05-08 01:00:00,2.307,43
2020-05-09 01:00:00,2.234,32
2020-05-10 01:00:00,2.277,49
2020-05-11 01:00:00,2.123,25
2020-05-12 01:00:00,2.111,32
2020-05-13 01:00:00,2.219,38
2020-05-14 01:00:00,2.17,42
2020-05-15 01:00:00,2.078,37
2020-05-16 01:00:00,1.992,32
2020-05-17 01:00:00,2.007,26
2020-05-18 01:00:00,2.076,63
2020-05-19 01:00:00,1.892,26
2020-05-20 01:00:00,1.767,41
2020-05-21 01:00:00,1.933,44
2020-05-22 01:00:00,1.958,40
2020-05-23 01:00:00,1.933,32
2020-05-24 01:00:00,1.991,61
2020-05-25 01:00:00,1.844,31
