date,price,volume
2024-02-07 01:00:00,1.469,178
2024-02-08 01:00:00,1.202,132
2024-02-09 01:00:00,1.498,96
2024-02-10 01:00:00,1.353,104
2024-02-11 01:00:00,1.553,79
2024-02-12 01:00:00,1.466,70
2024-02-13 01:00:00,1.385,61
2024-02-14 01:00:00,1.157,120
2024-02-15 01:00:00,0.827,133
2024-02-16 01:00:00,0.7,92
2024-02-17 01:00:00,0.671,89
2024-02-18 01:00:00,0.777,87
2024-02-19 01:00:00,0.797,89
2024-02-20 01:00:00,0.819,70
2024-02-21 01:00:00,0.772,138
2024-02-22 01:00:00,0.685,110
2024-02-23 01:00:00,0.63,135
2024-02-24 01:00:00,0.661,93
2024-02-25 01:00:00,0.659,115
2024-02-26 01:00:00,0.647,86
2024-02-27 01:00:00,0.643,112
2024-02-28 01:00:00,0.62,144
2024-02-29 01:00:00,0.597,133
2024-03-01 01:00:00,0.614,97
2024-03-02 01:00:00,0.613,117
2024-03-03 01:00:00,0.613,138
2024-03-04 01:00:00,0.598,87
2024-03-05 01:00:00,0.584,116
2024-03-06 01:00:00,0.615,137
2024-03-07 01:00:00,0.615,143
2024-03-08 01:00:00,0.588,140
2024-03-09 01:00:00,0.613,112
2024-03-10 01:00:00,0.6,124
2024-03-11 01:00:00,0.566,102
2024-03-12 01:00:00,0.626,83
2024-03-13 01:00:00,0.573,150
2024-03-14 01:00:00,0.541,183
2024-03-15 01:00:00,0.523,137
2024-03-16 01:00:00,0.523,144
2024-03-17 01:00:00,0.495,132
2024-03-18 01:00:00,0.462,118
2024-03-19 01:00:00,0.467,103
2024-03-20 01:00:00,0.487,145
2024-03-21 01:00:00,0.487,163
2024-03-22 01:00:00,0.487,136
2024-03-23 01:00:00,0.489,149
2024-03-24 01:00:00,0.493,127
2024-03-25 01:00:00,0.508,116
2024-03-26 01:00:00,0.515,84
2024-03-27 01:00:00,0.469,175
2024-03-28 01:00:00,0.491,108
2024-03-29 01:00:00,0.457,127
2024-03-30 01:00:00,0.454,135
2024-03-31 01:00:00,0.454,111
2024-04-01 01:00:00,0.442,138
2024-04-02 01:00:00,0.431,126
2024-04-03 01:00:00,0.412,155
2024-04-04 01:00:00,0.42,163
2024-04-05 01:00:00,0.419,153
2024-04-06 01:00:00,0.43,151
2024-04-07 01:00:00,0.437,156
2024-04-08 01:00:00,0.425,141
2024-04-09 01:00:00,0.42,121
2024-04-10 01:00:00,0.425,180
2024-04-11 01:00:00,0.427,133
2024-04-12 01:00:00,0.434,155
2024-04-13 01:00:00,0.433,155
2024-04-14 01:00:00,0.434,122
2024-04-15 01:00:00,0.437,119
2024-04-16 01:00:00,0.429,91
2024-04-17 01:00:00,0.432,154
2024-04-18 01:00:00,0.422,133
2024-04-19 01:00:00,0.422,142
2024-04-20 01:00:00,0.419,135
2024-04-21 01:00:00,0.41,169
2024-04-22 01:00:00,0.387,118
2024-04-23 01:00:00,0.386,100
2024-04-24 01:00:00,0.385,149
2024-04-25 01:00:00,0.337,135
2024-04-26 01:00:00,0.322,164
2024-04-27 01:00:00,0.313,154
2024-04-28 01:00:00,0.319,123
2024-04-29 01:00:00,0.309,140
2024-04-30 01:00:00,0.307,168
2024-05-01 01:00:00,0.316,140
2024-05-02 01:00:00,0.316,176
2024-05-03 01:00:00,0.32,137
2024-05-04 01:00:00,0.329,151
2024-05-05 01:00:00,0.339,140
2024-05-06 01:00:00,0.338,143
2024-05-07 01:00:00,0.333,137
2024-05-08 01:00:00,0.332,204
2024-05-09 01:00:00,0.341,143
2024-05-10 01:00:00,0.333,158
2024-05-11 01:00:00,0.328,138
2024-05-12 01:00:00,0.347,168
2024-05-13 01:00:00,0.331,119
2024-05-14 01:00:00,0.339,114
2024-05-15 01:00:00,0.348,136
2024-05-16 01:00:00,0.34,160
2024-05-17 01:00:00,0.329,162
2024-05-18 01:00:00,0.327,173
2024-05-19 01:00:00,0.323,182
2024-05-20 01:00:00,0.33,136
2024-05-21 01:00:00,0.315,177
2024-05-22 01:00:00,0.314,179
2024-05-23 01:00:00,0.304,166
2024-05-24 01:00:00,0.313,173
2024-05-25 01:00:00,0.31,151
2024-05-26 01:00:00,0.313,186
2024-05-27 01:00:00,0.311,150
2024-05-28 01:00:00,0.304,120
2024-05-29 01:00:00,0.293,132
2024-05-30 01:00:00,0.285,158
2024-05-31 01:00:00,0.293,136
2024-06-01 01:00:00,0.295,120
2024-06-02 01:00:00,0.288,93
2024-06-03 01:00:00,0.297,105
2024-06-04 01:00:00,0.29,94
2024-06-05 01:00:00,0.305,123
2024-06-06 01:00:00,0.305,109
2024-06-07 01:00:00,0.305,117
2024-06-08 01:00:00,0.291,132
2024-06-09 01:00:00,0.301,152
2024-06-10 01:00:00,0.288,130
2024-06-11 01:00:00,0.287,150
2024-06-12 01:00:00,0.289,155
2024-06-13 01:00:00,0.28,131
2024-06-14 01:00:00,0.28,138
2024-06-15 01:00:00,0.284,132
2024-06-16 01:00:00,0.284,124
2024-06-17 01:00:00,0.284,155
2024-06-18 01:00:00,0.264,139
2024-06-19 01:00:00,0.263,147
2024-06-20 01:00:00,0.289,179
2024-06-21 01:00:00,0.274,122
2024-06-22 01:00:00,0.27,111
2024-06-23 01:00:00,0.27,138
2024-06-24 01:00:00,0.283,113
2024-06-25 01:00:00,0.266,117
2024-06-26 01:00:00,0.266,125
2024-06-27 01:00:00,0.264,140
2024-06-28 01:00:00,0.257,160
2024-06-29 01:00:00,0.263,139
2024-06-30 01:00:00,0.268,123
2024-07-01 01:00:00,0.247,110
2024-07-02 01:00:00,0.267,110
2024-07-03 01:00:00,0.275,143
2024-07-04 01:00:00,0.272,131
2024-07-05 01:00:00,0.271,125
2024-07-06 01:00:00,0.276,121
2024-07-07 01:00:00,0.261,110
2024-07-08 01:00:00,0.269,125
2024-07-09 01:00:00,0.275,95
2024-07-10 01:00:00,0.259,133
2024-07-11 01:00:00,0.254,137
2024-07-12 01:00:00,0.267,135
2024-07-13 01:00:00,0.271,117
2024-07-14 01:00:00,0.281,159
2024-07-15 01:00:00,0.263,100
2024-07-16 01:00:00,0.276,135
2024-07-17 01:00:00,0.266,135
2024-07-18 01:00:00,0.279,124
2024-07-19 01:00:00,0.276,168
2024-07-20 01:00:00,0.272,137
2024-07-21 01:00:00,0.276,141
2024-07-22 01:00:00,0.278,131
2024-07-23 01:00:00,0.298,115
2024-07-24 01:00:00,0.291,164
2024-07-25 01:00:00,0.288,119
2024-07-26 01:00:00,0.289,125
2024-07-27 01:00:00,0.3,128
2024-07-28 01:00:00,0.291,133
2024-07-29 01:00:00,0.292,114
2024-07-30 01:00:00,0.299,132
2024-07-31 01:00:00,0.301,157
2024-08-01 01:00:00,0.289,132
2024-08-02 01:00:00,0.292,148
2024-08-03 01:00:00,0.3,137
