date,price,volume
2016-02-18 01:00:00,3.216,249
2016-02-19 01:00:00,1.78,269
2016-02-20 01:00:00,1.695,309
2016-02-21 01:00:00,1.985,179
2016-02-22 01:00:00,2.084,109
2016-02-23 01:00:00,2.03,123
2016-02-24 01:00:00,2.131,77
2016-02-25 01:00:00,1.91,120
2016-02-26 01:00:00,1.389,186
2016-02-27 01:00:00,1.319,204
2016-02-28 01:00:00,1.336,150
2016-02-29 01:00:00,1.352,142
2016-03-01 01:00:00,1.261,185
2016-03-02 01:00:00,1.303,167
2016-03-03 01:00:00,1.36,147
2016-03-04 01:00:00,1.219,178
2016-03-05 01:00:00,1.088,233
2016-03-06 01:00:00,0.993,229
2016-03-07 01:00:00,0.992,160
2016-03-08 01:00:00,1.004,160
2016-03-09 01:00:00,0.975,151
2016-03-10 01:00:00,1.021,103
2016-03-11 01:00:00,1.098,121
2016-03-12 01:00:00,1.083,140
2016-03-13 01:00:00,1.054,148
2016-03-14 01:00:00,1.037,129
2016-03-15 01:00:00,1.0,122
2016-03-16 01:00:00,1.048,123
2016-03-17 01:00:00,0.998,106
2016-03-18 01:00:00,0.906,169
2016-03-19 01:00:00,0.866,155
2016-03-20 01:00:00,0.925,139
2016-03-21 01:00:00,0.924,123
2016-03-22 01:00:00,0.844,114
2016-03-23 01:00:00,0.845,95
2016-03-24 01:00:00,0.845,137
2016-03-25 01:00:00,0.799,140
2016-03-26 01:00:00,0.785,144
2016-03-27 01:00:00,0.827,142
2016-03-28 01:00:00,0.752,136
2016-03-29 01:00:00,0.757,137
2016-03-30 01:00:00,0.768,136
2016-03-31 01:00:00,0.735,160
2016-04-01 01:00:00,0.775,129
2016-04-02 01:00:00,0.771,194
2016-04-03 01:00:00,0.695,178
2016-04-04 01:00:00,0.739,162
2016-04-05 01:00:00,0.779,115
2016-04-06 01:00:00,0.76,130
2016-04-07 01:00:00,0.805,135
2016-04-08 01:00:00,0.798,142
2016-04-09 01:00:00,0.787,176
2016-04-10 01:00:00,0.708,192
2016-04-11 01:00:00,0.679,157
2016-04-12 01:00:00,0.675,133
2016-04-13 01:00:00,0.654,123
2016-04-14 01:00:00,0.624,138
2016-04-15 01:00:00,0.692,152
2016-04-16 01:00:00,0.713,178
2016-04-17 01:00:00,0.666,158
2016-04-18 01:00:00,0.626,137
2016-04-19 01:00:00,0.663,129
2016-04-20 01:00:00,0.62,135
2016-04-21 01:00:00,0.615,152
2016-04-22 01:00:00,0.63,148
2016-04-23 01:00:00,0.652,168
2016-04-24 01:00:00,0.579,177
2016-04-25 01:00:00,0.537,177
2016-04-26 01:00:00,0.589,174
