date,price,volume
2015-04-16 01:00:00,4.538,353
2015-04-17 01:00:00,3.602,369
2015-04-18 01:00:00,3.067,445
2015-04-19 01:00:00,2.749,327
2015-04-20 01:00:00,2.495,353
2015-04-21 01:00:00,2.455,336
2015-04-22 01:00:00,2.425,237
2015-04-23 01:00:00,2.276,337
2015-04-24 01:00:00,2.412,325
2015-04-25 01:00:00,2.313,455
2015-04-26 01:00:00,2.264,394
2015-04-27 01:00:00,2.214,343
2015-04-28 01:00:00,2.201,336
2015-04-29 01:00:00,2.232,293
2015-04-30 01:00:00,2.141,356
2015-05-01 01:00:00,2.19,297
2015-05-02 01:00:00,2.028,428
2015-05-03 01:00:00,1.985,460
2015-05-04 01:00:00,1.927,456
2015-05-05 01:00:00,1.847,412
2015-05-06 01:00:00,1.86,339
2015-05-07 01:00:00,1.864,318
2015-05-08 01:00:00,1.84,408
2015-05-09 01:00:00,1.861,459
2015-05-10 01:00:00,1.751,424
2015-05-11 01:00:00,1.8,433
2015-05-12 01:00:00,1.78,370
2015-05-13 01:00:00,1.706,400
2015-05-14 01:00:00,1.641,449
2015-05-15 01:00:00,1.684,441
2015-05-16 01:00:00,1.846,462
2015-05-17 01:00:00,1.746,477
2015-05-18 01:00:00,1.655,467
2015-05-19 01:00:00,1.764,390
2015-05-20 01:00:00,1.603,388
2015-05-21 01:00:00,1.553,428
2015-05-22 01:00:00,1.553,445
2015-05-23 01:00:00,1.518,439
2015-05-24 01:00:00,1.442,481
2015-05-25 01:00:00,1.517,553
2015-05-26 01:00:00,1.484,480
2015-05-27 01:00:00,1.025,657
2015-05-28 01:00:00,1.122,582
2015-05-29 01:00:00,1.171,688
2015-05-30 01:00:00,1.242,667
2015-05-31 01:00:00,1.292,583
2015-06-01 01:00:00,1.324,614
2015-06-02 01:00:00,1.335,539
2015-06-03 01:00:00,1.344,537
2015-06-04 01:00:00,1.215,491
2015-06-05 01:00:00,1.163,590
2015-06-06 01:00:00,1.202,511
2015-06-07 01:00:00,1.127,599
2015-06-08 01:00:00,1.179,510
2015-06-09 01:00:00,1.135,445
2015-06-10 01:00:00,1.101,529
2015-06-11 01:00:00,1.145,417
2015-06-12 01:00:00,1.074,556
2015-06-13 01:00:00,1.052,526
2015-06-14 01:00:00,0.996,531
2015-06-15 01:00:00,1.016,498
2015-06-16 01:00:00,1.058,496
2015-06-17 01:00:00,1.051,519
2015-06-18 01:00:00,1.055,398
2015-06-19 01:00:00,1.03,616
2015-06-20 01:00:00,1.051,477
2015-06-21 01:00:00,1.003,472
2015-06-22 01:00:00,1.052,537
2015-06-23 01:00:00,1.055,464
2015-06-24 01:00:00,1.117,522
2015-06-25 01:00:00,1.186,462
2015-06-26 01:00:00,1.143,503
2015-06-27 01:00:00,1.116,593
2015-06-28 01:00:00,1.158,593
2015-06-29 01:00:00,1.111,578
2015-06-30 01:00:00,1.141,563
2015-07-01 01:00:00,1.13,520
2015-07-02 01:00:00,1.109,506
2015-07-03 01:00:00,1.099,624
2015-07-04 01:00:00,1.103,509
2015-07-05 01:00:00,1.106,533
2015-07-06 01:00:00,1.095,503
2015-07-07 01:00:00,1.132,523
2015-07-08 01:00:00,1.072,467
2015-07-09 01:00:00,1.11,619
2015-07-10 01:00:00,1.099,475
2015-07-11 01:00:00,1.075,572
2015-07-12 01:00:00,1.047,612
2015-07-13 01:00:00,1.022,566
2015-07-14 01:00:00,0.996,525
2015-07-15 01:00:00,1.025,606
2015-07-16 01:00:00,1.015,505
2015-07-17 01:00:00,1.007,566
2015-07-18 01:00:00,1.001,589
2015-07-19 01:00:00,0.996,537
2015-07-20 01:00:00,0.991,598
2015-07-21 01:00:00,0.985,562
2015-07-22 01:00:00,0.986,575
2015-07-23 01:00:00,0.985,584
2015-07-24 01:00:00,1.012,599
2015-07-25 01:00:00,1.048,611
2015-07-26 01:00:00,0.984,489
2015-07-27 01:00:00,0.994,629
2015-07-28 01:00:00,0.991,570
2015-07-29 01:00:00,0.972,505
2015-07-30 01:00:00,0.98,613
2015-07-31 01:00:00,0.988,617
2015-08-01 01:00:00,0.967,567
2015-08-02 01:00:00,0.966,520
2015-08-03 01:00:00,0.931,500
2015-08-04 01:00:00,0.944,514
2015-08-05 01:00:00,0.91,569
2015-08-06 01:00:00,0.928,586
2015-08-07 01:00:00,0.923,607
2015-08-08 01:00:00,0.895,661
2015-08-09 01:00:00,0.944,629
2015-08-10 01:00:00,0.925,567
2015-08-11 01:00:00,0.939,557
2015-08-12 01:00:00,0.936,586
2015-08-13 01:00:00,0.888,502
2015-08-14 01:00:00,0.891,610
2015-08-15 01:00:00,0.778,689
2015-08-16 01:00:00,0.724,598
2015-08-17 01:00:00,0.763,634
2015-08-18 01:00:00,0.8,587
2015-08-19 01:00:00,0.792,525
2015-08-20 01:00:00,0.778,531
2015-08-21 01:00:00,0.794,709
2015-08-22 01:00:00,0.795,683
2015-08-23 01:00:00,0.732,713
2015-08-24 01:00:00,0.757,641
2015-08-25 01:00:00,0.85,610
2015-08-26 01:00:00,0.93,602
2015-08-27 01:00:00,0.904,653
2015-08-28 01:00:00,0.954,641
2015-08-29 01:00:00,0.935,673
2015-08-30 01:00:00,0.931,698
2015-08-31 01:00:00,0.924,592
2015-09-01 01:00:00,0.91,618
2015-09-02 01:00:00,0.934,635
2015-09-03 01:00:00,0.923,548
2015-09-04 01:00:00,0.907,496
2015-09-05 01:00:00,0.914,834
2015-09-06 01:00:00,0.911,725
2015-09-07 01:00:00,0.909,569
2015-09-08 01:00:00,0.927,530
2015-09-09 01:00:00,0.883,509
2015-09-10 01:00:00,0.96,573
2015-09-11 01:00:00,0.938,599
2015-09-12 01:00:00,0.912,697
2015-09-13 01:00:00,0.888,672
2015-09-14 01:00:00,0.871,579
