date,price,volume
2014-07-02 01:00:00,0.947,100
2014-07-03 01:00:00,0.785,100
2014-07-04 01:00:00,0.851,81
2014-07-05 01:00:00,1.082,52
2014-07-06 01:00:00,0.999,54
2014-07-07 01:00:00,0.895,49
2014-07-08 01:00:00,0.966,45
2014-07-09 01:00:00,1.045,52
2014-07-10 01:00:00,0.649,114
2014-07-11 01:00:00,0.59,87
2014-07-12 01:00:00,0.664,88
2014-07-13 01:00:00,0.613,83
2014-07-14 01:00:00,0.576,75
2014-07-15 01:00:00,0.619,82
2014-07-16 01:00:00,0.696,73
2014-07-17 01:00:00,0.552,84
2014-07-18 01:00:00,0.515,101
2014-07-19 01:00:00,0.483,99
2014-07-20 01:00:00,0.466,107
2014-07-21 01:00:00,0.46,105
2014-07-22 01:00:00,0.481,110
2014-07-23 01:00:00,0.511,106
2014-07-24 01:00:00,0.485,92
2014-07-25 01:00:00,0.458,107
2014-07-26 01:00:00,0.41,119
2014-07-27 01:00:00,0.452,130
2014-07-28 01:00:00,0.5,120
2014-07-29 01:00:00,0.492,107
2014-07-30 01:00:00,0.494,90
2014-07-31 01:00:00,0.486,111
2014-08-01 01:00:00,0.46,134
2014-08-02 01:00:00,0.487,129
2014-08-03 01:00:00,0.521,122
2014-08-04 01:00:00,0.458,128
2014-08-05 01:00:00,0.388,159
2014-08-06 01:00:00,0.375,105
2014-08-07 01:00:00,0.369,132
2014-08-08 01:00:00,0.365,143
2014-08-09 01:00:00,0.37,143
2014-08-10 01:00:00,0.366,143
2014-08-11 01:00:00,0.367,167
2014-08-12 01:00:00,0.41,141
2014-08-13 01:00:00,0.402,112
2014-08-14 01:00:00,0.347,163
2014-08-15 01:00:00,0.346,155
2014-08-16 01:00:00,0.364,161
2014-08-17 01:00:00,0.251,173
2014-08-18 01:00:00,0.279,144
2014-08-19 01:00:00,0.303,136
2014-08-20 01:00:00,0.313,162
2014-08-21 01:00:00,0.358,155
2014-08-22 01:00:00,0.345,173
2014-08-23 01:00:00,0.37,166
2014-08-24 01:00:00,0.36,155
2014-08-25 01:00:00,0.339,159
2014-08-26 01:00:00,0.343,175
2014-08-27 01:00:00,0.329,163
2014-08-28 01:00:00,0.327,157
2014-08-29 01:00:00,0.307,158
2014-08-30 01:00:00,0.311,205
2014-08-31 01:00:00,0.307,201
2014-09-01 01:00:00,0.311,193
2014-09-02 01:00:00,0.305,175
2014-09-03 01:00:00,0.349,146
2014-09-04 01:00:00,0.328,163
2014-09-05 01:00:00,0.265,177
2014-09-06 01:00:00,0.289,199
2014-09-07 01:00:00,0.331,205
2014-09-08 01:00:00,0.316,149
2014-09-09 01:00:00,0.294,164
2014-09-10 01:00:00,0.251,176
2014-09-11 01:00:00,0.232,194
2014-09-12 01:00:00,0.201,211
2014-09-13 01:00:00,0.232,243
2014-09-14 01:00:00,0.225,254
2014-09-15 01:00:00,0.224,206
