date,price,volume
2024-10-10 01:00:00,6.407,12
2024-10-11 01:00:00,3.879,51
2024-10-12 01:00:00,3.955,61
2024-10-13 01:00:00,3.641,61
2024-10-14 01:00:00,2.969,53
2024-10-15 01:00:00,2.492,72
2024-10-16 01:00:00,2.826,78
2024-10-17 01:00:00,2.908,48
2024-10-18 01:00:00,2.606,50
2024-10-19 01:00:00,2.271,93
2024-10-20 01:00:00,2.218,90
2024-10-21 01:00:00,1.978,87
2024-10-22 01:00:00,1.827,81
2024-10-23 01:00:00,1.886,81
2024-10-24 01:00:00,1.887,86
2024-10-25 01:00:00,1.802,92
2024-10-26 01:00:00,1.746,87
2024-10-27 01:00:00,2.154,64
2024-10-28 01:00:00,1.933,61
2024-10-29 01:00:00,1.727,72
2024-10-30 01:00:00,1.844,72
2024-10-31 01:00:00,1.826,63
2024-11-01 01:00:00,1.99,75
2024-11-02 01:00:00,2.025,62
2024-11-03 01:00:00,1.916,78
2024-11-04 01:00:00,1.95,54
2024-11-05 01:00:00,1.959,63
2024-11-06 01:00:00,2.033,52
2024-11-07 01:00:00,2.001,68
2024-11-08 01:00:00,2.088,67
2024-11-09 01:00:00,2.23,47
2024-11-10 01:00:00,2.004,63
2024-11-11 01:00:00,2.14,57
2024-11-12 01:00:00,2.091,53
2024-11-13 01:00:00,2.215,2
2024-11-13 02:00:00,2.225,2
2024-11-13 03:00:00,1.869,1
2024-11-13 04:00:00,1.22,1
2024-11-13 06:00:00,1.982,1
2024-11-13 08:00:00,2.17,2
2024-11-13 11:00:00,2.133,5
2024-11-13 12:00:00,1.768,2
2024-11-13 13:00:00,2.221,4
2024-11-13 14:00:00,1.954,5
2024-11-13 15:00:00,2.133,3
2024-11-13 16:00:00,2.16,3
2024-11-13 17:00:00,2.229,7
2024-11-13 18:00:00,1.95,4
2024-11-13 19:00:00,2.22,5
2024-11-13 20:00:00,2.03,2
2024-11-13 21:00:00,2.172,7
2024-11-13 22:00:00,2.24,1
2024-11-13 23:00:00,2.016,2
2024-11-14 00:00:00,2.255,4
2024-11-14 02:00:00,1.93,2
2024-11-14 03:00:00,2.2,1
2024-11-14 04:00:00,2.308,1
2024-11-14 05:00:00,2.302,4
2024-11-14 06:00:00,2.172,2
2024-11-14 07:00:00,2.13,1
2024-11-14 08:00:00,2.212,2
2024-11-14 09:00:00,2.22,1
2024-11-14 11:00:00,1.75,1
2024-11-14 12:00:00,1.956,2
2024-11-14 13:00:00,2.07,3
2024-11-14 14:00:00,2.144,4
2024-11-14 15:00:00,1.95,3
2024-11-14 16:00:00,2.02,7
2024-11-14 17:00:00,2.004,3
2024-11-14 18:00:00,2.069,5
2024-11-14 19:00:00,2.135,3
2024-11-14 20:00:00,2.226,6
2024-11-14 21:00:00,2.086,6
2024-11-14 22:00:00,2.315,11
2024-11-14 23:00:00,2.07,1
2024-11-15 01:00:00,2.0,1
2024-11-15 02:00:00,2.407,3
2024-11-15 03:00:00,1.75,3
2024-11-15 04:00:00,2.012,1
2024-11-15 05:00:00,1.99,1
2024-11-15 06:00:00,2.012,1
2024-11-15 07:00:00,2.012,1
2024-11-15 08:00:00,2.103,2
2024-11-15 09:00:00,1.905,1
2024-11-15 10:00:00,2.25,1
2024-11-15 11:00:00,1.975,2
2024-11-15 12:00:00,2.213,4
2024-11-15 13:00:00,2.018,2
2024-11-15 14:00:00,2.39,3
2024-11-15 15:00:00,2.305,6
2024-11-15 16:00:00,2.22,3
2024-11-15 17:00:00,2.395,5
2024-11-15 18:00:00,2.409,5
2024-11-15 19:00:00,2.308,4
2024-11-15 20:00:00,2.395,6
2024-11-15 21:00:00,2.395,5
2024-11-15 22:00:00,2.402,5
2024-11-15 23:00:00,2.496,10
2024-11-16 00:00:00,2.602,3
2024-11-16 01:00:00,2.47,3
2024-11-16 02:00:00,2.584,1
2024-11-16 04:00:00,1.926,1
2024-11-16 05:00:00,2.25,2
2024-11-16 07:00:00,2.53,1
2024-11-16 08:00:00,2.587,1
2024-11-16 09:00:00,2.584,3
2024-11-16 10:00:00,2.557,4
2024-11-16 11:00:00,2.585,3
2024-11-16 13:00:00,2.415,4
2024-11-16 15:00:00,2.201,1
2024-11-16 16:00:00,2.05,2
2024-11-16 17:00:00,2.201,2
2024-11-16 18:00:00,2.233,4
2024-11-16 19:00:00,2.307,2
2024-11-16 20:00:00,2.3,7
2024-11-16 21:00:00,2.391,5
2024-11-16 22:00:00,2.423,6
2024-11-16 23:00:00,2.34,3
2024-11-17 00:00:00,1.695,2
2024-11-17 01:00:00,2.296,2
2024-11-17 02:00:00,2.31,1
2024-11-17 03:00:00,2.303,1
2024-11-17 05:00:00,2.34,1
2024-11-17 06:00:00,1.931,2
2024-11-17 07:00:00,2.34,1
2024-11-17 08:00:00,2.342,1
2024-11-17 09:00:00,1.916,5
2024-11-17 10:00:00,1.903,1
2024-11-17 11:00:00,1.915,4
2024-11-17 12:00:00,2.134,2
2024-11-17 13:00:00,2.283,4
2024-11-17 14:00:00,2.3,6
2024-11-17 15:00:00,2.5,1
2024-11-17 16:00:00,2.317,5
2024-11-17 17:00:00,2.391,3
2024-11-17 18:00:00,2.302,4
2024-11-17 19:00:00,2.31,3
2024-11-17 20:00:00,2.399,4
2024-11-17 21:00:00,2.496,3
2024-11-17 22:00:00,2.301,2
2024-11-17 23:00:00,2.299,2
2024-11-18 00:00:00,2.24,1
2024-11-18 02:00:00,2.001,3
2024-11-18 04:00:00,2.0,1
2024-11-18 05:00:00,2.1,3
2024-11-18 06:00:00,2.029,2
2024-11-18 07:00:00,1.963,1
2024-11-18 08:00:00,2.07,1
2024-11-18 09:00:00,2.225,3
2024-11-18 11:00:00,2.22,3
2024-11-18 13:00:00,1.612,2
2024-11-18 14:00:00,2.168,5
2024-11-18 15:00:00,2.023,4
2024-11-18 17:00:00,2.07,5
2024-11-18 18:00:00,2.2,5
