date,price,volume
2019-03-14 01:00:00,16.343,22
2019-03-15 01:00:00,15.012,29
2019-03-16 01:00:00,15.227,27
2019-03-17 01:00:00,12.988,44
2019-03-18 01:00:00,12.046,42
2019-03-19 01:00:00,12.092,35
2019-03-20 01:00:00,12.047,23
2019-03-21 01:00:00,12.005,35
2019-03-22 01:00:00,12.371,32
2019-03-23 01:00:00,12.399,36
2019-03-24 01:00:00,11.48,37
2019-03-25 01:00:00,9.549,28
2019-03-26 01:00:00,10.522,37
2019-03-27 01:00:00,9.28,57
2019-03-28 01:00:00,10.749,24
2019-03-29 01:00:00,9.433,39
2019-03-30 01:00:00,11.144,18
2019-03-31 01:00:00,9.133,50
2019-04-01 01:00:00,11.324,69
2019-04-02 01:00:00,10.548,41
2019-04-03 01:00:00,10.433,29
2019-04-04 01:00:00,10.442,56
2019-04-05 01:00:00,10.701,33
2019-04-06 01:00:00,11.177,71
2019-04-07 01:00:00,10.819,36
2019-04-08 01:00:00,10.421,35
2019-04-09 01:00:00,11.499,36
2019-04-10 01:00:00,8.991,48
2019-04-11 01:00:00,10.379,37
2019-04-12 01:00:00,9.402,29
2019-04-13 01:00:00,9.49,53
2019-04-14 01:00:00,10.155,62
2019-04-15 01:00:00,10.195,42
2019-04-16 01:00:00,9.732,47
2019-04-17 01:00:00,9.919,36
2019-04-18 01:00:00,10.022,49
2019-04-19 01:00:00,10.325,49
2019-04-20 01:00:00,11.105,50
2019-04-21 01:00:00,9.214,27
2019-04-22 01:00:00,9.111,37
2019-04-23 01:00:00,9.092,55
2019-04-24 01:00:00,9.329,53
2019-04-25 01:00:00,8.944,52
2019-04-26 01:00:00,9.184,39
2019-04-27 01:00:00,8.353,35
2019-04-28 01:00:00,8.362,36
2019-04-29 01:00:00,8.477,34
2019-04-30 01:00:00,8.461,42
2019-05-01 01:00:00,8.288,48
2019-05-02 01:00:00,8.388,54
2019-05-03 01:00:00,7.942,29
2019-05-04 01:00:00,8.243,43
2019-05-05 01:00:00,8.2,20
2019-05-06 01:00:00,8.624,28
2019-05-07 01:00:00,7.63,43
2019-05-08 01:00:00,7.279,37
2019-05-09 01:00:00,7.48,39
2019-05-10 01:00:00,7.578,27
2019-05-11 01:00:00,7.883,52
2019-05-12 01:00:00,7.439,24
2019-05-13 01:00:00,7.222,36
2019-05-14 01:00:00,8.4,37
2019-05-15 01:00:00,7.375,40
2019-05-16 01:00:00,7.064,36
2019-05-17 01:00:00,6.844,62
2019-05-18 01:00:00,7.534,45
2019-05-19 01:00:00,7.224,41
2019-05-20 01:00:00,6.834,23
2019-05-21 01:00:00,7.351,61
2019-05-22 01:00:00,8.734,33
2019-05-23 01:00:00,8.573,23
2019-05-24 01:00:00,8.55,39
2019-05-25 01:00:00,8.025,30
2019-05-26 01:00:00,7.583,27
2019-05-27 01:00:00,7.906,24
2019-05-28 01:00:00,8.938,30
2019-05-29 01:00:00,7.802,56
2019-05-30 01:00:00,8.265,39
2019-05-31 01:00:00,7.603,32
2019-06-01 01:00:00,7.611,41
2019-06-02 01:00:00,8.281,54
2019-06-03 01:00:00,7.778,37
2019-06-04 01:00:00,8.829,29
2019-06-05 01:00:00,8.336,49
2019-06-06 01:00:00,9.866,31
2019-06-07 01:00:00,8.663,41
2019-06-08 01:00:00,9.414,56
2019-06-09 01:00:00,8.048,29
2019-06-10 01:00:00,7.625,41
2019-06-11 01:00:00,8.036,29
2019-06-12 01:00:00,7.53,32
2019-06-13 01:00:00,8.4,15
2019-06-14 01:00:00,7.641,42
2019-06-15 01:00:00,8.537,55
2019-06-16 01:00:00,8.423,54
2019-06-17 01:00:00,9.64,29
2019-06-18 01:00:00,8.825,20
2019-06-19 01:00:00,8.555,28
2019-06-20 01:00:00,8.154,44
2019-06-21 01:00:00,8.025,28
2019-06-22 01:00:00,8.42,32
2019-06-23 01:00:00,8.251,42
2019-06-24 01:00:00,8.588,31
2019-06-25 01:00:00,7.848,35
2019-06-26 01:00:00,8.705,33
2019-06-27 01:00:00,7.904,27
2019-06-28 01:00:00,8.288,45
2019-06-29 01:00:00,8.559,39
2019-06-30 01:00:00,8.285,29
2019-07-01 01:00:00,8.698,29
2019-07-02 01:00:00,7.556,31
2019-07-03 01:00:00,7.65,34
2019-07-04 01:00:00,7.696,37
2019-07-05 01:00:00,7.225,30
2019-07-06 01:00:00,7.335,39
2019-07-07 01:00:00,7.161,39
2019-07-08 01:00:00,7.255,27
2019-07-09 01:00:00,7.087,44
2019-07-10 01:00:00,7.145,27
2019-07-11 01:00:00,7.513,61
2019-07-12 01:00:00,8.249,33
2019-07-13 01:00:00,7.697,41
2019-07-14 01:00:00,8.241,29
2019-07-15 01:00:00,8.543,34
2019-07-16 01:00:00,7.268,41
2019-07-17 01:00:00,7.319,48
2019-07-18 01:00:00,7.906,26
2019-07-19 01:00:00,7.893,36
2019-07-20 01:00:00,7.021,37
2019-07-21 01:00:00,7.025,37
2019-07-22 01:00:00,7.351,39
