date,price,volume
2022-08-16 01:00:00,0.358,585
2022-08-17 01:00:00,0.395,4894
2022-08-18 01:00:00,0.402,2429
2022-08-19 01:00:00,0.398,1657
2022-08-20 01:00:00,0.4,1282
2022-08-21 01:00:00,0.394,1291
2022-08-22 01:00:00,0.39,1028
2022-08-23 01:00:00,0.38,784
2022-08-24 01:00:00,0.411,998
2022-08-25 01:00:00,0.408,767
2022-08-26 01:00:00,0.432,683
2022-08-27 01:00:00,0.45,653
2022-08-28 01:00:00,0.462,650
2022-08-29 01:00:00,0.497,564
2022-08-30 01:00:00,0.511,502
2022-08-31 01:00:00,0.546,467
2022-09-01 01:00:00,0.501,480
2022-09-02 01:00:00,0.461,431
2022-09-03 01:00:00,0.51,456
2022-09-04 01:00:00,0.525,439
2022-09-05 01:00:00,0.516,411
2022-09-06 01:00:00,0.56,318
2022-09-07 01:00:00,0.542,298
2022-09-08 01:00:00,0.533,324
2022-09-09 01:00:00,0.532,301
2022-09-10 01:00:00,0.534,364
2022-09-11 01:00:00,0.555,327
2022-09-12 01:00:00,0.555,399
2022-09-13 01:00:00,0.571,308
2022-09-14 01:00:00,0.578,333
2022-09-15 01:00:00,0.596,315
2022-09-16 01:00:00,0.634,323
2022-09-17 01:00:00,0.617,338
2022-09-18 01:00:00,0.626,292
2022-09-19 01:00:00,0.615,264
2022-09-20 01:00:00,0.634,259
2022-09-21 01:00:00,0.623,203
2022-09-22 01:00:00,0.623,238
2022-09-23 01:00:00,0.613,216
2022-09-24 01:00:00,0.598,318
2022-09-25 01:00:00,0.549,258
2022-09-26 01:00:00,0.579,194
2022-09-27 01:00:00,0.559,199
2022-09-28 01:00:00,0.573,178
2022-09-29 01:00:00,0.581,235
2022-09-30 01:00:00,0.588,232
2022-10-01 01:00:00,0.619,279
2022-10-02 01:00:00,0.66,249
2022-10-03 01:00:00,0.661,223
2022-10-04 01:00:00,0.652,177
2022-10-05 01:00:00,0.688,219
2022-10-06 01:00:00,0.646,179
2022-10-07 01:00:00,0.666,199
2022-10-08 01:00:00,0.699,284
2022-10-09 01:00:00,0.81,270
2022-10-10 01:00:00,0.818,259
2022-10-11 01:00:00,0.848,216
2022-10-12 01:00:00,0.848,182
2022-10-13 01:00:00,0.832,262
2022-10-14 01:00:00,0.863,208
2022-10-15 01:00:00,0.886,312
2022-10-16 01:00:00,0.984,311
2022-10-17 01:00:00,0.989,190
2022-10-18 01:00:00,0.946,189
2022-10-19 01:00:00,0.878,183
2022-10-20 01:00:00,0.842,235
2022-10-21 01:00:00,0.892,217
2022-10-22 01:00:00,0.804,364
2022-10-23 01:00:00,0.785,189
2022-10-24 01:00:00,0.799,151
2022-10-25 01:00:00,0.865,175
2022-10-26 01:00:00,0.886,150
2022-10-27 01:00:00,0.9,134
2022-10-28 01:00:00,0.895,136
2022-10-29 01:00:00,0.871,155
2022-10-30 01:00:00,0.845,126
2022-10-31 01:00:00,0.829,140
2022-11-01 01:00:00,0.819,121
2022-11-02 01:00:00,0.84,119
2022-11-03 01:00:00,0.874,132
2022-11-04 01:00:00,0.897,153
2022-11-05 01:00:00,0.89,96
2022-11-06 01:00:00,0.864,116
2022-11-07 01:00:00,1.091,407
2022-11-08 01:00:00,1.2,177
2022-11-09 01:00:00,1.154,133
2022-11-10 01:00:00,1.181,183
2022-11-11 01:00:00,1.417,389
2022-11-12 01:00:00,1.451,298
2022-11-13 01:00:00,1.392,236
