date,price,volume
2022-05-04 01:00:00,1.469,1593
2022-05-05 01:00:00,1.504,553
2022-05-06 01:00:00,1.623,455
2022-05-07 01:00:00,1.655,428
2022-05-08 01:00:00,1.891,329
2022-05-09 01:00:00,1.755,249
2022-05-10 01:00:00,1.677,259
2022-05-11 01:00:00,1.534,292
2022-05-12 01:00:00,1.439,425
2022-05-13 01:00:00,1.184,339
2022-05-14 01:00:00,1.19,377
2022-05-15 01:00:00,1.179,288
2022-05-16 01:00:00,1.019,224
2022-05-17 01:00:00,0.914,238
2022-05-18 01:00:00,0.869,245
2022-05-19 01:00:00,0.803,177
2022-05-20 01:00:00,0.751,252
2022-05-21 01:00:00,0.661,183
2022-05-22 01:00:00,0.637,263
2022-05-23 01:00:00,0.611,208
2022-05-24 01:00:00,0.649,180
2022-05-25 01:00:00,0.751,126
2022-05-26 01:00:00,0.854,96
2022-05-27 01:00:00,0.805,121
2022-05-28 01:00:00,0.782,161
2022-05-29 01:00:00,0.701,135
2022-05-30 01:00:00,0.715,130
2022-05-31 01:00:00,0.719,116
2022-06-01 01:00:00,0.745,127
2022-06-02 01:00:00,0.709,1101
2022-06-03 01:00:00,0.34,3398
2022-06-04 01:00:00,0.399,2433
2022-06-05 01:00:00,0.416,2208
2022-06-06 01:00:00,0.389,1627
2022-06-07 01:00:00,0.391,1465
2022-06-08 01:00:00,0.372,1341
2022-06-09 01:00:00,0.365,1348
2022-06-10 01:00:00,0.366,1375
2022-06-11 01:00:00,0.363,1371
2022-06-12 01:00:00,0.362,1412
2022-06-13 01:00:00,0.367,1411
2022-06-14 01:00:00,0.371,1588
2022-06-15 01:00:00,0.391,2178
2022-06-16 01:00:00,0.392,2131
2022-06-17 01:00:00,0.383,1704
2022-06-18 01:00:00,0.38,1587
2022-06-19 01:00:00,0.386,1490
2022-06-20 01:00:00,0.339,1276
2022-06-21 01:00:00,0.329,1306
2022-06-22 01:00:00,0.329,1224
2022-06-23 01:00:00,0.292,1043
2022-06-24 01:00:00,0.284,1005
2022-06-25 01:00:00,0.294,1083
2022-06-26 01:00:00,0.299,957
2022-06-27 01:00:00,0.304,946
2022-06-28 01:00:00,0.298,924
2022-06-29 01:00:00,0.312,828
2022-06-30 01:00:00,0.32,901
2022-07-01 01:00:00,0.328,920
2022-07-02 01:00:00,0.324,1243
2022-07-03 01:00:00,0.315,1179
2022-07-04 01:00:00,0.315,1053
2022-07-05 01:00:00,0.313,1073
2022-07-06 01:00:00,0.282,1031
2022-07-07 01:00:00,0.281,1002
2022-07-08 01:00:00,0.286,915
2022-07-09 01:00:00,0.289,947
2022-07-10 01:00:00,0.266,884
2022-07-11 01:00:00,0.231,860
2022-07-12 01:00:00,0.235,764
2022-07-13 01:00:00,0.236,603
2022-07-14 01:00:00,0.238,768
2022-07-15 01:00:00,0.237,694
2022-07-16 01:00:00,0.262,717
2022-07-17 01:00:00,0.262,650
2022-07-18 01:00:00,0.28,620
2022-07-19 01:00:00,0.272,558
2022-07-20 01:00:00,0.291,471
2022-07-21 01:00:00,0.279,775
2022-07-22 01:00:00,0.287,717
2022-07-23 01:00:00,0.279,627
2022-07-24 01:00:00,0.28,593
2022-07-25 01:00:00,0.273,666
2022-07-26 01:00:00,0.272,618
2022-07-27 01:00:00,0.289,566
2022-07-28 01:00:00,0.283,567
2022-07-29 01:00:00,0.284,605
2022-07-30 01:00:00,0.287,679
2022-07-31 01:00:00,0.284,657
2022-08-01 01:00:00,0.291,656
2022-08-02 01:00:00,0.295,643
2022-08-03 01:00:00,0.297,656
2022-08-04 01:00:00,0.306,665
2022-08-05 01:00:00,0.321,558
2022-08-06 01:00:00,0.309,562
2022-08-07 01:00:00,0.295,644
2022-08-08 01:00:00,0.304,714
2022-08-09 01:00:00,0.295,304
2022-08-10 01:00:00,0.286,540
2022-08-11 01:00:00,0.286,394
2022-08-12 01:00:00,0.27,378
2022-08-13 01:00:00,0.268,569
2022-08-14 01:00:00,0.264,392
2022-08-15 01:00:00,0.258,351
2022-08-16 01:00:00,0.25,536
2022-08-17 01:00:00,0.221,701
2022-08-18 01:00:00,0.202,414
2022-08-19 01:00:00,0.199,453
2022-08-20 01:00:00,0.197,429
2022-08-21 01:00:00,0.2,462
2022-08-22 01:00:00,0.204,290
2022-08-23 01:00:00,0.224,308
2022-08-24 01:00:00,0.219,395
2022-08-25 01:00:00,0.215,347
2022-08-26 01:00:00,0.211,365
2022-08-27 01:00:00,0.226,484
2022-08-28 01:00:00,0.218,426
2022-08-29 01:00:00,0.208,348
2022-08-30 01:00:00,0.217,386
