date,price,volume
2021-01-28 01:00:00,0.474,24321
2021-01-29 01:00:00,0.472,10322
2021-01-30 01:00:00,0.483,7282
2021-01-31 01:00:00,0.477,5451
2021-02-01 01:00:00,0.478,4493
2021-02-02 01:00:00,0.466,4466
2021-02-03 01:00:00,0.475,4662
2021-02-04 01:00:00,0.471,4045
2021-02-05 01:00:00,0.469,4353
2021-02-06 01:00:00,0.471,4253
2021-02-07 01:00:00,0.478,4216
2021-02-08 01:00:00,0.477,3638
2021-02-09 01:00:00,0.448,3596
2021-02-10 01:00:00,0.437,3799
2021-02-11 01:00:00,0.434,4051
2021-02-12 01:00:00,0.434,3082
2021-02-13 01:00:00,0.418,3767
2021-02-14 01:00:00,0.411,3102
2021-02-15 01:00:00,0.422,3069
2021-02-16 01:00:00,0.425,2896
2021-02-17 01:00:00,0.434,2689
2021-02-18 01:00:00,0.44,2395
2021-02-19 01:00:00,0.469,2746
2021-02-20 01:00:00,0.495,2838
2021-02-21 01:00:00,0.489,2612
2021-02-22 01:00:00,0.478,2794
2021-02-23 01:00:00,0.494,2797
2021-02-24 01:00:00,0.486,2779
2021-02-25 01:00:00,0.478,2736
2021-02-26 01:00:00,0.485,2985
2021-02-27 01:00:00,0.464,3357
2021-02-28 01:00:00,0.487,3891
2021-03-01 01:00:00,0.499,3645
2021-03-02 01:00:00,0.487,3332
2021-03-03 01:00:00,0.481,3525
2021-03-04 01:00:00,0.471,3214
2021-03-05 01:00:00,0.479,3489
2021-03-06 01:00:00,0.466,3641
2021-03-07 01:00:00,0.45,3334
2021-03-08 01:00:00,0.451,3231
2021-03-09 01:00:00,0.438,3057
2021-03-10 01:00:00,0.425,3544
2021-03-11 01:00:00,0.43,3277
2021-03-12 01:00:00,0.427,3284
2021-03-13 01:00:00,0.43,3262
2021-03-14 01:00:00,0.436,2822
2021-03-15 01:00:00,0.474,3596
2021-03-16 01:00:00,0.494,3377
2021-03-17 01:00:00,0.487,4036
2021-03-18 01:00:00,0.496,3755
2021-03-19 01:00:00,0.463,3841
2021-03-20 01:00:00,0.442,3484
2021-03-21 01:00:00,0.457,2926
2021-03-22 01:00:00,0.444,2945
2021-03-23 01:00:00,0.444,2705
2021-03-24 01:00:00,0.443,2789
2021-03-25 01:00:00,0.448,3037
2021-03-26 01:00:00,0.437,3210
2021-03-27 01:00:00,0.432,3507
2021-03-28 01:00:00,0.435,2923
2021-03-29 01:00:00,0.427,2669
2021-03-30 01:00:00,0.418,2344
2021-03-31 01:00:00,0.409,2463
2021-04-01 01:00:00,0.402,2242
2021-04-02 01:00:00,0.385,2516
2021-04-03 01:00:00,0.368,2650
2021-04-04 01:00:00,0.368,1931
2021-04-05 01:00:00,0.383,2415
2021-04-06 01:00:00,0.379,2234
2021-04-07 01:00:00,0.188,45537
2021-04-08 01:00:00,0.128,50037
2021-04-09 01:00:00,0.122,58189
2021-04-10 01:00:00,0.112,49813
2021-04-11 01:00:00,0.096,27506
2021-04-12 01:00:00,0.105,35613
2021-04-13 01:00:00,0.108,41809
2021-04-14 01:00:00,0.11,7990
2021-04-15 01:00:00,0.106,37488
2021-04-16 01:00:00,0.091,32826
2021-04-17 01:00:00,0.083,28631
2021-04-18 01:00:00,0.086,21551
2021-04-19 01:00:00,0.084,24345
2021-04-20 01:00:00,0.087,21841
2021-04-21 01:00:00,0.09,21120
2021-04-22 01:00:00,0.086,22008
2021-04-23 01:00:00,0.088,23451
2021-04-24 01:00:00,0.082,21692
2021-04-25 01:00:00,0.078,18915
2021-04-26 01:00:00,0.079,20889
2021-04-27 01:00:00,0.081,22159
2021-04-28 01:00:00,0.082,17520
2021-04-29 01:00:00,0.083,19655
2021-04-30 01:00:00,0.083,21016
2021-05-01 01:00:00,0.08,15671
2021-05-02 01:00:00,0.075,19571
2021-05-03 01:00:00,0.07,17827
2021-05-04 01:00:00,0.067,23488
2021-05-05 01:00:00,0.064,20738
2021-05-06 01:00:00,0.06,17990
2021-05-07 01:00:00,0.058,18065
2021-05-08 01:00:00,0.057,18385
2021-05-09 01:00:00,0.058,13899
2021-05-10 01:00:00,0.059,14673
2021-05-11 01:00:00,0.062,14391
2021-05-12 01:00:00,0.061,13056
2021-05-13 01:00:00,0.056,13471
2021-05-14 01:00:00,0.056,13703
2021-05-15 01:00:00,0.056,13203
2021-05-16 01:00:00,0.057,14772
2021-05-17 01:00:00,0.055,12717
2021-05-18 01:00:00,0.054,12615
2021-05-19 01:00:00,0.053,11704
2021-05-20 01:00:00,0.052,10664
2021-05-21 01:00:00,0.085,23637
2021-05-22 01:00:00,0.074,10833
2021-05-23 01:00:00,0.075,7714
2021-05-24 01:00:00,0.071,7904
2021-05-25 01:00:00,0.071,7816
2021-05-26 01:00:00,0.072,7868
2021-05-27 01:00:00,0.074,7189
2021-05-28 01:00:00,0.073,8060
2021-05-29 01:00:00,0.073,6774
2021-05-30 01:00:00,0.069,7148
2021-05-31 01:00:00,0.07,6217
2021-06-01 01:00:00,0.074,7188
2021-06-02 01:00:00,0.074,7148
2021-06-03 01:00:00,0.08,8569
2021-06-04 01:00:00,0.09,7928
2021-06-05 01:00:00,0.093,6734
2021-06-06 01:00:00,0.098,5915
2021-06-07 01:00:00,0.096,5927
2021-06-08 01:00:00,0.091,6344
2021-06-09 01:00:00,0.089,5908
2021-06-10 01:00:00,0.086,6462
2021-06-11 01:00:00,0.087,4971
2021-06-12 01:00:00,0.088,5802
2021-06-13 01:00:00,0.086,6052
2021-06-14 01:00:00,0.087,5730
2021-06-15 01:00:00,0.081,5058
2021-06-16 01:00:00,0.079,6029
2021-06-17 01:00:00,0.079,4205
2021-06-18 01:00:00,0.076,5406
2021-06-19 01:00:00,0.077,5122
2021-06-20 01:00:00,0.074,4561
2021-06-21 01:00:00,0.071,5390
2021-06-22 01:00:00,0.073,5376
2021-06-23 01:00:00,0.071,5418
2021-06-24 01:00:00,0.068,6269
2021-06-25 01:00:00,0.063,6347
2021-06-26 01:00:00,0.066,5177
2021-06-27 01:00:00,0.068,3934
2021-06-28 01:00:00,0.071,6844
2021-06-29 01:00:00,0.072,4467
2021-06-30 01:00:00,0.07,3935
2021-07-01 01:00:00,0.071,3269
2021-07-02 01:00:00,0.069,5030
2021-07-03 01:00:00,0.066,4686
2021-07-04 01:00:00,0.066,4123
2021-07-05 01:00:00,0.065,4007
2021-07-06 01:00:00,0.068,4386
2021-07-07 01:00:00,0.068,4429
2021-07-08 01:00:00,0.067,3986
2021-07-09 01:00:00,0.071,3553
2021-07-10 01:00:00,0.071,3695
2021-07-11 01:00:00,0.071,4299
2021-07-12 01:00:00,0.07,3377
2021-07-13 01:00:00,0.071,4060
2021-07-14 01:00:00,0.068,3183
2021-07-15 01:00:00,0.069,3121
2021-07-16 01:00:00,0.071,3346
2021-07-17 01:00:00,0.071,3503
2021-07-18 01:00:00,0.068,4147
2021-07-19 01:00:00,0.073,3604
2021-07-20 01:00:00,0.076,4734
2021-07-21 01:00:00,0.075,3261
2021-07-22 01:00:00,0.071,2986
2021-07-23 01:00:00,0.072,3455
2021-07-24 01:00:00,0.07,3061
2021-07-25 01:00:00,0.07,2744
2021-07-26 01:00:00,0.07,3110
2021-07-27 01:00:00,0.071,1765
2021-07-28 01:00:00,0.071,4379
2021-07-29 01:00:00,0.068,3321
2021-07-30 01:00:00,0.067,3990
2021-07-31 01:00:00,0.068,3121
2021-08-01 01:00:00,0.068,3550
2021-08-02 01:00:00,0.068,3295
2021-08-03 01:00:00,0.069,2576
2021-08-04 01:00:00,0.07,2925
2021-08-05 01:00:00,0.069,2760
2021-08-06 01:00:00,0.067,3618
2021-08-07 01:00:00,0.067,3654
2021-08-08 01:00:00,0.067,3185
2021-08-09 01:00:00,0.066,2674
2021-08-10 01:00:00,0.065,3170
2021-08-11 01:00:00,0.066,2808
2021-08-12 01:00:00,0.067,3256
2021-08-13 01:00:00,0.066,3029
2021-08-14 01:00:00,0.066,2768
2021-08-15 01:00:00,0.066,2801
2021-08-16 01:00:00,0.062,3116
2021-08-17 01:00:00,0.065,3147
2021-08-18 01:00:00,0.063,3451
2021-08-19 01:00:00,0.061,3404
2021-08-20 01:00:00,0.063,3819
2021-08-21 01:00:00,0.064,3461
2021-08-22 01:00:00,0.066,2908
2021-08-23 01:00:00,0.066,2595
2021-08-24 01:00:00,0.067,3181
2021-08-25 01:00:00,0.067,2591
2021-08-26 01:00:00,0.066,2919
2021-08-27 01:00:00,0.066,2792
2021-08-28 01:00:00,0.065,2867
2021-08-29 01:00:00,0.065,2808
2021-08-30 01:00:00,0.064,2698
2021-08-31 01:00:00,0.065,3176
2021-09-01 01:00:00,0.065,2933
2021-09-02 01:00:00,0.063,2642
2021-09-03 01:00:00,0.06,2879
2021-09-04 01:00:00,0.063,2892
2021-09-05 01:00:00,0.063,3063
2021-09-06 01:00:00,0.066,2528
2021-09-07 01:00:00,0.065,2346
2021-09-08 01:00:00,0.065,2382
2021-09-09 01:00:00,0.062,2306
2021-09-10 01:00:00,0.061,3639
2021-09-11 01:00:00,0.063,3281
2021-09-12 01:00:00,0.061,3034
2021-09-13 01:00:00,0.063,2445
2021-09-14 01:00:00,0.064,2313
2021-09-15 01:00:00,0.064,2508
2021-09-16 01:00:00,0.06,3139
2021-09-17 01:00:00,0.059,3140
2021-09-18 01:00:00,0.06,2965
2021-09-19 01:00:00,0.064,3779
2021-09-20 01:00:00,0.064,2869
2021-09-21 01:00:00,0.062,2540
2021-09-22 01:00:00,0.048,11729
2021-09-23 01:00:00,0.042,5063
2021-09-24 01:00:00,0.043,4219
2021-09-25 01:00:00,0.044,4185
2021-09-26 01:00:00,0.05,2604
2021-09-27 01:00:00,0.048,2984
2021-09-28 01:00:00,0.046,2530
2021-09-29 01:00:00,0.045,3834
2021-09-30 01:00:00,0.044,2645
2021-10-01 01:00:00,0.047,3014
2021-10-02 01:00:00,0.046,4396
2021-10-03 01:00:00,0.049,3257
2021-10-04 01:00:00,0.048,2618
2021-10-05 01:00:00,0.046,3343
2021-10-06 01:00:00,0.046,3258
2021-10-07 01:00:00,0.05,2917
2021-10-08 01:00:00,0.051,3071
2021-10-09 01:00:00,0.052,2969
2021-10-10 01:00:00,0.054,2128
2021-10-11 01:00:00,0.053,2411
2021-10-12 01:00:00,0.051,2528
2021-10-13 01:00:00,0.05,3096
2021-10-14 01:00:00,0.049,2970
2021-10-15 01:00:00,0.051,2327
2021-10-16 01:00:00,0.052,3881
2021-10-17 01:00:00,0.056,1730
2021-10-18 01:00:00,0.054,1794
2021-10-19 01:00:00,0.053,3955
2021-10-20 01:00:00,0.051,2307
2021-10-21 01:00:00,0.051,2305
2021-10-22 01:00:00,0.035,9026
2021-10-23 01:00:00,0.03,5096
2021-10-24 01:00:00,0.031,3257
2021-10-25 01:00:00,0.031,3662
2021-10-26 01:00:00,0.03,3880
2021-10-27 01:00:00,0.03,2616
2021-10-28 01:00:00,0.03,3912
2021-10-29 01:00:00,0.032,3331
2021-10-30 01:00:00,0.032,2847
2021-10-31 01:00:00,0.031,2881
2021-11-01 01:00:00,0.03,3838
2021-11-02 01:00:00,0.03,2765
2021-11-03 01:00:00,0.03,2824
2021-11-04 01:00:00,0.03,3509
2021-11-05 01:00:00,0.03,3077
2021-11-06 01:00:00,0.03,3834
2021-11-07 01:00:00,0.03,3859
2021-11-08 01:00:00,0.03,4255
2021-11-09 01:00:00,0.03,3695
2021-11-10 01:00:00,0.03,4118
2021-11-11 01:00:00,0.03,3352
2021-11-12 01:00:00,0.03,2661
2021-11-13 01:00:00,0.03,3189
2021-11-14 01:00:00,0.03,3047
2021-11-15 01:00:00,0.03,2576
2021-11-16 01:00:00,0.03,2164
2021-11-17 01:00:00,0.03,1969
2021-11-18 01:00:00,0.03,2362
2021-11-19 01:00:00,0.03,2603
2021-11-20 01:00:00,0.03,2494
2021-11-21 01:00:00,0.03,2409
2021-11-22 01:00:00,0.03,2207
2021-11-23 01:00:00,0.03,2619
2021-11-24 01:00:00,0.03,2696
2021-11-25 01:00:00,0.03,2980
2021-11-26 01:00:00,0.03,2984
2021-11-27 01:00:00,0.03,2668
2021-11-28 01:00:00,0.03,2995
2021-11-29 01:00:00,0.03,2678
2021-11-30 01:00:00,0.03,4683
2021-12-01 01:00:00,0.03,3542
2021-12-02 01:00:00,0.03,2649
2021-12-03 01:00:00,0.03,3140
2021-12-04 01:00:00,0.03,2904
2021-12-05 01:00:00,0.03,2415
2021-12-06 01:00:00,0.03,2297
2021-12-07 01:00:00,0.03,1879
2021-12-08 01:00:00,0.03,2351
2021-12-09 01:00:00,0.03,1518
2021-12-10 01:00:00,0.03,1976
2021-12-11 01:00:00,0.03,1980
2021-12-12 01:00:00,0.03,1857
2021-12-13 01:00:00,0.03,1718
2021-12-14 01:00:00,0.03,1688
2021-12-15 01:00:00,0.03,1654
2021-12-16 01:00:00,0.03,1475
2021-12-17 01:00:00,0.03,1694
2021-12-18 01:00:00,0.03,1564
2021-12-19 01:00:00,0.03,1797
2021-12-20 01:00:00,0.03,1718
2021-12-21 01:00:00,0.03,1768
2021-12-22 01:00:00,0.03,1247
2021-12-23 01:00:00,0.03,1162
2021-12-24 01:00:00,0.03,1626
2021-12-25 01:00:00,0.03,1585
2021-12-26 01:00:00,0.03,2195
2021-12-27 01:00:00,0.03,1474
2021-12-28 01:00:00,0.03,1984
2021-12-29 01:00:00,0.03,2856
2021-12-30 01:00:00,0.03,1597
2021-12-31 01:00:00,0.03,1303
2022-01-01 01:00:00,0.03,1920
2022-01-02 01:00:00,0.03,2299
2022-01-03 01:00:00,0.03,1886
2022-01-04 01:00:00,0.03,1718
2022-01-05 01:00:00,0.03,1652
2022-01-06 01:00:00,0.03,1911
2022-01-07 01:00:00,0.03,1693
2022-01-08 01:00:00,0.03,1543
2022-01-09 01:00:00,0.03,1290
2022-01-10 01:00:00,0.03,1643
2022-01-11 01:00:00,0.03,1805
2022-01-12 01:00:00,0.03,1445
2022-01-13 01:00:00,0.03,1288
2022-01-14 01:00:00,0.03,1504
2022-01-15 01:00:00,0.03,1406
2022-01-16 01:00:00,0.03,1443
2022-01-17 01:00:00,0.03,1343
2022-01-18 01:00:00,0.03,2010
2022-01-19 01:00:00,0.03,1614
2022-01-20 01:00:00,0.03,1451
2022-01-21 01:00:00,0.03,2981
2022-01-22 01:00:00,0.03,1933
2022-01-23 01:00:00,0.03,1765
2022-01-24 01:00:00,0.03,2042
2022-01-25 01:00:00,0.03,1316
2022-01-26 01:00:00,0.03,2047
2022-01-27 01:00:00,0.03,2121
2022-01-28 01:00:00,0.03,1741
2022-01-29 01:00:00,0.03,2010
2022-01-30 01:00:00,0.03,1978
2022-01-31 01:00:00,0.03,1864
2022-02-01 01:00:00,0.03,2024
2022-02-02 01:00:00,0.03,2377
2022-02-03 01:00:00,0.03,1725
2022-02-04 01:00:00,0.03,2691
2022-02-05 01:00:00,0.03,2345
2022-02-06 01:00:00,0.03,2090
2022-02-07 01:00:00,0.03,1771
2022-02-08 01:00:00,0.03,1663
2022-02-09 01:00:00,0.03,1647
