date,price,volume
2019-02-07 01:00:00,1.11,203
2019-02-08 01:00:00,1.056,112
2019-02-09 01:00:00,1.083,79
2019-02-10 01:00:00,1.065,60
2019-02-11 01:00:00,1.023,57
2019-02-12 01:00:00,1.042,61
2019-02-13 01:00:00,1.07,43
2019-02-14 01:00:00,1.06,39
2019-02-15 01:00:00,1.085,38
2019-02-16 01:00:00,1.065,53
2019-02-17 01:00:00,1.12,67
2019-02-18 01:00:00,0.999,56
2019-02-19 01:00:00,1.014,40
2019-02-20 01:00:00,1.054,53
2019-02-21 01:00:00,1.122,69
2019-02-22 01:00:00,1.127,86
2019-02-23 01:00:00,1.126,65
2019-02-24 01:00:00,1.124,66
2019-02-25 01:00:00,1.054,79
2019-02-26 01:00:00,1.105,67
2019-02-27 01:00:00,1.126,50
2019-02-28 01:00:00,1.111,57
2019-03-01 01:00:00,1.157,118
2019-03-02 01:00:00,0.629,3128
2019-03-03 01:00:00,0.281,6083
2019-03-04 01:00:00,0.28,4642
2019-03-05 01:00:00,0.28,2571
2019-03-06 01:00:00,0.277,1510
2019-03-07 01:00:00,0.277,1703
2019-03-08 01:00:00,0.278,1384
2019-03-09 01:00:00,0.269,1306
2019-03-10 01:00:00,0.267,1086
2019-03-11 01:00:00,0.264,942
2019-03-12 01:00:00,0.286,1689
2019-03-13 01:00:00,0.295,1127
2019-03-14 01:00:00,0.289,1209
2019-03-15 01:00:00,0.295,1280
2019-03-16 01:00:00,0.296,1381
2019-03-17 01:00:00,0.293,1254
2019-03-18 01:00:00,0.293,1023
2019-03-19 01:00:00,0.298,1116
2019-03-20 01:00:00,0.297,832
2019-03-21 01:00:00,0.286,944
2019-03-22 01:00:00,0.285,894
2019-03-23 01:00:00,0.285,1110
2019-03-24 01:00:00,0.284,965
2019-03-25 01:00:00,0.285,795
2019-03-26 01:00:00,0.288,798
2019-03-27 01:00:00,0.286,619
2019-03-28 01:00:00,0.279,749
2019-03-29 01:00:00,0.266,952
2019-03-30 01:00:00,0.28,943
2019-03-31 01:00:00,0.281,788
2019-04-01 01:00:00,0.279,673
2019-04-02 01:00:00,0.281,618
2019-04-03 01:00:00,0.279,708
2019-04-04 01:00:00,0.28,505
