date,price,volume
2022-08-16 01:00:00,0.045,733
2022-08-17 01:00:00,0.034,6698
2022-08-18 01:00:00,0.04,3676
2022-08-19 01:00:00,0.041,2320
2022-08-20 01:00:00,0.044,1997
2022-08-21 01:00:00,0.046,1908
2022-08-22 01:00:00,0.043,1178
2022-08-23 01:00:00,0.046,1091
2022-08-24 01:00:00,0.044,1471
2022-08-25 01:00:00,0.037,1334
2022-08-26 01:00:00,0.032,1211
2022-08-27 01:00:00,0.03,1074
2022-08-28 01:00:00,0.03,802
2022-08-29 01:00:00,0.032,1200
2022-08-30 01:00:00,0.031,820
2022-08-31 01:00:00,0.033,865
2022-09-01 01:00:00,0.033,796
2022-09-02 01:00:00,0.033,646
2022-09-03 01:00:00,0.037,732
2022-09-04 01:00:00,0.03,846
2022-09-05 01:00:00,0.032,846
2022-09-06 01:00:00,0.033,640
2022-09-07 01:00:00,0.032,478
2022-09-08 01:00:00,0.033,462
2022-09-09 01:00:00,0.031,432
2022-09-10 01:00:00,0.03,467
2022-09-11 01:00:00,0.03,442
2022-09-12 01:00:00,0.03,557
2022-09-13 01:00:00,0.03,657
2022-09-14 01:00:00,0.03,896
2022-09-15 01:00:00,0.03,531
2022-09-16 01:00:00,0.03,774
2022-09-17 01:00:00,0.03,588
2022-09-18 01:00:00,0.03,566
2022-09-19 01:00:00,0.03,401
2022-09-20 01:00:00,0.03,503
2022-09-21 01:00:00,0.031,811
2022-09-22 01:00:00,0.031,334
2022-09-23 01:00:00,0.03,335
2022-09-24 01:00:00,0.033,415
2022-09-25 01:00:00,0.03,373
2022-09-26 01:00:00,0.03,431
2022-09-27 01:00:00,0.03,428
2022-09-28 01:00:00,0.03,360
2022-09-29 01:00:00,0.03,324
2022-09-30 01:00:00,0.03,369
2022-10-01 01:00:00,0.03,392
2022-10-02 01:00:00,0.03,372
2022-10-03 01:00:00,0.03,261
2022-10-04 01:00:00,0.03,306
2022-10-05 01:00:00,0.03,253
2022-10-06 01:00:00,0.03,321
2022-10-07 01:00:00,0.03,343
2022-10-08 01:00:00,0.03,430
2022-10-09 01:00:00,0.03,363
2022-10-10 01:00:00,0.03,342
2022-10-11 01:00:00,0.03,347
2022-10-12 01:00:00,0.03,220
2022-10-13 01:00:00,0.03,418
2022-10-14 01:00:00,0.03,275
2022-10-15 01:00:00,0.031,393
2022-10-16 01:00:00,0.031,338
2022-10-17 01:00:00,0.033,331
2022-10-18 01:00:00,0.037,330
2022-10-19 01:00:00,0.032,324
2022-10-20 01:00:00,0.033,320
2022-10-21 01:00:00,0.031,303
2022-10-22 01:00:00,0.03,396
2022-10-23 01:00:00,0.03,373
2022-10-24 01:00:00,0.03,221
2022-10-25 01:00:00,0.03,270
2022-10-26 01:00:00,0.03,203
2022-10-27 01:00:00,0.03,209
2022-10-28 01:00:00,0.031,486
2022-10-29 01:00:00,0.033,210
2022-10-30 01:00:00,0.031,265
2022-10-31 01:00:00,0.032,233
2022-11-01 01:00:00,0.031,196
2022-11-02 01:00:00,0.033,150
2022-11-03 01:00:00,0.033,191
2022-11-04 01:00:00,0.03,254
2022-11-05 01:00:00,0.031,200
2022-11-06 01:00:00,0.034,932
2022-11-07 01:00:00,0.03,1246
2022-11-08 01:00:00,0.03,439
2022-11-09 01:00:00,0.03,310
2022-11-10 01:00:00,0.03,314
2022-11-11 01:00:00,0.03,482
2022-11-12 01:00:00,0.03,441
2022-11-13 01:00:00,0.03,495
2022-11-14 01:00:00,0.033,522
2022-11-15 01:00:00,0.032,317
2022-11-16 01:00:00,0.033,321
2022-11-17 01:00:00,0.035,232
2022-11-18 01:00:00,0.033,262
2022-11-19 01:00:00,0.031,379
2022-11-20 01:00:00,0.033,428
2022-11-21 01:00:00,0.035,270
2022-11-22 01:00:00,0.034,312
2022-11-23 01:00:00,0.033,313
2022-11-24 01:00:00,0.03,274
2022-11-25 01:00:00,0.03,259
2022-11-26 01:00:00,0.03,268
2022-11-27 01:00:00,0.03,307
2022-11-28 01:00:00,0.03,256
2022-11-29 01:00:00,0.03,248
2022-11-30 01:00:00,0.03,296
2022-12-01 01:00:00,0.03,296
2022-12-02 01:00:00,0.03,267
2022-12-03 01:00:00,0.03,349
2022-12-04 01:00:00,0.03,282
2022-12-05 01:00:00,0.031,279
2022-12-06 01:00:00,0.03,264
2022-12-07 01:00:00,0.03,275
2022-12-08 01:00:00,0.032,316
2022-12-09 01:00:00,0.03,294
2022-12-10 01:00:00,0.035,329
2022-12-11 01:00:00,0.031,254
2022-12-12 01:00:00,0.03,256
2022-12-13 01:00:00,0.031,211
2022-12-14 01:00:00,0.031,347
2022-12-15 01:00:00,0.03,411
2022-12-16 01:00:00,0.031,339
2022-12-17 01:00:00,0.032,212
2022-12-18 01:00:00,0.03,197
2022-12-19 01:00:00,0.03,180
2022-12-20 01:00:00,0.03,196
2022-12-21 01:00:00,0.03,193
2022-12-22 01:00:00,0.03,203
2022-12-23 01:00:00,0.03,243
2022-12-24 01:00:00,0.031,258
2022-12-25 01:00:00,0.032,210
2022-12-26 01:00:00,0.031,264
2022-12-27 01:00:00,0.03,179
2022-12-28 01:00:00,0.03,184
2022-12-29 01:00:00,0.03,223
2022-12-30 01:00:00,0.031,249
2022-12-31 01:00:00,0.03,139
2023-01-01 01:00:00,0.03,269
2023-01-02 01:00:00,0.03,317
2023-01-03 01:00:00,0.03,265
2023-01-04 01:00:00,0.03,241
2023-01-05 01:00:00,0.034,221
2023-01-06 01:00:00,0.033,177
2023-01-07 01:00:00,0.036,249
2023-01-08 01:00:00,0.038,184
2023-01-09 01:00:00,0.036,272
2023-01-10 01:00:00,0.036,199
2023-01-11 01:00:00,0.033,187
2023-01-12 01:00:00,0.036,192
2023-01-13 01:00:00,0.033,244
2023-01-14 01:00:00,0.035,565
2023-01-15 01:00:00,0.038,241
2023-01-16 01:00:00,0.037,199
2023-01-17 01:00:00,0.041,192
2023-01-18 01:00:00,0.04,216
2023-01-19 01:00:00,0.039,212
