date,price,volume
2020-03-22 01:00:00,0.218,327
2020-03-23 01:00:00,0.234,8087
2020-03-24 01:00:00,0.201,4367
2020-03-25 01:00:00,0.184,3097
2020-03-26 01:00:00,0.186,2224
2020-03-27 01:00:00,0.178,2428
2020-03-28 01:00:00,0.181,2161
2020-03-29 01:00:00,0.181,1647
2020-03-30 01:00:00,0.185,1755
2020-03-31 01:00:00,0.182,2504
2020-04-01 01:00:00,0.17,2422
2020-04-02 01:00:00,0.177,2129
2020-04-03 01:00:00,0.178,1874
2020-04-04 01:00:00,0.182,1763
2020-04-05 01:00:00,0.187,1749
2020-04-06 01:00:00,0.192,1435
2020-04-07 01:00:00,0.196,1242
2020-04-08 01:00:00,0.199,1357
2020-04-09 01:00:00,0.208,1222
2020-04-10 01:00:00,0.215,1134
2020-04-11 01:00:00,0.228,1197
2020-04-12 01:00:00,0.231,943
2020-04-13 01:00:00,0.23,968
2020-04-14 01:00:00,0.228,948
2020-04-15 01:00:00,0.235,1013
2020-04-16 01:00:00,0.238,899
2020-04-17 01:00:00,0.235,915
2020-04-18 01:00:00,0.237,861
2020-04-19 01:00:00,0.237,778
2020-04-20 01:00:00,0.242,789
2020-04-21 01:00:00,0.251,772
2020-04-22 01:00:00,0.246,587
2020-04-23 01:00:00,0.232,665
2020-04-24 01:00:00,0.247,720
2020-04-25 01:00:00,0.242,707
2020-04-26 01:00:00,0.237,668
2020-04-27 01:00:00,0.24,604
2020-04-28 01:00:00,0.233,523
2020-04-29 01:00:00,0.239,698
2020-04-30 01:00:00,0.249,625
2020-05-01 01:00:00,0.25,622
2020-05-02 01:00:00,0.248,682
2020-05-03 01:00:00,0.251,624
2020-05-04 01:00:00,0.248,658
2020-05-05 01:00:00,0.244,663
2020-05-06 01:00:00,0.249,652
2020-05-07 01:00:00,0.251,618
2020-05-08 01:00:00,0.255,534
2020-05-09 01:00:00,0.257,571
2020-05-10 01:00:00,0.254,599
2020-05-11 01:00:00,0.246,645
2020-05-12 01:00:00,0.245,594
2020-05-13 01:00:00,0.258,615
2020-05-14 01:00:00,0.25,549
2020-05-15 01:00:00,0.249,573
2020-05-16 01:00:00,0.253,589
2020-05-17 01:00:00,0.255,544
2020-05-18 01:00:00,0.253,492
2020-05-19 01:00:00,0.256,525
2020-05-20 01:00:00,0.256,569
2020-05-21 01:00:00,0.258,516
2020-05-22 01:00:00,0.26,559
2020-05-23 01:00:00,0.259,528
2020-05-24 01:00:00,0.257,522
2020-05-25 01:00:00,0.259,538
2020-05-26 01:00:00,0.255,406
2020-05-27 01:00:00,0.247,435
2020-05-28 01:00:00,0.254,413
2020-05-29 01:00:00,0.261,422
2020-05-30 01:00:00,0.26,412
2020-05-31 01:00:00,0.261,412
2020-06-01 01:00:00,0.266,399
2020-06-02 01:00:00,0.274,359
2020-06-03 01:00:00,0.276,347
2020-06-04 01:00:00,0.274,354
2020-06-05 01:00:00,0.261,378
2020-06-06 01:00:00,0.264,397
2020-06-07 01:00:00,0.27,343
2020-06-08 01:00:00,0.28,347
2020-06-09 01:00:00,0.27,329
2020-06-10 01:00:00,0.272,307
2020-06-11 01:00:00,0.27,339
2020-06-12 01:00:00,0.275,327
2020-06-13 01:00:00,0.27,334
2020-06-14 01:00:00,0.268,306
2020-06-15 01:00:00,0.269,327
2020-06-16 01:00:00,0.264,312
2020-06-17 01:00:00,0.271,261
2020-06-18 01:00:00,0.274,297
2020-06-19 01:00:00,0.271,299
2020-06-20 01:00:00,0.267,277
2020-06-21 01:00:00,0.258,328
2020-06-22 01:00:00,0.274,357
2020-06-23 01:00:00,0.274,266
2020-06-24 01:00:00,0.269,312
2020-06-25 01:00:00,0.261,288
2020-06-26 01:00:00,0.255,299
2020-06-27 01:00:00,0.257,289
2020-06-28 01:00:00,0.26,285
2020-06-29 01:00:00,0.245,276
2020-06-30 01:00:00,0.255,307
2020-07-01 01:00:00,0.254,334
2020-07-02 01:00:00,0.259,282
2020-07-03 01:00:00,0.255,306
2020-07-04 01:00:00,0.248,333
2020-07-05 01:00:00,0.247,322
2020-07-06 01:00:00,0.253,359
2020-07-07 01:00:00,0.253,331
