date,price,volume
2022-08-16 01:00:00,7.75,151
2022-08-17 01:00:00,7.802,872
2022-08-18 01:00:00,6.962,355
2022-08-19 01:00:00,6.615,246
2022-08-20 01:00:00,6.72,204
2022-08-21 01:00:00,6.764,172
2022-08-22 01:00:00,6.676,133
2022-08-23 01:00:00,6.745,107
2022-08-24 01:00:00,6.146,108
2022-08-25 01:00:00,5.641,105
2022-08-26 01:00:00,4.522,159
2022-08-27 01:00:00,4.469,131
2022-08-28 01:00:00,4.254,102
2022-08-29 01:00:00,4.032,60
2022-08-30 01:00:00,4.091,57
2022-08-31 01:00:00,4.21,63
2022-09-01 01:00:00,3.99,75
2022-09-02 01:00:00,3.808,60
2022-09-03 01:00:00,3.71,76
2022-09-04 01:00:00,3.556,60
2022-09-05 01:00:00,3.566,51
2022-09-06 01:00:00,3.589,44
2022-09-07 01:00:00,3.749,57
2022-09-08 01:00:00,3.832,40
2022-09-09 01:00:00,3.784,48
2022-09-10 01:00:00,3.827,36
2022-09-11 01:00:00,3.641,56
2022-09-12 01:00:00,3.883,47
2022-09-13 01:00:00,3.972,45
2022-09-14 01:00:00,3.855,35
2022-09-15 01:00:00,3.907,35
2022-09-16 01:00:00,4.145,53
2022-09-17 01:00:00,4.084,36
2022-09-18 01:00:00,4.183,38
2022-09-19 01:00:00,4.05,25
2022-09-20 01:00:00,3.87,26
2022-09-21 01:00:00,3.892,32
2022-09-22 01:00:00,3.858,23
2022-09-23 01:00:00,3.966,31
2022-09-24 01:00:00,3.669,26
2022-09-25 01:00:00,3.587,37
2022-09-26 01:00:00,3.871,25
2022-09-27 01:00:00,3.746,24
2022-09-28 01:00:00,3.65,22
2022-09-29 01:00:00,3.661,29
2022-09-30 01:00:00,3.676,30
2022-10-01 01:00:00,3.588,30
2022-10-02 01:00:00,3.36,42
2022-10-03 01:00:00,3.46,38
2022-10-04 01:00:00,3.645,29
2022-10-05 01:00:00,3.574,32
2022-10-06 01:00:00,3.638,17
2022-10-07 01:00:00,3.626,22
2022-10-08 01:00:00,3.742,44
2022-10-09 01:00:00,3.813,19
2022-10-10 01:00:00,3.832,23
2022-10-11 01:00:00,3.961,28
2022-10-12 01:00:00,3.996,26
2022-10-13 01:00:00,4.037,20
2022-10-14 01:00:00,3.955,27
2022-10-15 01:00:00,4.137,28
2022-10-16 01:00:00,4.25,30
2022-10-17 01:00:00,4.141,22
2022-10-18 01:00:00,4.048,26
2022-10-19 01:00:00,4.204,19
2022-10-20 01:00:00,4.228,18
2022-10-21 01:00:00,4.251,23
2022-10-22 01:00:00,3.859,36
2022-10-23 01:00:00,3.835,23
2022-10-24 01:00:00,3.913,7
2022-10-25 01:00:00,3.916,15
2022-10-26 01:00:00,4.155,16
2022-10-27 01:00:00,4.295,14
2022-10-28 01:00:00,4.116,13
2022-10-29 01:00:00,3.819,17
2022-10-30 01:00:00,3.98,14
2022-10-31 01:00:00,3.953,10
2022-11-01 01:00:00,3.927,11
2022-11-02 01:00:00,4.073,13
2022-11-03 01:00:00,4.113,17
2022-11-04 01:00:00,4.311,11
