date,price,volume
2022-10-21 01:00:00,0.369,72
2022-10-22 01:00:00,0.508,649
2022-10-23 01:00:00,0.553,240
2022-10-24 01:00:00,0.582,176
2022-10-25 01:00:00,0.593,117
2022-10-26 01:00:00,0.566,93
2022-10-27 01:00:00,0.602,151
2022-10-28 01:00:00,0.561,127
2022-10-29 01:00:00,0.578,100
2022-10-30 01:00:00,0.594,114
2022-10-31 01:00:00,0.654,138
2022-11-01 01:00:00,0.699,130
2022-11-02 01:00:00,0.88,113
2022-11-03 01:00:00,0.976,87
2022-11-04 01:00:00,0.963,89
2022-11-05 01:00:00,1.049,91
2022-11-06 01:00:00,1.41,134
2022-11-07 01:00:00,1.452,111
2022-11-08 01:00:00,1.639,62
2022-11-09 01:00:00,1.502,82
2022-11-10 01:00:00,2.077,107
2022-11-11 01:00:00,2.947,145
2022-11-12 01:00:00,5.681,630
2022-11-13 01:00:00,1.051,742
2022-11-14 01:00:00,0.53,302
2022-11-15 01:00:00,0.725,115
2022-11-16 01:00:00,0.677,97
2022-11-17 01:00:00,0.775,84
2022-11-18 01:00:00,0.812,60
2022-11-19 01:00:00,0.611,127
2022-11-20 01:00:00,0.593,78
2022-11-21 01:00:00,0.605,73
2022-11-22 01:00:00,0.563,61
2022-11-23 01:00:00,0.498,62
2022-11-24 01:00:00,0.53,50
2022-11-25 01:00:00,0.52,48
2022-11-26 01:00:00,0.556,38
2022-11-27 01:00:00,0.613,48
2022-11-28 01:00:00,0.598,35
2022-11-29 01:00:00,0.627,53
2022-11-30 01:00:00,0.699,31
2022-12-01 01:00:00,0.639,25
2022-12-02 01:00:00,0.601,33
2022-12-03 01:00:00,0.579,38
2022-12-04 01:00:00,0.586,40
2022-12-05 01:00:00,0.565,21
2022-12-06 01:00:00,0.593,34
2022-12-07 01:00:00,0.588,32
2022-12-08 01:00:00,0.636,38
2022-12-09 01:00:00,0.61,18
2022-12-10 01:00:00,0.677,39
2022-12-11 01:00:00,0.678,25
2022-12-12 01:00:00,0.702,15
2022-12-13 01:00:00,0.685,27
2022-12-14 01:00:00,0.178,1980
2022-12-15 01:00:00,0.181,832
2022-12-16 01:00:00,0.156,684
2022-12-17 01:00:00,0.162,710
2022-12-18 01:00:00,0.174,699
2022-12-19 01:00:00,0.212,542
2022-12-20 01:00:00,0.205,477
