date,price,volume
2019-03-28 01:00:00,0.153,1
2019-03-29 01:00:00,0.343,1540
2019-03-30 01:00:00,0.447,818
2019-03-31 01:00:00,0.436,581
2019-04-01 01:00:00,0.434,408
2019-04-02 01:00:00,0.453,363
2019-04-03 01:00:00,0.437,269
2019-04-04 01:00:00,0.447,316
2019-04-05 01:00:00,0.452,298
2019-04-06 01:00:00,0.466,364
2019-04-07 01:00:00,0.469,318
2019-04-08 01:00:00,0.499,276
2019-04-09 01:00:00,0.58,256
2019-04-10 01:00:00,0.649,233
2019-04-11 01:00:00,0.647,237
2019-04-12 01:00:00,0.626,266
2019-04-13 01:00:00,0.597,302
2019-04-14 01:00:00,0.597,259
2019-04-15 01:00:00,0.551,202
2019-04-16 01:00:00,0.524,197
2019-04-17 01:00:00,0.498,169
2019-04-18 01:00:00,0.497,188
2019-04-19 01:00:00,0.502,195
2019-04-20 01:00:00,0.482,190
2019-04-21 01:00:00,0.499,203
2019-04-22 01:00:00,0.49,184
2019-04-23 01:00:00,0.501,197
2019-04-24 01:00:00,0.548,140
2019-04-25 01:00:00,0.562,144
2019-04-26 01:00:00,0.555,110
2019-04-27 01:00:00,0.56,144
2019-04-28 01:00:00,0.579,130
2019-04-29 01:00:00,0.576,105
2019-04-30 01:00:00,0.551,110
2019-05-01 01:00:00,0.581,123
2019-05-02 01:00:00,0.612,132
2019-05-03 01:00:00,0.592,125
2019-05-04 01:00:00,0.555,107
2019-05-05 01:00:00,0.581,133
2019-05-06 01:00:00,0.608,103
2019-05-07 01:00:00,0.592,98
2019-05-08 01:00:00,0.605,92
2019-05-09 01:00:00,0.61,117
2019-05-10 01:00:00,0.595,99
2019-05-11 01:00:00,0.615,106
2019-05-12 01:00:00,0.646,195
2019-05-13 01:00:00,0.675,87
2019-05-14 01:00:00,0.706,96
2019-05-15 01:00:00,0.749,79
2019-05-16 01:00:00,0.745,75
2019-05-17 01:00:00,0.773,80
2019-05-18 01:00:00,0.757,116
2019-05-19 01:00:00,0.763,109
2019-05-20 01:00:00,0.735,80
2019-05-21 01:00:00,0.732,80
