date,price,volume
2023-05-05 01:00:00,0.03,1890
2023-05-06 01:00:00,0.03,1020
2023-05-07 01:00:00,0.03,717
2023-05-08 01:00:00,0.03,620
2023-05-09 01:00:00,0.03,545
2023-05-10 01:00:00,0.03,312
2023-05-11 01:00:00,0.03,325
2023-05-12 01:00:00,0.03,368
2023-05-13 01:00:00,0.03,624
2023-05-14 01:00:00,0.03,294
2023-05-15 01:00:00,0.03,429
2023-05-16 01:00:00,0.03,852
2023-05-17 01:00:00,0.03,179
2023-05-18 01:00:00,0.03,292
2023-05-19 01:00:00,0.03,395
2023-05-20 01:00:00,0.03,264
2023-05-21 01:00:00,0.03,369
2023-05-22 01:00:00,0.03,258
2023-05-23 01:00:00,0.03,296
2023-05-24 01:00:00,0.03,1703
2023-05-25 01:00:00,0.03,2149
2023-05-26 01:00:00,0.03,462
2023-05-27 01:00:00,0.03,136
2023-05-28 01:00:00,0.03,141
2023-05-29 01:00:00,0.03,590
2023-05-30 01:00:00,0.03,119
2023-05-31 01:00:00,0.03,184
2023-06-01 01:00:00,0.03,72
2023-06-02 01:00:00,0.03,127
2023-06-03 01:00:00,0.03,80
2023-06-04 01:00:00,0.03,113
2023-06-05 01:00:00,0.03,41
2023-06-06 01:00:00,0.03,52
2023-06-07 01:00:00,0.03,162
2023-06-08 01:00:00,0.03,380
2023-06-09 01:00:00,0.03,254
2023-06-10 01:00:00,0.03,214
2023-06-11 01:00:00,0.03,558
2023-06-12 01:00:00,0.03,96
2023-06-13 01:00:00,0.03,35
2023-06-14 01:00:00,0.03,274
2023-06-15 01:00:00,0.03,213
2023-06-16 01:00:00,0.03,120
2023-06-17 01:00:00,0.03,323
2023-06-18 01:00:00,0.03,170
2023-06-19 01:00:00,0.03,1685
2023-06-20 01:00:00,0.03,907
2023-06-21 01:00:00,0.03,346
2023-06-22 01:00:00,0.03,1038
2023-06-23 01:00:00,0.03,4014
2023-06-24 01:00:00,0.03,2533
2023-06-25 01:00:00,0.03,2493
2023-06-26 01:00:00,0.03,1851
2023-06-27 01:00:00,0.03,1977
2023-06-28 01:00:00,0.03,1794
2023-06-29 01:00:00,0.03,1446
2023-06-30 01:00:00,0.03,1520
2023-07-01 01:00:00,0.03,1245
2023-07-02 01:00:00,0.03,1905
2023-07-03 01:00:00,0.03,1426
2023-07-04 01:00:00,0.03,1727
2023-07-05 01:00:00,0.03,2479
2023-07-06 01:00:00,0.03,1078
2023-07-07 01:00:00,0.03,1057
2023-07-08 01:00:00,0.03,1015
2023-07-09 01:00:00,0.03,1306
2023-07-10 01:00:00,0.03,818
2023-07-11 01:00:00,0.03,1600
2023-07-12 01:00:00,0.03,1159
2023-07-13 01:00:00,0.03,1169
2023-07-14 01:00:00,0.03,983
2023-07-15 01:00:00,0.03,1399
2023-07-16 01:00:00,0.03,976
2023-07-17 01:00:00,0.03,1046
2023-07-18 01:00:00,0.03,2013
2023-07-19 01:00:00,0.03,1139
2023-07-20 01:00:00,0.03,1032
2023-07-21 01:00:00,0.03,878
2023-07-22 01:00:00,0.03,1163
2023-07-23 01:00:00,0.03,1119
2023-07-24 01:00:00,0.03,2031
2023-07-25 01:00:00,0.03,1120
2023-07-26 01:00:00,0.03,1767
2023-07-27 01:00:00,0.03,1283
2023-07-28 01:00:00,0.03,1159
2023-07-29 01:00:00,0.03,1673
2023-07-30 01:00:00,0.03,1209
2023-07-31 01:00:00,0.03,1331
2023-08-01 01:00:00,0.03,1684
2023-08-02 01:00:00,0.03,1129
2023-08-03 01:00:00,0.03,1490
2023-08-04 01:00:00,0.03,2016
2023-08-05 01:00:00,0.03,1073
2023-08-06 01:00:00,0.03,1470
2023-08-07 01:00:00,0.03,1537
2023-08-08 01:00:00,0.03,1643
