date,price,volume
2023-05-04 01:00:00,0.701,17
2023-05-05 01:00:00,0.168,18167
2023-05-06 01:00:00,0.181,6774
2023-05-07 01:00:00,0.234,4328
2023-05-08 01:00:00,0.255,3926
2023-05-09 01:00:00,0.247,2983
2023-05-10 01:00:00,0.246,2285
2023-05-11 01:00:00,0.246,2136
2023-05-12 01:00:00,0.219,2734
2023-05-13 01:00:00,0.21,2139
2023-05-14 01:00:00,0.156,2137
2023-05-15 01:00:00,0.129,11084
2023-05-16 01:00:00,0.062,4674
2023-05-17 01:00:00,0.064,3808
2023-05-18 01:00:00,0.07,4041
2023-05-19 01:00:00,0.061,3811
2023-05-20 01:00:00,0.057,3393
2023-05-21 01:00:00,0.053,3505
2023-05-22 01:00:00,0.052,2113
2023-05-23 01:00:00,0.053,2135
2023-05-24 01:00:00,0.057,1739
2023-05-25 01:00:00,0.073,2893
2023-05-26 01:00:00,0.075,1282
2023-05-27 01:00:00,0.077,1160
2023-05-28 01:00:00,0.07,1167
2023-05-29 01:00:00,0.062,1352
2023-05-30 01:00:00,0.059,1414
2023-05-31 01:00:00,0.052,1008
2023-06-01 01:00:00,0.051,1215
2023-06-02 01:00:00,0.053,935
2023-06-03 01:00:00,0.062,1067
2023-06-04 01:00:00,0.059,999
2023-06-05 01:00:00,0.065,1271
2023-06-06 01:00:00,0.071,830
2023-06-07 01:00:00,0.063,823
2023-06-08 01:00:00,0.069,745
2023-06-09 01:00:00,0.066,671
2023-06-10 01:00:00,0.068,868
2023-06-11 01:00:00,0.065,696
2023-06-12 01:00:00,0.064,725
2023-06-13 01:00:00,0.07,683
2023-06-14 01:00:00,0.083,655
2023-06-15 01:00:00,0.08,632
2023-06-16 01:00:00,0.08,822
2023-06-17 01:00:00,0.088,486
2023-06-18 01:00:00,0.092,585
2023-06-19 01:00:00,0.086,502
2023-06-20 01:00:00,0.08,467
2023-06-21 01:00:00,0.077,515
2023-06-22 01:00:00,0.081,472
2023-06-23 01:00:00,0.03,24297
2023-06-24 01:00:00,0.03,14802
2023-06-25 01:00:00,0.03,13686
2023-06-26 01:00:00,0.03,11934
2023-06-27 01:00:00,0.03,10886
2023-06-28 01:00:00,0.03,12467
2023-06-29 01:00:00,0.03,12543
2023-06-30 01:00:00,0.03,9913
2023-07-01 01:00:00,0.03,11509
2023-07-02 01:00:00,0.03,15741
2023-07-03 01:00:00,0.03,14584
2023-07-04 01:00:00,0.03,14756
2023-07-05 01:00:00,0.03,14562
2023-07-06 01:00:00,0.03,15356
2023-07-07 01:00:00,0.03,13512
2023-07-08 01:00:00,0.03,15127
2023-07-09 01:00:00,0.03,14747
2023-07-10 01:00:00,0.03,15467
2023-07-11 01:00:00,0.03,12013
2023-07-12 01:00:00,0.03,13002
2023-07-13 01:00:00,0.03,12263
2023-07-14 01:00:00,0.03,11582
2023-07-15 01:00:00,0.03,11608
2023-07-16 01:00:00,0.03,11163
2023-07-17 01:00:00,0.03,14877
2023-07-18 01:00:00,0.03,13018
2023-07-19 01:00:00,0.03,15045
2023-07-20 01:00:00,0.03,13181
2023-07-21 01:00:00,0.03,13354
2023-07-22 01:00:00,0.03,16910
2023-07-23 01:00:00,0.03,17831
2023-07-24 01:00:00,0.03,22535
2023-07-25 01:00:00,0.03,19296
2023-07-26 01:00:00,0.03,20865
2023-07-27 01:00:00,0.03,18362
2023-07-28 01:00:00,0.03,16140
2023-07-29 01:00:00,0.03,15002
2023-07-30 01:00:00,0.03,14115
2023-07-31 01:00:00,0.03,14864
2023-08-01 01:00:00,0.03,14347
2023-08-02 01:00:00,0.03,15574
2023-08-03 01:00:00,0.03,15779
2023-08-04 01:00:00,0.03,15133
2023-08-05 01:00:00,0.03,15913
2023-08-06 01:00:00,0.03,22393
2023-08-07 01:00:00,0.03,15768
2023-08-08 01:00:00,0.03,15721
2023-08-09 01:00:00,0.03,17068
2023-08-10 01:00:00,0.03,16179
2023-08-11 01:00:00,0.03,18339
2023-08-12 01:00:00,0.03,14840
2023-08-13 01:00:00,0.03,14852
2023-08-14 01:00:00,0.03,13737
2023-08-15 01:00:00,0.03,12403
2023-08-16 01:00:00,0.03,13536
2023-08-17 01:00:00,0.03,11843
2023-08-18 01:00:00,0.03,11335
2023-08-19 01:00:00,0.03,12997
2023-08-20 01:00:00,0.03,15697
2023-08-21 01:00:00,0.03,13919
2023-08-22 01:00:00,0.03,12856
2023-08-23 01:00:00,0.03,11526
2023-08-24 01:00:00,0.03,11069
2023-08-25 01:00:00,0.03,12519
2023-08-26 01:00:00,0.03,11877
2023-08-27 01:00:00,0.03,11155
2023-08-28 01:00:00,0.03,15655
2023-08-29 01:00:00,0.03,14422
2023-08-30 01:00:00,0.03,14330
2023-08-31 01:00:00,0.03,12838
2023-09-01 01:00:00,0.03,8762
2023-09-02 01:00:00,0.03,10826
2023-09-03 01:00:00,0.03,10561
2023-09-04 01:00:00,0.03,14046
2023-09-05 01:00:00,0.03,10313
2023-09-06 01:00:00,0.03,11839
2023-09-07 01:00:00,0.03,13605
2023-09-08 01:00:00,0.03,14360
2023-09-09 01:00:00,0.03,22318
2023-09-10 01:00:00,0.03,16754
2023-09-11 01:00:00,0.03,15550
2023-09-12 01:00:00,0.03,17593
2023-09-13 01:00:00,0.03,15759
2023-09-14 01:00:00,0.03,15630
2023-09-15 01:00:00,0.03,14891
2023-09-16 01:00:00,0.03,14487
2023-09-17 01:00:00,0.03,11724
2023-09-18 01:00:00,0.03,11380
2023-09-19 01:00:00,0.03,11964
2023-09-20 01:00:00,0.03,9465
2023-09-21 01:00:00,0.03,8974
2023-09-22 01:00:00,0.03,9962
2023-09-23 01:00:00,0.03,8639
2023-09-24 01:00:00,0.03,9401
2023-09-25 01:00:00,0.03,10133
2023-09-26 01:00:00,0.03,7821
2023-09-27 01:00:00,0.03,18039
2023-09-28 01:00:00,0.03,9257
2023-09-29 01:00:00,0.03,9658
2023-09-30 01:00:00,0.03,8510
2023-10-01 01:00:00,0.03,9582
2023-10-02 01:00:00,0.03,9228
2023-10-03 01:00:00,0.03,6157
2023-10-04 01:00:00,0.03,7289
2023-10-05 01:00:00,0.03,9260
2023-10-06 01:00:00,0.03,12929
2023-10-07 01:00:00,0.03,14822
2023-10-08 01:00:00,0.03,8276
2023-10-09 01:00:00,0.03,6290
2023-10-10 01:00:00,0.03,9488
2023-10-11 01:00:00,0.03,5525
2023-10-12 01:00:00,0.03,5589
2023-10-13 01:00:00,0.03,7727
2023-10-14 01:00:00,0.03,7288
2023-10-15 01:00:00,0.03,7189
2023-10-16 01:00:00,0.03,4668
2023-10-17 01:00:00,0.03,4129
2023-10-18 01:00:00,0.03,22156
2023-10-19 01:00:00,0.03,5532
2023-10-20 01:00:00,0.03,6893
2023-10-21 01:00:00,0.03,6122
2023-10-22 01:00:00,0.03,4979
2023-10-23 01:00:00,0.03,4026
2023-10-24 01:00:00,0.03,4810
2023-10-25 01:00:00,0.03,6731
2023-10-26 01:00:00,0.03,3691
2023-10-27 01:00:00,0.03,5944
2023-10-28 01:00:00,0.03,4585
2023-10-29 01:00:00,0.03,4466
2023-10-30 01:00:00,0.03,3427
2023-10-31 01:00:00,0.03,9770
2023-11-01 01:00:00,0.03,6190
2023-11-02 01:00:00,0.03,7222
2023-11-03 01:00:00,0.03,4038
2023-11-04 01:00:00,0.03,4508
2023-11-05 01:00:00,0.03,4371
2023-11-06 01:00:00,0.03,3861
2023-11-07 01:00:00,0.03,4097
2023-11-08 01:00:00,0.03,4511
2023-11-09 01:00:00,0.03,5043
2023-11-10 01:00:00,0.03,3902
2023-11-11 01:00:00,0.03,3593
2023-11-12 01:00:00,0.03,3136
2023-11-13 01:00:00,0.03,5268
2023-11-14 01:00:00,0.03,3176
2023-11-15 01:00:00,0.03,3921
2023-11-16 01:00:00,0.03,2996
2023-11-17 01:00:00,0.03,2795
2023-11-18 01:00:00,0.03,3105
2023-11-19 01:00:00,0.03,7541
2023-11-20 01:00:00,0.03,2238
2023-11-21 01:00:00,0.03,3077
2023-11-22 01:00:00,0.03,4401
2023-11-23 01:00:00,0.03,3430
2023-11-24 01:00:00,0.03,1956
2023-11-25 01:00:00,0.03,6481
2023-11-26 01:00:00,0.03,2640
2023-11-27 01:00:00,0.03,2603
2023-11-28 01:00:00,0.03,2409
2023-11-29 01:00:00,0.03,2119
2023-11-30 01:00:00,0.03,2553
2023-12-01 01:00:00,0.03,1583
2023-12-02 01:00:00,0.03,2463
2023-12-03 01:00:00,0.03,2193
2023-12-04 01:00:00,0.03,2219
2023-12-05 01:00:00,0.03,1678
2023-12-06 01:00:00,0.03,2797
2023-12-07 01:00:00,0.03,2552
2023-12-08 01:00:00,0.03,2603
2023-12-09 01:00:00,0.03,2917
2023-12-10 01:00:00,0.03,2344
2023-12-11 01:00:00,0.03,1478
2023-12-12 01:00:00,0.03,2146
2023-12-13 01:00:00,0.03,2319
2023-12-14 01:00:00,0.03,2104
2023-12-15 01:00:00,0.03,1679
2023-12-16 01:00:00,0.03,2890
2023-12-17 01:00:00,0.03,2020
2023-12-18 01:00:00,0.03,1468
2023-12-19 01:00:00,0.03,1611
2023-12-20 01:00:00,0.03,2002
2023-12-21 01:00:00,0.03,2288
2023-12-22 01:00:00,0.03,2042
2023-12-23 01:00:00,0.03,3594
2023-12-24 01:00:00,0.03,2072
2023-12-25 01:00:00,0.03,2105
2023-12-26 01:00:00,0.03,1635
2023-12-27 01:00:00,0.03,2231
2023-12-28 01:00:00,0.03,2557
2023-12-29 01:00:00,0.03,1603
