date,price,volume
2022-08-16 01:00:00,0.063,665
2022-08-17 01:00:00,0.091,6322
2022-08-18 01:00:00,0.112,3374
2022-08-19 01:00:00,0.116,2267
2022-08-20 01:00:00,0.107,1733
2022-08-21 01:00:00,0.105,1613
2022-08-22 01:00:00,0.099,1370
2022-08-23 01:00:00,0.104,1102
2022-08-24 01:00:00,0.107,1329
2022-08-25 01:00:00,0.114,1130
2022-08-26 01:00:00,0.112,877
2022-08-27 01:00:00,0.113,879
2022-08-28 01:00:00,0.113,868
2022-08-29 01:00:00,0.133,850
2022-08-30 01:00:00,0.156,731
2022-08-31 01:00:00,0.15,683
2022-09-01 01:00:00,0.161,646
2022-09-02 01:00:00,0.146,600
2022-09-03 01:00:00,0.144,597
2022-09-04 01:00:00,0.137,618
2022-09-05 01:00:00,0.136,558
2022-09-06 01:00:00,0.144,457
2022-09-07 01:00:00,0.138,461
2022-09-08 01:00:00,0.143,476
2022-09-09 01:00:00,0.149,506
2022-09-10 01:00:00,0.155,470
2022-09-11 01:00:00,0.153,514
2022-09-12 01:00:00,0.152,429
2022-09-13 01:00:00,0.151,377
2022-09-14 01:00:00,0.155,466
2022-09-15 01:00:00,0.162,455
2022-09-16 01:00:00,0.191,437
2022-09-17 01:00:00,0.184,541
2022-09-18 01:00:00,0.184,478
2022-09-19 01:00:00,0.165,368
2022-09-20 01:00:00,0.167,321
2022-09-21 01:00:00,0.154,348
2022-09-22 01:00:00,0.152,356
2022-09-23 01:00:00,0.161,309
2022-09-24 01:00:00,0.152,352
2022-09-25 01:00:00,0.156,370
2022-09-26 01:00:00,0.157,285
2022-09-27 01:00:00,0.148,275
2022-09-28 01:00:00,0.142,280
2022-09-29 01:00:00,0.136,292
2022-09-30 01:00:00,0.138,383
2022-10-01 01:00:00,0.14,364
2022-10-02 01:00:00,0.137,375
2022-10-03 01:00:00,0.148,447
2022-10-04 01:00:00,0.156,394
2022-10-05 01:00:00,0.162,298
2022-10-06 01:00:00,0.161,240
2022-10-07 01:00:00,0.158,310
2022-10-08 01:00:00,0.155,359
2022-10-09 01:00:00,0.167,310
2022-10-10 01:00:00,0.166,335
2022-10-11 01:00:00,0.181,402
2022-10-12 01:00:00,0.173,238
2022-10-13 01:00:00,0.177,356
2022-10-14 01:00:00,0.183,276
2022-10-15 01:00:00,0.185,470
2022-10-16 01:00:00,0.214,477
2022-10-17 01:00:00,0.23,311
2022-10-18 01:00:00,0.212,293
2022-10-19 01:00:00,0.169,270
2022-10-20 01:00:00,0.184,308
2022-10-21 01:00:00,0.179,306
2022-10-22 01:00:00,0.171,453
2022-10-23 01:00:00,0.163,315
2022-10-24 01:00:00,0.169,249
2022-10-25 01:00:00,0.174,195
2022-10-26 01:00:00,0.169,254
2022-10-27 01:00:00,0.192,186
2022-10-28 01:00:00,0.182,215
2022-10-29 01:00:00,0.172,257
2022-10-30 01:00:00,0.186,234
2022-10-31 01:00:00,0.185,126
2022-11-01 01:00:00,0.173,201
2022-11-02 01:00:00,0.175,183
2022-11-03 01:00:00,0.184,145
2022-11-04 01:00:00,0.179,171
2022-11-05 01:00:00,0.184,185
2022-11-06 01:00:00,0.169,167
2022-11-07 01:00:00,0.176,212
2022-11-08 01:00:00,0.189,228
2022-11-09 01:00:00,0.218,264
2022-11-10 01:00:00,0.212,298
2022-11-11 01:00:00,0.204,561
2022-11-12 01:00:00,0.234,436
2022-11-13 01:00:00,0.263,344
2022-11-14 01:00:00,0.28,277
2022-11-15 01:00:00,0.241,236
2022-11-16 01:00:00,0.214,236
