date,price,volume
2021-01-28 01:00:00,18.698,303
2021-01-29 01:00:00,16.256,98
2021-01-30 01:00:00,16.062,95
2021-01-31 01:00:00,19.407,59
2021-02-01 01:00:00,20.264,47
2021-02-02 01:00:00,24.296,74
2021-02-03 01:00:00,24.411,41
2021-02-04 01:00:00,22.968,38
2021-02-05 01:00:00,21.166,55
2021-02-06 01:00:00,20.035,56
2021-02-07 01:00:00,23.214,60
2021-02-08 01:00:00,25.369,29
2021-02-09 01:00:00,27.715,35
2021-02-10 01:00:00,24.978,37
2021-02-11 01:00:00,24.395,49
2021-02-12 01:00:00,24.359,35
2021-02-13 01:00:00,24.776,27
2021-02-14 01:00:00,23.352,27
2021-02-15 01:00:00,21.834,35
2021-02-16 01:00:00,21.584,17
2021-02-17 01:00:00,22.386,26
2021-02-18 01:00:00,22.301,26
2021-02-19 01:00:00,22.175,31
2021-02-20 01:00:00,23.484,34
2021-02-21 01:00:00,24.329,28
2021-02-22 01:00:00,25.19,36
2021-02-23 01:00:00,26.556,22
2021-02-24 01:00:00,26.944,34
2021-02-25 01:00:00,25.965,19
2021-02-26 01:00:00,26.554,26
2021-02-27 01:00:00,25.93,33
2021-02-28 01:00:00,28.354,66
2021-03-01 01:00:00,30.844,40
2021-03-02 01:00:00,30.23,26
2021-03-03 01:00:00,29.279,29
2021-03-04 01:00:00,29.441,30
2021-03-05 01:00:00,30.57,31
2021-03-06 01:00:00,29.386,25
2021-03-07 01:00:00,28.712,31
2021-03-08 01:00:00,28.26,33
2021-03-09 01:00:00,29.198,20
2021-03-10 01:00:00,28.43,34
2021-03-11 01:00:00,26.782,36
2021-03-12 01:00:00,27.518,32
2021-03-13 01:00:00,28.514,30
2021-03-14 01:00:00,29.048,21
2021-03-15 01:00:00,28.618,23
2021-03-16 01:00:00,28.293,43
2021-03-17 01:00:00,28.602,39
2021-03-18 01:00:00,26.786,47
2021-03-19 01:00:00,27.641,20
2021-03-20 01:00:00,26.267,41
2021-03-21 01:00:00,28.655,27
2021-03-22 01:00:00,28.443,26
2021-03-23 01:00:00,29.519,19
2021-03-24 01:00:00,29.385,21
2021-03-25 01:00:00,29.583,16
2021-03-26 01:00:00,28.24,31
2021-03-27 01:00:00,27.919,29
2021-03-28 01:00:00,27.059,28
2021-03-29 01:00:00,27.414,22
2021-03-30 01:00:00,26.522,22
2021-03-31 01:00:00,26.195,18
2021-04-01 01:00:00,26.52,26
2021-04-02 01:00:00,26.229,26
2021-04-03 01:00:00,26.075,32
2021-04-04 01:00:00,24.991,26
2021-04-05 01:00:00,24.77,14
2021-04-06 01:00:00,24.744,17
2021-04-07 01:00:00,11.895,750
2021-04-08 01:00:00,9.381,673
2021-04-09 01:00:00,8.914,603
2021-04-10 01:00:00,9.468,529
2021-04-11 01:00:00,10.111,394
2021-04-12 01:00:00,10.895,378
2021-04-13 01:00:00,10.315,384
2021-04-14 01:00:00,10.555,113
2021-04-15 01:00:00,10.243,403
2021-04-16 01:00:00,9.18,409
2021-04-17 01:00:00,8.689,337
2021-04-18 01:00:00,8.409,296
2021-04-19 01:00:00,8.241,279
2021-04-20 01:00:00,8.387,257
2021-04-21 01:00:00,9.232,233
2021-04-22 01:00:00,9.417,223
2021-04-23 01:00:00,9.801,224
2021-04-24 01:00:00,9.083,236
2021-04-25 01:00:00,8.606,258
2021-04-26 01:00:00,8.92,233
2021-04-27 01:00:00,8.994,205
2021-04-28 01:00:00,8.83,188
2021-04-29 01:00:00,8.906,204
2021-04-30 01:00:00,8.985,235
2021-05-01 01:00:00,9.429,205
2021-05-02 01:00:00,9.043,221
2021-05-03 01:00:00,8.675,183
2021-05-04 01:00:00,8.004,331
2021-05-05 01:00:00,7.483,264
2021-05-06 01:00:00,7.19,236
2021-05-07 01:00:00,7.039,272
2021-05-08 01:00:00,7.045,247
2021-05-09 01:00:00,6.818,211
2021-05-10 01:00:00,6.74,191
2021-05-11 01:00:00,6.994,188
2021-05-12 01:00:00,7.091,183
2021-05-13 01:00:00,6.894,157
2021-05-14 01:00:00,6.512,215
2021-05-15 01:00:00,6.439,169
2021-05-16 01:00:00,6.241,158
2021-05-17 01:00:00,6.249,159
2021-05-18 01:00:00,6.749,162
2021-05-19 01:00:00,6.745,124
2021-05-20 01:00:00,6.3,171
2021-05-21 01:00:00,8.593,314
2021-05-22 01:00:00,8.006,122
2021-05-23 01:00:00,7.74,108
2021-05-24 01:00:00,7.663,86
2021-05-25 01:00:00,7.274,85
2021-05-26 01:00:00,7.237,78
2021-05-27 01:00:00,6.949,88
2021-05-28 01:00:00,6.976,83
2021-05-29 01:00:00,7.398,65
2021-05-30 01:00:00,7.063,87
2021-05-31 01:00:00,7.109,84
2021-06-01 01:00:00,7.149,73
2021-06-02 01:00:00,7.32,83
2021-06-03 01:00:00,8.097,75
2021-06-04 01:00:00,8.225,78
2021-06-05 01:00:00,8.681,79
2021-06-06 01:00:00,8.384,76
2021-06-07 01:00:00,8.451,94
2021-06-08 01:00:00,8.58,53
2021-06-09 01:00:00,8.166,94
2021-06-10 01:00:00,8.163,95
2021-06-11 01:00:00,7.754,60
2021-06-12 01:00:00,7.684,63
2021-06-13 01:00:00,7.755,50
2021-06-14 01:00:00,7.607,60
2021-06-15 01:00:00,7.633,62
2021-06-16 01:00:00,7.578,47
2021-06-17 01:00:00,7.555,66
2021-06-18 01:00:00,7.636,42
2021-06-19 01:00:00,7.254,49
2021-06-20 01:00:00,7.211,65
2021-06-21 01:00:00,7.019,45
2021-06-22 01:00:00,7.097,57
2021-06-23 01:00:00,7.721,116
2021-06-24 01:00:00,7.135,72
2021-06-25 01:00:00,6.963,85
2021-06-26 01:00:00,7.003,61
2021-06-27 01:00:00,7.098,60
2021-06-28 01:00:00,7.294,43
2021-06-29 01:00:00,7.025,43
2021-06-30 01:00:00,6.856,40
2021-07-01 01:00:00,6.78,50
2021-07-02 01:00:00,6.993,48
2021-07-03 01:00:00,7.037,43
2021-07-04 01:00:00,6.728,42
2021-07-05 01:00:00,6.726,37
2021-07-06 01:00:00,6.663,55
2021-07-07 01:00:00,6.708,42
2021-07-08 01:00:00,6.536,28
2021-07-09 01:00:00,6.636,36
2021-07-10 01:00:00,6.77,37
2021-07-11 01:00:00,6.483,26
2021-07-12 01:00:00,6.265,22
2021-07-13 01:00:00,6.297,41
2021-07-14 01:00:00,6.584,29
2021-07-15 01:00:00,6.388,30
2021-07-16 01:00:00,6.334,31
2021-07-17 01:00:00,6.34,35
2021-07-18 01:00:00,6.108,47
2021-07-19 01:00:00,6.264,41
2021-07-20 01:00:00,6.21,34
2021-07-21 01:00:00,6.375,35
2021-07-22 01:00:00,6.464,44
2021-07-23 01:00:00,6.484,39
2021-07-24 01:00:00,6.947,47
2021-07-25 01:00:00,6.637,24
2021-07-26 01:00:00,6.507,34
2021-07-27 01:00:00,6.71,9
2021-07-28 01:00:00,6.289,26
2021-07-29 01:00:00,6.339,29
2021-07-30 01:00:00,6.53,26
2021-07-31 01:00:00,6.329,26
2021-08-01 01:00:00,6.383,20
2021-08-02 01:00:00,6.229,33
2021-08-03 01:00:00,5.853,34
2021-08-04 01:00:00,5.913,23
2021-08-05 01:00:00,5.895,15
2021-08-06 01:00:00,5.765,43
2021-08-07 01:00:00,5.823,31
2021-08-08 01:00:00,5.99,52
2021-08-09 01:00:00,5.838,31
2021-08-10 01:00:00,5.901,24
2021-08-11 01:00:00,5.863,22
2021-08-12 01:00:00,5.837,29
2021-08-13 01:00:00,5.78,38
2021-08-14 01:00:00,5.725,20
2021-08-15 01:00:00,5.776,30
2021-08-16 01:00:00,5.683,31
2021-08-17 01:00:00,5.473,38
2021-08-18 01:00:00,5.503,42
2021-08-19 01:00:00,5.386,32
2021-08-20 01:00:00,5.203,32
2021-08-21 01:00:00,5.045,33
2021-08-22 01:00:00,4.975,28
2021-08-23 01:00:00,5.105,30
2021-08-24 01:00:00,5.475,42
2021-08-25 01:00:00,5.377,27
2021-08-26 01:00:00,5.112,21
2021-08-27 01:00:00,5.176,39
2021-08-28 01:00:00,5.243,16
2021-08-29 01:00:00,5.348,20
2021-08-30 01:00:00,5.037,35
2021-08-31 01:00:00,5.077,23
2021-09-01 01:00:00,5.286,18
2021-09-02 01:00:00,5.1,30
2021-09-03 01:00:00,5.064,37
2021-09-04 01:00:00,5.226,32
2021-09-05 01:00:00,5.681,39
2021-09-06 01:00:00,5.945,36
2021-09-07 01:00:00,5.693,30
2021-09-08 01:00:00,5.854,24
2021-09-09 01:00:00,5.866,25
2021-09-10 01:00:00,5.32,41
2021-09-11 01:00:00,5.313,42
2021-09-12 01:00:00,5.323,32
2021-09-13 01:00:00,5.215,19
2021-09-14 01:00:00,5.422,33
2021-09-15 01:00:00,5.494,22
2021-09-16 01:00:00,5.393,28
2021-09-17 01:00:00,5.265,25
2021-09-18 01:00:00,5.254,35
2021-09-19 01:00:00,5.293,21
2021-09-20 01:00:00,5.199,19
2021-09-21 01:00:00,5.15,28
2021-09-22 01:00:00,4.071,224
2021-09-23 01:00:00,3.883,63
2021-09-24 01:00:00,3.933,40
2021-09-25 01:00:00,3.925,102
2021-09-26 01:00:00,4.455,84
2021-09-27 01:00:00,5.142,46
2021-09-28 01:00:00,4.506,56
2021-09-29 01:00:00,4.627,38
2021-09-30 01:00:00,4.92,40
2021-10-01 01:00:00,5.139,47
2021-10-02 01:00:00,4.817,48
2021-10-03 01:00:00,4.888,48
2021-10-04 01:00:00,4.901,28
2021-10-05 01:00:00,5.041,49
2021-10-06 01:00:00,5.104,33
2021-10-07 01:00:00,5.667,43
2021-10-08 01:00:00,5.673,73
2021-10-09 01:00:00,5.769,36
2021-10-10 01:00:00,5.725,54
2021-10-11 01:00:00,5.84,38
2021-10-12 01:00:00,5.775,16
2021-10-13 01:00:00,5.654,36
2021-10-14 01:00:00,5.661,28
2021-10-15 01:00:00,5.18,26
2021-10-16 01:00:00,5.567,31
2021-10-17 01:00:00,5.445,27
2021-10-18 01:00:00,5.278,17
2021-10-19 01:00:00,5.494,20
2021-10-20 01:00:00,5.783,22
2021-10-21 01:00:00,5.704,125
2021-10-22 01:00:00,3.654,248
2021-10-23 01:00:00,3.687,60
2021-10-24 01:00:00,3.74,62
2021-10-25 01:00:00,3.399,42
2021-10-26 01:00:00,3.552,53
2021-10-27 01:00:00,3.294,47
2021-10-28 01:00:00,3.033,83
2021-10-29 01:00:00,3.008,43
2021-10-30 01:00:00,2.904,52
2021-10-31 01:00:00,2.803,39
2021-11-01 01:00:00,2.675,41
2021-11-02 01:00:00,2.675,32
2021-11-03 01:00:00,2.763,25
2021-11-04 01:00:00,2.653,44
2021-11-05 01:00:00,2.589,32
2021-11-06 01:00:00,2.644,44
2021-11-07 01:00:00,2.534,31
2021-11-08 01:00:00,2.478,30
2021-11-09 01:00:00,2.603,28
2021-11-10 01:00:00,2.262,70
2021-11-11 01:00:00,2.302,41
2021-11-12 01:00:00,2.188,36
2021-11-13 01:00:00,2.221,34
2021-11-14 01:00:00,2.271,25
2021-11-15 01:00:00,2.268,17
2021-11-16 01:00:00,2.251,32
