date,price,volume
2018-11-15 01:00:00,0.588,466
2018-11-16 01:00:00,0.667,400
2018-11-17 01:00:00,0.503,435
2018-11-18 01:00:00,0.409,435
2018-11-19 01:00:00,0.404,320
2018-11-20 01:00:00,0.4,310
2018-11-21 01:00:00,0.361,273
2018-11-22 01:00:00,0.319,251
2018-11-23 01:00:00,0.336,321
2018-11-24 01:00:00,0.333,303
2018-11-25 01:00:00,0.322,297
2018-11-26 01:00:00,0.335,229
2018-11-27 01:00:00,0.342,195
2018-11-28 01:00:00,0.355,211
2018-11-29 01:00:00,0.367,230
2018-11-30 01:00:00,0.353,238
2018-12-01 01:00:00,0.329,291
2018-12-02 01:00:00,0.329,223
2018-12-03 01:00:00,0.332,212
2018-12-04 01:00:00,0.401,259
2018-12-05 01:00:00,0.371,205
2018-12-06 01:00:00,0.354,241
2018-12-07 01:00:00,0.292,293
2018-12-08 01:00:00,0.295,318
2018-12-09 01:00:00,0.3,302
2018-12-10 01:00:00,0.303,278
2018-12-11 01:00:00,0.284,226
2018-12-12 01:00:00,0.291,252
2018-12-13 01:00:00,0.294,217
2018-12-14 01:00:00,0.298,271
2018-12-15 01:00:00,0.292,298
2018-12-16 01:00:00,0.301,274
2018-12-17 01:00:00,0.307,235
2018-12-18 01:00:00,0.31,220
2018-12-19 01:00:00,0.32,238
2018-12-20 01:00:00,0.316,181
2018-12-21 01:00:00,0.302,223
2018-12-22 01:00:00,0.301,228
2018-12-23 01:00:00,0.292,240
2018-12-24 01:00:00,0.316,201
2018-12-25 01:00:00,0.311,193
2018-12-26 01:00:00,0.336,230
2018-12-27 01:00:00,0.36,225
2018-12-28 01:00:00,0.338,197
2018-12-29 01:00:00,0.326,193
2018-12-30 01:00:00,0.326,238
2018-12-31 01:00:00,0.327,213
2019-01-01 01:00:00,0.323,230
2019-01-02 01:00:00,0.34,200
2019-01-03 01:00:00,0.343,192
2019-01-04 01:00:00,0.358,200
2019-01-05 01:00:00,0.356,208
2019-01-06 01:00:00,0.346,180
2019-01-07 01:00:00,0.336,220
2019-01-08 01:00:00,0.356,160
2019-01-09 01:00:00,0.382,183
2019-01-10 01:00:00,0.362,154
2019-01-11 01:00:00,0.352,179
2019-01-12 01:00:00,0.361,245
2019-01-13 01:00:00,0.357,196
2019-01-14 01:00:00,0.367,185
2019-01-15 01:00:00,0.366,176
2019-01-16 01:00:00,0.362,157
2019-01-17 01:00:00,0.358,156
2019-01-18 01:00:00,0.367,146
2019-01-19 01:00:00,0.359,196
2019-01-20 01:00:00,0.387,170
2019-01-21 01:00:00,0.356,190
2019-01-22 01:00:00,0.355,174
2019-01-23 01:00:00,0.364,163
2019-01-24 01:00:00,0.354,155
2019-01-25 01:00:00,0.37,303
2019-01-26 01:00:00,0.379,224
2019-01-27 01:00:00,0.391,188
2019-01-28 01:00:00,0.369,170
2019-01-29 01:00:00,0.383,129
2019-01-30 01:00:00,0.369,159
2019-01-31 01:00:00,0.357,159
2019-02-01 01:00:00,0.365,181
2019-02-02 01:00:00,0.356,198
2019-02-03 01:00:00,0.35,192
2019-02-04 01:00:00,0.354,192
2019-02-05 01:00:00,0.342,168
2019-02-06 01:00:00,0.351,160
2019-02-07 01:00:00,0.317,226
2019-02-08 01:00:00,0.332,133
2019-02-09 01:00:00,0.331,180
2019-02-10 01:00:00,0.331,144
2019-02-11 01:00:00,0.338,127
2019-02-12 01:00:00,0.349,114
2019-02-13 01:00:00,0.349,123
2019-02-14 01:00:00,0.341,118
2019-02-15 01:00:00,0.346,114
2019-02-16 01:00:00,0.36,139
2019-02-17 01:00:00,0.366,114
2019-02-18 01:00:00,0.359,111
2019-02-19 01:00:00,0.348,98
2019-02-20 01:00:00,0.367,102
2019-02-21 01:00:00,0.366,97
2019-02-22 01:00:00,0.371,109
2019-02-23 01:00:00,0.363,165
2019-02-24 01:00:00,0.359,123
2019-02-25 01:00:00,0.364,143
2019-02-26 01:00:00,0.381,107
2019-02-27 01:00:00,0.384,119
2019-02-28 01:00:00,0.378,101
2019-03-01 01:00:00,0.382,114
2019-03-02 01:00:00,0.363,242
2019-03-03 01:00:00,0.331,177
2019-03-04 01:00:00,0.329,142
2019-03-05 01:00:00,0.336,78
2019-03-06 01:00:00,0.354,98
2019-03-07 01:00:00,0.349,82
2019-03-08 01:00:00,0.339,104
2019-03-09 01:00:00,0.354,114
2019-03-10 01:00:00,0.339,105
2019-03-11 01:00:00,0.367,106
2019-03-12 01:00:00,0.36,111
2019-03-13 01:00:00,0.374,136
2019-03-14 01:00:00,0.367,160
2019-03-15 01:00:00,0.37,166
2019-03-16 01:00:00,0.366,228
2019-03-17 01:00:00,0.347,217
2019-03-18 01:00:00,0.334,145
2019-03-19 01:00:00,0.351,171
2019-03-20 01:00:00,0.345,166
2019-03-21 01:00:00,0.346,175
2019-03-22 01:00:00,0.354,228
2019-03-23 01:00:00,0.35,222
2019-03-24 01:00:00,0.348,232
2019-03-25 01:00:00,0.329,183
2019-03-26 01:00:00,0.338,182
2019-03-27 01:00:00,0.335,170
2019-03-28 01:00:00,0.333,208
2019-03-29 01:00:00,0.313,193
2019-03-30 01:00:00,0.322,159
2019-03-31 01:00:00,0.34,167
2019-04-01 01:00:00,0.342,139
2019-04-02 01:00:00,0.328,91
2019-04-03 01:00:00,0.344,107
2019-04-04 01:00:00,0.344,117
2019-04-05 01:00:00,0.352,105
2019-04-06 01:00:00,0.35,158
2019-04-07 01:00:00,0.344,122
2019-04-08 01:00:00,0.356,98
2019-04-09 01:00:00,0.357,108
2019-04-10 01:00:00,0.354,125
2019-04-11 01:00:00,0.375,121
2019-04-12 01:00:00,0.381,118
2019-04-13 01:00:00,0.375,174
2019-04-14 01:00:00,0.371,182
2019-04-15 01:00:00,0.404,116
2019-04-16 01:00:00,0.415,114
2019-04-17 01:00:00,0.415,90
2019-04-18 01:00:00,0.427,121
2019-04-19 01:00:00,0.427,92
2019-04-20 01:00:00,0.464,76
2019-04-21 01:00:00,0.462,81
2019-04-22 01:00:00,0.455,84
2019-04-23 01:00:00,0.458,152
2019-04-24 01:00:00,0.42,134
2019-04-25 01:00:00,0.414,151
2019-04-26 01:00:00,0.417,126
2019-04-27 01:00:00,0.398,166
2019-04-28 01:00:00,0.387,127
2019-04-29 01:00:00,0.399,142
2019-04-30 01:00:00,0.394,115
2019-05-01 01:00:00,0.396,152
2019-05-02 01:00:00,0.398,186
2019-05-03 01:00:00,0.401,131
2019-05-04 01:00:00,0.406,186
2019-05-05 01:00:00,0.383,149
2019-05-06 01:00:00,0.385,162
2019-05-07 01:00:00,0.39,137
2019-05-08 01:00:00,0.384,132
2019-05-09 01:00:00,0.38,148
2019-05-10 01:00:00,0.385,120
2019-05-11 01:00:00,0.393,159
2019-05-12 01:00:00,0.393,185
2019-05-13 01:00:00,0.425,145
2019-05-14 01:00:00,0.422,104
2019-05-15 01:00:00,0.395,115
2019-05-16 01:00:00,0.415,178
2019-05-17 01:00:00,0.43,146
