date,price,volume
2024-10-10 01:00:00,1.135,67
2024-10-11 01:00:00,0.581,450
2024-10-12 01:00:00,0.4,739
2024-10-13 01:00:00,0.4,821
2024-10-14 01:00:00,0.484,841
2024-10-15 01:00:00,0.463,704
2024-10-16 01:00:00,0.438,797
2024-10-17 01:00:00,0.41,784
2024-10-18 01:00:00,0.383,816
2024-10-19 01:00:00,0.372,874
2024-10-20 01:00:00,0.353,944
2024-10-21 01:00:00,0.32,1022
2024-10-22 01:00:00,0.29,1085
2024-10-23 01:00:00,0.242,946
2024-10-24 01:00:00,0.209,1186
2024-10-25 01:00:00,0.203,952
2024-10-26 01:00:00,0.207,979
2024-10-27 01:00:00,0.235,926
2024-10-28 01:00:00,0.278,844
2024-10-29 01:00:00,0.333,892
2024-10-30 01:00:00,0.355,840
2024-10-31 01:00:00,0.395,851
2024-11-01 01:00:00,0.427,904
2024-11-02 01:00:00,0.421,753
2024-11-03 01:00:00,0.369,767
2024-11-04 01:00:00,0.349,631
2024-11-05 01:00:00,0.353,668
2024-11-06 01:00:00,0.332,802
2024-11-07 01:00:00,0.311,1054
2024-11-08 01:00:00,0.304,1204
2024-11-09 01:00:00,0.277,1230
2024-11-10 01:00:00,0.276,1655
2024-11-11 01:00:00,0.268,1165
2024-11-12 01:00:00,0.239,49
2024-11-12 05:00:00,0.235,9
2024-11-12 06:00:00,0.23,11
2024-11-12 07:00:00,0.24,21
2024-11-12 08:00:00,0.247,13
2024-11-12 09:00:00,0.236,101
2024-11-12 10:00:00,0.235,49
2024-11-12 11:00:00,0.236,57
2024-11-12 12:00:00,0.235,50
2024-11-12 13:00:00,0.235,50
2024-11-12 14:00:00,0.235,90
2024-11-12 15:00:00,0.247,116
2024-11-12 16:00:00,0.23,41
2024-11-12 17:00:00,0.251,169
2024-11-12 18:00:00,0.237,62
2024-11-12 19:00:00,0.236,43
2024-11-12 20:00:00,0.234,43
2024-11-12 21:00:00,0.23,36
2024-11-12 22:00:00,0.234,33
2024-11-12 23:00:00,0.234,43
2024-11-13 00:00:00,0.233,34
2024-11-13 01:00:00,0.234,17
2024-11-13 02:00:00,0.234,16
2024-11-13 03:00:00,0.233,15
2024-11-13 04:00:00,0.233,22
2024-11-13 05:00:00,0.233,8
2024-11-13 06:00:00,0.234,7
2024-11-13 07:00:00,0.235,36
2024-11-13 08:00:00,0.234,68
2024-11-13 09:00:00,0.234,64
2024-11-13 10:00:00,0.233,92
2024-11-13 11:00:00,0.235,76
2024-11-13 12:00:00,0.244,102
2024-11-13 13:00:00,0.232,83
2024-11-13 14:00:00,0.223,62
2024-11-13 15:00:00,0.223,66
2024-11-13 16:00:00,0.223,41
2024-11-13 17:00:00,0.223,81
2024-11-13 18:00:00,0.223,125
2024-11-13 19:00:00,0.23,71
2024-11-13 20:00:00,0.234,52
2024-11-13 21:00:00,0.227,30
2024-11-13 22:00:00,0.231,68
2024-11-13 23:00:00,0.22,45
2024-11-14 00:00:00,0.226,22
2024-11-14 01:00:00,0.228,15
2024-11-14 02:00:00,0.23,24
2024-11-14 03:00:00,0.228,7
2024-11-14 04:00:00,0.218,8
2024-11-14 05:00:00,0.23,20
2024-11-14 06:00:00,0.222,17
2024-11-14 07:00:00,0.23,27
2024-11-14 08:00:00,0.231,28
2024-11-14 09:00:00,0.223,59
2024-11-14 10:00:00,0.223,65
2024-11-14 11:00:00,0.226,134
2024-11-14 12:00:00,0.224,54
2024-11-14 13:00:00,0.223,279
2024-11-14 14:00:00,0.224,69
2024-11-14 15:00:00,0.23,78
2024-11-14 16:00:00,0.223,58
2024-11-14 17:00:00,0.223,92
2024-11-14 18:00:00,0.223,42
2024-11-14 19:00:00,0.23,132
2024-11-14 20:00:00,0.229,49
2024-11-14 21:00:00,0.23,60
2024-11-14 22:00:00,0.23,56
2024-11-14 23:00:00,0.23,39
2024-11-15 00:00:00,0.231,26
2024-11-15 01:00:00,0.233,23
2024-11-15 02:00:00,0.222,26
2024-11-15 03:00:00,0.232,26
2024-11-15 04:00:00,0.24,13
2024-11-15 05:00:00,0.222,11
2024-11-15 06:00:00,0.107,32
2024-11-15 07:00:00,0.222,10
2024-11-15 08:00:00,0.237,7
2024-11-15 09:00:00,0.222,50
2024-11-15 10:00:00,0.22,48
2024-11-15 11:00:00,0.224,50
2024-11-15 12:00:00,0.22,61
2024-11-15 13:00:00,0.222,72
2024-11-15 14:00:00,0.228,21
2024-11-15 15:00:00,0.228,84
2024-11-15 16:00:00,0.22,57
2024-11-15 17:00:00,0.22,53
2024-11-15 18:00:00,0.226,69
2024-11-15 19:00:00,0.21,30
2024-11-15 20:00:00,0.222,57
2024-11-15 21:00:00,0.222,68
2024-11-15 22:00:00,0.221,136
2024-11-15 23:00:00,0.235,42
2024-11-16 00:00:00,0.23,20
2024-11-16 01:00:00,0.229,28
2024-11-16 02:00:00,0.23,22
2024-11-16 03:00:00,0.24,39
2024-11-16 04:00:00,0.242,16
2024-11-16 05:00:00,0.236,6
2024-11-16 06:00:00,0.25,50
2024-11-16 07:00:00,0.242,43
2024-11-16 08:00:00,0.242,25
2024-11-16 09:00:00,0.242,71
2024-11-16 10:00:00,0.242,58
2024-11-16 11:00:00,0.23,51
2024-11-16 12:00:00,0.242,119
2024-11-16 13:00:00,0.23,36
2024-11-16 14:00:00,0.236,40
2024-11-16 15:00:00,0.232,45
2024-11-16 16:00:00,0.241,32
2024-11-16 17:00:00,0.23,36
2024-11-16 18:00:00,0.23,33
2024-11-16 19:00:00,0.23,41
2024-11-16 20:00:00,0.25,214
2024-11-16 21:00:00,0.249,27
2024-11-16 22:00:00,0.24,26
2024-11-16 23:00:00,0.234,28
2024-11-17 00:00:00,0.25,55
2024-11-17 01:00:00,0.274,19
2024-11-17 02:00:00,0.266,12
2024-11-17 03:00:00,0.242,9
2024-11-17 04:00:00,0.248,9
2024-11-17 05:00:00,0.271,25
2024-11-17 06:00:00,0.252,9
2024-11-17 07:00:00,0.253,21
2024-11-17 08:00:00,0.261,17
2024-11-17 09:00:00,0.221,40
2024-11-17 10:00:00,0.221,78
2024-11-17 11:00:00,0.23,44
2024-11-17 12:00:00,0.224,53
2024-11-17 13:00:00,0.232,90
2024-11-17 14:00:00,0.232,55
2024-11-17 15:00:00,0.231,50
2024-11-17 16:00:00,0.23,32
2024-11-17 17:00:00,0.238,52
2024-11-17 18:00:00,0.23,54
2024-11-17 19:00:00,0.24,60
2024-11-17 20:00:00,0.225,27
2024-11-17 21:00:00,0.219,52
2024-11-17 22:00:00,0.221,38
2024-11-17 23:00:00,0.226,35
2024-11-18 00:00:00,0.221,38
2024-11-18 01:00:00,0.23,33
2024-11-18 02:00:00,0.23,5
2024-11-18 03:00:00,0.226,26
2024-11-18 04:00:00,0.229,6
2024-11-18 05:00:00,0.23,13
2024-11-18 06:00:00,0.225,11
2024-11-18 07:00:00,0.222,12
2024-11-18 08:00:00,0.228,9
2024-11-18 09:00:00,0.224,45
2024-11-18 10:00:00,0.224,30
2024-11-18 11:00:00,0.22,42
2024-11-18 12:00:00,0.221,25
2024-11-18 13:00:00,0.224,58
2024-11-18 14:00:00,0.224,59
2024-11-18 15:00:00,0.224,42
2024-11-18 16:00:00,0.221,135
2024-11-18 17:00:00,0.23,68
2024-11-18 18:00:00,0.23,54
2024-11-18 19:00:00,0.234,81
2024-11-18 20:00:00,0.234,64
2024-11-18 21:00:00,0.23,32
2024-11-18 22:00:00,0.232,34
2024-11-18 23:00:00,0.233,26
2024-11-19 00:00:00,0.23,24
2024-11-19 01:00:00,0.24,23
2024-11-19 02:00:00,0.23,18
2024-11-19 03:00:00,0.238,16
2024-11-19 04:00:00,0.233,21
2024-11-19 05:00:00,0.229,8
2024-11-19 06:00:00,0.235,16
2024-11-19 07:00:00,0.234,29
2024-11-19 08:00:00,0.23,18
2024-11-19 09:00:00,0.23,44
2024-11-19 10:00:00,0.228,35
2024-11-19 11:00:00,0.223,28
2024-11-19 12:00:00,0.223,28
2024-11-19 13:00:00,0.222,107
2024-11-19 14:00:00,0.222,39
2024-11-19 15:00:00,0.22,25
2024-11-19 16:00:00,0.22,44
2024-11-19 17:00:00,0.223,51
2024-11-19 18:00:00,0.222,58
2024-11-19 19:00:00,0.223,51
2024-11-19 20:00:00,0.222,66
2024-11-19 21:00:00,0.222,65
2024-11-19 22:00:00,0.23,84
2024-11-19 23:00:00,0.222,26
2024-11-20 00:00:00,0.222,17
2024-11-20 01:00:00,0.236,18
2024-11-20 02:00:00,0.221,11
2024-11-20 03:00:00,0.225,11
2024-11-20 04:00:00,0.221,11
2024-11-20 05:00:00,0.225,16
2024-11-20 06:00:00,0.225,21
2024-11-20 07:00:00,0.235,21
2024-11-20 08:00:00,0.235,15
2024-11-20 09:00:00,0.222,28
2024-11-20 10:00:00,0.225,32
2024-11-20 11:00:00,0.222,34
2024-11-20 12:00:00,0.221,25
2024-11-20 13:00:00,0.221,42
2024-11-20 14:00:00,0.222,103
2024-11-20 15:00:00,0.222,26
2024-11-20 16:00:00,0.222,49
2024-11-20 17:00:00,0.225,57
2024-11-20 18:00:00,0.227,30
2024-11-20 19:00:00,0.227,65
2024-11-20 20:00:00,0.222,34
2024-11-20 21:00:00,0.221,66
2024-11-20 22:00:00,0.221,32
2024-11-20 23:00:00,0.221,23
2024-11-21 00:00:00,0.228,26
2024-11-21 01:00:00,0.225,23
2024-11-21 02:00:00,0.225,13
2024-11-21 03:00:00,0.229,32
2024-11-21 04:00:00,0.228,9
2024-11-21 05:00:00,0.23,22
2024-11-21 06:00:00,0.24,15
2024-11-21 07:00:00,0.238,14
2024-11-21 08:00:00,0.233,12
2024-11-21 09:00:00,0.221,17
2024-11-21 10:00:00,0.226,38
2024-11-21 11:00:00,0.226,30
2024-11-21 12:00:00,0.221,65
2024-11-21 13:00:00,0.221,33
2024-11-21 14:00:00,0.221,50
2024-11-21 15:00:00,0.221,32
2024-11-21 16:00:00,0.227,56
2024-11-21 17:00:00,0.221,34
2024-11-21 18:00:00,0.23,76
2024-11-21 19:00:00,0.23,111
2024-11-21 20:00:00,0.221,43
2024-11-21 21:00:00,0.223,46
2024-11-21 22:00:00,0.222,38
2024-11-21 23:00:00,0.253,174
2024-11-22 00:00:00,0.222,20
2024-11-22 01:00:00,0.223,10
2024-11-22 02:00:00,0.228,18
2024-11-22 03:00:00,0.237,19
2024-11-22 04:00:00,0.222,7
2024-11-22 05:00:00,0.23,48
2024-11-22 06:00:00,0.23,22
2024-11-22 07:00:00,0.23,13
2024-11-22 08:00:00,0.236,9
2024-11-22 09:00:00,0.222,17
2024-11-22 10:00:00,0.228,26
2024-11-22 11:00:00,0.228,27
2024-11-22 12:00:00,0.228,67
2024-11-22 13:00:00,0.23,90
2024-11-22 14:00:00,0.23,44
2024-11-22 15:00:00,0.226,18
2024-11-22 16:00:00,0.225,50
2024-11-22 17:00:00,0.24,71
2024-11-22 18:00:00,0.24,25
2024-11-22 19:00:00,0.24,34
2024-11-22 20:00:00,0.24,34
2024-11-22 21:00:00,0.242,38
2024-11-22 22:00:00,0.24,34
2024-11-22 23:00:00,0.239,16
2024-11-23 00:00:00,0.24,14
2024-11-23 01:00:00,0.23,14
2024-11-23 02:00:00,0.234,10
2024-11-23 03:00:00,0.234,38
2024-11-23 04:00:00,0.234,31
2024-11-23 05:00:00,0.2,4
2024-11-23 06:00:00,0.239,31
2024-11-23 07:00:00,0.24,22
2024-11-23 08:00:00,0.234,22
2024-11-23 09:00:00,0.231,34
2024-11-23 10:00:00,0.236,88
2024-11-23 11:00:00,0.236,58
2024-11-23 12:00:00,0.239,110
2024-11-23 13:00:00,0.24,42
2024-11-23 14:00:00,0.239,52
2024-11-23 15:00:00,0.241,59
2024-11-23 16:00:00,0.249,40
2024-11-23 17:00:00,0.238,29
2024-11-23 18:00:00,0.241,47
2024-11-23 19:00:00,0.241,40
2024-11-23 20:00:00,0.241,26
