date,price,volume
2022-05-04 01:00:00,0.124,250
2022-05-05 01:00:00,0.098,143
2022-05-06 01:00:00,0.095,95
2022-05-07 01:00:00,0.084,92
2022-05-08 01:00:00,0.083,86
2022-05-09 01:00:00,0.078,92
2022-05-10 01:00:00,0.083,64
2022-05-11 01:00:00,0.089,90
2022-05-12 01:00:00,0.081,114
2022-05-13 01:00:00,0.073,93
2022-05-14 01:00:00,0.073,88
2022-05-15 01:00:00,0.068,85
2022-05-16 01:00:00,0.064,60
2022-05-17 01:00:00,0.066,77
2022-05-18 01:00:00,0.074,62
2022-05-19 01:00:00,0.074,32
2022-05-20 01:00:00,0.06,62
2022-05-21 01:00:00,0.063,45
2022-05-22 01:00:00,0.061,62
2022-05-23 01:00:00,0.062,38
2022-05-24 01:00:00,0.06,57
2022-05-25 01:00:00,0.077,39
2022-05-26 01:00:00,0.073,40
2022-05-27 01:00:00,0.079,44
2022-05-28 01:00:00,0.077,29
2022-05-29 01:00:00,0.073,35
2022-05-30 01:00:00,0.075,26
2022-05-31 01:00:00,0.067,25
2022-06-01 01:00:00,0.077,34
2022-06-02 01:00:00,0.064,149
2022-06-03 01:00:00,0.03,665
2022-06-04 01:00:00,0.03,460
2022-06-05 01:00:00,0.03,409
2022-06-06 01:00:00,0.03,401
2022-06-07 01:00:00,0.032,289
2022-06-08 01:00:00,0.032,292
2022-06-09 01:00:00,0.03,263
2022-06-10 01:00:00,0.03,247
2022-06-11 01:00:00,0.03,268
2022-06-12 01:00:00,0.03,294
2022-06-13 01:00:00,0.03,246
2022-06-14 01:00:00,0.03,203
2022-06-15 01:00:00,0.03,318
2022-06-16 01:00:00,0.03,266
2022-06-17 01:00:00,0.03,247
2022-06-18 01:00:00,0.03,358
2022-06-19 01:00:00,0.03,291
2022-06-20 01:00:00,0.03,299
2022-06-21 01:00:00,0.03,256
2022-06-22 01:00:00,0.03,290
2022-06-23 01:00:00,0.03,168
2022-06-24 01:00:00,0.03,201
2022-06-25 01:00:00,0.03,244
2022-06-26 01:00:00,0.03,231
2022-06-27 01:00:00,0.03,249
2022-06-28 01:00:00,0.03,172
2022-06-29 01:00:00,0.03,174
2022-06-30 01:00:00,0.03,160
2022-07-01 01:00:00,0.03,260
2022-07-02 01:00:00,0.03,241
2022-07-03 01:00:00,0.03,225
2022-07-04 01:00:00,0.03,191
2022-07-05 01:00:00,0.03,223
2022-07-06 01:00:00,0.03,370
2022-07-07 01:00:00,0.03,172
2022-07-08 01:00:00,0.03,198
2022-07-09 01:00:00,0.03,407
2022-07-10 01:00:00,0.03,219
2022-07-11 01:00:00,0.03,221
2022-07-12 01:00:00,0.03,144
2022-07-13 01:00:00,0.03,108
2022-07-14 01:00:00,0.03,259
2022-07-15 01:00:00,0.03,162
2022-07-16 01:00:00,0.03,109
2022-07-17 01:00:00,0.03,163
2022-07-18 01:00:00,0.03,335
2022-07-19 01:00:00,0.03,264
2022-07-20 01:00:00,0.03,151
2022-07-21 01:00:00,0.03,790
2022-07-22 01:00:00,0.03,413
2022-07-23 01:00:00,0.03,213
2022-07-24 01:00:00,0.03,294
2022-07-25 01:00:00,0.03,264
2022-07-26 01:00:00,0.03,192
2022-07-27 01:00:00,0.03,325
2022-07-28 01:00:00,0.03,251
2022-07-29 01:00:00,0.03,178
2022-07-30 01:00:00,0.03,179
2022-07-31 01:00:00,0.03,210
2022-08-01 01:00:00,0.03,296
2022-08-02 01:00:00,0.03,282
2022-08-03 01:00:00,0.03,207
2022-08-04 01:00:00,0.03,245
2022-08-05 01:00:00,0.03,270
2022-08-06 01:00:00,0.03,218
2022-08-07 01:00:00,0.03,279
2022-08-08 01:00:00,0.03,192
2022-08-09 01:00:00,0.03,95
2022-08-10 01:00:00,0.03,222
2022-08-11 01:00:00,0.03,176
2022-08-12 01:00:00,0.03,193
2022-08-13 01:00:00,0.03,509
2022-08-14 01:00:00,0.03,152
2022-08-15 01:00:00,0.03,191
2022-08-16 01:00:00,0.03,196
2022-08-17 01:00:00,0.03,275
2022-08-18 01:00:00,0.03,384
2022-08-19 01:00:00,0.03,104
2022-08-20 01:00:00,0.03,75
2022-08-21 01:00:00,0.03,119
2022-08-22 01:00:00,0.03,77
2022-08-23 01:00:00,0.03,95
2022-08-24 01:00:00,0.03,175
2022-08-25 01:00:00,0.03,100
2022-08-26 01:00:00,0.03,73
2022-08-27 01:00:00,0.03,141
2022-08-28 01:00:00,0.03,94
2022-08-29 01:00:00,0.03,111
2022-08-30 01:00:00,0.03,60
2022-08-31 01:00:00,0.03,136
2022-09-01 01:00:00,0.03,97
2022-09-02 01:00:00,0.03,66
2022-09-03 01:00:00,0.03,162
2022-09-04 01:00:00,0.03,84
2022-09-05 01:00:00,0.03,46
2022-09-06 01:00:00,0.03,82
2022-09-07 01:00:00,0.03,38
2022-09-08 01:00:00,0.03,43
2022-09-09 01:00:00,0.03,62
2022-09-10 01:00:00,0.03,146
2022-09-11 01:00:00,0.03,83
2022-09-12 01:00:00,0.03,292
2022-09-13 01:00:00,0.03,125
2022-09-14 01:00:00,0.03,104
2022-09-15 01:00:00,0.03,109
2022-09-16 01:00:00,0.03,91
2022-09-17 01:00:00,0.03,105
2022-09-18 01:00:00,0.03,62
2022-09-19 01:00:00,0.03,76
2022-09-20 01:00:00,0.03,64
2022-09-21 01:00:00,0.03,109
2022-09-22 01:00:00,0.03,101
2022-09-23 01:00:00,0.03,163
2022-09-24 01:00:00,0.03,103
2022-09-25 01:00:00,0.03,97
2022-09-26 01:00:00,0.03,88
2022-09-27 01:00:00,0.03,133
2022-09-28 01:00:00,0.03,64
2022-09-29 01:00:00,0.03,79
2022-09-30 01:00:00,0.03,195
2022-10-01 01:00:00,0.03,489
2022-10-02 01:00:00,0.03,105
2022-10-03 01:00:00,0.03,117
2022-10-04 01:00:00,0.03,147
2022-10-05 01:00:00,0.03,138
2022-10-06 01:00:00,0.03,95
2022-10-07 01:00:00,0.03,292
2022-10-08 01:00:00,0.03,104
2022-10-09 01:00:00,0.03,142
2022-10-10 01:00:00,0.03,140
2022-10-11 01:00:00,0.03,95
2022-10-12 01:00:00,0.03,87
2022-10-13 01:00:00,0.03,148
2022-10-14 01:00:00,0.03,66
2022-10-15 01:00:00,0.03,133
2022-10-16 01:00:00,0.03,300
2022-10-17 01:00:00,0.03,84
2022-10-18 01:00:00,0.03,111
2022-10-19 01:00:00,0.03,96
2022-10-20 01:00:00,0.03,130
2022-10-21 01:00:00,0.03,140
2022-10-22 01:00:00,0.03,127
2022-10-23 01:00:00,0.03,141
2022-10-24 01:00:00,0.03,160
2022-10-25 01:00:00,0.03,57
2022-10-26 01:00:00,0.03,108
2022-10-27 01:00:00,0.03,53
2022-10-28 01:00:00,0.03,43
2022-10-29 01:00:00,0.03,71
2022-10-30 01:00:00,0.03,79
2022-10-31 01:00:00,0.03,66
2022-11-01 01:00:00,0.03,221
2022-11-02 01:00:00,0.03,74
2022-11-03 01:00:00,0.03,169
2022-11-04 01:00:00,0.03,71
2022-11-05 01:00:00,0.03,102
2022-11-06 01:00:00,0.03,87
2022-11-07 01:00:00,0.03,77
2022-11-08 01:00:00,0.03,58
2022-11-09 01:00:00,0.03,114
2022-11-10 01:00:00,0.03,77
2022-11-11 01:00:00,0.03,84
2022-11-12 01:00:00,0.03,244
2022-11-13 01:00:00,0.03,118
2022-11-14 01:00:00,0.03,66
2022-11-15 01:00:00,0.03,132
2022-11-16 01:00:00,0.03,48
2022-11-17 01:00:00,0.03,97
2022-11-18 01:00:00,0.03,103
2022-11-19 01:00:00,0.03,87
2022-11-20 01:00:00,0.03,105
2022-11-21 01:00:00,0.03,68
2022-11-22 01:00:00,0.03,134
2022-11-23 01:00:00,0.03,86
2022-11-24 01:00:00,0.03,68
2022-11-25 01:00:00,0.03,44
2022-11-26 01:00:00,0.03,53
2022-11-27 01:00:00,0.03,97
2022-11-28 01:00:00,0.03,191
2022-11-29 01:00:00,0.03,62
2022-11-30 01:00:00,0.03,25
2022-12-01 01:00:00,0.03,33
2022-12-02 01:00:00,0.03,185
2022-12-03 01:00:00,0.03,46
2022-12-04 01:00:00,0.03,60
2022-12-05 01:00:00,0.03,55
2022-12-06 01:00:00,0.03,64
2022-12-07 01:00:00,0.03,71
2022-12-08 01:00:00,0.03,70
2022-12-09 01:00:00,0.03,52
2022-12-10 01:00:00,0.03,51
2022-12-11 01:00:00,0.03,71
2022-12-12 01:00:00,0.03,88
2022-12-13 01:00:00,0.03,85
2022-12-14 01:00:00,0.03,70
