date,price,volume
2022-08-16 01:00:00,1.989,1197
2022-08-17 01:00:00,2.801,8268
2022-08-18 01:00:00,3.286,3804
2022-08-19 01:00:00,3.184,2716
2022-08-20 01:00:00,3.592,2022
2022-08-21 01:00:00,3.603,1879
2022-08-22 01:00:00,3.601,1435
2022-08-23 01:00:00,3.758,1084
2022-08-24 01:00:00,3.223,1291
2022-08-25 01:00:00,3.11,1158
2022-08-26 01:00:00,3.035,968
2022-08-27 01:00:00,3.215,907
2022-08-28 01:00:00,3.323,824
2022-08-29 01:00:00,3.341,672
2022-08-30 01:00:00,3.229,628
2022-08-31 01:00:00,3.269,619
2022-09-01 01:00:00,3.277,628
2022-09-02 01:00:00,3.189,564
2022-09-03 01:00:00,3.122,612
2022-09-04 01:00:00,3.16,534
2022-09-05 01:00:00,3.196,515
2022-09-06 01:00:00,3.165,432
2022-09-07 01:00:00,3.117,425
2022-09-08 01:00:00,2.924,424
2022-09-09 01:00:00,3.172,476
2022-09-10 01:00:00,3.241,479
2022-09-11 01:00:00,3.452,502
2022-09-12 01:00:00,3.465,369
2022-09-13 01:00:00,3.445,379
2022-09-14 01:00:00,3.225,369
2022-09-15 01:00:00,3.214,371
2022-09-16 01:00:00,3.22,410
2022-09-17 01:00:00,3.265,433
2022-09-18 01:00:00,3.34,384
2022-09-19 01:00:00,3.247,337
2022-09-20 01:00:00,3.224,272
2022-09-21 01:00:00,3.026,298
2022-09-22 01:00:00,3.016,301
2022-09-23 01:00:00,3.067,316
2022-09-24 01:00:00,3.171,333
2022-09-25 01:00:00,3.198,313
2022-09-26 01:00:00,3.185,239
2022-09-27 01:00:00,3.038,227
2022-09-28 01:00:00,3.085,265
2022-09-29 01:00:00,3.012,282
2022-09-30 01:00:00,3.061,275
2022-10-01 01:00:00,3.133,308
2022-10-02 01:00:00,3.12,273
2022-10-03 01:00:00,3.176,254
2022-10-04 01:00:00,3.237,251
2022-10-05 01:00:00,3.243,225
2022-10-06 01:00:00,3.202,225
2022-10-07 01:00:00,3.223,243
2022-10-08 01:00:00,3.276,265
2022-10-09 01:00:00,3.348,264
2022-10-10 01:00:00,3.458,264
2022-10-11 01:00:00,3.451,231
2022-10-12 01:00:00,3.329,204
2022-10-13 01:00:00,3.304,284
2022-10-14 01:00:00,3.191,262
2022-10-15 01:00:00,3.344,412
2022-10-16 01:00:00,3.378,263
2022-10-17 01:00:00,3.319,204
2022-10-18 01:00:00,3.23,218
2022-10-19 01:00:00,3.221,216
2022-10-20 01:00:00,3.295,224
2022-10-21 01:00:00,3.348,259
2022-10-22 01:00:00,3.071,290
2022-10-23 01:00:00,3.033,183
2022-10-24 01:00:00,3.101,134
2022-10-25 01:00:00,3.089,108
2022-10-26 01:00:00,3.123,139
2022-10-27 01:00:00,3.068,145
2022-10-28 01:00:00,3.009,139
2022-10-29 01:00:00,3.105,127
2022-10-30 01:00:00,3.146,142
2022-10-31 01:00:00,3.186,122
2022-11-01 01:00:00,3.183,125
2022-11-02 01:00:00,3.217,122
2022-11-03 01:00:00,3.462,105
2022-11-04 01:00:00,3.4,138
2022-11-05 01:00:00,3.563,137
2022-11-06 01:00:00,3.604,132
2022-11-07 01:00:00,3.644,130
2022-11-08 01:00:00,3.854,180
2022-11-09 01:00:00,4.033,129
2022-11-10 01:00:00,4.038,134
2022-11-11 01:00:00,4.033,406
2022-11-12 01:00:00,4.074,241
2022-11-13 01:00:00,3.753,201
2022-11-14 01:00:00,3.54,229
2022-11-15 01:00:00,3.32,158
2022-11-16 01:00:00,3.258,166
2022-11-17 01:00:00,3.326,124
2022-11-18 01:00:00,3.309,141
2022-11-19 01:00:00,3.241,167
2022-11-20 01:00:00,3.09,123
2022-11-21 01:00:00,3.171,146
2022-11-22 01:00:00,3.086,116
2022-11-23 01:00:00,2.929,132
2022-11-24 01:00:00,3.152,133
2022-11-25 01:00:00,3.064,128
2022-11-26 01:00:00,3.05,131
2022-11-27 01:00:00,3.108,124
2022-11-28 01:00:00,3.138,104
2022-11-29 01:00:00,3.081,118
2022-11-30 01:00:00,3.182,100
2022-12-01 01:00:00,3.358,110
2022-12-02 01:00:00,3.517,112
2022-12-03 01:00:00,3.494,135
2022-12-04 01:00:00,3.605,123
2022-12-05 01:00:00,3.364,124
2022-12-06 01:00:00,3.588,113
2022-12-07 01:00:00,3.554,109
2022-12-08 01:00:00,3.503,97
2022-12-09 01:00:00,3.544,78
2022-12-10 01:00:00,3.601,106
2022-12-11 01:00:00,3.733,105
2022-12-12 01:00:00,3.506,84
2022-12-13 01:00:00,3.57,92
2022-12-14 01:00:00,3.336,101
2022-12-15 01:00:00,3.513,71
2022-12-16 01:00:00,3.518,146
2022-12-17 01:00:00,3.253,93
2022-12-18 01:00:00,3.529,107
2022-12-19 01:00:00,3.496,85
2022-12-20 01:00:00,3.408,73
2022-12-21 01:00:00,3.563,89
2022-12-22 01:00:00,3.414,94
2022-12-23 01:00:00,3.581,106
2022-12-24 01:00:00,3.635,102
2022-12-25 01:00:00,3.629,110
2022-12-26 01:00:00,3.582,81
2022-12-27 01:00:00,3.66,86
2022-12-28 01:00:00,3.683,103
2022-12-29 01:00:00,3.628,104
2022-12-30 01:00:00,3.633,89
2022-12-31 01:00:00,3.83,102
2023-01-01 01:00:00,3.647,106
2023-01-02 01:00:00,3.731,107
2023-01-03 01:00:00,3.614,70
2023-01-04 01:00:00,3.675,104
2023-01-05 01:00:00,3.762,108
2023-01-06 01:00:00,3.774,101
2023-01-07 01:00:00,3.901,111
2023-01-08 01:00:00,3.888,104
2023-01-09 01:00:00,3.858,82
