date,price,volume
2021-09-09 01:00:00,0.093,530
2021-09-10 01:00:00,0.072,7555
2021-09-11 01:00:00,0.068,3294
2021-09-12 01:00:00,0.068,2164
2021-09-13 01:00:00,0.063,1489
2021-09-14 01:00:00,0.059,1422
2021-09-15 01:00:00,0.059,1107
2021-09-16 01:00:00,0.058,1170
2021-09-17 01:00:00,0.055,1374
2021-09-18 01:00:00,0.053,1605
2021-09-19 01:00:00,0.053,1666
2021-09-20 01:00:00,0.057,777
2021-09-21 01:00:00,0.056,676
2021-09-22 01:00:00,0.041,1098
2021-09-23 01:00:00,0.044,760
2021-09-24 01:00:00,0.047,492
2021-09-25 01:00:00,0.05,567
2021-09-26 01:00:00,0.045,403
2021-09-27 01:00:00,0.045,480
2021-09-28 01:00:00,0.043,304
2021-09-29 01:00:00,0.04,474
2021-09-30 01:00:00,0.043,358
2021-10-01 01:00:00,0.047,265
2021-10-02 01:00:00,0.041,371
2021-10-03 01:00:00,0.047,394
2021-10-04 01:00:00,0.043,323
2021-10-05 01:00:00,0.043,342
2021-10-06 01:00:00,0.043,463
2021-10-07 01:00:00,0.045,219
2021-10-08 01:00:00,0.045,308
2021-10-09 01:00:00,0.04,263
2021-10-10 01:00:00,0.044,256
2021-10-11 01:00:00,0.042,187
2021-10-12 01:00:00,0.044,232
2021-10-13 01:00:00,0.047,211
2021-10-14 01:00:00,0.042,276
2021-10-15 01:00:00,0.045,280
2021-10-16 01:00:00,0.043,248
2021-10-17 01:00:00,0.047,326
2021-10-18 01:00:00,0.047,176
2021-10-19 01:00:00,0.042,198
2021-10-20 01:00:00,0.045,185
2021-10-21 01:00:00,0.045,178
2021-10-22 01:00:00,0.035,307
2021-10-23 01:00:00,0.04,254
2021-10-24 01:00:00,0.041,226
2021-10-25 01:00:00,0.04,159
2021-10-26 01:00:00,0.039,151
2021-10-27 01:00:00,0.037,166
2021-10-28 01:00:00,0.038,156
2021-10-29 01:00:00,0.039,164
2021-10-30 01:00:00,0.039,195
2021-10-31 01:00:00,0.036,180
2021-11-01 01:00:00,0.038,180
2021-11-02 01:00:00,0.04,135
2021-11-03 01:00:00,0.038,205
2021-11-04 01:00:00,0.038,226
2021-11-05 01:00:00,0.038,211
2021-11-06 01:00:00,0.041,229
2021-11-07 01:00:00,0.038,238
2021-11-08 01:00:00,0.041,217
2021-11-09 01:00:00,0.042,199
2021-11-10 01:00:00,0.037,262
2021-11-11 01:00:00,0.04,179
2021-11-12 01:00:00,0.043,186
2021-11-13 01:00:00,0.042,188
2021-11-14 01:00:00,0.047,147
2021-11-15 01:00:00,0.045,118
2021-11-16 01:00:00,0.049,123
2021-11-17 01:00:00,0.042,92
2021-11-18 01:00:00,0.049,127
2021-11-19 01:00:00,0.045,135
2021-11-20 01:00:00,0.044,85
2021-11-21 01:00:00,0.048,102
2021-11-22 01:00:00,0.047,101
2021-11-23 01:00:00,0.044,82
2021-11-24 01:00:00,0.041,64
2021-11-25 01:00:00,0.043,87
2021-11-26 01:00:00,0.047,93
2021-11-27 01:00:00,0.043,130
2021-11-28 01:00:00,0.039,115
2021-11-29 01:00:00,0.045,90
2021-11-30 01:00:00,0.041,110
2021-12-01 01:00:00,0.037,108
2021-12-02 01:00:00,0.034,89
2021-12-03 01:00:00,0.037,75
2021-12-04 01:00:00,0.04,71
2021-12-05 01:00:00,0.038,96
2021-12-06 01:00:00,0.036,69
2021-12-07 01:00:00,0.034,84
2021-12-08 01:00:00,0.04,94
2021-12-09 01:00:00,0.039,99
2021-12-10 01:00:00,0.045,98
2021-12-11 01:00:00,0.043,95
2021-12-12 01:00:00,0.042,120
2021-12-13 01:00:00,0.043,82
2021-12-14 01:00:00,0.045,61
2021-12-15 01:00:00,0.038,60
2021-12-16 01:00:00,0.041,83
2021-12-17 01:00:00,0.042,67
2021-12-18 01:00:00,0.043,100
2021-12-19 01:00:00,0.041,57
2021-12-20 01:00:00,0.044,90
2021-12-21 01:00:00,0.042,97
2021-12-22 01:00:00,0.043,55
2021-12-23 01:00:00,0.045,96
2021-12-24 01:00:00,0.042,85
2021-12-25 01:00:00,0.039,60
2021-12-26 01:00:00,0.038,74
2021-12-27 01:00:00,0.042,132
2021-12-28 01:00:00,0.048,117
2021-12-29 01:00:00,0.041,139
2021-12-30 01:00:00,0.044,79
2021-12-31 01:00:00,0.045,108
2022-01-01 01:00:00,0.047,98
2022-01-02 01:00:00,0.05,89
2022-01-03 01:00:00,0.047,87
2022-01-04 01:00:00,0.045,81
2022-01-05 01:00:00,0.043,77
2022-01-06 01:00:00,0.047,146
2022-01-07 01:00:00,0.045,119
2022-01-08 01:00:00,0.044,105
2022-01-09 01:00:00,0.048,154
2022-01-10 01:00:00,0.049,98
2022-01-11 01:00:00,0.05,104
2022-01-12 01:00:00,0.053,93
2022-01-13 01:00:00,0.052,66
2022-01-14 01:00:00,0.045,96
2022-01-15 01:00:00,0.044,91
2022-01-16 01:00:00,0.053,95
2022-01-17 01:00:00,0.05,364
2022-01-18 01:00:00,0.076,1287
2022-01-19 01:00:00,0.072,96
2022-01-20 01:00:00,0.073,85
2022-01-21 01:00:00,0.062,104
2022-01-22 01:00:00,0.063,115
2022-01-23 01:00:00,0.07,138
2022-01-24 01:00:00,0.065,80
2022-01-25 01:00:00,0.064,180
2022-01-26 01:00:00,0.067,107
2022-01-27 01:00:00,0.06,146
2022-01-28 01:00:00,0.051,124
2022-01-29 01:00:00,0.044,180
2022-01-30 01:00:00,0.044,163
2022-01-31 01:00:00,0.043,122
2022-02-01 01:00:00,0.037,154
2022-02-02 01:00:00,0.044,585
2022-02-03 01:00:00,0.048,164
2022-02-04 01:00:00,0.052,144
2022-02-05 01:00:00,0.053,146
2022-02-06 01:00:00,0.058,115
2022-02-07 01:00:00,0.052,83
2022-02-08 01:00:00,0.05,127
2022-02-09 01:00:00,0.05,176
2022-02-10 01:00:00,0.049,155
2022-02-11 01:00:00,0.049,171
2022-02-12 01:00:00,0.049,151
2022-02-13 01:00:00,0.05,140
2022-02-14 01:00:00,0.052,201
2022-02-15 01:00:00,0.061,273
2022-02-16 01:00:00,0.056,125
2022-02-17 01:00:00,0.054,148
2022-02-18 01:00:00,0.059,127
2022-02-19 01:00:00,0.056,137
2022-02-20 01:00:00,0.052,148
2022-02-21 01:00:00,0.052,122
2022-02-22 01:00:00,0.068,381
2022-02-23 01:00:00,0.073,156
2022-02-24 01:00:00,0.078,137
2022-02-25 01:00:00,0.077,128
2022-02-26 01:00:00,0.072,161
2022-02-27 01:00:00,0.073,149
2022-02-28 01:00:00,0.058,101
2022-03-01 01:00:00,0.052,133
2022-03-02 01:00:00,0.059,109
2022-03-03 01:00:00,0.053,129
2022-03-04 01:00:00,0.052,103
2022-03-05 01:00:00,0.054,139
2022-03-06 01:00:00,0.051,146
2022-03-07 01:00:00,0.05,108
2022-03-08 01:00:00,0.046,143
2022-03-09 01:00:00,0.051,154
2022-03-10 01:00:00,0.044,108
2022-03-11 01:00:00,0.057,120
2022-03-12 01:00:00,0.061,114
2022-03-13 01:00:00,0.061,122
2022-03-14 01:00:00,0.059,93
2022-03-15 01:00:00,0.065,95
2022-03-16 01:00:00,0.063,108
2022-03-17 01:00:00,0.06,115
2022-03-18 01:00:00,0.067,172
2022-03-19 01:00:00,0.066,107
2022-03-20 01:00:00,0.064,175
2022-03-21 01:00:00,0.064,127
2022-03-22 01:00:00,0.069,87
2022-03-23 01:00:00,0.064,82
2022-03-24 01:00:00,0.067,167
2022-03-25 01:00:00,0.073,108
2022-03-26 01:00:00,0.075,112
2022-03-27 01:00:00,0.068,109
2022-03-28 01:00:00,0.071,108
2022-03-29 01:00:00,0.07,142
2022-03-30 01:00:00,0.073,78
2022-03-31 01:00:00,0.071,105
2022-04-01 01:00:00,0.071,100
2022-04-02 01:00:00,0.074,115
2022-04-03 01:00:00,0.077,121
2022-04-04 01:00:00,0.079,90
2022-04-05 01:00:00,0.078,83
2022-04-06 01:00:00,0.075,84
2022-04-07 01:00:00,0.081,123
2022-04-08 01:00:00,0.072,95
2022-04-09 01:00:00,0.071,110
2022-04-10 01:00:00,0.078,118
2022-04-11 01:00:00,0.08,88
2022-04-12 01:00:00,0.077,58
2022-04-13 01:00:00,0.072,104
2022-04-14 01:00:00,0.073,124
2022-04-15 01:00:00,0.067,101
2022-04-16 01:00:00,0.068,110
2022-04-17 01:00:00,0.07,76
2022-04-18 01:00:00,0.067,144
2022-04-19 01:00:00,0.071,120
2022-04-20 01:00:00,0.074,68
2022-04-21 01:00:00,0.065,58
2022-04-22 01:00:00,0.067,81
2022-04-23 01:00:00,0.073,91
2022-04-24 01:00:00,0.073,97
2022-04-25 01:00:00,0.077,128
2022-04-26 01:00:00,0.081,99
2022-04-27 01:00:00,0.078,74
2022-04-28 01:00:00,0.077,162
2022-04-29 01:00:00,0.078,108
2022-04-30 01:00:00,0.072,148
2022-05-01 01:00:00,0.078,90
2022-05-02 01:00:00,0.072,101
2022-05-03 01:00:00,0.076,98
2022-05-04 01:00:00,0.064,135
2022-05-05 01:00:00,0.066,73
2022-05-06 01:00:00,0.065,54
2022-05-07 01:00:00,0.057,70
