date,price,volume
2019-10-18 01:00:00,0.114,3123
2019-10-19 01:00:00,0.105,9142
2019-10-20 01:00:00,0.102,5227
2019-10-21 01:00:00,0.101,3327
2019-10-22 01:00:00,0.095,2644
2019-10-23 01:00:00,0.096,2265
2019-10-24 01:00:00,0.09,2011
2019-10-25 01:00:00,0.089,1839
2019-10-26 01:00:00,0.086,2393
2019-10-27 01:00:00,0.081,2567
2019-10-28 01:00:00,0.08,1529
2019-10-29 01:00:00,0.076,1942
2019-10-30 01:00:00,0.077,1697
2019-10-31 01:00:00,0.075,1646
2019-11-01 01:00:00,0.071,1678
2019-11-02 01:00:00,0.077,2406
2019-11-03 01:00:00,0.079,1969
2019-11-04 01:00:00,0.081,1527
2019-11-05 01:00:00,0.077,1275
2019-11-06 01:00:00,0.078,1203
2019-11-07 01:00:00,0.075,1418
2019-11-08 01:00:00,0.077,1204
2019-11-09 01:00:00,0.077,1443
2019-11-10 01:00:00,0.076,1381
2019-11-11 01:00:00,0.072,1120
2019-11-12 01:00:00,0.075,908
2019-11-13 01:00:00,0.079,790
2019-11-14 01:00:00,0.08,839
2019-11-15 01:00:00,0.081,898
2019-11-16 01:00:00,0.083,1079
2019-11-17 01:00:00,0.083,1089
2019-11-18 01:00:00,0.082,914
2019-11-19 01:00:00,0.063,1592
2019-11-20 01:00:00,0.064,1017
2019-11-21 01:00:00,0.063,829
2019-11-22 01:00:00,0.067,772
2019-11-23 01:00:00,0.08,1783
2019-11-24 01:00:00,0.091,1294
2019-11-25 01:00:00,0.088,490
2019-11-26 01:00:00,0.089,987
2019-11-27 01:00:00,0.089,919
2019-11-28 01:00:00,0.087,545
2019-11-29 01:00:00,0.083,409
2019-11-30 01:00:00,0.083,616
2019-12-01 01:00:00,0.085,511
2019-12-02 01:00:00,0.08,448
2019-12-03 01:00:00,0.08,406
2019-12-04 01:00:00,0.079,460
2019-12-05 01:00:00,0.082,457
2019-12-06 01:00:00,0.081,492
2019-12-07 01:00:00,0.086,439
2019-12-08 01:00:00,0.086,546
2019-12-09 01:00:00,0.091,875
2019-12-10 01:00:00,0.096,341
2019-12-11 01:00:00,0.095,498
2019-12-12 01:00:00,0.097,1501
2019-12-13 01:00:00,0.112,757
2019-12-14 01:00:00,0.109,472
2019-12-15 01:00:00,0.104,424
2019-12-16 01:00:00,0.101,611
2019-12-17 01:00:00,0.095,462
2019-12-18 01:00:00,0.091,605
2019-12-19 01:00:00,0.086,594
2019-12-20 01:00:00,0.085,569
2019-12-21 01:00:00,0.085,624
2019-12-22 01:00:00,0.089,629
2019-12-23 01:00:00,0.089,496
2019-12-24 01:00:00,0.087,425
2019-12-25 01:00:00,0.088,528
2019-12-26 01:00:00,0.083,496
2019-12-27 01:00:00,0.083,669
2019-12-28 01:00:00,0.085,650
2019-12-29 01:00:00,0.083,729
2019-12-30 01:00:00,0.087,604
