date,price,volume
2021-01-28 01:00:00,0.7,60113
2021-01-29 01:00:00,0.751,27414
2021-01-30 01:00:00,0.781,17898
2021-01-31 01:00:00,0.743,13418
2021-02-01 01:00:00,0.711,10597
2021-02-02 01:00:00,0.709,9575
2021-02-03 01:00:00,0.717,10878
2021-02-04 01:00:00,0.73,10276
2021-02-05 01:00:00,0.725,9729
2021-02-06 01:00:00,0.732,9761
2021-02-07 01:00:00,0.702,8592
2021-02-08 01:00:00,0.697,7646
2021-02-09 01:00:00,0.685,7650
2021-02-10 01:00:00,0.685,8326
2021-02-11 01:00:00,0.709,7646
2021-02-12 01:00:00,0.714,7110
2021-02-13 01:00:00,0.696,7705
2021-02-14 01:00:00,0.702,6489
2021-02-15 01:00:00,0.724,5776
2021-02-16 01:00:00,0.753,5465
2021-02-17 01:00:00,0.754,5353
2021-02-18 01:00:00,0.761,5475
2021-02-19 01:00:00,0.781,5680
2021-02-20 01:00:00,0.774,5709
2021-02-21 01:00:00,0.79,6098
2021-02-22 01:00:00,0.842,6383
2021-02-23 01:00:00,0.828,5922
2021-02-24 01:00:00,0.811,6264
2021-02-25 01:00:00,0.8,6218
2021-02-26 01:00:00,0.81,6724
2021-02-27 01:00:00,0.823,7072
2021-02-28 01:00:00,0.829,8861
2021-03-01 01:00:00,0.882,6759
2021-03-02 01:00:00,0.823,6530
2021-03-03 01:00:00,0.807,6928
2021-03-04 01:00:00,0.812,6139
2021-03-05 01:00:00,0.816,6567
2021-03-06 01:00:00,0.798,7195
2021-03-07 01:00:00,0.772,6745
2021-03-08 01:00:00,0.761,6256
2021-03-09 01:00:00,0.755,6171
2021-03-10 01:00:00,0.748,6746
2021-03-11 01:00:00,0.728,6047
2021-03-12 01:00:00,0.738,6562
2021-03-13 01:00:00,0.752,7036
2021-03-14 01:00:00,0.774,6026
2021-03-15 01:00:00,0.797,6330
2021-03-16 01:00:00,0.838,7539
2021-03-17 01:00:00,0.817,8588
2021-03-18 01:00:00,0.8,7302
2021-03-19 01:00:00,0.783,8651
2021-03-20 01:00:00,0.773,7299
2021-03-21 01:00:00,0.773,6481
2021-03-22 01:00:00,0.75,6595
2021-03-23 01:00:00,0.761,6104
2021-03-24 01:00:00,0.768,6015
2021-03-25 01:00:00,0.764,6509
2021-03-26 01:00:00,0.759,6640
2021-03-27 01:00:00,0.751,6230
2021-03-28 01:00:00,0.75,5918
2021-03-29 01:00:00,0.756,5981
2021-03-30 01:00:00,0.758,5374
2021-03-31 01:00:00,0.748,5303
2021-04-01 01:00:00,0.72,4756
2021-04-02 01:00:00,0.696,5426
2021-04-03 01:00:00,0.683,5533
2021-04-04 01:00:00,0.667,4863
2021-04-05 01:00:00,0.671,4865
2021-04-06 01:00:00,0.668,4887
2021-04-07 01:00:00,0.324,120235
2021-04-08 01:00:00,0.241,134782
2021-04-09 01:00:00,0.229,156622
2021-04-10 01:00:00,0.214,126699
2021-04-11 01:00:00,0.199,77281
2021-04-12 01:00:00,0.205,95675
2021-04-13 01:00:00,0.206,105781
2021-04-14 01:00:00,0.221,24125
2021-04-15 01:00:00,0.21,106360
2021-04-16 01:00:00,0.178,90001
2021-04-17 01:00:00,0.17,79576
2021-04-18 01:00:00,0.158,59976
2021-04-19 01:00:00,0.157,65987
2021-04-20 01:00:00,0.169,59673
2021-04-21 01:00:00,0.165,56438
2021-04-22 01:00:00,0.155,54692
2021-04-23 01:00:00,0.155,58768
2021-04-24 01:00:00,0.147,57251
2021-04-25 01:00:00,0.139,49786
2021-04-26 01:00:00,0.142,52829
2021-04-27 01:00:00,0.144,49401
2021-04-28 01:00:00,0.142,47631
2021-04-29 01:00:00,0.152,48888
2021-04-30 01:00:00,0.146,49474
2021-05-01 01:00:00,0.135,41481
2021-05-02 01:00:00,0.129,48896
2021-05-03 01:00:00,0.124,47989
2021-05-04 01:00:00,0.123,62578
2021-05-05 01:00:00,0.116,56185
2021-05-06 01:00:00,0.109,53451
2021-05-07 01:00:00,0.109,49194
2021-05-08 01:00:00,0.112,48363
2021-05-09 01:00:00,0.114,43380
2021-05-10 01:00:00,0.112,42813
2021-05-11 01:00:00,0.114,39196
2021-05-12 01:00:00,0.111,39642
2021-05-13 01:00:00,0.109,41290
2021-05-14 01:00:00,0.107,40478
2021-05-15 01:00:00,0.108,41570
2021-05-16 01:00:00,0.107,33988
2021-05-17 01:00:00,0.107,36345
2021-05-18 01:00:00,0.107,33590
2021-05-19 01:00:00,0.109,33094
2021-05-20 01:00:00,0.105,31666
2021-05-21 01:00:00,0.172,80908
2021-05-22 01:00:00,0.152,31674
2021-05-23 01:00:00,0.15,27430
2021-05-24 01:00:00,0.145,24550
2021-05-25 01:00:00,0.135,25353
2021-05-26 01:00:00,0.133,20944
2021-05-27 01:00:00,0.128,21080
2021-05-28 01:00:00,0.123,23692
2021-05-29 01:00:00,0.124,21231
