date,price,volume
2023-05-05 01:00:00,0.238,382
2023-05-06 01:00:00,0.275,174
2023-05-07 01:00:00,0.257,133
2023-05-08 01:00:00,0.36,103
2023-05-09 01:00:00,0.289,73
2023-05-10 01:00:00,0.254,52
2023-05-11 01:00:00,0.244,36
2023-05-12 01:00:00,0.237,54
2023-05-13 01:00:00,0.266,64
2023-05-14 01:00:00,0.239,72
2023-05-15 01:00:00,0.163,88
2023-05-16 01:00:00,0.147,54
2023-05-17 01:00:00,0.118,49
2023-05-18 01:00:00,0.085,65
2023-05-19 01:00:00,0.072,58
2023-05-20 01:00:00,0.083,76
2023-05-21 01:00:00,0.063,56
2023-05-22 01:00:00,0.071,64
2023-05-23 01:00:00,0.07,50
2023-05-24 01:00:00,0.098,43
2023-05-25 01:00:00,0.078,20
2023-05-26 01:00:00,0.083,27
2023-05-27 01:00:00,0.085,37
2023-05-28 01:00:00,0.082,25
2023-05-29 01:00:00,0.083,28
2023-05-30 01:00:00,0.058,56
2023-05-31 01:00:00,0.061,22
2023-06-01 01:00:00,0.074,25
2023-06-02 01:00:00,0.081,21
2023-06-03 01:00:00,0.083,20
2023-06-04 01:00:00,0.153,56
2023-06-05 01:00:00,0.105,16
2023-06-06 01:00:00,0.11,13
2023-06-07 01:00:00,0.174,32
2023-06-08 01:00:00,0.199,67
2023-06-09 01:00:00,0.223,19
2023-06-10 01:00:00,0.192,9
2023-06-11 01:00:00,0.176,20
2023-06-12 01:00:00,0.128,8
2023-06-13 01:00:00,0.103,19
2023-06-14 01:00:00,0.122,10
2023-06-15 01:00:00,0.125,8
2023-06-16 01:00:00,0.121,7
2023-06-17 01:00:00,0.125,17
2023-06-18 01:00:00,0.117,14
2023-06-19 01:00:00,0.123,9
2023-06-20 01:00:00,0.123,11
2023-06-21 01:00:00,0.111,6
2023-06-22 01:00:00,0.11,15
2023-06-23 01:00:00,0.031,893
2023-06-24 01:00:00,0.033,653
2023-06-25 01:00:00,0.031,728
2023-06-26 01:00:00,0.03,591
2023-06-27 01:00:00,0.037,560
2023-06-28 01:00:00,0.041,554
2023-06-29 01:00:00,0.04,538
2023-06-30 01:00:00,0.03,531
2023-07-01 01:00:00,0.041,630
2023-07-02 01:00:00,0.03,702
2023-07-03 01:00:00,0.03,755
2023-07-04 01:00:00,0.03,681
