date,price,volume
2019-02-07 01:00:00,0.377,384
2019-02-08 01:00:00,0.36,259
2019-02-09 01:00:00,0.396,190
2019-02-10 01:00:00,0.342,131
2019-02-11 01:00:00,0.368,106
2019-02-12 01:00:00,0.375,82
2019-02-13 01:00:00,0.368,110
2019-02-14 01:00:00,0.384,80
2019-02-15 01:00:00,0.385,95
2019-02-16 01:00:00,0.402,87
2019-02-17 01:00:00,0.436,96
2019-02-18 01:00:00,0.396,86
2019-02-19 01:00:00,0.403,72
2019-02-20 01:00:00,0.433,86
2019-02-21 01:00:00,0.447,74
2019-02-22 01:00:00,0.423,65
2019-02-23 01:00:00,0.394,85
2019-02-24 01:00:00,0.457,102
2019-02-25 01:00:00,0.437,110
2019-02-26 01:00:00,0.445,91
2019-02-27 01:00:00,0.464,56
2019-02-28 01:00:00,0.44,67
2019-03-01 01:00:00,0.396,126
2019-03-02 01:00:00,0.263,3701
2019-03-03 01:00:00,0.136,4087
2019-03-04 01:00:00,0.137,2640
2019-03-05 01:00:00,0.133,1634
2019-03-06 01:00:00,0.127,1316
2019-03-07 01:00:00,0.105,920
2019-03-08 01:00:00,0.096,1080
2019-03-09 01:00:00,0.093,1081
2019-03-10 01:00:00,0.087,924
2019-03-11 01:00:00,0.088,736
2019-03-12 01:00:00,0.098,563
2019-03-13 01:00:00,0.11,448
2019-03-14 01:00:00,0.102,595
2019-03-15 01:00:00,0.1,584
2019-03-16 01:00:00,0.102,694
2019-03-17 01:00:00,0.101,595
2019-03-18 01:00:00,0.112,404
2019-03-19 01:00:00,0.114,347
2019-03-20 01:00:00,0.112,333
2019-03-21 01:00:00,0.113,493
2019-03-22 01:00:00,0.116,410
2019-03-23 01:00:00,0.122,382
2019-03-24 01:00:00,0.122,416
2019-03-25 01:00:00,0.119,375
2019-03-26 01:00:00,0.119,325
2019-03-27 01:00:00,0.116,329
2019-03-28 01:00:00,0.115,326
2019-03-29 01:00:00,0.11,417
2019-03-30 01:00:00,0.112,370
2019-03-31 01:00:00,0.115,407
2019-04-01 01:00:00,0.118,250
2019-04-02 01:00:00,0.118,359
2019-04-03 01:00:00,0.126,318
2019-04-04 01:00:00,0.124,301
2019-04-05 01:00:00,0.127,316
2019-04-06 01:00:00,0.131,267
2019-04-07 01:00:00,0.131,268
2019-04-08 01:00:00,0.129,208
2019-04-09 01:00:00,0.129,193
2019-04-10 01:00:00,0.131,204
2019-04-11 01:00:00,0.138,202
2019-04-12 01:00:00,0.138,232
2019-04-13 01:00:00,0.135,253
2019-04-14 01:00:00,0.137,389
2019-04-15 01:00:00,0.137,262
2019-04-16 01:00:00,0.149,465
2019-04-17 01:00:00,0.145,208
2019-04-18 01:00:00,0.15,251
2019-04-19 01:00:00,0.151,238
2019-04-20 01:00:00,0.149,237
2019-04-21 01:00:00,0.15,250
2019-04-22 01:00:00,0.145,208
2019-04-23 01:00:00,0.148,243
2019-04-24 01:00:00,0.144,228
2019-04-25 01:00:00,0.149,227
2019-04-26 01:00:00,0.143,188
2019-04-27 01:00:00,0.15,235
2019-04-28 01:00:00,0.147,206
2019-04-29 01:00:00,0.148,152
2019-04-30 01:00:00,0.153,192
2019-05-01 01:00:00,0.154,197
2019-05-02 01:00:00,0.15,153
2019-05-03 01:00:00,0.149,170
2019-05-04 01:00:00,0.156,203
2019-05-05 01:00:00,0.16,185
2019-05-06 01:00:00,0.164,204
2019-05-07 01:00:00,0.163,176
2019-05-08 01:00:00,0.151,192
2019-05-09 01:00:00,0.154,149
2019-05-10 01:00:00,0.159,195
2019-05-11 01:00:00,0.164,194
2019-05-12 01:00:00,0.178,227
2019-05-13 01:00:00,0.192,126
2019-05-14 01:00:00,0.187,122
2019-05-15 01:00:00,0.184,146
2019-05-16 01:00:00,0.175,132
2019-05-17 01:00:00,0.171,126
2019-05-18 01:00:00,0.174,153
2019-05-19 01:00:00,0.171,163
2019-05-20 01:00:00,0.181,272
2019-05-21 01:00:00,0.191,139
2019-05-22 01:00:00,0.187,170
2019-05-23 01:00:00,0.188,222
2019-05-24 01:00:00,0.192,131
2019-05-25 01:00:00,0.192,148
2019-05-26 01:00:00,0.19,133
2019-05-27 01:00:00,0.187,131
2019-05-28 01:00:00,0.203,153
2019-05-29 01:00:00,0.196,176
2019-05-30 01:00:00,0.193,141
2019-05-31 01:00:00,0.193,180
2019-06-01 01:00:00,0.193,241
2019-06-02 01:00:00,0.177,181
2019-06-03 01:00:00,0.177,191
2019-06-04 01:00:00,0.183,160
2019-06-05 01:00:00,0.187,141
2019-06-06 01:00:00,0.187,133
2019-06-07 01:00:00,0.192,176
2019-06-08 01:00:00,0.206,164
2019-06-09 01:00:00,0.203,191
2019-06-10 01:00:00,0.191,125
2019-06-11 01:00:00,0.203,156
2019-06-12 01:00:00,0.206,128
2019-06-13 01:00:00,0.199,154
2019-06-14 01:00:00,0.198,133
2019-06-15 01:00:00,0.188,131
2019-06-16 01:00:00,0.197,148
2019-06-17 01:00:00,0.195,106
2019-06-18 01:00:00,0.197,122
2019-06-19 01:00:00,0.206,135
2019-06-20 01:00:00,0.202,114
2019-06-21 01:00:00,0.202,146
2019-06-22 01:00:00,0.207,151
2019-06-23 01:00:00,0.206,111
2019-06-24 01:00:00,0.199,118
2019-06-25 01:00:00,0.193,153
2019-06-26 01:00:00,0.184,187
2019-06-27 01:00:00,0.186,168
2019-06-28 01:00:00,0.185,126
2019-06-29 01:00:00,0.184,122
2019-06-30 01:00:00,0.182,104
2019-07-01 01:00:00,0.185,98
2019-07-02 01:00:00,0.177,119
2019-07-03 01:00:00,0.179,121
2019-07-04 01:00:00,0.183,135
2019-07-05 01:00:00,0.186,105
2019-07-06 01:00:00,0.184,87
2019-07-07 01:00:00,0.189,102
2019-07-08 01:00:00,0.189,142
2019-07-09 01:00:00,0.198,147
2019-07-10 01:00:00,0.202,201
2019-07-11 01:00:00,0.21,218
2019-07-12 01:00:00,0.205,132
2019-07-13 01:00:00,0.202,147
2019-07-14 01:00:00,0.2,133
2019-07-15 01:00:00,0.205,178
2019-07-16 01:00:00,0.209,139
2019-07-17 01:00:00,0.209,260
2019-07-18 01:00:00,0.209,229
2019-07-19 01:00:00,0.211,132
2019-07-20 01:00:00,0.213,128
2019-07-21 01:00:00,0.212,190
2019-07-22 01:00:00,0.218,136
2019-07-23 01:00:00,0.215,147
2019-07-24 01:00:00,0.217,128
2019-07-25 01:00:00,0.213,123
2019-07-26 01:00:00,0.214,182
2019-07-27 01:00:00,0.219,139
2019-07-28 01:00:00,0.215,112
2019-07-29 01:00:00,0.219,124
2019-07-30 01:00:00,0.212,138
2019-07-31 01:00:00,0.209,166
2019-08-01 01:00:00,0.21,129
2019-08-02 01:00:00,0.197,116
2019-08-03 01:00:00,0.199,120
2019-08-04 01:00:00,0.207,160
2019-08-05 01:00:00,0.205,161
2019-08-06 01:00:00,0.211,123
2019-08-07 01:00:00,0.199,128
2019-08-08 01:00:00,0.201,103
2019-08-09 01:00:00,0.204,131
2019-08-10 01:00:00,0.207,122
2019-08-11 01:00:00,0.204,126
2019-08-12 01:00:00,0.212,129
2019-08-13 01:00:00,0.202,111
2019-08-14 01:00:00,0.206,153
2019-08-15 01:00:00,0.188,127
2019-08-16 01:00:00,0.188,125
2019-08-17 01:00:00,0.185,115
2019-08-18 01:00:00,0.185,113
2019-08-19 01:00:00,0.192,126
2019-08-20 01:00:00,0.187,78
2019-08-21 01:00:00,0.19,75
2019-08-22 01:00:00,0.186,109
2019-08-23 01:00:00,0.191,116
2019-08-24 01:00:00,0.184,160
2019-08-25 01:00:00,0.182,96
2019-08-26 01:00:00,0.187,82
2019-08-27 01:00:00,0.176,95
2019-08-28 01:00:00,0.182,114
2019-08-29 01:00:00,0.189,100
2019-08-30 01:00:00,0.188,91
2019-08-31 01:00:00,0.19,99
2019-09-01 01:00:00,0.185,98
2019-09-02 01:00:00,0.188,98
2019-09-03 01:00:00,0.186,85
2019-09-04 01:00:00,0.184,78
2019-09-05 01:00:00,0.194,173
2019-09-06 01:00:00,0.186,101
2019-09-07 01:00:00,0.177,162
2019-09-08 01:00:00,0.155,238
