date,price,volume
2021-01-28 01:00:00,0.156,52011
2021-01-29 01:00:00,0.179,23075
2021-01-30 01:00:00,0.165,15434
2021-01-31 01:00:00,0.157,11886
2021-02-01 01:00:00,0.159,9960
2021-02-02 01:00:00,0.16,9353
2021-02-03 01:00:00,0.161,9282
2021-02-04 01:00:00,0.16,10101
2021-02-05 01:00:00,0.167,9438
2021-02-06 01:00:00,0.176,8690
2021-02-07 01:00:00,0.193,8277
2021-02-08 01:00:00,0.194,6545
2021-02-09 01:00:00,0.179,6661
2021-02-10 01:00:00,0.17,6970
2021-02-11 01:00:00,0.172,6580
2021-02-12 01:00:00,0.171,6608
2021-02-13 01:00:00,0.166,6284
2021-02-14 01:00:00,0.153,5523
2021-02-15 01:00:00,0.155,5672
2021-02-16 01:00:00,0.158,4792
2021-02-17 01:00:00,0.17,4448
2021-02-18 01:00:00,0.171,4607
2021-02-19 01:00:00,0.18,4882
2021-02-20 01:00:00,0.165,4892
2021-02-21 01:00:00,0.17,5268
2021-02-22 01:00:00,0.164,5647
2021-02-23 01:00:00,0.173,5591
2021-02-24 01:00:00,0.17,5808
2021-02-25 01:00:00,0.167,5933
2021-02-26 01:00:00,0.17,5987
2021-02-27 01:00:00,0.177,6954
2021-02-28 01:00:00,0.189,8649
2021-03-01 01:00:00,0.209,6878
2021-03-02 01:00:00,0.192,5853
2021-03-03 01:00:00,0.187,6079
2021-03-04 01:00:00,0.175,5370
2021-03-05 01:00:00,0.176,6157
2021-03-06 01:00:00,0.173,6890
2021-03-07 01:00:00,0.172,6268
2021-03-08 01:00:00,0.169,5607
2021-03-09 01:00:00,0.17,5435
2021-03-10 01:00:00,0.168,6757
2021-03-11 01:00:00,0.167,6050
2021-03-12 01:00:00,0.165,5593
2021-03-13 01:00:00,0.163,5935
2021-03-14 01:00:00,0.163,5203
2021-03-15 01:00:00,0.168,5482
2021-03-16 01:00:00,0.162,6278
2021-03-17 01:00:00,0.162,8247
2021-03-18 01:00:00,0.161,6986
2021-03-19 01:00:00,0.153,7821
2021-03-20 01:00:00,0.151,6313
2021-03-21 01:00:00,0.15,5710
2021-03-22 01:00:00,0.147,6015
2021-03-23 01:00:00,0.145,5363
2021-03-24 01:00:00,0.145,5792
2021-03-25 01:00:00,0.144,5638
2021-03-26 01:00:00,0.14,5818
2021-03-27 01:00:00,0.141,5921
2021-03-28 01:00:00,0.137,5029
2021-03-29 01:00:00,0.138,5453
2021-03-30 01:00:00,0.137,4826
2021-03-31 01:00:00,0.134,5104
2021-04-01 01:00:00,0.134,4388
2021-04-02 01:00:00,0.132,5097
2021-04-03 01:00:00,0.13,5127
2021-04-04 01:00:00,0.133,5143
2021-04-05 01:00:00,0.137,4805
2021-04-06 01:00:00,0.138,4578
2021-04-07 01:00:00,0.062,71798
2021-04-08 01:00:00,0.037,92733
2021-04-09 01:00:00,0.038,131589
2021-04-10 01:00:00,0.034,109219
2021-04-11 01:00:00,0.03,55607
2021-04-12 01:00:00,0.031,74250
2021-04-13 01:00:00,0.032,96287
2021-04-14 01:00:00,0.034,19708
2021-04-15 01:00:00,0.032,85976
2021-04-16 01:00:00,0.03,81017
2021-04-17 01:00:00,0.03,74863
2021-04-18 01:00:00,0.03,48086
2021-04-19 01:00:00,0.03,60193
2021-04-20 01:00:00,0.03,56885
2021-04-21 01:00:00,0.03,54532
2021-04-22 01:00:00,0.03,54485
2021-04-23 01:00:00,0.03,76728
2021-04-24 01:00:00,0.03,52866
2021-04-25 01:00:00,0.03,43635
2021-04-26 01:00:00,0.03,50864
2021-04-27 01:00:00,0.03,45672
2021-04-28 01:00:00,0.03,42320
2021-04-29 01:00:00,0.03,42925
2021-04-30 01:00:00,0.03,45703
2021-05-01 01:00:00,0.03,35704
2021-05-02 01:00:00,0.03,44088
2021-05-03 01:00:00,0.03,46471
2021-05-04 01:00:00,0.03,57897
2021-05-05 01:00:00,0.03,58624
2021-05-06 01:00:00,0.03,48132
2021-05-07 01:00:00,0.03,45335
2021-05-08 01:00:00,0.03,43928
2021-05-09 01:00:00,0.03,34334
2021-05-10 01:00:00,0.03,36692
2021-05-11 01:00:00,0.03,38777
2021-05-12 01:00:00,0.03,42932
2021-05-13 01:00:00,0.03,37987
2021-05-14 01:00:00,0.03,36779
2021-05-15 01:00:00,0.03,40571
2021-05-16 01:00:00,0.03,29248
2021-05-17 01:00:00,0.03,32068
2021-05-18 01:00:00,0.03,34542
2021-05-19 01:00:00,0.03,36446
2021-05-20 01:00:00,0.03,33110
2021-05-21 01:00:00,0.03,54802
2021-05-22 01:00:00,0.03,26489
2021-05-23 01:00:00,0.03,19799
2021-05-24 01:00:00,0.03,20495
2021-05-25 01:00:00,0.03,23246
2021-05-26 01:00:00,0.03,19163
2021-05-27 01:00:00,0.03,21874
2021-05-28 01:00:00,0.03,20509
2021-05-29 01:00:00,0.03,20587
2021-05-30 01:00:00,0.03,22094
2021-05-31 01:00:00,0.03,20223
2021-06-01 01:00:00,0.03,15307
2021-06-02 01:00:00,0.03,18347
2021-06-03 01:00:00,0.03,20268
2021-06-04 01:00:00,0.03,19015
2021-06-05 01:00:00,0.031,21100
2021-06-06 01:00:00,0.033,17716
2021-06-07 01:00:00,0.035,17706
2021-06-08 01:00:00,0.036,19731
2021-06-09 01:00:00,0.037,18289
2021-06-10 01:00:00,0.034,14889
2021-06-11 01:00:00,0.03,14180
2021-06-12 01:00:00,0.03,15557
2021-06-13 01:00:00,0.03,12819
2021-06-14 01:00:00,0.03,14764
2021-06-15 01:00:00,0.03,12449
2021-06-16 01:00:00,0.03,14616
2021-06-17 01:00:00,0.03,13154
2021-06-18 01:00:00,0.03,13593
2021-06-19 01:00:00,0.03,14226
2021-06-20 01:00:00,0.03,12860
2021-06-21 01:00:00,0.03,11883
2021-06-22 01:00:00,0.03,12616
2021-06-23 01:00:00,0.03,13168
2021-06-24 01:00:00,0.03,15419
2021-06-25 01:00:00,0.03,19067
2021-06-26 01:00:00,0.03,13732
2021-06-27 01:00:00,0.03,9709
2021-06-28 01:00:00,0.03,13574
2021-06-29 01:00:00,0.03,12304
2021-06-30 01:00:00,0.03,13171
2021-07-01 01:00:00,0.03,7855
2021-07-02 01:00:00,0.03,12062
2021-07-03 01:00:00,0.03,11206
2021-07-04 01:00:00,0.03,8199
2021-07-05 01:00:00,0.03,10071
2021-07-06 01:00:00,0.03,10226
2021-07-07 01:00:00,0.03,11287
2021-07-08 01:00:00,0.03,11668
2021-07-09 01:00:00,0.03,9460
2021-07-10 01:00:00,0.03,8886
2021-07-11 01:00:00,0.03,8792
2021-07-12 01:00:00,0.03,10316
2021-07-13 01:00:00,0.03,8865
2021-07-14 01:00:00,0.03,9195
2021-07-15 01:00:00,0.03,10260
2021-07-16 01:00:00,0.03,8145
2021-07-17 01:00:00,0.03,9180
2021-07-18 01:00:00,0.03,9409
2021-07-19 01:00:00,0.03,9144
2021-07-20 01:00:00,0.03,8052
2021-07-21 01:00:00,0.03,8581
2021-07-22 01:00:00,0.03,8125
2021-07-23 01:00:00,0.03,8500
2021-07-24 01:00:00,0.03,8474
2021-07-25 01:00:00,0.03,7609
2021-07-26 01:00:00,0.03,8773
2021-07-27 01:00:00,0.03,4260
2021-07-28 01:00:00,0.03,7664
2021-07-29 01:00:00,0.03,9065
2021-07-30 01:00:00,0.03,7558
2021-07-31 01:00:00,0.03,7137
2021-08-01 01:00:00,0.03,9132
2021-08-02 01:00:00,0.03,9445
2021-08-03 01:00:00,0.03,7025
2021-08-04 01:00:00,0.03,6950
2021-08-05 01:00:00,0.03,6720
2021-08-06 01:00:00,0.03,9506
2021-08-07 01:00:00,0.03,8303
2021-08-08 01:00:00,0.03,7315
2021-08-09 01:00:00,0.03,9542
2021-08-10 01:00:00,0.03,7250
2021-08-11 01:00:00,0.03,7883
2021-08-12 01:00:00,0.03,7106
2021-08-13 01:00:00,0.03,7920
2021-08-14 01:00:00,0.03,9531
