date,price,volume
2024-03-21 01:00:00,1.699,2248
2024-03-22 01:00:00,1.696,627
2024-03-23 01:00:00,1.718,502
2024-03-24 01:00:00,1.787,389
2024-03-25 01:00:00,1.794,296
2024-03-26 01:00:00,1.651,189
2024-03-27 01:00:00,1.618,228
2024-03-28 01:00:00,1.515,234
2024-03-29 01:00:00,1.432,205
2024-03-30 01:00:00,1.286,209
2024-03-31 01:00:00,1.353,230
2024-04-01 01:00:00,1.322,169
2024-04-02 01:00:00,1.328,154
2024-04-03 01:00:00,1.408,161
2024-04-04 01:00:00,1.374,106
2024-04-05 01:00:00,1.454,106
2024-04-06 01:00:00,1.397,98
2024-04-07 01:00:00,1.329,98
2024-04-08 01:00:00,1.329,93
2024-04-09 01:00:00,1.262,98
2024-04-10 01:00:00,1.233,111
2024-04-11 01:00:00,1.153,67
2024-04-12 01:00:00,1.142,66
2024-04-13 01:00:00,1.11,75
2024-04-14 01:00:00,1.162,86
2024-04-15 01:00:00,1.214,56
2024-04-16 01:00:00,1.088,39
2024-04-17 01:00:00,1.064,87
2024-04-18 01:00:00,1.11,68
2024-04-19 01:00:00,1.112,52
2024-04-20 01:00:00,1.092,56
2024-04-21 01:00:00,1.195,65
2024-04-22 01:00:00,1.177,44
2024-04-23 01:00:00,1.14,44
2024-04-24 01:00:00,1.072,43
2024-04-25 01:00:00,1.087,56
2024-04-26 01:00:00,0.557,3942
2024-04-27 01:00:00,0.482,1990
2024-04-28 01:00:00,0.506,1707
2024-04-29 01:00:00,0.511,1407
2024-04-30 01:00:00,0.533,1197
2024-05-01 01:00:00,0.559,1328
2024-05-02 01:00:00,0.552,1178
2024-05-03 01:00:00,0.508,1052
2024-05-04 01:00:00,0.529,1150
2024-05-05 01:00:00,0.515,1043
2024-05-06 01:00:00,0.547,916
2024-05-07 01:00:00,0.564,867
2024-05-08 01:00:00,0.591,1094
2024-05-09 01:00:00,0.652,1047
2024-05-10 01:00:00,0.724,1059
2024-05-11 01:00:00,0.743,960
2024-05-12 01:00:00,0.678,972
2024-05-13 01:00:00,0.702,815
2024-05-14 01:00:00,0.771,826
2024-05-15 01:00:00,0.776,942
2024-05-16 01:00:00,0.769,1028
2024-05-17 01:00:00,0.897,1169
2024-05-18 01:00:00,0.828,1009
2024-05-19 01:00:00,0.835,989
2024-05-20 01:00:00,0.837,868
2024-05-21 01:00:00,0.8,748
2024-05-22 01:00:00,0.753,840
2024-05-23 01:00:00,0.733,826
2024-05-24 01:00:00,0.735,1059
2024-05-25 01:00:00,0.743,1011
2024-05-26 01:00:00,0.774,954
2024-05-27 01:00:00,0.813,996
2024-05-28 01:00:00,0.84,942
2024-05-29 01:00:00,0.823,980
2024-05-30 01:00:00,0.782,1016
2024-05-31 01:00:00,0.76,873
2024-06-01 01:00:00,0.76,968
2024-06-02 01:00:00,0.769,931
2024-06-03 01:00:00,0.745,760
2024-06-04 01:00:00,0.713,1015
2024-06-05 01:00:00,0.675,788
