date,price,volume
2021-03-18 01:00:00,0.161,180
2021-03-19 01:00:00,0.179,6243
2021-03-20 01:00:00,0.206,1758
2021-03-21 01:00:00,0.198,1112
2021-03-22 01:00:00,0.194,873
2021-03-23 01:00:00,0.194,668
2021-03-24 01:00:00,0.19,599
2021-03-25 01:00:00,0.189,453
2021-03-26 01:00:00,0.183,488
2021-03-27 01:00:00,0.17,729
2021-03-28 01:00:00,0.171,402
2021-03-29 01:00:00,0.168,354
2021-03-30 01:00:00,0.167,330
2021-03-31 01:00:00,0.17,365
2021-04-01 01:00:00,0.174,328
2021-04-02 01:00:00,0.173,337
2021-04-03 01:00:00,0.17,337
2021-04-04 01:00:00,0.174,314
2021-04-05 01:00:00,0.177,385
2021-04-06 01:00:00,0.18,261
2021-04-07 01:00:00,0.147,441
2021-04-08 01:00:00,0.143,240
2021-04-09 01:00:00,0.114,303
2021-04-10 01:00:00,0.122,185
2021-04-11 01:00:00,0.131,143
2021-04-12 01:00:00,0.117,138
2021-04-13 01:00:00,0.116,128
2021-04-14 01:00:00,0.12,34
2021-04-15 01:00:00,0.12,119
2021-04-16 01:00:00,0.124,81
2021-04-17 01:00:00,0.118,140
2021-04-18 01:00:00,0.121,95
2021-04-19 01:00:00,0.121,91
2021-04-20 01:00:00,0.124,182
2021-04-21 01:00:00,0.123,117
2021-04-22 01:00:00,0.123,83
2021-04-23 01:00:00,0.13,85
2021-04-24 01:00:00,0.128,96
2021-04-25 01:00:00,0.148,65
2021-04-26 01:00:00,0.14,81
2021-04-27 01:00:00,0.143,94
2021-04-28 01:00:00,0.14,89
2021-04-29 01:00:00,0.147,55
2021-04-30 01:00:00,0.143,77
2021-05-01 01:00:00,0.149,58
2021-05-02 01:00:00,0.156,74
2021-05-03 01:00:00,0.155,56
2021-05-04 01:00:00,0.155,88
2021-05-05 01:00:00,0.151,79
2021-05-06 01:00:00,0.153,81
2021-05-07 01:00:00,0.156,84
2021-05-08 01:00:00,0.169,67
2021-05-09 01:00:00,0.167,68
2021-05-10 01:00:00,0.168,61
2021-05-11 01:00:00,0.168,50
2021-05-12 01:00:00,0.173,79
2021-05-13 01:00:00,0.182,61
2021-05-14 01:00:00,0.179,34
2021-05-15 01:00:00,0.164,54
2021-05-16 01:00:00,0.176,70
2021-05-17 01:00:00,0.171,53
2021-05-18 01:00:00,0.163,50
2021-05-19 01:00:00,0.171,43
2021-05-20 01:00:00,0.169,40
2021-05-21 01:00:00,0.17,87
2021-05-22 01:00:00,0.179,53
2021-05-23 01:00:00,0.185,67
2021-05-24 01:00:00,0.176,74
2021-05-25 01:00:00,0.18,71
2021-05-26 01:00:00,0.172,56
2021-05-27 01:00:00,0.175,53
2021-05-28 01:00:00,0.169,72
2021-05-29 01:00:00,0.176,55
2021-05-30 01:00:00,0.171,59
2021-05-31 01:00:00,0.178,51
2021-06-01 01:00:00,0.18,53
2021-06-02 01:00:00,0.192,59
2021-06-03 01:00:00,0.194,62
2021-06-04 01:00:00,0.194,146
2021-06-05 01:00:00,0.212,47
2021-06-06 01:00:00,0.2,50
2021-06-07 01:00:00,0.198,41
2021-06-08 01:00:00,0.176,41
2021-06-09 01:00:00,0.185,53
2021-06-10 01:00:00,0.19,58
2021-06-11 01:00:00,0.187,69
2021-06-12 01:00:00,0.177,52
2021-06-13 01:00:00,0.187,67
2021-06-14 01:00:00,0.189,55
2021-06-15 01:00:00,0.191,49
2021-06-16 01:00:00,0.178,58
2021-06-17 01:00:00,0.192,49
2021-06-18 01:00:00,0.188,42
2021-06-19 01:00:00,0.186,44
2021-06-20 01:00:00,0.182,32
2021-06-21 01:00:00,0.189,45
2021-06-22 01:00:00,0.193,39
2021-06-23 01:00:00,0.18,50
2021-06-24 01:00:00,0.182,55
2021-06-25 01:00:00,0.188,49
2021-06-26 01:00:00,0.181,47
2021-06-27 01:00:00,0.188,36
2021-06-28 01:00:00,0.19,42
2021-06-29 01:00:00,0.182,48
2021-06-30 01:00:00,0.182,54
2021-07-01 01:00:00,0.176,28
2021-07-02 01:00:00,0.18,45
2021-07-03 01:00:00,0.18,46
2021-07-04 01:00:00,0.183,27
2021-07-05 01:00:00,0.17,52
2021-07-06 01:00:00,0.175,34
2021-07-07 01:00:00,0.174,47
2021-07-08 01:00:00,0.186,39
2021-07-09 01:00:00,0.177,53
2021-07-10 01:00:00,0.183,45
2021-07-11 01:00:00,0.196,51
2021-07-12 01:00:00,0.196,40
2021-07-13 01:00:00,0.197,34
2021-07-14 01:00:00,0.206,80
2021-07-15 01:00:00,0.217,64
2021-07-16 01:00:00,0.211,47
2021-07-17 01:00:00,0.213,64
2021-07-18 01:00:00,0.214,38
2021-07-19 01:00:00,0.217,48
2021-07-20 01:00:00,0.218,22
2021-07-21 01:00:00,0.226,31
2021-07-22 01:00:00,0.236,27
2021-07-23 01:00:00,0.243,38
2021-07-24 01:00:00,0.248,29
2021-07-25 01:00:00,0.239,105
2021-07-26 01:00:00,0.221,25
2021-07-27 01:00:00,0.227,18
2021-07-28 01:00:00,0.261,51
2021-07-29 01:00:00,0.299,24
2021-07-30 01:00:00,0.276,24
2021-07-31 01:00:00,0.289,18
2021-08-01 01:00:00,0.277,17
2021-08-02 01:00:00,0.269,35
2021-08-03 01:00:00,0.252,33
2021-08-04 01:00:00,0.263,38
2021-08-05 01:00:00,0.258,24
2021-08-06 01:00:00,0.251,30
2021-08-07 01:00:00,0.24,37
2021-08-08 01:00:00,0.243,25
2021-08-09 01:00:00,0.241,22
2021-08-10 01:00:00,0.242,31
2021-08-11 01:00:00,0.219,25
2021-08-12 01:00:00,0.219,35
2021-08-13 01:00:00,0.221,35
2021-08-14 01:00:00,0.224,30
2021-08-15 01:00:00,0.22,35
2021-08-16 01:00:00,0.218,30
2021-08-17 01:00:00,0.209,30
2021-08-18 01:00:00,0.225,61
2021-08-19 01:00:00,0.232,33
2021-08-20 01:00:00,0.237,56
2021-08-21 01:00:00,0.259,38
2021-08-22 01:00:00,0.253,32
2021-08-23 01:00:00,0.238,18
2021-08-24 01:00:00,0.237,23
2021-08-25 01:00:00,0.226,23
2021-08-26 01:00:00,0.231,33
2021-08-27 01:00:00,0.238,32
2021-08-28 01:00:00,0.241,27
2021-08-29 01:00:00,0.242,29
2021-08-30 01:00:00,0.231,29
2021-08-31 01:00:00,0.231,30
2021-09-01 01:00:00,0.233,43
2021-09-02 01:00:00,0.212,24
2021-09-03 01:00:00,0.22,36
2021-09-04 01:00:00,0.218,30
2021-09-05 01:00:00,0.23,29
2021-09-06 01:00:00,0.271,23
