date,price,volume
2021-01-28 01:00:00,4.248,4252
2021-01-29 01:00:00,4.045,1885
2021-01-30 01:00:00,4.364,1635
2021-01-31 01:00:00,4.353,1349
2021-02-01 01:00:00,4.129,1269
2021-02-02 01:00:00,4.117,1256
2021-02-03 01:00:00,4.073,1188
2021-02-04 01:00:00,4.144,1239
2021-02-05 01:00:00,3.673,1923
2021-02-06 01:00:00,3.202,2225
2021-02-07 01:00:00,2.819,2363
2021-02-08 01:00:00,2.991,1549
2021-02-09 01:00:00,3.064,1451
2021-02-10 01:00:00,2.81,1441
2021-02-11 01:00:00,2.758,1204
2021-02-12 01:00:00,2.654,1165
2021-02-13 01:00:00,2.636,1110
2021-02-14 01:00:00,2.53,913
2021-02-15 01:00:00,2.429,851
2021-02-16 01:00:00,2.374,706
2021-02-17 01:00:00,2.358,806
2021-02-18 01:00:00,2.382,752
2021-02-19 01:00:00,2.362,716
2021-02-20 01:00:00,2.398,747
2021-02-21 01:00:00,2.477,762
2021-02-22 01:00:00,2.444,802
2021-02-23 01:00:00,2.424,805
2021-02-24 01:00:00,2.457,841
2021-02-25 01:00:00,2.442,803
2021-02-26 01:00:00,2.509,799
2021-02-27 01:00:00,2.492,899
2021-02-28 01:00:00,2.635,1280
2021-03-01 01:00:00,2.708,1027
2021-03-02 01:00:00,2.576,912
2021-03-03 01:00:00,2.552,964
2021-03-04 01:00:00,2.568,859
2021-03-05 01:00:00,2.657,1013
2021-03-06 01:00:00,2.679,975
2021-03-07 01:00:00,2.632,888
2021-03-08 01:00:00,2.572,990
2021-03-09 01:00:00,2.497,907
2021-03-10 01:00:00,2.561,960
2021-03-11 01:00:00,2.473,883
2021-03-12 01:00:00,2.482,854
2021-03-13 01:00:00,2.495,991
2021-03-14 01:00:00,2.523,877
2021-03-15 01:00:00,2.697,957
2021-03-16 01:00:00,2.882,997
2021-03-17 01:00:00,2.768,1046
2021-03-18 01:00:00,2.964,1021
2021-03-19 01:00:00,2.713,1104
2021-03-20 01:00:00,2.691,851
2021-03-21 01:00:00,2.672,774
2021-03-22 01:00:00,2.633,806
2021-03-23 01:00:00,2.661,747
2021-03-24 01:00:00,2.652,753
2021-03-25 01:00:00,2.699,767
2021-03-26 01:00:00,2.695,895
2021-03-27 01:00:00,2.677,851
2021-03-28 01:00:00,2.655,776
2021-03-29 01:00:00,2.577,746
2021-03-30 01:00:00,2.465,850
2021-03-31 01:00:00,2.441,655
2021-04-01 01:00:00,2.405,641
2021-04-02 01:00:00,2.366,702
2021-04-03 01:00:00,2.349,762
2021-04-04 01:00:00,2.24,690
2021-04-05 01:00:00,2.241,625
2021-04-06 01:00:00,2.212,547
2021-04-07 01:00:00,1.071,14312
2021-04-08 01:00:00,0.844,15453
2021-04-09 01:00:00,0.818,16181
2021-04-10 01:00:00,0.819,14631
2021-04-11 01:00:00,0.805,11159
2021-04-12 01:00:00,0.828,11849
2021-04-13 01:00:00,0.823,12743
2021-04-14 01:00:00,0.912,2601
2021-04-15 01:00:00,0.823,12270
2021-04-16 01:00:00,0.692,10586
2021-04-17 01:00:00,0.653,9432
2021-04-18 01:00:00,0.633,6994
2021-04-19 01:00:00,0.649,7559
2021-04-20 01:00:00,0.639,6994
2021-04-21 01:00:00,0.634,6924
2021-04-22 01:00:00,0.643,6981
2021-04-23 01:00:00,0.645,7181
2021-04-24 01:00:00,0.637,7447
2021-04-25 01:00:00,0.598,6789
2021-04-26 01:00:00,0.569,6728
2021-04-27 01:00:00,0.584,6381
2021-04-28 01:00:00,0.583,5686
2021-04-29 01:00:00,0.591,5680
2021-04-30 01:00:00,0.582,6538
2021-05-01 01:00:00,0.556,5729
2021-05-02 01:00:00,0.563,6506
2021-05-03 01:00:00,0.513,5788
2021-05-04 01:00:00,0.483,8511
2021-05-05 01:00:00,0.435,6652
2021-05-06 01:00:00,0.406,6309
2021-05-07 01:00:00,0.386,6206
2021-05-08 01:00:00,0.408,5638
2021-05-09 01:00:00,0.41,4751
2021-05-10 01:00:00,0.432,4615
2021-05-11 01:00:00,0.401,4392
2021-05-12 01:00:00,0.431,4511
2021-05-13 01:00:00,0.416,4411
2021-05-14 01:00:00,0.404,4458
2021-05-15 01:00:00,0.414,4452
2021-05-16 01:00:00,0.41,4015
2021-05-17 01:00:00,0.388,3917
2021-05-18 01:00:00,0.373,3493
2021-05-19 01:00:00,0.382,3717
2021-05-20 01:00:00,0.372,3198
2021-05-21 01:00:00,0.549,6721
2021-05-22 01:00:00,0.517,3043
2021-05-23 01:00:00,0.464,2865
2021-05-24 01:00:00,0.444,2887
2021-05-25 01:00:00,0.452,2442
2021-05-26 01:00:00,0.448,2024
2021-05-27 01:00:00,0.447,2156
2021-05-28 01:00:00,0.445,2464
2021-05-29 01:00:00,0.43,2127
