date,price,volume
2023-05-05 01:00:00,6.921,178
2023-05-06 01:00:00,4.694,71
2023-05-07 01:00:00,4.375,37
2023-05-08 01:00:00,6.0,31
2023-05-09 01:00:00,6.169,22
2023-05-10 01:00:00,6.205,13
2023-05-11 01:00:00,5.264,12
2023-05-12 01:00:00,4.429,17
2023-05-13 01:00:00,4.07,25
2023-05-14 01:00:00,3.849,33
2023-05-15 01:00:00,3.17,21
2023-05-16 01:00:00,4.154,22
2023-05-17 01:00:00,4.017,8
2023-05-18 01:00:00,3.59,18
2023-05-19 01:00:00,3.413,18
2023-05-20 01:00:00,2.888,15
2023-05-21 01:00:00,3.129,30
2023-05-22 01:00:00,2.709,15
2023-05-23 01:00:00,3.081,20
2023-05-24 01:00:00,3.543,16
2023-05-25 01:00:00,3.866,10
2023-05-26 01:00:00,3.602,15
2023-05-27 01:00:00,3.686,19
2023-05-28 01:00:00,3.772,7
2023-05-29 01:00:00,2.139,7
2023-05-30 01:00:00,3.068,8
2023-05-31 01:00:00,3.44,25
2023-06-01 01:00:00,3.627,15
2023-06-02 01:00:00,4.893,3
2023-06-03 01:00:00,4.159,11
2023-06-04 01:00:00,4.303,6
2023-06-05 01:00:00,4.209,2
2023-06-06 01:00:00,3.577,5
2023-06-07 01:00:00,3.638,9
2023-06-08 01:00:00,3.558,7
2023-06-09 01:00:00,4.052,17
2023-06-11 01:00:00,3.636,1
2023-06-12 01:00:00,4.208,6
2023-06-13 01:00:00,4.028,4
2023-06-14 01:00:00,4.215,8
2023-06-15 01:00:00,3.472,5
2023-06-16 01:00:00,3.83,2
2023-06-17 01:00:00,3.838,4
2023-06-18 01:00:00,4.14,9
2023-06-19 01:00:00,4.622,1
2023-06-20 01:00:00,4.5,4
2023-06-21 01:00:00,4.452,2
2023-06-23 01:00:00,1.924,353
2023-06-24 01:00:00,1.989,220
2023-06-25 01:00:00,2.74,191
2023-06-26 01:00:00,2.628,188
2023-06-27 01:00:00,2.171,175
2023-06-28 01:00:00,2.093,168
2023-06-29 01:00:00,1.878,199
2023-06-30 01:00:00,1.896,170
2023-07-01 01:00:00,1.971,209
2023-07-02 01:00:00,2.03,240
2023-07-03 01:00:00,1.984,248
2023-07-04 01:00:00,2.007,172
2023-07-05 01:00:00,1.967,222
2023-07-06 01:00:00,2.144,203
2023-07-07 01:00:00,2.026,213
2023-07-08 01:00:00,1.889,232
2023-07-09 01:00:00,1.764,195
2023-07-10 01:00:00,1.716,177
2023-07-11 01:00:00,1.7,153
2023-07-12 01:00:00,1.76,169
2023-07-13 01:00:00,1.866,169
2023-07-14 01:00:00,1.78,171
2023-07-15 01:00:00,1.664,155
2023-07-16 01:00:00,1.661,168
2023-07-17 01:00:00,1.678,192
2023-07-18 01:00:00,1.648,137
2023-07-19 01:00:00,1.606,118
2023-07-20 01:00:00,1.74,129
2023-07-21 01:00:00,1.754,158
2023-07-22 01:00:00,1.785,159
2023-07-23 01:00:00,1.796,184
2023-07-24 01:00:00,1.687,198
2023-07-25 01:00:00,1.606,210
2023-07-26 01:00:00,1.609,229
2023-07-27 01:00:00,1.567,168
2023-07-28 01:00:00,1.762,254
2023-07-29 01:00:00,2.042,275
2023-07-30 01:00:00,2.428,327
2023-07-31 01:00:00,1.986,174
2023-08-01 01:00:00,1.94,163
2023-08-02 01:00:00,1.896,202
2023-08-03 01:00:00,1.77,231
2023-08-04 01:00:00,1.719,165
2023-08-05 01:00:00,1.809,186
2023-08-06 01:00:00,1.79,188
2023-08-07 01:00:00,1.821,169
2023-08-08 01:00:00,1.695,188
2023-08-09 01:00:00,1.654,177
2023-08-10 01:00:00,1.684,176
2023-08-11 01:00:00,1.647,177
2023-08-12 01:00:00,1.616,178
2023-08-13 01:00:00,1.545,187
2023-08-14 01:00:00,1.554,170
2023-08-15 01:00:00,1.528,185
2023-08-16 01:00:00,1.489,197
2023-08-17 01:00:00,1.515,170
2023-08-18 01:00:00,1.512,170
2023-08-19 01:00:00,1.498,170
2023-08-20 01:00:00,1.605,158
2023-08-21 01:00:00,1.561,136
2023-08-22 01:00:00,1.55,146
2023-08-23 01:00:00,1.511,143
2023-08-24 01:00:00,1.497,142
2023-08-25 01:00:00,1.506,124
2023-08-26 01:00:00,1.502,187
2023-08-27 01:00:00,1.513,159
2023-08-28 01:00:00,1.587,141
2023-08-29 01:00:00,1.743,176
2023-08-30 01:00:00,1.639,166
2023-08-31 01:00:00,1.759,188
2023-09-01 01:00:00,1.819,128
2023-09-02 01:00:00,1.66,150
2023-09-03 01:00:00,1.674,180
2023-09-04 01:00:00,1.669,171
2023-09-05 01:00:00,1.659,168
2023-09-06 01:00:00,1.677,168
2023-09-07 01:00:00,1.685,174
2023-09-08 01:00:00,1.643,166
2023-09-09 01:00:00,1.562,152
2023-09-10 01:00:00,1.483,128
2023-09-11 01:00:00,1.416,136
2023-09-12 01:00:00,1.437,136
2023-09-13 01:00:00,1.441,138
2023-09-14 01:00:00,1.426,139
2023-09-15 01:00:00,1.369,119
2023-09-16 01:00:00,1.293,133
2023-09-17 01:00:00,1.318,123
2023-09-18 01:00:00,1.32,146
2023-09-19 01:00:00,1.278,116
2023-09-20 01:00:00,1.27,70
2023-09-21 01:00:00,1.237,103
2023-09-22 01:00:00,1.271,109
2023-09-23 01:00:00,1.301,155
2023-09-24 01:00:00,1.248,85
2023-09-25 01:00:00,1.285,158
2023-09-26 01:00:00,1.261,109
2023-09-27 01:00:00,1.356,143
2023-09-28 01:00:00,1.282,177
2023-09-29 01:00:00,1.225,126
2023-09-30 01:00:00,1.135,109
2023-10-01 01:00:00,1.127,156
2023-10-02 01:00:00,1.238,154
2023-10-03 01:00:00,1.366,123
2023-10-04 01:00:00,1.134,109
2023-10-05 01:00:00,1.084,91
2023-10-06 01:00:00,1.174,142
2023-10-07 01:00:00,1.272,51
2023-10-08 01:00:00,1.36,61
2023-10-09 01:00:00,1.401,95
2023-10-10 01:00:00,1.392,37
2023-10-11 01:00:00,1.302,48
2023-10-12 01:00:00,1.278,38
2023-10-13 01:00:00,1.367,53
2023-10-14 01:00:00,1.391,44
2023-10-15 01:00:00,1.468,117
2023-10-16 01:00:00,1.32,34
2023-10-17 01:00:00,1.273,40
2023-10-18 01:00:00,1.26,52
2023-10-19 01:00:00,1.247,44
2023-10-20 01:00:00,1.261,49
2023-10-21 01:00:00,1.311,62
2023-10-22 01:00:00,1.23,32
2023-10-23 01:00:00,1.218,44
2023-10-24 01:00:00,1.254,30
2023-10-25 01:00:00,1.259,58
2023-10-26 01:00:00,1.293,39
2023-10-27 01:00:00,1.225,37
2023-10-28 01:00:00,1.191,58
2023-10-29 01:00:00,1.148,31
2023-10-30 01:00:00,1.182,24
2023-10-31 01:00:00,1.205,36
2023-11-01 01:00:00,1.248,115
2023-11-02 01:00:00,1.293,85
2023-11-03 01:00:00,1.282,50
2023-11-04 01:00:00,1.38,67
2023-11-05 01:00:00,1.327,25
2023-11-06 01:00:00,1.419,18
2023-11-07 01:00:00,1.393,20
2023-11-08 01:00:00,1.428,39
2023-11-09 01:00:00,1.441,13
2023-11-10 01:00:00,1.379,42
2023-11-11 01:00:00,1.286,24
2023-11-12 01:00:00,1.232,47
2023-11-13 01:00:00,1.218,32
2023-11-14 01:00:00,1.247,23
2023-11-15 01:00:00,1.251,20
2023-11-16 01:00:00,1.258,13
2023-11-17 01:00:00,1.211,26
2023-11-18 01:00:00,1.161,15
2023-11-19 01:00:00,1.192,20
2023-11-20 01:00:00,1.273,29
2023-11-21 01:00:00,1.202,17
2023-11-22 01:00:00,1.151,23
2023-11-23 01:00:00,1.165,19
2023-11-24 01:00:00,1.139,23
2023-11-25 01:00:00,1.159,13
2023-11-26 01:00:00,1.113,19
2023-11-27 01:00:00,0.996,20
2023-11-28 01:00:00,1.067,17
2023-11-29 01:00:00,1.12,29
2023-11-30 01:00:00,1.104,9
2023-12-01 01:00:00,1.121,17
2023-12-02 01:00:00,1.175,14
2023-12-03 01:00:00,1.138,23
2023-12-04 01:00:00,1.081,9
2023-12-05 01:00:00,1.115,40
2023-12-06 01:00:00,1.166,28
2023-12-07 01:00:00,1.199,22
2023-12-08 01:00:00,1.151,44
2023-12-09 01:00:00,1.177,33
2023-12-10 01:00:00,1.166,23
2023-12-11 01:00:00,1.169,23
2023-12-12 01:00:00,1.133,38
2023-12-13 01:00:00,1.159,33
2023-12-14 01:00:00,1.136,18
2023-12-15 01:00:00,1.132,29
2023-12-16 01:00:00,1.126,74
2023-12-17 01:00:00,1.107,39
2023-12-18 01:00:00,1.064,23
2023-12-19 01:00:00,1.018,37
2023-12-20 01:00:00,1.013,23
2023-12-21 01:00:00,1.003,41
2023-12-22 01:00:00,0.987,59
2023-12-23 01:00:00,1.007,53
2023-12-24 01:00:00,1.009,41
2023-12-25 01:00:00,0.999,37
2023-12-26 01:00:00,0.99,62
2023-12-27 01:00:00,0.897,35
2023-12-28 01:00:00,0.964,33
2023-12-29 01:00:00,0.975,37
2023-12-30 01:00:00,0.922,23
2023-12-31 01:00:00,0.93,27
2024-01-01 01:00:00,0.938,33
2024-01-02 01:00:00,0.926,82
2024-01-03 01:00:00,0.928,15
2024-01-04 01:00:00,0.883,21
2024-01-05 01:00:00,0.889,22
2024-01-06 01:00:00,0.931,12
2024-01-07 01:00:00,0.934,9
2024-01-08 01:00:00,0.934,18
2024-01-09 01:00:00,0.937,13
2024-01-10 01:00:00,0.951,13
2024-01-11 01:00:00,0.93,19
2024-01-12 01:00:00,0.956,22
2024-01-13 01:00:00,0.923,24
2024-01-14 01:00:00,0.938,26
2024-01-15 01:00:00,0.979,31
2024-01-16 01:00:00,0.904,16
2024-01-17 01:00:00,0.92,18
2024-01-18 01:00:00,0.891,10
2024-01-19 01:00:00,0.945,40
2024-01-20 01:00:00,0.931,34
2024-01-21 01:00:00,0.915,40
2024-01-22 01:00:00,0.873,32
2024-01-23 01:00:00,0.876,34
2024-01-24 01:00:00,0.864,13
2024-01-25 01:00:00,0.831,45
2024-01-26 01:00:00,0.848,55
2024-01-27 01:00:00,0.831,9
2024-01-28 01:00:00,0.829,20
2024-01-29 01:00:00,0.824,13
2024-01-30 01:00:00,0.809,13
2024-01-31 01:00:00,0.802,23
2024-02-01 01:00:00,0.801,15
2024-02-02 01:00:00,0.86,35
2024-02-03 01:00:00,0.839,17
2024-02-04 01:00:00,0.868,15
2024-02-05 01:00:00,0.898,14
2024-02-06 01:00:00,0.81,15
2024-02-07 01:00:00,0.857,56
2024-02-08 01:00:00,0.907,25
2024-02-09 01:00:00,0.877,38
2024-02-10 01:00:00,0.892,27
2024-02-11 01:00:00,0.861,11
2024-02-12 01:00:00,0.853,31
2024-02-13 01:00:00,0.853,30
2024-02-14 01:00:00,0.872,28
2024-02-15 01:00:00,0.88,26
2024-02-16 01:00:00,0.826,34
2024-02-17 01:00:00,0.84,35
2024-02-18 01:00:00,0.834,28
2024-02-19 01:00:00,0.84,20
2024-02-20 01:00:00,0.846,21
2024-02-21 01:00:00,0.898,49
2024-02-22 01:00:00,0.867,17
2024-02-23 01:00:00,0.822,15
2024-02-24 01:00:00,0.851,10
2024-02-25 01:00:00,0.852,33
2024-02-26 01:00:00,0.915,12
2024-02-27 01:00:00,0.912,24
2024-02-28 01:00:00,0.918,39
2024-02-29 01:00:00,0.926,121
2024-03-01 01:00:00,1.002,36
2024-03-02 01:00:00,1.08,13
2024-03-03 01:00:00,1.055,52
2024-03-04 01:00:00,1.064,47
2024-03-05 01:00:00,1.088,7
2024-03-06 01:00:00,0.958,21
2024-03-07 01:00:00,0.921,16
2024-03-08 01:00:00,0.911,20
2024-03-09 01:00:00,0.909,23
2024-03-10 01:00:00,0.942,23
2024-03-11 01:00:00,0.98,23
2024-03-12 01:00:00,0.989,31
2024-03-13 01:00:00,1.005,13
2024-03-14 01:00:00,0.898,92
2024-03-15 01:00:00,0.814,37
2024-03-16 01:00:00,0.815,17
2024-03-17 01:00:00,0.79,18
