date,price,volume
2014-10-01 01:00:00,2.511,90
2014-10-02 01:00:00,2.223,147
2014-10-03 01:00:00,1.889,125
2014-10-04 01:00:00,2.052,103
2014-10-05 01:00:00,2.085,94
2014-10-06 01:00:00,2.245,57
2014-10-07 01:00:00,1.903,74
2014-10-08 01:00:00,1.867,78
2014-10-09 01:00:00,1.793,109
2014-10-10 01:00:00,1.196,324
2014-10-11 01:00:00,1.154,298
2014-10-12 01:00:00,1.134,219
2014-10-13 01:00:00,1.139,171
2014-10-14 01:00:00,1.162,131
2014-10-15 01:00:00,1.155,139
2014-10-16 01:00:00,1.183,136
2014-10-17 01:00:00,1.179,144
2014-10-18 01:00:00,1.11,138
2014-10-19 01:00:00,1.058,112
2014-10-20 01:00:00,1.09,111
2014-10-21 01:00:00,1.095,121
2014-10-22 01:00:00,1.113,118
2014-10-23 01:00:00,1.122,112
2014-10-24 01:00:00,1.124,115
2014-10-25 01:00:00,1.133,174
2014-10-26 01:00:00,1.134,154
2014-10-27 01:00:00,1.155,120
2014-10-28 01:00:00,1.156,138
2014-10-29 01:00:00,1.096,121
2014-10-30 01:00:00,1.091,125
2014-10-31 01:00:00,1.086,137
2014-11-01 01:00:00,1.092,124
2014-11-02 01:00:00,1.094,135
2014-11-03 01:00:00,1.12,122
2014-11-04 01:00:00,1.119,87
2014-11-05 01:00:00,1.108,95
2014-11-06 01:00:00,1.095,81
2014-11-07 01:00:00,1.039,106
2014-11-08 01:00:00,1.046,118
2014-11-09 01:00:00,1.075,107
2014-11-10 01:00:00,1.069,91
2014-11-11 01:00:00,1.066,75
2014-11-12 01:00:00,0.826,210
2014-11-13 01:00:00,0.853,107
2014-11-14 01:00:00,0.901,129
2014-11-15 01:00:00,0.97,155
2014-11-16 01:00:00,1.021,160
2014-11-17 01:00:00,1.031,103
2014-11-18 01:00:00,1.026,107
2014-11-19 01:00:00,1.011,87
2014-11-20 01:00:00,1.023,85
2014-11-21 01:00:00,0.98,113
2014-11-22 01:00:00,0.957,111
2014-11-23 01:00:00,0.918,104
2014-11-24 01:00:00,0.946,58
2014-11-25 01:00:00,0.964,73
2014-11-26 01:00:00,1.004,81
2014-11-27 01:00:00,0.99,100
2014-11-28 01:00:00,1.036,102
2014-11-29 01:00:00,0.897,76
2014-11-30 01:00:00,0.861,140
2014-12-01 01:00:00,1.027,74
2014-12-02 01:00:00,1.072,83
2014-12-03 01:00:00,1.099,61
2014-12-04 01:00:00,1.08,66
2014-12-05 01:00:00,1.098,96
2014-12-06 01:00:00,1.104,87
2014-12-07 01:00:00,1.133,110
2014-12-08 01:00:00,1.115,82
2014-12-09 01:00:00,1.101,66
2014-12-10 01:00:00,1.146,87
2014-12-11 01:00:00,1.154,82
2014-12-12 01:00:00,1.132,73
2014-12-13 01:00:00,1.182,71
2014-12-14 01:00:00,1.174,61
2014-12-15 01:00:00,1.208,63
2014-12-16 01:00:00,1.141,45
2014-12-17 01:00:00,1.225,52
2014-12-18 01:00:00,1.19,46
2014-12-19 01:00:00,1.234,61
2014-12-20 01:00:00,1.26,57
2014-12-21 01:00:00,1.331,44
2014-12-22 01:00:00,1.274,36
