date,price,volume
2023-05-04 01:00:00,25.013,3
2023-05-05 01:00:00,4.132,3021
2023-05-06 01:00:00,3.192,684
2023-05-07 01:00:00,2.821,429
2023-05-08 01:00:00,2.992,488
2023-05-09 01:00:00,2.789,195
2023-05-10 01:00:00,2.778,180
2023-05-11 01:00:00,2.367,235
2023-05-12 01:00:00,2.32,180
2023-05-13 01:00:00,1.971,217
2023-05-14 01:00:00,1.885,164
2023-05-15 01:00:00,2.098,172
2023-05-16 01:00:00,2.155,202
2023-05-17 01:00:00,2.132,138
2023-05-18 01:00:00,2.08,169
2023-05-19 01:00:00,2.141,152
2023-05-20 01:00:00,1.954,113
2023-05-21 01:00:00,1.844,184
2023-05-22 01:00:00,1.842,149
2023-05-23 01:00:00,1.822,117
2023-05-24 01:00:00,1.747,130
2023-05-25 01:00:00,1.637,134
2023-05-26 01:00:00,1.54,114
2023-05-27 01:00:00,1.668,144
2023-05-28 01:00:00,1.758,104
2023-05-29 01:00:00,1.832,117
2023-05-30 01:00:00,1.649,104
2023-05-31 01:00:00,1.649,103
2023-06-01 01:00:00,1.735,105
2023-06-02 01:00:00,1.633,73
2023-06-03 01:00:00,1.742,115
2023-06-04 01:00:00,1.695,94
2023-06-05 01:00:00,1.63,71
2023-06-06 01:00:00,1.632,75
2023-06-07 01:00:00,1.71,58
2023-06-08 01:00:00,1.775,61
2023-06-09 01:00:00,1.659,71
2023-06-10 01:00:00,1.548,72
2023-06-11 01:00:00,1.746,75
2023-06-12 01:00:00,1.741,61
2023-06-13 01:00:00,1.82,69
2023-06-14 01:00:00,1.8,51
2023-06-15 01:00:00,1.669,66
2023-06-16 01:00:00,1.79,39
2023-06-17 01:00:00,1.923,47
2023-06-18 01:00:00,1.99,56
2023-06-19 01:00:00,1.977,38
2023-06-20 01:00:00,1.745,34
2023-06-21 01:00:00,1.825,43
2023-06-22 01:00:00,1.684,50
2023-06-23 01:00:00,1.127,2569
2023-06-24 01:00:00,1.212,1442
2023-06-25 01:00:00,1.219,1348
2023-06-26 01:00:00,1.506,1585
2023-06-27 01:00:00,1.992,1398
2023-06-28 01:00:00,1.476,1369
2023-06-29 01:00:00,1.333,1193
2023-06-30 01:00:00,1.365,1090
2023-07-01 01:00:00,1.599,1395
2023-07-02 01:00:00,1.611,1952
2023-07-03 01:00:00,1.477,1711
2023-07-04 01:00:00,1.481,1544
2023-07-05 01:00:00,1.433,1518
2023-07-06 01:00:00,1.413,1477
2023-07-07 01:00:00,1.448,1694
2023-07-08 01:00:00,1.447,1864
2023-07-09 01:00:00,1.395,1926
2023-07-10 01:00:00,1.404,1891
2023-07-11 01:00:00,1.394,1610
2023-07-12 01:00:00,1.271,1721
2023-07-13 01:00:00,1.245,1429
2023-07-14 01:00:00,1.21,1417
2023-07-15 01:00:00,1.155,1374
2023-07-16 01:00:00,1.14,1421
2023-07-17 01:00:00,1.132,1437
2023-07-18 01:00:00,1.149,1586
2023-07-19 01:00:00,1.156,1694
2023-07-20 01:00:00,1.218,1588
2023-07-21 01:00:00,1.226,1667
2023-07-22 01:00:00,1.254,1560
2023-07-23 01:00:00,1.249,2181
2023-07-24 01:00:00,1.225,2375
2023-07-25 01:00:00,1.207,2563
2023-07-26 01:00:00,1.18,2428
2023-07-27 01:00:00,1.131,2088
