date,price,volume
2022-10-21 01:00:00,0.189,39
2022-10-22 01:00:00,0.37,400
2022-10-23 01:00:00,0.337,159
2022-10-24 01:00:00,0.312,147
2022-10-25 01:00:00,0.349,84
2022-10-26 01:00:00,0.303,69
2022-10-27 01:00:00,0.307,99
2022-10-28 01:00:00,0.29,72
2022-10-29 01:00:00,0.286,100
2022-10-30 01:00:00,0.328,64
2022-10-31 01:00:00,0.329,54
2022-11-01 01:00:00,0.317,73
2022-11-02 01:00:00,0.315,91
2022-11-03 01:00:00,0.31,47
2022-11-04 01:00:00,0.303,53
2022-11-05 01:00:00,0.307,49
2022-11-06 01:00:00,0.289,51
2022-11-07 01:00:00,0.293,42
2022-11-08 01:00:00,0.282,33
2022-11-09 01:00:00,0.284,36
2022-11-10 01:00:00,0.216,33
2022-11-11 01:00:00,0.232,38
2022-11-12 01:00:00,0.17,61
2022-11-13 01:00:00,0.1,126
2022-11-14 01:00:00,0.123,84
2022-11-15 01:00:00,0.165,97
2022-11-16 01:00:00,0.183,67
2022-11-17 01:00:00,0.208,56
2022-11-18 01:00:00,0.195,29
2022-11-19 01:00:00,0.187,37
2022-11-20 01:00:00,0.169,43
2022-11-21 01:00:00,0.176,24
2022-11-22 01:00:00,0.158,22
2022-11-23 01:00:00,0.156,94
2022-11-24 01:00:00,0.154,28
2022-11-25 01:00:00,0.141,14
2022-11-26 01:00:00,0.117,25
2022-11-27 01:00:00,0.169,30
2022-11-28 01:00:00,0.164,14
2022-11-29 01:00:00,0.15,14
2022-11-30 01:00:00,0.143,16
2022-12-01 01:00:00,0.157,12
2022-12-02 01:00:00,0.129,18
2022-12-03 01:00:00,0.131,23
2022-12-04 01:00:00,0.16,29
2022-12-05 01:00:00,0.168,26
2022-12-06 01:00:00,0.184,18
2022-12-07 01:00:00,0.216,28
2022-12-08 01:00:00,0.187,16
2022-12-09 01:00:00,0.151,9
2022-12-10 01:00:00,0.152,21
2022-12-11 01:00:00,0.183,11
2022-12-12 01:00:00,0.194,16
2022-12-13 01:00:00,0.178,22
2022-12-14 01:00:00,0.045,695
2022-12-15 01:00:00,0.039,240
2022-12-16 01:00:00,0.036,166
2022-12-17 01:00:00,0.034,165
2022-12-18 01:00:00,0.03,155
2022-12-19 01:00:00,0.033,149
2022-12-20 01:00:00,0.039,119
2022-12-21 01:00:00,0.044,149
2022-12-22 01:00:00,0.039,141
2022-12-23 01:00:00,0.032,116
2022-12-24 01:00:00,0.03,111
2022-12-25 01:00:00,0.03,93
2022-12-26 01:00:00,0.03,151
2022-12-27 01:00:00,0.033,88
2022-12-28 01:00:00,0.031,142
2022-12-29 01:00:00,0.034,102
2022-12-30 01:00:00,0.035,109
2022-12-31 01:00:00,0.032,78
2023-01-01 01:00:00,0.04,107
2023-01-02 01:00:00,0.046,162
2023-01-03 01:00:00,0.051,83
2023-01-04 01:00:00,0.044,117
2023-01-05 01:00:00,0.06,161
2023-01-06 01:00:00,0.054,103
2023-01-07 01:00:00,0.066,122
2023-01-08 01:00:00,0.09,107
2023-01-09 01:00:00,0.075,117
2023-01-10 01:00:00,0.089,149
2023-01-11 01:00:00,0.082,103
2023-01-12 01:00:00,0.103,159
2023-01-13 01:00:00,0.106,132
2023-01-14 01:00:00,0.078,134
2023-01-15 01:00:00,0.084,139
2023-01-16 01:00:00,0.083,114
2023-01-17 01:00:00,0.113,169
2023-01-18 01:00:00,0.133,246
2023-01-19 01:00:00,0.128,118
2023-01-20 01:00:00,0.139,134
2023-01-21 01:00:00,0.129,107
2023-01-22 01:00:00,0.123,199
2023-01-23 01:00:00,0.117,135
2023-01-24 01:00:00,0.114,148
2023-01-25 01:00:00,0.14,136
2023-01-26 01:00:00,0.143,182
2023-01-27 01:00:00,0.146,160
