date,price,volume
2022-05-04 01:00:00,0.12,289
2022-05-05 01:00:00,0.126,122
2022-05-06 01:00:00,0.116,81
2022-05-07 01:00:00,0.102,97
2022-05-08 01:00:00,0.099,87
2022-05-09 01:00:00,0.094,65
2022-05-10 01:00:00,0.091,71
2022-05-11 01:00:00,0.086,83
2022-05-12 01:00:00,0.084,119
2022-05-13 01:00:00,0.092,99
2022-05-14 01:00:00,0.103,88
2022-05-15 01:00:00,0.104,67
2022-05-16 01:00:00,0.1,61
2022-05-17 01:00:00,0.088,49
2022-05-18 01:00:00,0.079,64
2022-05-19 01:00:00,0.089,43
2022-05-20 01:00:00,0.094,39
2022-05-21 01:00:00,0.079,39
2022-05-22 01:00:00,0.067,47
2022-05-23 01:00:00,0.062,50
2022-05-24 01:00:00,0.075,65
2022-05-25 01:00:00,0.075,31
2022-05-26 01:00:00,0.072,34
2022-05-27 01:00:00,0.071,22
2022-05-28 01:00:00,0.081,16
2022-05-29 01:00:00,0.098,25
2022-05-30 01:00:00,0.096,16
2022-05-31 01:00:00,0.069,22
2022-06-01 01:00:00,0.084,35
2022-06-02 01:00:00,0.093,132
2022-06-03 01:00:00,0.03,609
2022-06-04 01:00:00,0.03,438
2022-06-05 01:00:00,0.03,368
2022-06-06 01:00:00,0.03,306
2022-06-07 01:00:00,0.03,250
2022-06-08 01:00:00,0.03,287
2022-06-09 01:00:00,0.03,254
2022-06-10 01:00:00,0.03,275
2022-06-11 01:00:00,0.03,303
2022-06-12 01:00:00,0.03,323
2022-06-13 01:00:00,0.03,197
2022-06-14 01:00:00,0.03,198
2022-06-15 01:00:00,0.03,277
2022-06-16 01:00:00,0.03,283
2022-06-17 01:00:00,0.03,377
2022-06-18 01:00:00,0.03,220
2022-06-19 01:00:00,0.03,249
2022-06-20 01:00:00,0.03,226
2022-06-21 01:00:00,0.03,208
2022-06-22 01:00:00,0.03,227
2022-06-23 01:00:00,0.03,214
2022-06-24 01:00:00,0.03,148
2022-06-25 01:00:00,0.03,234
2022-06-26 01:00:00,0.03,155
2022-06-27 01:00:00,0.03,151
2022-06-28 01:00:00,0.03,165
2022-06-29 01:00:00,0.03,133
2022-06-30 01:00:00,0.03,124
2022-07-01 01:00:00,0.03,178
2022-07-02 01:00:00,0.03,240
2022-07-03 01:00:00,0.03,183
2022-07-04 01:00:00,0.03,144
2022-07-05 01:00:00,0.03,212
2022-07-06 01:00:00,0.03,248
