date,price,volume
2024-12-05 09:00:00,0.03,3
2024-12-05 11:00:00,0.03,5
2024-12-05 12:00:00,0.03,5
2024-12-05 13:00:00,0.03,2
2024-12-05 14:00:00,0.05,3
2024-12-05 15:00:00,0.037,7
2024-12-05 16:00:00,0.084,3
2024-12-05 17:00:00,0.076,1
2024-12-05 18:00:00,0.06,3
2024-12-05 19:00:00,0.073,2
2024-12-05 20:00:00,0.067,1
2024-12-05 21:00:00,0.078,2
2024-12-05 22:00:00,0.069,2
2024-12-05 23:00:00,0.08,1
2024-12-06 01:00:00,0.06,3
2024-12-06 02:00:00,0.067,1
2024-12-06 04:00:00,0.035,1
2024-12-06 05:00:00,0.03,1
2024-12-06 06:00:00,0.03,2
2024-12-06 08:00:00,0.03,3
2024-12-06 09:00:00,0.031,4
2024-12-06 10:00:00,0.036,3
2024-12-06 11:00:00,0.034,1
2024-12-06 14:00:00,0.03,5
2024-12-06 15:00:00,0.03,8
2024-12-06 16:00:00,0.036,5
2024-12-06 17:00:00,0.034,5
2024-12-06 18:00:00,0.036,3
2024-12-06 20:00:00,0.049,2
2024-12-06 22:00:00,0.051,1
2024-12-07 03:00:00,0.043,1
2024-12-07 09:00:00,0.042,3
2024-12-07 10:00:00,0.03,2
2024-12-07 11:00:00,0.03,2
2024-12-07 12:00:00,0.03,6
2024-12-07 13:00:00,0.03,1
2024-12-07 14:00:00,0.03,4
2024-12-07 15:00:00,0.053,1
2024-12-07 16:00:00,0.03,3
2024-12-07 18:00:00,0.03,2
2024-12-07 20:00:00,0.03,1
2024-12-07 21:00:00,0.044,2
2024-12-07 22:00:00,0.03,5
2024-12-07 23:00:00,0.033,2
2024-12-08 00:00:00,0.031,2
2024-12-08 01:00:00,0.046,2
2024-12-08 02:00:00,0.053,1
2024-12-08 09:00:00,0.04,3
2024-12-08 10:00:00,0.03,2
2024-12-08 11:00:00,0.03,4
2024-12-08 12:00:00,0.05,5
2024-12-08 13:00:00,0.037,2
2024-12-08 15:00:00,0.042,3
2024-12-08 16:00:00,0.03,1
2024-12-08 17:00:00,0.03,1
2024-12-08 18:00:00,0.053,5
2024-12-08 19:00:00,0.03,1
2024-12-08 20:00:00,0.03,5
2024-12-08 22:00:00,0.03,1
2024-12-08 23:00:00,0.03,2
2024-12-09 00:00:00,0.044,3
2024-12-09 06:00:00,0.036,1
2024-12-09 07:00:00,0.041,1
2024-12-09 08:00:00,0.042,1
2024-12-09 09:00:00,0.063,1
2024-12-09 12:00:00,0.035,1
2024-12-09 14:00:00,0.032,2
2024-12-09 17:00:00,0.038,1
2024-12-09 18:00:00,0.053,1
2024-12-09 20:00:00,0.03,1
2024-12-09 23:00:00,0.033,2
2024-12-10 00:00:00,0.042,1
2024-12-10 01:00:00,0.03,1
2024-12-10 02:00:00,0.03,1
2024-12-10 04:00:00,0.03,3
2024-12-10 08:00:00,0.036,2
2024-12-10 10:00:00,0.04,1
2024-12-10 11:00:00,0.045,1
2024-12-10 14:00:00,0.03,1
2024-12-10 15:00:00,0.03,2
2024-12-10 17:00:00,0.05,1
2024-12-10 19:00:00,0.04,4
2024-12-10 20:00:00,0.042,1
2024-12-11 06:00:00,0.05,1
2024-12-11 08:00:00,0.05,2
2024-12-11 09:00:00,0.031,1
2024-12-11 10:00:00,0.03,1
2024-12-11 11:00:00,0.05,1
2024-12-11 12:00:00,0.042,2
2024-12-11 13:00:00,0.031,2
2024-12-11 16:00:00,0.031,3
2024-12-11 18:00:00,0.03,1
2024-12-11 19:00:00,0.03,3
2024-12-11 22:00:00,0.03,2
2024-12-11 23:00:00,0.03,2
2024-12-12 00:00:00,0.035,1
2024-12-12 01:00:00,0.038,4
2024-12-12 06:00:00,0.03,1
2024-12-12 09:00:00,0.036,4
2024-12-12 10:00:00,0.052,4
2024-12-12 12:00:00,0.044,3
2024-12-12 15:00:00,0.044,1
2024-12-12 16:00:00,0.035,2
2024-12-12 17:00:00,0.039,1
2024-12-12 18:00:00,0.043,1
2024-12-12 19:00:00,0.03,2
2024-12-12 20:00:00,0.03,1
2024-12-12 21:00:00,0.05,1
2024-12-12 23:00:00,0.037,2
2024-12-13 00:00:00,0.037,4
2024-12-13 02:00:00,0.046,1
2024-12-13 03:00:00,0.047,2
