date,price,volume
2022-05-04 01:00:00,0.443,766
2022-05-05 01:00:00,0.48,231
2022-05-06 01:00:00,0.373,185
2022-05-07 01:00:00,0.4,161
2022-05-08 01:00:00,0.432,166
2022-05-09 01:00:00,0.476,119
2022-05-10 01:00:00,0.443,112
2022-05-11 01:00:00,0.477,99
2022-05-12 01:00:00,0.43,81
2022-05-13 01:00:00,0.391,94
2022-05-14 01:00:00,0.373,85
2022-05-15 01:00:00,0.35,81
2022-05-16 01:00:00,0.331,69
2022-05-17 01:00:00,0.313,90
2022-05-18 01:00:00,0.293,104
2022-05-19 01:00:00,0.252,95
2022-05-20 01:00:00,0.202,80
2022-05-21 01:00:00,0.208,91
2022-05-22 01:00:00,0.21,90
2022-05-23 01:00:00,0.215,77
2022-05-24 01:00:00,0.201,83
2022-05-25 01:00:00,0.202,96
2022-05-26 01:00:00,0.23,73
2022-05-27 01:00:00,0.208,68
2022-05-28 01:00:00,0.238,51
2022-05-29 01:00:00,0.217,88
2022-05-30 01:00:00,0.178,76
2022-05-31 01:00:00,0.167,81
2022-06-01 01:00:00,0.173,60
2022-06-02 01:00:00,0.175,219
2022-06-03 01:00:00,0.044,872
2022-06-04 01:00:00,0.049,637
2022-06-05 01:00:00,0.052,551
2022-06-06 01:00:00,0.052,578
2022-06-07 01:00:00,0.044,571
2022-06-08 01:00:00,0.051,614
2022-06-09 01:00:00,0.061,909
2022-06-10 01:00:00,0.061,1041
2022-06-11 01:00:00,0.056,1232
2022-06-12 01:00:00,0.046,884
2022-06-13 01:00:00,0.043,834
2022-06-14 01:00:00,0.045,968
2022-06-15 01:00:00,0.046,1360
2022-06-16 01:00:00,0.039,1242
2022-06-17 01:00:00,0.038,876
2022-06-18 01:00:00,0.031,1002
2022-06-19 01:00:00,0.033,871
2022-06-20 01:00:00,0.032,936
2022-06-21 01:00:00,0.034,817
2022-06-22 01:00:00,0.03,775
2022-06-23 01:00:00,0.034,753
2022-06-24 01:00:00,0.034,853
2022-06-25 01:00:00,0.03,673
2022-06-26 01:00:00,0.03,662
