date,price,volume
2024-12-05 10:00:00,0.121,3
2024-12-05 11:00:00,0.1,9
2024-12-05 12:00:00,0.115,18
2024-12-05 13:00:00,0.137,5
2024-12-05 14:00:00,0.121,2
2024-12-05 15:00:00,0.138,1
2024-12-05 17:00:00,0.113,4
2024-12-05 18:00:00,0.136,5
2024-12-05 19:00:00,0.107,1
2024-12-05 20:00:00,0.109,4
2024-12-05 21:00:00,0.11,13
2024-12-05 22:00:00,0.116,3
2024-12-05 23:00:00,0.111,2
2024-12-06 00:00:00,0.115,1
2024-12-06 01:00:00,0.11,2
2024-12-06 02:00:00,0.122,4
2024-12-06 03:00:00,0.12,4
2024-12-06 04:00:00,0.115,1
2024-12-06 05:00:00,0.127,1
2024-12-06 07:00:00,0.127,10
2024-12-06 08:00:00,0.128,2
2024-12-06 09:00:00,0.131,20
2024-12-06 10:00:00,0.129,6
2024-12-06 11:00:00,0.131,5
2024-12-06 12:00:00,0.131,9
2024-12-06 13:00:00,0.132,6
2024-12-06 14:00:00,0.134,9
2024-12-06 15:00:00,0.142,8
2024-12-06 16:00:00,0.163,1
2024-12-06 17:00:00,0.164,4
2024-12-06 18:00:00,0.224,17
2024-12-06 19:00:00,0.211,3
2024-12-06 21:00:00,0.185,4
2024-12-06 22:00:00,0.195,5
2024-12-07 00:00:00,0.214,1
2024-12-07 01:00:00,0.196,2
2024-12-07 02:00:00,0.204,4
2024-12-07 04:00:00,0.179,1
2024-12-07 05:00:00,0.19,1
2024-12-07 07:00:00,0.196,1
2024-12-07 08:00:00,0.206,2
2024-12-07 09:00:00,0.166,6
2024-12-07 10:00:00,0.169,1
2024-12-07 11:00:00,0.197,10
2024-12-07 12:00:00,0.174,2
2024-12-07 13:00:00,0.183,3
2024-12-07 14:00:00,0.232,5
2024-12-07 17:00:00,0.194,2
2024-12-07 18:00:00,0.157,2
2024-12-07 19:00:00,0.172,5
2024-12-07 21:00:00,0.181,2
2024-12-07 22:00:00,0.169,2
2024-12-07 23:00:00,0.174,9
2024-12-08 00:00:00,0.158,1
2024-12-08 01:00:00,0.155,1
2024-12-08 02:00:00,0.155,2
2024-12-08 03:00:00,0.174,1
2024-12-08 04:00:00,0.179,2
2024-12-08 05:00:00,0.182,1
2024-12-08 09:00:00,0.179,1
2024-12-08 10:00:00,0.173,3
2024-12-08 11:00:00,0.179,1
2024-12-08 12:00:00,0.186,1
2024-12-08 13:00:00,0.173,5
2024-12-08 14:00:00,0.18,4
2024-12-08 15:00:00,0.184,3
2024-12-08 16:00:00,0.179,2
2024-12-08 18:00:00,0.13,2
2024-12-08 19:00:00,0.129,4
2024-12-08 20:00:00,0.144,1
2024-12-08 22:00:00,0.153,3
2024-12-08 23:00:00,0.131,2
2024-12-09 00:00:00,0.133,4
2024-12-09 02:00:00,0.123,5
2024-12-09 03:00:00,0.124,3
2024-12-09 04:00:00,0.133,1
2024-12-09 05:00:00,0.141,2
2024-12-09 06:00:00,0.15,1
2024-12-09 08:00:00,0.14,1
2024-12-09 09:00:00,0.131,2
2024-12-09 10:00:00,0.109,1
2024-12-09 11:00:00,0.108,3
2024-12-09 12:00:00,0.126,9
2024-12-09 13:00:00,0.109,1
2024-12-09 14:00:00,0.108,1
2024-12-09 15:00:00,0.112,2
2024-12-09 16:00:00,0.097,2
2024-12-09 17:00:00,0.097,2
2024-12-09 18:00:00,0.099,2
2024-12-09 19:00:00,0.106,3
2024-12-09 20:00:00,0.081,3
2024-12-09 22:00:00,0.106,1
2024-12-09 23:00:00,0.099,3
2024-12-10 02:00:00,0.089,3
2024-12-10 03:00:00,0.101,1
2024-12-10 04:00:00,0.114,1
2024-12-10 07:00:00,0.12,7
2024-12-10 11:00:00,0.057,1
2024-12-10 13:00:00,0.138,2
2024-12-10 15:00:00,0.146,2
2024-12-10 16:00:00,0.129,2
2024-12-10 17:00:00,0.132,3
2024-12-10 18:00:00,0.111,1
2024-12-10 19:00:00,0.127,1
2024-12-10 21:00:00,0.1,2
2024-12-10 23:00:00,0.134,7
2024-12-11 00:00:00,0.154,2
2024-12-11 01:00:00,0.185,2
2024-12-11 02:00:00,0.192,1
2024-12-11 04:00:00,0.202,1
2024-12-11 05:00:00,0.205,1
2024-12-11 06:00:00,0.2,4
2024-12-11 09:00:00,0.097,4
2024-12-11 11:00:00,0.059,1
2024-12-11 12:00:00,0.057,2
2024-12-11 13:00:00,0.093,1
2024-12-11 19:00:00,0.057,1
2024-12-11 21:00:00,0.095,1
2024-12-11 22:00:00,0.078,3
2024-12-11 23:00:00,0.059,2
2024-12-12 00:00:00,0.084,1
2024-12-12 01:00:00,0.088,5
2024-12-12 04:00:00,0.091,1
2024-12-12 05:00:00,0.091,4
2024-12-12 10:00:00,0.076,2
2024-12-12 11:00:00,0.1,1
2024-12-12 12:00:00,0.048,1
2024-12-12 13:00:00,0.094,7
2024-12-12 14:00:00,0.048,1
2024-12-12 15:00:00,0.069,1
2024-12-12 16:00:00,0.105,3
2024-12-12 18:00:00,0.11,4
2024-12-12 19:00:00,0.135,4
2024-12-12 20:00:00,0.147,3
2024-12-12 23:00:00,0.173,1
2024-12-13 00:00:00,0.101,1
2024-12-13 01:00:00,0.192,1
2024-12-13 04:00:00,0.163,1
2024-12-13 08:00:00,0.179,2
