date,price,volume
2022-05-04 01:00:00,0.225,1719
2022-05-05 01:00:00,0.214,636
2022-05-06 01:00:00,0.24,482
2022-05-07 01:00:00,0.302,573
2022-05-08 01:00:00,0.209,534
2022-05-09 01:00:00,0.207,311
2022-05-10 01:00:00,0.217,296
2022-05-11 01:00:00,0.203,428
2022-05-12 01:00:00,0.214,323
2022-05-13 01:00:00,0.225,312
2022-05-14 01:00:00,0.296,510
2022-05-15 01:00:00,0.358,415
2022-05-16 01:00:00,0.372,421
2022-05-17 01:00:00,0.358,292
2022-05-18 01:00:00,0.367,324
2022-05-19 01:00:00,0.369,311
2022-05-20 01:00:00,0.354,339
2022-05-21 01:00:00,0.377,380
2022-05-22 01:00:00,0.392,959
2022-05-23 01:00:00,0.207,524
2022-05-24 01:00:00,0.203,449
2022-05-25 01:00:00,0.217,361
2022-05-26 01:00:00,0.218,213
2022-05-27 01:00:00,0.211,242
2022-05-28 01:00:00,0.249,334
2022-05-29 01:00:00,0.262,279
2022-05-30 01:00:00,0.265,197
2022-05-31 01:00:00,0.249,306
2022-06-01 01:00:00,0.339,571
2022-06-02 01:00:00,0.351,951
2022-06-03 01:00:00,0.099,3490
2022-06-04 01:00:00,0.069,2307
2022-06-05 01:00:00,0.073,1869
2022-06-06 01:00:00,0.088,1691
2022-06-07 01:00:00,0.106,1575
2022-06-08 01:00:00,0.091,1316
2022-06-09 01:00:00,0.098,1283
2022-06-10 01:00:00,0.097,1684
2022-06-11 01:00:00,0.097,3424
2022-06-12 01:00:00,0.076,2020
2022-06-13 01:00:00,0.066,2253
2022-06-14 01:00:00,0.061,1386
2022-06-15 01:00:00,0.068,2264
2022-06-16 01:00:00,0.075,1769
2022-06-17 01:00:00,0.1,2401
2022-06-18 01:00:00,0.107,2385
2022-06-19 01:00:00,0.1,2032
2022-06-20 01:00:00,0.083,1071
2022-06-21 01:00:00,0.08,1472
2022-06-22 01:00:00,0.074,1039
2022-06-23 01:00:00,0.068,1119
2022-06-24 01:00:00,0.071,1428
2022-06-25 01:00:00,0.059,757
2022-06-26 01:00:00,0.058,719
2022-06-27 01:00:00,0.055,772
2022-06-28 01:00:00,0.058,830
2022-06-29 01:00:00,0.053,683
2022-06-30 01:00:00,0.054,1138
2022-07-01 01:00:00,0.052,941
2022-07-02 01:00:00,0.053,1011
2022-07-03 01:00:00,0.054,1045
2022-07-04 01:00:00,0.052,938
2022-07-05 01:00:00,0.052,842
2022-07-06 01:00:00,0.054,1163
2022-07-07 01:00:00,0.056,1091
2022-07-08 01:00:00,0.05,726
2022-07-09 01:00:00,0.047,741
2022-07-10 01:00:00,0.048,961
2022-07-11 01:00:00,0.046,732
2022-07-12 01:00:00,0.048,813
2022-07-13 01:00:00,0.052,573
2022-07-14 01:00:00,0.052,999
2022-07-15 01:00:00,0.057,848
2022-07-16 01:00:00,0.058,747
2022-07-17 01:00:00,0.06,989
2022-07-18 01:00:00,0.06,653
2022-07-19 01:00:00,0.059,652
2022-07-20 01:00:00,0.065,680
2022-07-21 01:00:00,0.058,721
2022-07-22 01:00:00,0.062,680
2022-07-23 01:00:00,0.064,659
2022-07-24 01:00:00,0.061,776
2022-07-25 01:00:00,0.062,739
2022-07-26 01:00:00,0.062,720
2022-07-27 01:00:00,0.063,765
2022-07-28 01:00:00,0.062,583
2022-07-29 01:00:00,0.062,490
2022-07-30 01:00:00,0.061,546
2022-07-31 01:00:00,0.06,603
2022-08-01 01:00:00,0.062,825
2022-08-02 01:00:00,0.066,656
2022-08-03 01:00:00,0.067,822
2022-08-04 01:00:00,0.067,820
2022-08-05 01:00:00,0.07,883
2022-08-06 01:00:00,0.069,615
2022-08-07 01:00:00,0.074,743
2022-08-08 01:00:00,0.073,700
2022-08-09 01:00:00,0.083,1195
2022-08-10 01:00:00,0.077,833
2022-08-11 01:00:00,0.074,1113
2022-08-12 01:00:00,0.068,523
2022-08-13 01:00:00,0.074,2058
2022-08-14 01:00:00,0.078,759
2022-08-15 01:00:00,0.091,981
2022-08-16 01:00:00,0.085,640
2022-08-17 01:00:00,0.074,716
2022-08-18 01:00:00,0.072,597
2022-08-19 01:00:00,0.073,543
2022-08-20 01:00:00,0.071,436
2022-08-21 01:00:00,0.069,497
2022-08-22 01:00:00,0.074,604
2022-08-23 01:00:00,0.078,409
2022-08-24 01:00:00,0.068,455
2022-08-25 01:00:00,0.065,456
2022-08-26 01:00:00,0.063,440
2022-08-27 01:00:00,0.069,442
2022-08-28 01:00:00,0.069,385
2022-08-29 01:00:00,0.062,276
2022-08-30 01:00:00,0.063,377
2022-08-31 01:00:00,0.068,417
2022-09-01 01:00:00,0.061,377
2022-09-02 01:00:00,0.058,864
2022-09-03 01:00:00,0.057,430
2022-09-04 01:00:00,0.057,397
2022-09-05 01:00:00,0.056,401
2022-09-06 01:00:00,0.057,310
2022-09-07 01:00:00,0.054,306
2022-09-08 01:00:00,0.056,340
2022-09-09 01:00:00,0.055,354
2022-09-10 01:00:00,0.054,439
2022-09-11 01:00:00,0.059,520
2022-09-12 01:00:00,0.061,335
2022-09-13 01:00:00,0.06,309
2022-09-14 01:00:00,0.063,672
