date,price,volume
2023-05-05 01:00:00,0.03,2348
2023-05-06 01:00:00,0.03,1167
2023-05-07 01:00:00,0.03,739
2023-05-08 01:00:00,0.03,738
2023-05-09 01:00:00,0.03,464
2023-05-10 01:00:00,0.03,287
2023-05-11 01:00:00,0.03,384
2023-05-12 01:00:00,0.03,421
2023-05-13 01:00:00,0.03,371
2023-05-14 01:00:00,0.03,549
2023-05-15 01:00:00,0.03,336
2023-05-16 01:00:00,0.03,353
2023-05-17 01:00:00,0.03,434
2023-05-18 01:00:00,0.03,481
2023-05-19 01:00:00,0.03,723
2023-05-20 01:00:00,0.03,783
2023-05-21 01:00:00,0.03,677
2023-05-22 01:00:00,0.03,944
2023-05-23 01:00:00,0.03,404
2023-05-24 01:00:00,0.03,766
2023-05-25 01:00:00,0.03,337
2023-05-26 01:00:00,0.03,267
2023-05-27 01:00:00,0.03,187
2023-05-28 01:00:00,0.03,386
2023-05-29 01:00:00,0.03,314
2023-05-30 01:00:00,0.03,200
2023-05-31 01:00:00,0.03,200
2023-06-01 01:00:00,0.03,284
2023-06-02 01:00:00,0.03,333
2023-06-03 01:00:00,0.03,311
2023-06-04 01:00:00,0.03,129
2023-06-05 01:00:00,0.03,152
2023-06-06 01:00:00,0.03,162
2023-06-07 01:00:00,0.03,387
2023-06-08 01:00:00,0.03,144
2023-06-09 01:00:00,0.03,157
2023-06-10 01:00:00,0.03,187
2023-06-11 01:00:00,0.03,125
2023-06-12 01:00:00,0.03,170
2023-06-13 01:00:00,0.03,111
2023-06-14 01:00:00,0.03,110
2023-06-15 01:00:00,0.03,175
2023-06-16 01:00:00,0.03,194
2023-06-17 01:00:00,0.03,148
2023-06-18 01:00:00,0.03,111
2023-06-19 01:00:00,0.03,182
2023-06-20 01:00:00,0.03,187
2023-06-21 01:00:00,0.03,151
2023-06-22 01:00:00,0.03,239
2023-06-23 01:00:00,0.03,2715
2023-06-24 01:00:00,0.03,1506
2023-06-25 01:00:00,0.03,1332
2023-06-26 01:00:00,0.03,994
2023-06-27 01:00:00,0.03,1154
2023-06-28 01:00:00,0.03,1051
2023-06-29 01:00:00,0.03,953
2023-06-30 01:00:00,0.03,1130
2023-07-01 01:00:00,0.03,1043
2023-07-02 01:00:00,0.03,1068
2023-07-03 01:00:00,0.03,1186
2023-07-04 01:00:00,0.03,688
2023-07-05 01:00:00,0.03,893
2023-07-06 01:00:00,0.03,825
2023-07-07 01:00:00,0.03,1009
2023-07-08 01:00:00,0.03,728
2023-07-09 01:00:00,0.03,779
2023-07-10 01:00:00,0.03,835
2023-07-11 01:00:00,0.03,587
2023-07-12 01:00:00,0.03,962
2023-07-13 01:00:00,0.03,608
2023-07-14 01:00:00,0.03,877
2023-07-15 01:00:00,0.03,900
2023-07-16 01:00:00,0.03,629
2023-07-17 01:00:00,0.03,810
2023-07-18 01:00:00,0.03,552
2023-07-19 01:00:00,0.03,854
2023-07-20 01:00:00,0.03,617
2023-07-21 01:00:00,0.03,570
2023-07-22 01:00:00,0.03,612
2023-07-23 01:00:00,0.03,1154
2023-07-24 01:00:00,0.03,799
2023-07-25 01:00:00,0.03,648
2023-07-26 01:00:00,0.03,658
2023-07-27 01:00:00,0.03,796
2023-07-28 01:00:00,0.03,550
2023-07-29 01:00:00,0.03,624
2023-07-30 01:00:00,0.03,867
2023-07-31 01:00:00,0.03,752
2023-08-01 01:00:00,0.03,652
2023-08-02 01:00:00,0.03,983
2023-08-03 01:00:00,0.03,660
2023-08-04 01:00:00,0.03,640
2023-08-05 01:00:00,0.03,510
2023-08-06 01:00:00,0.03,648
2023-08-07 01:00:00,0.03,515
2023-08-08 01:00:00,0.03,414
2023-08-09 01:00:00,0.03,887
2023-08-10 01:00:00,0.03,767
2023-08-11 01:00:00,0.03,623
2023-08-12 01:00:00,0.03,506
2023-08-13 01:00:00,0.03,563
2023-08-14 01:00:00,0.03,469
2023-08-15 01:00:00,0.03,673
2023-08-16 01:00:00,0.03,421
2023-08-17 01:00:00,0.03,773
2023-08-18 01:00:00,0.03,443
2023-08-19 01:00:00,0.03,580
2023-08-20 01:00:00,0.03,806
2023-08-21 01:00:00,0.03,499
2023-08-22 01:00:00,0.03,608
2023-08-23 01:00:00,0.03,1188
2023-08-24 01:00:00,0.03,591
2023-08-25 01:00:00,0.03,490
2023-08-26 01:00:00,0.03,505
2023-08-27 01:00:00,0.03,421
2023-08-28 01:00:00,0.03,760
2023-08-29 01:00:00,0.03,708
2023-08-30 01:00:00,0.03,832
2023-08-31 01:00:00,0.03,578
2023-09-01 01:00:00,0.03,476
2023-09-02 01:00:00,0.03,421
2023-09-03 01:00:00,0.03,670
2023-09-04 01:00:00,0.03,404
2023-09-05 01:00:00,0.03,670
