date,price,volume
2024-12-05 09:00:00,0.03,33
2024-12-05 10:00:00,0.03,28
2024-12-05 11:00:00,0.03,56
2024-12-05 12:00:00,0.03,5
2024-12-05 13:00:00,0.031,40
2024-12-05 14:00:00,0.03,9
2024-12-05 15:00:00,0.03,21
2024-12-05 16:00:00,0.03,22
2024-12-05 17:00:00,0.03,16
2024-12-05 18:00:00,0.03,95
2024-12-05 19:00:00,0.03,7
2024-12-05 20:00:00,0.03,4
2024-12-05 21:00:00,0.031,27
2024-12-06 00:00:00,0.03,4
2024-12-06 01:00:00,0.03,33
2024-12-06 02:00:00,0.03,5
2024-12-06 03:00:00,0.03,6
2024-12-06 04:00:00,0.03,4
2024-12-06 05:00:00,0.03,4
2024-12-06 06:00:00,0.03,1
2024-12-06 07:00:00,0.03,3
2024-12-06 08:00:00,0.03,32
2024-12-06 09:00:00,0.03,35
2024-12-06 10:00:00,0.03,30
2024-12-06 11:00:00,0.03,14
2024-12-06 12:00:00,0.03,23
2024-12-06 13:00:00,0.03,15
2024-12-06 14:00:00,0.03,13
2024-12-06 15:00:00,0.03,27
2024-12-06 16:00:00,0.03,24
2024-12-06 17:00:00,0.03,3
2024-12-06 18:00:00,0.03,19
2024-12-06 19:00:00,0.032,19
2024-12-06 20:00:00,0.03,35
2024-12-06 21:00:00,0.03,27
2024-12-06 22:00:00,0.032,7
2024-12-06 23:00:00,0.032,1
2024-12-07 00:00:00,0.03,3
2024-12-07 01:00:00,0.032,21
2024-12-07 02:00:00,0.03,6
2024-12-07 03:00:00,0.03,5
2024-12-07 04:00:00,0.03,10
2024-12-07 05:00:00,0.03,5
2024-12-07 06:00:00,0.032,16
2024-12-07 07:00:00,0.03,102
2024-12-07 08:00:00,0.032,8
2024-12-07 09:00:00,0.03,20
2024-12-07 10:00:00,0.03,5
2024-12-07 11:00:00,0.03,6
2024-12-07 12:00:00,0.03,12
2024-12-07 13:00:00,0.03,7
2024-12-07 14:00:00,0.03,12
2024-12-07 15:00:00,0.032,32
2024-12-07 16:00:00,0.03,6
2024-12-07 17:00:00,0.03,10
2024-12-07 18:00:00,0.03,8
2024-12-07 19:00:00,0.03,7
2024-12-07 20:00:00,0.032,6
2024-12-07 21:00:00,0.03,14
2024-12-07 22:00:00,0.03,8
2024-12-07 23:00:00,0.03,3
2024-12-08 00:00:00,0.03,1
2024-12-08 01:00:00,0.03,8
2024-12-08 02:00:00,0.03,4
2024-12-08 03:00:00,0.03,4
2024-12-08 04:00:00,0.03,53
2024-12-08 05:00:00,0.032,2
2024-12-08 06:00:00,0.03,5
2024-12-08 07:00:00,0.03,2
2024-12-08 08:00:00,0.032,6
2024-12-08 09:00:00,0.03,5
2024-12-08 10:00:00,0.03,12
2024-12-08 11:00:00,0.032,20
2024-12-08 12:00:00,0.032,20
2024-12-08 13:00:00,0.032,16
2024-12-08 14:00:00,0.03,4
2024-12-08 15:00:00,0.03,14
2024-12-08 16:00:00,0.032,13
2024-12-08 17:00:00,0.032,11
2024-12-08 18:00:00,0.03,7
2024-12-08 19:00:00,0.03,11
2024-12-08 20:00:00,0.03,10
2024-12-08 21:00:00,0.031,4
2024-12-08 22:00:00,0.03,12
2024-12-08 23:00:00,0.032,5
2024-12-09 00:00:00,0.032,2
2024-12-09 03:00:00,0.03,6
2024-12-09 05:00:00,0.03,1
2024-12-09 06:00:00,0.03,2
2024-12-09 08:00:00,0.03,4
2024-12-09 09:00:00,0.03,10
2024-12-09 10:00:00,0.03,7
2024-12-09 11:00:00,0.03,5
2024-12-09 12:00:00,0.032,26
2024-12-09 13:00:00,0.03,8
2024-12-09 14:00:00,0.032,16
2024-12-09 15:00:00,0.032,15
2024-12-09 16:00:00,0.032,1
2024-12-09 17:00:00,0.032,3
2024-12-09 18:00:00,0.03,2
2024-12-09 19:00:00,0.03,3
2024-12-09 20:00:00,0.032,5
2024-12-09 21:00:00,0.03,7
2024-12-09 22:00:00,0.03,4
2024-12-09 23:00:00,0.032,11
2024-12-10 01:00:00,0.03,1
2024-12-10 02:00:00,0.03,1
2024-12-10 03:00:00,0.032,5
2024-12-10 04:00:00,0.03,7
2024-12-10 05:00:00,0.03,1
2024-12-10 06:00:00,0.03,1
2024-12-10 07:00:00,0.03,1
2024-12-10 09:00:00,0.03,5
2024-12-10 10:00:00,0.032,6
2024-12-10 11:00:00,0.03,3
2024-12-10 12:00:00,0.032,10
2024-12-10 13:00:00,0.03,5
2024-12-10 14:00:00,0.03,2
2024-12-10 15:00:00,0.032,10
2024-12-10 16:00:00,0.03,4
2024-12-10 17:00:00,0.032,13
2024-12-10 18:00:00,0.032,10
2024-12-10 19:00:00,0.032,1
2024-12-10 20:00:00,0.037,2
2024-12-10 21:00:00,0.03,11
2024-12-10 22:00:00,0.03,4
2024-12-10 23:00:00,0.03,1
2024-12-11 04:00:00,0.03,2
2024-12-11 05:00:00,0.03,1
2024-12-11 06:00:00,0.03,2
2024-12-11 07:00:00,0.03,3
2024-12-11 09:00:00,0.03,7
2024-12-11 10:00:00,0.03,6
2024-12-11 11:00:00,0.03,5
2024-12-11 12:00:00,0.03,9
2024-12-11 13:00:00,0.03,6
2024-12-11 14:00:00,0.03,6
2024-12-11 15:00:00,0.03,2
2024-12-11 16:00:00,0.03,2
2024-12-11 17:00:00,0.032,2
2024-12-11 18:00:00,0.03,8
2024-12-11 19:00:00,0.032,7
2024-12-11 20:00:00,0.03,3
2024-12-11 21:00:00,0.032,12
2024-12-11 22:00:00,0.031,10
2024-12-11 23:00:00,0.03,2
2024-12-12 00:00:00,0.03,2
2024-12-12 01:00:00,0.03,2
2024-12-12 04:00:00,0.03,1
2024-12-12 06:00:00,0.03,1
2024-12-12 07:00:00,0.031,14
2024-12-12 08:00:00,0.03,2
2024-12-12 09:00:00,0.03,17
2024-12-12 10:00:00,0.031,6
2024-12-12 11:00:00,0.03,3
2024-12-12 12:00:00,0.031,7
2024-12-12 13:00:00,0.03,5
2024-12-12 15:00:00,0.03,2
2024-12-12 16:00:00,0.03,4
2024-12-12 17:00:00,0.03,6
2024-12-12 18:00:00,0.03,2
2024-12-12 19:00:00,0.031,9
2024-12-12 20:00:00,0.03,11
2024-12-12 21:00:00,0.031,6
2024-12-12 22:00:00,0.03,4
2024-12-12 23:00:00,0.031,3
2024-12-13 00:00:00,0.031,5
