date,price,volume
2020-08-07 01:00:00,8.646,288
2020-08-08 01:00:00,6.575,240
2020-08-09 01:00:00,5.357,221
2020-08-10 01:00:00,4.282,201
2020-08-11 01:00:00,4.058,180
2020-08-12 01:00:00,3.751,159
2020-08-13 01:00:00,3.833,172
2020-08-14 01:00:00,4.192,187
2020-08-15 01:00:00,3.972,169
2020-08-16 01:00:00,3.707,179
2020-08-17 01:00:00,3.42,178
2020-08-18 01:00:00,3.562,188
2020-08-19 01:00:00,3.578,220
2020-08-20 01:00:00,3.711,178
2020-08-21 01:00:00,3.624,176
2020-08-22 01:00:00,3.484,167
2020-08-23 01:00:00,3.527,160
2020-08-24 01:00:00,3.289,181
2020-08-25 01:00:00,2.927,176
2020-08-26 01:00:00,2.863,198
2020-08-27 01:00:00,2.789,176
2020-08-28 01:00:00,2.712,172
2020-08-29 01:00:00,2.551,184
2020-08-30 01:00:00,2.24,213
2020-08-31 01:00:00,2.129,175
2020-09-01 01:00:00,2.269,162
2020-09-02 01:00:00,2.32,203
2020-09-03 01:00:00,2.394,149
2020-09-04 01:00:00,2.486,160
2020-09-05 01:00:00,2.603,179
2020-09-06 01:00:00,2.598,174
2020-09-07 01:00:00,2.458,200
2020-09-08 01:00:00,2.596,153
2020-09-09 01:00:00,2.533,154
2020-09-10 01:00:00,2.553,166
2020-09-11 01:00:00,2.664,153
2020-09-12 01:00:00,2.762,174
2020-09-13 01:00:00,2.712,196
2020-09-14 01:00:00,2.633,139
2020-09-15 01:00:00,2.568,163
2020-09-16 01:00:00,2.695,160
2020-09-17 01:00:00,2.679,152
2020-09-18 01:00:00,2.726,188
2020-09-19 01:00:00,2.755,169
2020-09-20 01:00:00,2.668,160
2020-09-21 01:00:00,2.657,183
2020-09-22 01:00:00,2.552,151
2020-09-23 01:00:00,2.275,164
2020-09-24 01:00:00,2.138,155
2020-09-25 01:00:00,2.13,191
2020-09-26 01:00:00,2.084,183
2020-09-27 01:00:00,2.076,208
2020-09-28 01:00:00,1.954,159
2020-09-29 01:00:00,1.884,180
2020-09-30 01:00:00,1.894,148
2020-10-01 01:00:00,1.922,187
2020-10-02 01:00:00,1.991,156
2020-10-03 01:00:00,1.952,199
2020-10-04 01:00:00,1.882,204
2020-10-05 01:00:00,1.931,210
2020-10-06 01:00:00,1.941,163
2020-10-07 01:00:00,2.069,183
2020-10-08 01:00:00,2.026,163
2020-10-09 01:00:00,1.964,169
2020-10-10 01:00:00,1.925,157
2020-10-11 01:00:00,1.945,167
2020-10-12 01:00:00,1.915,172
2020-10-13 01:00:00,1.886,154
2020-10-14 01:00:00,1.888,137
2020-10-15 01:00:00,1.857,158
2020-10-16 01:00:00,1.881,176
2020-10-17 01:00:00,1.909,156
2020-10-18 01:00:00,1.873,143
2020-10-19 01:00:00,1.828,150
2020-10-20 01:00:00,1.887,133
2020-10-21 01:00:00,1.834,138
2020-10-22 01:00:00,1.866,137
2020-10-23 01:00:00,1.831,162
2020-10-24 01:00:00,1.799,190
2020-10-25 01:00:00,1.795,194
2020-10-26 01:00:00,1.78,241
2020-10-27 01:00:00,1.748,182
2020-10-28 01:00:00,1.715,228
2020-10-29 01:00:00,1.688,200
2020-10-30 01:00:00,1.682,251
2020-10-31 01:00:00,1.63,168
2020-11-01 01:00:00,1.612,180
2020-11-02 01:00:00,1.633,199
2020-11-03 01:00:00,1.557,229
2020-11-04 01:00:00,1.621,176
2020-11-05 01:00:00,1.595,195
2020-11-06 01:00:00,1.661,200
2020-11-07 01:00:00,1.654,182
2020-11-08 01:00:00,1.613,188
2020-11-09 01:00:00,1.641,187
2020-11-10 01:00:00,1.696,192
2020-11-11 01:00:00,1.619,150
2020-11-12 01:00:00,1.61,182
2020-11-13 01:00:00,1.609,151
2020-11-14 01:00:00,1.604,210
2020-11-15 01:00:00,1.566,171
2020-11-16 01:00:00,1.536,220
2020-11-17 01:00:00,1.532,195
2020-11-18 01:00:00,1.574,196
2020-11-19 01:00:00,1.556,190
2020-11-20 01:00:00,1.565,187
2020-11-21 01:00:00,1.522,222
2020-11-22 01:00:00,1.481,200
2020-11-23 01:00:00,1.427,191
2020-11-24 01:00:00,1.448,174
2020-11-25 01:00:00,1.408,214
2020-11-26 01:00:00,1.363,199
2020-11-27 01:00:00,1.238,241
2020-11-28 01:00:00,1.286,221
2020-11-29 01:00:00,1.225,212
2020-11-30 01:00:00,1.211,190
2020-12-01 01:00:00,1.174,201
2020-12-02 01:00:00,1.155,188
2020-12-03 01:00:00,1.136,260
2020-12-04 01:00:00,1.019,258
2020-12-05 01:00:00,1.019,254
2020-12-06 01:00:00,1.019,192
2020-12-07 01:00:00,1.044,207
2020-12-08 01:00:00,1.056,171
2020-12-09 01:00:00,1.058,180
2020-12-10 01:00:00,1.056,193
2020-12-11 01:00:00,1.055,162
2020-12-12 01:00:00,1.081,207
2020-12-13 01:00:00,1.093,218
2020-12-14 01:00:00,1.103,192
2020-12-15 01:00:00,1.115,159
2020-12-16 01:00:00,1.122,188
2020-12-17 01:00:00,1.125,219
2020-12-18 01:00:00,1.16,247
2020-12-19 01:00:00,1.209,278
2020-12-20 01:00:00,1.24,254
2020-12-21 01:00:00,1.232,168
2020-12-22 01:00:00,1.176,180
2020-12-23 01:00:00,1.136,241
2020-12-24 01:00:00,1.139,213
2020-12-25 01:00:00,1.18,269
2020-12-26 01:00:00,1.19,216
2020-12-27 01:00:00,1.169,145
2020-12-28 01:00:00,1.207,206
2020-12-29 01:00:00,1.248,228
2020-12-30 01:00:00,1.27,275
2020-12-31 01:00:00,1.308,241
2021-01-01 01:00:00,1.281,208
2021-01-02 01:00:00,1.272,202
2021-01-03 01:00:00,1.274,216
2021-01-04 01:00:00,1.317,208
2021-01-05 01:00:00,1.315,194
2021-01-06 01:00:00,1.311,226
2021-01-07 01:00:00,1.323,202
2021-01-08 01:00:00,1.303,238
2021-01-09 01:00:00,1.326,266
2021-01-10 01:00:00,1.347,247
2021-01-11 01:00:00,1.348,183
2021-01-12 01:00:00,1.316,198
2021-01-13 01:00:00,1.35,206
2021-01-14 01:00:00,1.374,210
2021-01-15 01:00:00,1.388,267
2021-01-16 01:00:00,1.385,212
2021-01-17 01:00:00,1.365,217
2021-01-18 01:00:00,1.397,228
2021-01-19 01:00:00,1.442,349
2021-01-20 01:00:00,1.385,264
2021-01-21 01:00:00,1.363,201
2021-01-22 01:00:00,1.362,193
2021-01-23 01:00:00,1.343,223
2021-01-24 01:00:00,1.349,212
2021-01-25 01:00:00,1.352,206
2021-01-26 01:00:00,1.345,223
2021-01-27 01:00:00,1.351,203
2021-01-28 01:00:00,1.284,325
2021-01-29 01:00:00,1.246,242
2021-01-30 01:00:00,1.27,276
2021-01-31 01:00:00,1.248,226
2021-02-01 01:00:00,1.28,212
2021-02-02 01:00:00,1.257,189
2021-02-03 01:00:00,1.273,184
2021-02-04 01:00:00,1.264,260
2021-02-05 01:00:00,1.243,218
2021-02-06 01:00:00,1.269,242
2021-02-07 01:00:00,1.258,194
2021-02-08 01:00:00,1.244,202
2021-02-09 01:00:00,1.226,203
2021-02-10 01:00:00,1.221,221
2021-02-11 01:00:00,1.204,212
2021-02-12 01:00:00,1.202,194
2021-02-13 01:00:00,1.194,233
2021-02-14 01:00:00,1.136,203
2021-02-15 01:00:00,1.118,216
2021-02-16 01:00:00,1.149,274
2021-02-17 01:00:00,1.166,231
2021-02-18 01:00:00,1.179,235
2021-02-19 01:00:00,1.184,213
2021-02-20 01:00:00,1.159,232
2021-02-21 01:00:00,1.17,269
2021-02-22 01:00:00,1.189,187
2021-02-23 01:00:00,1.178,196
2021-02-24 01:00:00,1.182,224
2021-02-25 01:00:00,1.18,227
2021-02-26 01:00:00,1.168,241
2021-02-27 01:00:00,1.171,218
2021-02-28 01:00:00,1.199,270
2021-03-01 01:00:00,1.19,198
2021-03-02 01:00:00,1.167,219
2021-03-03 01:00:00,1.163,176
2021-03-04 01:00:00,1.228,271
2021-03-05 01:00:00,1.268,280
2021-03-06 01:00:00,1.298,297
2021-03-07 01:00:00,1.316,225
2021-03-08 01:00:00,1.3,212
2021-03-09 01:00:00,1.303,214
2021-03-10 01:00:00,1.324,192
2021-03-11 01:00:00,1.315,236
2021-03-12 01:00:00,1.305,231
2021-03-13 01:00:00,1.293,281
2021-03-14 01:00:00,1.296,256
2021-03-15 01:00:00,1.33,223
2021-03-16 01:00:00,1.274,276
2021-03-17 01:00:00,1.318,258
2021-03-18 01:00:00,1.346,274
2021-03-19 01:00:00,1.26,276
2021-03-20 01:00:00,1.255,239
2021-03-21 01:00:00,1.304,310
2021-03-22 01:00:00,1.337,276
2021-03-23 01:00:00,1.381,231
2021-03-24 01:00:00,1.345,206
2021-03-25 01:00:00,1.276,211
2021-03-26 01:00:00,1.263,247
2021-03-27 01:00:00,1.259,280
2021-03-28 01:00:00,1.269,251
2021-03-29 01:00:00,1.277,197
2021-03-30 01:00:00,1.25,223
2021-03-31 01:00:00,1.273,234
2021-04-01 01:00:00,1.254,240
2021-04-02 01:00:00,1.251,300
2021-04-03 01:00:00,1.246,214
2021-04-04 01:00:00,1.234,246
2021-04-05 01:00:00,1.268,244
2021-04-06 01:00:00,1.225,190
2021-04-07 01:00:00,1.228,178
2021-04-08 01:00:00,1.155,206
2021-04-09 01:00:00,1.197,306
2021-04-10 01:00:00,1.137,214
2021-04-11 01:00:00,1.174,189
2021-04-12 01:00:00,1.148,195
2021-04-13 01:00:00,1.12,201
2021-04-14 01:00:00,1.208,60
2021-04-15 01:00:00,1.188,304
2021-04-16 01:00:00,1.145,218
2021-04-17 01:00:00,1.13,224
2021-04-18 01:00:00,1.146,220
2021-04-19 01:00:00,1.151,186
2021-04-20 01:00:00,1.135,195
2021-04-21 01:00:00,1.12,161
2021-04-22 01:00:00,1.128,227
2021-04-23 01:00:00,1.123,197
2021-04-24 01:00:00,1.121,195
2021-04-25 01:00:00,1.121,196
2021-04-26 01:00:00,1.099,198
2021-04-27 01:00:00,1.109,234
2021-04-28 01:00:00,1.076,192
2021-04-29 01:00:00,1.104,161
2021-04-30 01:00:00,1.066,185
2021-05-01 01:00:00,1.066,171
2021-05-02 01:00:00,1.075,211
2021-05-03 01:00:00,1.06,216
2021-05-04 01:00:00,1.068,334
2021-05-05 01:00:00,1.064,313
2021-05-06 01:00:00,1.053,283
2021-05-07 01:00:00,1.068,269
2021-05-08 01:00:00,1.066,280
2021-05-09 01:00:00,1.097,257
2021-05-10 01:00:00,1.061,237
2021-05-11 01:00:00,1.052,302
2021-05-12 01:00:00,1.018,257
2021-05-13 01:00:00,1.045,259
2021-05-14 01:00:00,1.033,301
2021-05-15 01:00:00,1.036,271
2021-05-16 01:00:00,1.029,271
2021-05-17 01:00:00,1.03,266
2021-05-18 01:00:00,0.995,249
2021-05-19 01:00:00,1.004,283
2021-05-20 01:00:00,1.003,288
2021-05-21 01:00:00,0.993,288
2021-05-22 01:00:00,1.008,335
2021-05-23 01:00:00,0.986,246
2021-05-24 01:00:00,0.975,237
2021-05-25 01:00:00,0.956,254
2021-05-26 01:00:00,0.934,230
2021-05-27 01:00:00,0.945,319
2021-05-28 01:00:00,0.914,235
2021-05-29 01:00:00,0.914,321
2021-05-30 01:00:00,0.897,311
2021-05-31 01:00:00,0.917,281
2021-06-01 01:00:00,0.921,379
2021-06-02 01:00:00,0.935,316
2021-06-03 01:00:00,0.955,331
2021-06-04 01:00:00,0.964,232
2021-06-05 01:00:00,0.934,201
2021-06-06 01:00:00,0.934,237
2021-06-07 01:00:00,0.943,249
2021-06-08 01:00:00,0.963,196
2021-06-09 01:00:00,0.926,227
2021-06-10 01:00:00,0.959,300
2021-06-11 01:00:00,0.953,224
2021-06-12 01:00:00,0.942,218
2021-06-13 01:00:00,0.953,199
2021-06-14 01:00:00,0.947,214
2021-06-15 01:00:00,0.932,196
2021-06-16 01:00:00,0.935,216
2021-06-17 01:00:00,0.92,198
2021-06-18 01:00:00,0.918,219
2021-06-19 01:00:00,0.916,203
2021-06-20 01:00:00,0.888,173
2021-06-21 01:00:00,0.893,191
2021-06-22 01:00:00,0.884,184
2021-06-23 01:00:00,0.881,177
2021-06-24 01:00:00,0.868,326
2021-06-25 01:00:00,0.818,219
2021-06-26 01:00:00,0.829,203
2021-06-27 01:00:00,0.794,208
2021-06-28 01:00:00,0.807,214
2021-06-29 01:00:00,0.798,172
2021-06-30 01:00:00,0.815,220
2021-07-01 01:00:00,0.786,169
2021-07-02 01:00:00,0.766,200
2021-07-03 01:00:00,0.768,206
2021-07-04 01:00:00,0.766,158
2021-07-05 01:00:00,0.758,167
2021-07-06 01:00:00,0.767,191
2021-07-07 01:00:00,0.754,210
2021-07-08 01:00:00,0.787,198
2021-07-09 01:00:00,0.77,190
2021-07-10 01:00:00,0.792,195
2021-07-11 01:00:00,0.749,195
2021-07-12 01:00:00,0.742,157
2021-07-13 01:00:00,0.756,190
2021-07-14 01:00:00,0.761,187
2021-07-15 01:00:00,0.768,191
2021-07-16 01:00:00,0.766,253
2021-07-17 01:00:00,0.76,229
2021-07-18 01:00:00,0.761,241
2021-07-19 01:00:00,0.763,191
2021-07-20 01:00:00,0.75,199
2021-07-21 01:00:00,0.744,248
2021-07-22 01:00:00,0.77,153
2021-07-23 01:00:00,0.771,190
2021-07-24 01:00:00,0.767,222
2021-07-25 01:00:00,0.789,183
2021-07-26 01:00:00,0.777,173
2021-07-27 01:00:00,0.775,102
2021-07-28 01:00:00,0.766,230
2021-07-29 01:00:00,0.778,229
2021-07-30 01:00:00,0.774,197
2021-07-31 01:00:00,0.773,264
2021-08-01 01:00:00,0.778,226
2021-08-02 01:00:00,0.779,236
2021-08-03 01:00:00,0.775,282
2021-08-04 01:00:00,0.751,177
2021-08-05 01:00:00,0.748,148
2021-08-06 01:00:00,0.766,280
2021-08-07 01:00:00,0.761,269
2021-08-08 01:00:00,0.753,249
2021-08-09 01:00:00,0.757,194
2021-08-10 01:00:00,0.778,199
2021-08-11 01:00:00,0.767,260
2021-08-12 01:00:00,0.778,200
2021-08-13 01:00:00,0.774,198
2021-08-14 01:00:00,0.762,226
2021-08-15 01:00:00,0.767,213
2021-08-16 01:00:00,0.741,191
2021-08-17 01:00:00,0.749,277
2021-08-18 01:00:00,0.733,211
2021-08-19 01:00:00,0.721,212
2021-08-20 01:00:00,0.725,158
2021-08-21 01:00:00,0.7,217
2021-08-22 01:00:00,0.698,250
2021-08-23 01:00:00,0.73,192
2021-08-24 01:00:00,0.727,211
2021-08-25 01:00:00,0.724,238
2021-08-26 01:00:00,0.715,250
2021-08-27 01:00:00,0.701,182
2021-08-28 01:00:00,0.711,250
2021-08-29 01:00:00,0.71,259
2021-08-30 01:00:00,0.701,217
2021-08-31 01:00:00,0.711,231
2021-09-01 01:00:00,0.692,231
2021-09-02 01:00:00,0.721,244
2021-09-03 01:00:00,0.714,266
2021-09-04 01:00:00,0.723,307
2021-09-05 01:00:00,0.71,233
2021-09-06 01:00:00,0.699,239
2021-09-07 01:00:00,0.726,288
2021-09-08 01:00:00,0.719,205
2021-09-09 01:00:00,0.733,242
2021-09-10 01:00:00,0.705,276
2021-09-11 01:00:00,0.724,355
2021-09-12 01:00:00,0.704,283
2021-09-13 01:00:00,0.711,231
2021-09-14 01:00:00,0.699,247
2021-09-15 01:00:00,0.72,246
2021-09-16 01:00:00,0.688,221
2021-09-17 01:00:00,0.689,215
2021-09-18 01:00:00,0.695,238
2021-09-19 01:00:00,0.723,317
2021-09-20 01:00:00,0.733,484
2021-09-21 01:00:00,0.666,412
2021-09-22 01:00:00,0.578,368
2021-09-23 01:00:00,0.476,233
2021-09-24 01:00:00,0.536,293
2021-09-25 01:00:00,0.551,261
2021-09-26 01:00:00,0.564,199
2021-09-27 01:00:00,0.573,207
2021-09-28 01:00:00,0.573,201
2021-09-29 01:00:00,0.585,277
