date,price,volume
2016-06-16 01:00:00,3.558,539
2016-06-17 01:00:00,2.088,501
2016-06-18 01:00:00,1.751,567
2016-06-19 01:00:00,1.511,549
2016-06-20 01:00:00,1.519,457
2016-06-21 01:00:00,1.392,472
2016-06-22 01:00:00,1.309,453
2016-06-23 01:00:00,1.262,398
2016-06-24 01:00:00,1.165,437
2016-06-25 01:00:00,1.091,426
2016-06-26 01:00:00,1.015,423
2016-06-27 01:00:00,0.982,388
2016-06-28 01:00:00,0.959,413
2016-06-29 01:00:00,0.941,427
2016-06-30 01:00:00,0.901,419
2016-07-01 01:00:00,0.94,405
2016-07-02 01:00:00,0.86,509
2016-07-03 01:00:00,0.838,442
2016-07-04 01:00:00,0.82,492
2016-07-05 01:00:00,0.833,490
2016-07-06 01:00:00,0.907,471
2016-07-07 01:00:00,0.909,504
2016-07-08 01:00:00,0.894,501
2016-07-09 01:00:00,0.839,558
2016-07-10 01:00:00,0.767,541
2016-07-11 01:00:00,0.774,473
2016-07-12 01:00:00,0.819,479
2016-07-13 01:00:00,0.89,463
2016-07-14 01:00:00,0.819,476
2016-07-15 01:00:00,0.722,476
2016-07-16 01:00:00,0.787,535
2016-07-17 01:00:00,0.802,500
2016-07-18 01:00:00,0.765,521
2016-07-19 01:00:00,0.739,554
2016-07-20 01:00:00,0.723,522
2016-07-21 01:00:00,0.728,460
2016-07-22 01:00:00,0.717,453
2016-07-23 01:00:00,0.693,546
2016-07-24 01:00:00,0.65,525
2016-07-25 01:00:00,0.726,553
2016-07-26 01:00:00,0.685,558
2016-07-27 01:00:00,0.674,562
2016-07-28 01:00:00,0.654,573
2016-07-29 01:00:00,0.636,591
2016-07-30 01:00:00,0.643,597
2016-07-31 01:00:00,0.638,567
2016-08-01 01:00:00,0.645,607
2016-08-02 01:00:00,0.644,636
2016-08-03 01:00:00,0.651,552
2016-08-04 01:00:00,0.645,618
2016-08-05 01:00:00,0.619,571
2016-08-06 01:00:00,0.588,671
2016-08-07 01:00:00,0.573,578
2016-08-08 01:00:00,0.54,670
2016-08-09 01:00:00,0.582,580
2016-08-10 01:00:00,0.57,548
2016-08-11 01:00:00,0.539,653
2016-08-12 01:00:00,0.546,654
2016-08-13 01:00:00,0.542,632
2016-08-14 01:00:00,0.521,622
2016-08-15 01:00:00,0.522,624
2016-08-16 01:00:00,0.528,670
2016-08-17 01:00:00,0.549,627
2016-08-18 01:00:00,0.533,675
2016-08-19 01:00:00,0.525,825
2016-08-20 01:00:00,0.502,839
2016-08-21 01:00:00,0.497,816
2016-08-22 01:00:00,0.508,796
2016-08-23 01:00:00,0.504,737
2016-08-24 01:00:00,0.494,687
2016-08-25 01:00:00,0.474,755
2016-08-26 01:00:00,0.471,820
2016-08-27 01:00:00,0.472,804
2016-08-28 01:00:00,0.473,769
2016-08-29 01:00:00,0.47,741
2016-08-30 01:00:00,0.463,761
2016-08-31 01:00:00,0.46,732
2016-09-01 01:00:00,0.467,661
2016-09-02 01:00:00,0.461,681
2016-09-03 01:00:00,0.46,860
2016-09-04 01:00:00,0.453,682
