date,price,volume
2016-06-16 01:00:00,2.341,578
2016-06-17 01:00:00,1.565,549
2016-06-18 01:00:00,1.251,620
2016-06-19 01:00:00,1.145,561
2016-06-20 01:00:00,1.124,473
2016-06-21 01:00:00,1.034,445
2016-06-22 01:00:00,0.963,482
2016-06-23 01:00:00,0.926,447
2016-06-24 01:00:00,0.86,491
2016-06-25 01:00:00,0.756,463
2016-06-26 01:00:00,0.694,489
2016-06-27 01:00:00,0.725,432
2016-06-28 01:00:00,0.688,455
2016-06-29 01:00:00,0.651,382
2016-06-30 01:00:00,0.636,446
2016-07-01 01:00:00,0.636,461
2016-07-02 01:00:00,0.604,463
2016-07-03 01:00:00,0.571,515
2016-07-04 01:00:00,0.58,522
2016-07-05 01:00:00,0.595,518
2016-07-06 01:00:00,0.59,640
2016-07-07 01:00:00,0.632,531
2016-07-08 01:00:00,0.639,581
2016-07-09 01:00:00,0.603,532
2016-07-10 01:00:00,0.492,655
2016-07-11 01:00:00,0.53,548
2016-07-12 01:00:00,0.593,564
2016-07-13 01:00:00,0.627,515
2016-07-14 01:00:00,0.595,569
2016-07-15 01:00:00,0.561,515
2016-07-16 01:00:00,0.539,602
2016-07-17 01:00:00,0.562,588
2016-07-18 01:00:00,0.566,610
2016-07-19 01:00:00,0.555,562
2016-07-20 01:00:00,0.517,572
2016-07-21 01:00:00,0.489,556
2016-07-22 01:00:00,0.519,594
2016-07-23 01:00:00,0.507,548
2016-07-24 01:00:00,0.458,559
2016-07-25 01:00:00,0.476,708
2016-07-26 01:00:00,0.516,575
2016-07-27 01:00:00,0.511,614
2016-07-28 01:00:00,0.507,593
2016-07-29 01:00:00,0.489,616
2016-07-30 01:00:00,0.472,566
2016-07-31 01:00:00,0.454,696
2016-08-01 01:00:00,0.457,732
2016-08-02 01:00:00,0.469,705
2016-08-03 01:00:00,0.466,635
2016-08-04 01:00:00,0.465,710
2016-08-05 01:00:00,0.445,631
2016-08-06 01:00:00,0.428,778
2016-08-07 01:00:00,0.418,636
2016-08-08 01:00:00,0.401,635
2016-08-09 01:00:00,0.412,696
2016-08-10 01:00:00,0.408,706
2016-08-11 01:00:00,0.389,677
2016-08-12 01:00:00,0.385,705
2016-08-13 01:00:00,0.385,696
2016-08-14 01:00:00,0.389,689
2016-08-15 01:00:00,0.39,694
2016-08-16 01:00:00,0.387,750
2016-08-17 01:00:00,0.387,743
2016-08-18 01:00:00,0.39,804
2016-08-19 01:00:00,0.384,950
2016-08-20 01:00:00,0.38,894
2016-08-21 01:00:00,0.367,928
2016-08-22 01:00:00,0.362,916
2016-08-23 01:00:00,0.374,887
2016-08-24 01:00:00,0.375,827
2016-08-25 01:00:00,0.363,786
2016-08-26 01:00:00,0.357,832
2016-08-27 01:00:00,0.37,859
2016-08-28 01:00:00,0.359,861
2016-08-29 01:00:00,0.36,820
2016-08-30 01:00:00,0.356,816
2016-08-31 01:00:00,0.347,794
2016-09-01 01:00:00,0.345,796
2016-09-02 01:00:00,0.343,742
2016-09-03 01:00:00,0.345,830
2016-09-04 01:00:00,0.334,811
2016-09-05 01:00:00,0.32,711
2016-09-06 01:00:00,0.316,741
2016-09-07 01:00:00,0.321,744
2016-09-08 01:00:00,0.317,763
2016-09-09 01:00:00,0.314,785
2016-09-10 01:00:00,0.315,1004
2016-09-11 01:00:00,0.316,1029
2016-09-12 01:00:00,0.307,665
2016-09-13 01:00:00,0.301,721
2016-09-14 01:00:00,0.299,626
2016-09-15 01:00:00,0.298,675
2016-09-16 01:00:00,0.282,826
2016-09-17 01:00:00,0.271,991
2016-09-18 01:00:00,0.269,908
2016-09-19 01:00:00,0.259,679
2016-09-20 01:00:00,0.263,631
2016-09-21 01:00:00,0.262,656
2016-09-22 01:00:00,0.259,650
2016-09-23 01:00:00,0.264,736
2016-09-24 01:00:00,0.26,920
2016-09-25 01:00:00,0.257,872
2016-09-26 01:00:00,0.253,697
2016-09-27 01:00:00,0.242,600
2016-09-28 01:00:00,0.245,643
2016-09-29 01:00:00,0.249,626
2016-09-30 01:00:00,0.244,676
2016-10-01 01:00:00,0.23,927
2016-10-02 01:00:00,0.224,999
2016-10-03 01:00:00,0.222,779
2016-10-04 01:00:00,0.219,679
2016-10-05 01:00:00,0.221,642
2016-10-06 01:00:00,0.215,631
2016-10-07 01:00:00,0.2,846
2016-10-08 01:00:00,0.198,975
2016-10-09 01:00:00,0.202,901
2016-10-10 01:00:00,0.206,635
2016-10-11 01:00:00,0.209,627
2016-10-12 01:00:00,0.216,599
2016-10-13 01:00:00,0.213,602
2016-10-14 01:00:00,0.214,652
2016-10-15 01:00:00,0.214,715
2016-10-16 01:00:00,0.209,745
2016-10-17 01:00:00,0.193,548
2016-10-18 01:00:00,0.189,563
2016-10-19 01:00:00,0.177,535
2016-10-20 01:00:00,0.178,611
2016-10-21 01:00:00,0.185,642
2016-10-22 01:00:00,0.186,880
2016-10-23 01:00:00,0.188,806
2016-10-24 01:00:00,0.184,571
2016-10-25 01:00:00,0.186,519
2016-10-26 01:00:00,0.184,523
2016-10-27 01:00:00,0.185,528
2016-10-28 01:00:00,0.184,584
2016-10-29 01:00:00,0.18,778
2016-10-30 01:00:00,0.175,737
2016-10-31 01:00:00,0.177,588
2016-11-01 01:00:00,0.176,629
2016-11-02 01:00:00,0.189,552
2016-11-03 01:00:00,0.191,475
2016-11-04 01:00:00,0.186,705
2016-11-05 01:00:00,0.189,869
2016-11-06 01:00:00,0.188,857
2016-11-07 01:00:00,0.187,598
2016-11-08 01:00:00,0.186,591
2016-11-09 01:00:00,0.189,590
2016-11-10 01:00:00,0.182,602
2016-11-11 01:00:00,0.187,730
2016-11-12 01:00:00,0.19,899
2016-11-13 01:00:00,0.185,736
2016-11-14 01:00:00,0.184,581
2016-11-15 01:00:00,0.185,597
2016-11-16 01:00:00,0.187,622
2016-11-17 01:00:00,0.186,597
2016-11-18 01:00:00,0.186,653
2016-11-19 01:00:00,0.189,861
2016-11-20 01:00:00,0.19,796
2016-11-21 01:00:00,0.187,621
2016-11-22 01:00:00,0.187,562
2016-11-23 01:00:00,0.179,539
2016-11-24 01:00:00,0.16,564
2016-11-25 01:00:00,0.146,635
2016-11-26 01:00:00,0.152,741
2016-11-27 01:00:00,0.158,772
2016-11-28 01:00:00,0.157,550
2016-11-29 01:00:00,0.16,673
2016-11-30 01:00:00,0.174,758
2016-12-01 01:00:00,0.191,820
2016-12-02 01:00:00,0.196,840
2016-12-03 01:00:00,0.212,985
2016-12-04 01:00:00,0.219,947
2016-12-05 01:00:00,0.217,747
2016-12-06 01:00:00,0.222,737
2016-12-07 01:00:00,0.223,686
2016-12-08 01:00:00,0.213,725
2016-12-09 01:00:00,0.221,735
2016-12-10 01:00:00,0.223,922
2016-12-11 01:00:00,0.228,771
2016-12-12 01:00:00,0.231,630
2016-12-13 01:00:00,0.234,626
2016-12-14 01:00:00,0.229,718
2016-12-15 01:00:00,0.219,570
2016-12-16 01:00:00,0.206,653
2016-12-17 01:00:00,0.196,762
2016-12-18 01:00:00,0.199,690
2016-12-19 01:00:00,0.196,600
2016-12-20 01:00:00,0.188,580
2016-12-21 01:00:00,0.186,557
2016-12-22 01:00:00,0.185,689
2016-12-23 01:00:00,0.168,609
2016-12-24 01:00:00,0.182,855
2016-12-25 01:00:00,0.195,842
2016-12-26 01:00:00,0.195,792
2016-12-27 01:00:00,0.194,881
2016-12-28 01:00:00,0.194,789
2016-12-29 01:00:00,0.196,802
2016-12-30 01:00:00,0.199,811
2016-12-31 01:00:00,0.205,762
2017-01-01 01:00:00,0.205,807
2017-01-02 01:00:00,0.207,800
2017-01-03 01:00:00,0.211,602
2017-01-04 01:00:00,0.214,669
2017-01-05 01:00:00,0.215,701
2017-01-06 01:00:00,0.217,646
2017-01-07 01:00:00,0.216,781
2017-01-08 01:00:00,0.217,787
2017-01-09 01:00:00,0.223,641
2017-01-10 01:00:00,0.223,660
2017-01-11 01:00:00,0.214,627
2017-01-12 01:00:00,0.212,616
2017-01-13 01:00:00,0.208,634
2017-01-14 01:00:00,0.204,781
2017-01-15 01:00:00,0.198,766
2017-01-16 01:00:00,0.189,634
2017-01-17 01:00:00,0.194,646
2017-01-18 01:00:00,0.198,620
2017-01-19 01:00:00,0.198,605
2017-01-20 01:00:00,0.195,671
2017-01-21 01:00:00,0.195,851
2017-01-22 01:00:00,0.197,769
2017-01-23 01:00:00,0.2,727
2017-01-24 01:00:00,0.198,699
2017-01-25 01:00:00,0.198,767
2017-01-26 01:00:00,0.2,793
2017-01-27 01:00:00,0.199,758
2017-01-28 01:00:00,0.198,972
2017-01-29 01:00:00,0.195,1144
2017-01-30 01:00:00,0.191,822
2017-01-31 01:00:00,0.194,740
2017-02-01 01:00:00,0.195,727
2017-02-02 01:00:00,0.198,696
2017-02-03 01:00:00,0.193,771
2017-02-04 01:00:00,0.201,1063
2017-02-05 01:00:00,0.199,951
2017-02-06 01:00:00,0.192,709
2017-02-07 01:00:00,0.198,953
2017-02-08 01:00:00,0.198,720
2017-02-09 01:00:00,0.196,713
2017-02-10 01:00:00,0.195,777
2017-02-11 01:00:00,0.195,968
2017-02-12 01:00:00,0.196,859
2017-02-13 01:00:00,0.195,692
2017-02-14 01:00:00,0.196,648
2017-02-15 01:00:00,0.193,662
2017-02-16 01:00:00,0.194,727
2017-02-17 01:00:00,0.193,723
2017-02-18 01:00:00,0.197,898
2017-02-19 01:00:00,0.193,892
2017-02-20 01:00:00,0.193,723
2017-02-21 01:00:00,0.19,726
2017-02-22 01:00:00,0.19,638
2017-02-23 01:00:00,0.188,624
2017-02-24 01:00:00,0.193,899
2017-02-25 01:00:00,0.195,898
2017-02-26 01:00:00,0.19,904
2017-02-27 01:00:00,0.186,680
2017-02-28 01:00:00,0.187,715
2017-03-01 01:00:00,0.185,729
2017-03-02 01:00:00,0.187,643
2017-03-03 01:00:00,0.188,762
2017-03-04 01:00:00,0.19,946
2017-03-05 01:00:00,0.191,933
2017-03-06 01:00:00,0.192,669
2017-03-07 01:00:00,0.19,803
2017-03-08 01:00:00,0.189,749
2017-03-09 01:00:00,0.19,710
2017-03-10 01:00:00,0.189,739
2017-03-11 01:00:00,0.19,918
2017-03-12 01:00:00,0.189,877
2017-03-13 01:00:00,0.188,693
2017-03-14 01:00:00,0.187,621
2017-03-15 01:00:00,0.186,1172
2017-03-16 01:00:00,0.18,777
2017-03-17 01:00:00,0.18,968
2017-03-18 01:00:00,0.184,1221
2017-03-19 01:00:00,0.187,1161
2017-03-20 01:00:00,0.19,1036
2017-03-21 01:00:00,0.186,824
2017-03-22 01:00:00,0.187,770
2017-03-23 01:00:00,0.187,835
2017-03-24 01:00:00,0.188,907
2017-03-25 01:00:00,0.193,1201
2017-03-26 01:00:00,0.193,1056
2017-03-27 01:00:00,0.187,846
2017-03-28 01:00:00,0.186,773
2017-03-29 01:00:00,0.19,786
2017-03-30 01:00:00,0.191,859
2017-03-31 01:00:00,0.19,945
2017-04-01 01:00:00,0.191,1133
2017-04-02 01:00:00,0.189,1189
2017-04-03 01:00:00,0.181,794
2017-04-04 01:00:00,0.183,756
2017-04-05 01:00:00,0.185,705
2017-04-06 01:00:00,0.178,736
2017-04-07 01:00:00,0.18,791
2017-04-08 01:00:00,0.185,968
2017-04-09 01:00:00,0.183,913
2017-04-10 01:00:00,0.177,784
2017-04-11 01:00:00,0.175,717
2017-04-12 01:00:00,0.173,725
2017-04-13 01:00:00,0.17,710
2017-04-14 01:00:00,0.175,801
2017-04-15 01:00:00,0.175,870
2017-04-16 01:00:00,0.174,948
2017-04-17 01:00:00,0.174,820
2017-04-18 01:00:00,0.173,878
2017-04-19 01:00:00,0.178,754
2017-04-20 01:00:00,0.178,819
2017-04-21 01:00:00,0.178,880
2017-04-22 01:00:00,0.18,940
2017-04-23 01:00:00,0.177,883
2017-04-24 01:00:00,0.175,811
2017-04-25 01:00:00,0.169,798
2017-04-26 01:00:00,0.173,741
2017-04-27 01:00:00,0.174,637
2017-04-28 01:00:00,0.173,700
2017-04-29 01:00:00,0.174,914
2017-04-30 01:00:00,0.172,862
2017-05-01 01:00:00,0.164,725
2017-05-02 01:00:00,0.163,788
2017-05-03 01:00:00,0.166,753
2017-05-04 01:00:00,0.166,764
2017-05-05 01:00:00,0.165,856
2017-05-06 01:00:00,0.166,881
2017-05-07 01:00:00,0.167,823
2017-05-08 01:00:00,0.167,747
2017-05-09 01:00:00,0.168,628
2017-05-10 01:00:00,0.169,629
2017-05-11 01:00:00,0.168,693
2017-05-12 01:00:00,0.166,701
2017-05-13 01:00:00,0.168,811
2017-05-14 01:00:00,0.165,825
2017-05-15 01:00:00,0.164,631
2017-05-16 01:00:00,0.167,665
2017-05-17 01:00:00,0.17,608
2017-05-18 01:00:00,0.17,557
2017-05-19 01:00:00,0.17,650
2017-05-20 01:00:00,0.175,759
2017-05-21 01:00:00,0.177,724
2017-05-22 01:00:00,0.174,600
2017-05-23 01:00:00,0.177,525
2017-05-24 01:00:00,0.151,937
2017-05-25 01:00:00,0.143,852
2017-05-26 01:00:00,0.15,854
2017-05-27 01:00:00,0.152,890
2017-05-28 01:00:00,0.158,846
2017-05-29 01:00:00,0.159,765
2017-05-30 01:00:00,0.157,708
2017-05-31 01:00:00,0.157,661
2017-06-01 01:00:00,0.157,741
2017-06-02 01:00:00,0.158,785
2017-06-03 01:00:00,0.164,775
2017-06-04 01:00:00,0.163,727
2017-06-05 01:00:00,0.161,687
2017-06-06 01:00:00,0.163,641
2017-06-07 01:00:00,0.16,709
2017-06-08 01:00:00,0.161,666
2017-06-09 01:00:00,0.157,670
2017-06-10 01:00:00,0.156,686
2017-06-11 01:00:00,0.157,688
2017-06-12 01:00:00,0.154,640
2017-06-13 01:00:00,0.156,588
2017-06-14 01:00:00,0.156,558
2017-06-15 01:00:00,0.158,699
2017-06-16 01:00:00,0.155,624
2017-06-17 01:00:00,0.154,609
2017-06-18 01:00:00,0.155,617
2017-06-19 01:00:00,0.151,627
2017-06-20 01:00:00,0.147,651
2017-06-21 01:00:00,0.145,635
2017-06-22 01:00:00,0.137,712
2017-06-23 01:00:00,0.125,888
2017-06-24 01:00:00,0.119,709
2017-06-25 01:00:00,0.114,730
2017-06-26 01:00:00,0.113,727
2017-06-27 01:00:00,0.119,685
2017-06-28 01:00:00,0.122,653
2017-06-29 01:00:00,0.123,770
2017-06-30 01:00:00,0.127,709
2017-07-01 01:00:00,0.134,641
2017-07-02 01:00:00,0.134,697
2017-07-03 01:00:00,0.132,749
2017-07-04 01:00:00,0.134,849
2017-07-05 01:00:00,0.134,789
2017-07-06 01:00:00,0.136,652
2017-07-07 01:00:00,0.137,697
2017-07-08 01:00:00,0.14,644
2017-07-09 01:00:00,0.145,638
2017-07-10 01:00:00,0.146,617
2017-07-11 01:00:00,0.145,641
2017-07-12 01:00:00,0.146,602
2017-07-13 01:00:00,0.145,666
2017-07-14 01:00:00,0.148,602
2017-07-15 01:00:00,0.144,619
2017-07-16 01:00:00,0.141,584
2017-07-17 01:00:00,0.142,701
2017-07-18 01:00:00,0.145,622
2017-07-19 01:00:00,0.15,661
2017-07-20 01:00:00,0.154,715
2017-07-21 01:00:00,0.156,635
2017-07-22 01:00:00,0.158,591
2017-07-23 01:00:00,0.155,801
2017-07-24 01:00:00,0.156,698
2017-07-25 01:00:00,0.158,692
2017-07-26 01:00:00,0.163,628
2017-07-27 01:00:00,0.163,672
2017-07-28 01:00:00,0.162,696
2017-07-29 01:00:00,0.165,636
2017-07-30 01:00:00,0.169,684
2017-07-31 01:00:00,0.168,621
2017-08-01 01:00:00,0.167,681
2017-08-02 01:00:00,0.173,678
2017-08-03 01:00:00,0.177,700
2017-08-04 01:00:00,0.172,717
2017-08-05 01:00:00,0.177,660
2017-08-06 01:00:00,0.172,676
2017-08-07 01:00:00,0.168,693
2017-08-08 01:00:00,0.164,680
2017-08-09 01:00:00,0.165,661
2017-08-10 01:00:00,0.164,587
2017-08-11 01:00:00,0.158,619
2017-08-12 01:00:00,0.154,608
2017-08-13 01:00:00,0.152,510
2017-08-14 01:00:00,0.153,548
2017-08-15 01:00:00,0.151,624
2017-08-16 01:00:00,0.15,538
2017-08-17 01:00:00,0.153,523
2017-08-18 01:00:00,0.151,466
2017-08-19 01:00:00,0.15,517
2017-08-20 01:00:00,0.152,520
2017-08-21 01:00:00,0.149,519
2017-08-22 01:00:00,0.143,574
2017-08-23 01:00:00,0.141,550
2017-08-24 01:00:00,0.142,501
2017-08-25 01:00:00,0.14,497
2017-08-26 01:00:00,0.136,498
2017-08-27 01:00:00,0.136,516
2017-08-28 01:00:00,0.136,590
2017-08-29 01:00:00,0.136,501
2017-08-30 01:00:00,0.135,522
2017-08-31 01:00:00,0.133,554
2017-09-01 01:00:00,0.13,517
2017-09-02 01:00:00,0.128,502
2017-09-03 01:00:00,0.129,541
2017-09-04 01:00:00,0.133,451
2017-09-05 01:00:00,0.13,427
2017-09-06 01:00:00,0.128,466
2017-09-07 01:00:00,0.126,377
2017-09-08 01:00:00,0.131,421
2017-09-09 01:00:00,0.13,530
2017-09-10 01:00:00,0.13,590
2017-09-11 01:00:00,0.127,459
2017-09-12 01:00:00,0.124,369
2017-09-13 01:00:00,0.124,388
2017-09-14 01:00:00,0.124,405
2017-09-15 01:00:00,0.124,581
2017-09-16 01:00:00,0.126,808
2017-09-17 01:00:00,0.126,714
2017-09-18 01:00:00,0.124,454
2017-09-19 01:00:00,0.12,439
2017-09-20 01:00:00,0.12,496
2017-09-21 01:00:00,0.123,473
2017-09-22 01:00:00,0.115,566
2017-09-23 01:00:00,0.122,663
2017-09-24 01:00:00,0.122,612
2017-09-25 01:00:00,0.122,456
2017-09-26 01:00:00,0.121,447
2017-09-27 01:00:00,0.121,490
2017-09-28 01:00:00,0.119,465
2017-09-29 01:00:00,0.121,467
2017-09-30 01:00:00,0.122,673
2017-10-01 01:00:00,0.122,644
2017-10-02 01:00:00,0.121,628
2017-10-03 01:00:00,0.116,530
2017-10-04 01:00:00,0.117,436
2017-10-05 01:00:00,0.115,562
2017-10-06 01:00:00,0.113,580
2017-10-07 01:00:00,0.116,657
2017-10-08 01:00:00,0.119,614
2017-10-09 01:00:00,0.121,598
2017-10-10 01:00:00,0.118,459
2017-10-11 01:00:00,0.113,521
2017-10-12 01:00:00,0.115,459
2017-10-13 01:00:00,0.117,572
2017-10-14 01:00:00,0.121,775
2017-10-15 01:00:00,0.119,602
2017-10-16 01:00:00,0.119,454
2017-10-17 01:00:00,0.117,451
2017-10-18 01:00:00,0.119,474
2017-10-19 01:00:00,0.116,485
2017-10-20 01:00:00,0.112,529
2017-10-21 01:00:00,0.116,688
2017-10-22 01:00:00,0.115,594
2017-10-23 01:00:00,0.114,502
2017-10-24 01:00:00,0.112,509
2017-10-25 01:00:00,0.113,401
2017-10-26 01:00:00,0.111,462
2017-10-27 01:00:00,0.106,517
2017-10-28 01:00:00,0.106,643
2017-10-29 01:00:00,0.107,543
2017-10-30 01:00:00,0.108,383
