date,price,volume
2016-02-18 01:00:00,0.638,1872
2016-02-19 01:00:00,0.402,1770
2016-02-20 01:00:00,0.387,1587
2016-02-21 01:00:00,0.386,1182
2016-02-22 01:00:00,0.402,771
2016-02-23 01:00:00,0.408,680
2016-02-24 01:00:00,0.401,577
2016-02-25 01:00:00,0.348,811
2016-02-26 01:00:00,0.26,1639
2016-02-27 01:00:00,0.298,1757
2016-02-28 01:00:00,0.433,1128
2016-02-29 01:00:00,0.309,1021
2016-03-01 01:00:00,0.262,969
2016-03-02 01:00:00,0.225,871
2016-03-03 01:00:00,0.28,1074
2016-03-04 01:00:00,0.256,1337
2016-03-05 01:00:00,0.224,1429
2016-03-06 01:00:00,0.186,1374
2016-03-07 01:00:00,0.179,1129
2016-03-08 01:00:00,0.181,1035
2016-03-09 01:00:00,0.173,978
2016-03-10 01:00:00,0.186,694
2016-03-11 01:00:00,0.201,808
2016-03-12 01:00:00,0.208,1061
2016-03-13 01:00:00,0.212,979
2016-03-14 01:00:00,0.201,854
2016-03-15 01:00:00,0.205,745
2016-03-16 01:00:00,0.208,717
2016-03-17 01:00:00,0.195,754
2016-03-18 01:00:00,0.179,940
2016-03-19 01:00:00,0.177,1099
2016-03-20 01:00:00,0.173,1019
2016-03-21 01:00:00,0.183,776
2016-03-22 01:00:00,0.17,814
2016-03-23 01:00:00,0.172,835
2016-03-24 01:00:00,0.17,913
2016-03-25 01:00:00,0.168,875
2016-03-26 01:00:00,0.166,967
2016-03-27 01:00:00,0.164,906
2016-03-28 01:00:00,0.16,874
2016-03-29 01:00:00,0.147,859
2016-03-30 01:00:00,0.141,892
2016-03-31 01:00:00,0.136,1022
2016-04-01 01:00:00,0.141,1057
2016-04-02 01:00:00,0.148,1228
2016-04-03 01:00:00,0.123,1307
2016-04-04 01:00:00,0.138,961
2016-04-05 01:00:00,0.159,878
2016-04-06 01:00:00,0.154,839
2016-04-07 01:00:00,0.156,933
2016-04-08 01:00:00,0.157,936
2016-04-09 01:00:00,0.16,1120
2016-04-10 01:00:00,0.154,1059
2016-04-11 01:00:00,0.15,839
2016-04-12 01:00:00,0.15,792
2016-04-13 01:00:00,0.145,790
2016-04-14 01:00:00,0.141,748
2016-04-15 01:00:00,0.143,867
2016-04-16 01:00:00,0.143,1094
2016-04-17 01:00:00,0.142,1006
2016-04-18 01:00:00,0.14,838
2016-04-19 01:00:00,0.134,852
2016-04-20 01:00:00,0.133,885
2016-04-21 01:00:00,0.135,890
2016-04-22 01:00:00,0.134,908
2016-04-23 01:00:00,0.136,1019
2016-04-24 01:00:00,0.132,1066
2016-04-25 01:00:00,0.131,843
2016-04-26 01:00:00,0.13,747
2016-04-27 01:00:00,0.129,840
2016-04-28 01:00:00,0.121,1144
2016-04-29 01:00:00,0.128,1210
2016-04-30 01:00:00,0.135,1387
2016-05-01 01:00:00,0.143,1300
2016-05-02 01:00:00,0.145,1106
2016-05-03 01:00:00,0.144,1023
2016-05-04 01:00:00,0.145,936
2016-05-05 01:00:00,0.142,912
2016-05-06 01:00:00,0.144,993
2016-05-07 01:00:00,0.145,1024
2016-05-08 01:00:00,0.143,961
2016-05-09 01:00:00,0.14,805
2016-05-10 01:00:00,0.14,701
2016-05-11 01:00:00,0.141,766
2016-05-12 01:00:00,0.138,734
2016-05-13 01:00:00,0.136,870
2016-05-14 01:00:00,0.133,1100
2016-05-15 01:00:00,0.126,1026
2016-05-16 01:00:00,0.119,834
2016-05-17 01:00:00,0.119,810
2016-05-18 01:00:00,0.108,900
2016-05-19 01:00:00,0.104,799
2016-05-20 01:00:00,0.103,834
2016-05-21 01:00:00,0.107,944
2016-05-22 01:00:00,0.111,956
2016-05-23 01:00:00,0.113,655
2016-05-24 01:00:00,0.109,704
2016-05-25 01:00:00,0.108,759
2016-05-26 01:00:00,0.104,732
2016-05-27 01:00:00,0.104,801
2016-05-28 01:00:00,0.106,788
2016-05-29 01:00:00,0.105,859
2016-05-30 01:00:00,0.106,718
2016-05-31 01:00:00,0.108,631
2016-06-01 01:00:00,0.106,722
