date,price,volume
2016-04-28 01:00:00,6.864,274
2016-04-29 01:00:00,5.807,346
2016-04-30 01:00:00,5.083,372
2016-05-01 01:00:00,4.608,386
2016-05-02 01:00:00,4.213,335
2016-05-03 01:00:00,4.036,304
2016-05-04 01:00:00,3.929,317
2016-05-05 01:00:00,3.751,266
2016-05-06 01:00:00,3.697,306
2016-05-07 01:00:00,3.461,364
2016-05-08 01:00:00,3.263,368
2016-05-09 01:00:00,3.221,294
2016-05-10 01:00:00,3.01,296
2016-05-11 01:00:00,3.012,308
2016-05-12 01:00:00,2.885,307
2016-05-13 01:00:00,2.743,371
2016-05-14 01:00:00,2.862,403
2016-05-15 01:00:00,2.686,359
2016-05-16 01:00:00,2.615,353
2016-05-17 01:00:00,2.437,332
2016-05-18 01:00:00,2.394,302
2016-05-19 01:00:00,2.352,306
2016-05-20 01:00:00,2.312,391
2016-05-21 01:00:00,2.288,400
2016-05-22 01:00:00,2.245,381
2016-05-23 01:00:00,2.13,344
2016-05-24 01:00:00,2.093,322
2016-05-25 01:00:00,2.124,353
2016-05-26 01:00:00,2.079,344
2016-05-27 01:00:00,2.028,418
2016-05-28 01:00:00,2.061,424
2016-05-29 01:00:00,1.956,362
2016-05-30 01:00:00,1.959,362
2016-05-31 01:00:00,1.878,366
2016-06-01 01:00:00,1.861,479
2016-06-02 01:00:00,1.947,402
2016-06-03 01:00:00,1.948,369
2016-06-04 01:00:00,1.85,438
2016-06-05 01:00:00,1.73,384
2016-06-06 01:00:00,1.639,416
2016-06-07 01:00:00,1.573,374
2016-06-08 01:00:00,1.555,365
2016-06-09 01:00:00,1.507,396
2016-06-10 01:00:00,1.51,432
2016-06-11 01:00:00,1.554,499
2016-06-12 01:00:00,1.504,458
2016-06-13 01:00:00,1.47,404
2016-06-14 01:00:00,1.456,408
2016-06-15 01:00:00,1.401,447
2016-06-16 01:00:00,1.34,632
2016-06-17 01:00:00,1.212,795
2016-06-18 01:00:00,1.25,673
2016-06-19 01:00:00,1.17,707
2016-06-20 01:00:00,1.117,644
2016-06-21 01:00:00,1.034,635
2016-06-22 01:00:00,1.02,699
2016-06-23 01:00:00,0.946,640
2016-06-24 01:00:00,0.885,714
2016-06-25 01:00:00,0.861,677
2016-06-26 01:00:00,0.768,728
2016-06-27 01:00:00,0.847,668
2016-06-28 01:00:00,0.88,609
2016-06-29 01:00:00,0.786,686
2016-06-30 01:00:00,0.852,622
2016-07-01 01:00:00,0.87,626
2016-07-02 01:00:00,0.882,598
2016-07-03 01:00:00,0.811,670
2016-07-04 01:00:00,0.844,706
2016-07-05 01:00:00,0.987,615
2016-07-06 01:00:00,1.055,614
2016-07-07 01:00:00,1.099,604
2016-07-08 01:00:00,1.071,581
2016-07-09 01:00:00,1.01,616
2016-07-10 01:00:00,0.878,659
2016-07-11 01:00:00,0.97,543
2016-07-12 01:00:00,1.059,520
2016-07-13 01:00:00,1.113,495
2016-07-14 01:00:00,1.003,556
2016-07-15 01:00:00,1.021,497
2016-07-16 01:00:00,1.042,569
2016-07-17 01:00:00,1.075,497
2016-07-18 01:00:00,1.06,500
2016-07-19 01:00:00,0.998,531
2016-07-20 01:00:00,0.997,457
2016-07-21 01:00:00,0.962,459
2016-07-22 01:00:00,1.002,454
2016-07-23 01:00:00,1.012,407
2016-07-24 01:00:00,0.981,523
2016-07-25 01:00:00,0.961,497
2016-07-26 01:00:00,1.025,452
2016-07-27 01:00:00,1.002,427
2016-07-28 01:00:00,0.992,460
2016-07-29 01:00:00,1.023,473
2016-07-30 01:00:00,0.962,458
2016-07-31 01:00:00,0.97,529
2016-08-01 01:00:00,0.997,470
2016-08-02 01:00:00,1.002,511
2016-08-03 01:00:00,0.975,425
2016-08-04 01:00:00,0.956,429
2016-08-05 01:00:00,0.931,470
2016-08-06 01:00:00,0.935,457
2016-08-07 01:00:00,0.914,437
2016-08-08 01:00:00,0.872,429
2016-08-09 01:00:00,0.854,471
2016-08-10 01:00:00,0.847,417
2016-08-11 01:00:00,0.854,457
2016-08-12 01:00:00,0.853,498
2016-08-13 01:00:00,0.839,485
2016-08-14 01:00:00,0.868,466
2016-08-15 01:00:00,0.868,415
2016-08-16 01:00:00,0.892,444
2016-08-17 01:00:00,0.887,416
2016-08-18 01:00:00,0.89,465
2016-08-19 01:00:00,0.829,554
2016-08-20 01:00:00,0.824,586
2016-08-21 01:00:00,0.843,578
2016-08-22 01:00:00,0.858,556
2016-08-23 01:00:00,0.88,525
2016-08-24 01:00:00,0.867,526
2016-08-25 01:00:00,0.869,523
2016-08-26 01:00:00,0.882,530
2016-08-27 01:00:00,0.885,544
2016-08-28 01:00:00,0.898,569
2016-08-29 01:00:00,0.888,533
2016-08-30 01:00:00,0.888,510
2016-08-31 01:00:00,0.898,501
2016-09-01 01:00:00,0.898,452
2016-09-02 01:00:00,0.926,431
2016-09-03 01:00:00,0.893,533
2016-09-04 01:00:00,0.855,499
2016-09-05 01:00:00,0.815,463
2016-09-06 01:00:00,0.797,433
2016-09-07 01:00:00,0.787,437
2016-09-08 01:00:00,0.782,456
