date,price,volume
2014-02-21 01:00:00,0.252,1503
2014-02-22 01:00:00,0.227,1657
2014-02-23 01:00:00,0.233,1172
2014-02-24 01:00:00,0.253,820
2014-02-25 01:00:00,0.281,654
2014-02-26 01:00:00,0.291,593
2014-02-27 01:00:00,0.29,548
2014-02-28 01:00:00,0.265,1083
2014-03-01 01:00:00,0.187,1873
2014-03-02 01:00:00,0.168,1587
2014-03-03 01:00:00,0.155,1298
2014-03-04 01:00:00,0.182,1009
2014-03-05 01:00:00,0.171,888
2014-03-06 01:00:00,0.177,837
2014-03-07 01:00:00,0.181,1165
2014-03-08 01:00:00,0.163,1624
2014-03-09 01:00:00,0.142,1775
2014-03-10 01:00:00,0.151,1308
2014-03-11 01:00:00,0.161,1175
2014-03-12 01:00:00,0.166,1071
2014-03-13 01:00:00,0.167,721
2014-03-14 01:00:00,0.181,815
2014-03-15 01:00:00,0.145,1778
2014-03-16 01:00:00,0.129,2127
2014-03-17 01:00:00,0.144,1663
2014-03-18 01:00:00,0.145,1431
2014-03-19 01:00:00,0.145,1578
2014-03-20 01:00:00,0.146,1268
2014-03-21 01:00:00,0.147,1344
2014-03-22 01:00:00,0.142,1686
2014-03-23 01:00:00,0.148,1647
2014-03-24 01:00:00,0.135,1599
2014-03-25 01:00:00,0.143,1341
2014-03-26 01:00:00,0.149,1310
2014-03-27 01:00:00,0.135,1417
2014-03-28 01:00:00,0.136,1483
2014-03-29 01:00:00,0.145,1759
2014-03-30 01:00:00,0.136,2052
2014-03-31 01:00:00,0.135,1630
2014-04-01 01:00:00,0.167,855
2014-04-02 01:00:00,0.146,1467
2014-04-03 01:00:00,0.134,1428
2014-04-04 01:00:00,0.135,1711
2014-04-05 01:00:00,0.13,1736
2014-04-06 01:00:00,0.13,1701
2014-04-07 01:00:00,0.132,1551
2014-04-08 01:00:00,0.132,1656
2014-04-09 01:00:00,0.136,1599
2014-04-10 01:00:00,0.135,1706
2014-04-11 01:00:00,0.135,1986
2014-04-12 01:00:00,0.147,1977
2014-04-13 01:00:00,0.139,1968
2014-04-14 01:00:00,0.138,1965
2014-04-15 01:00:00,0.134,1904
2014-04-16 01:00:00,0.127,2168
2014-04-17 01:00:00,0.132,2090
2014-04-18 01:00:00,0.125,2090
2014-04-19 01:00:00,0.13,2032
2014-04-20 01:00:00,0.129,2322
2014-04-21 01:00:00,0.129,2213
2014-04-22 01:00:00,0.129,1912
2014-04-23 01:00:00,0.128,2187
2014-04-24 01:00:00,0.124,1882
2014-04-25 01:00:00,0.126,2145
2014-04-26 01:00:00,0.127,2427
2014-04-27 01:00:00,0.13,2212
2014-04-28 01:00:00,0.122,2491
2014-04-29 01:00:00,0.12,2110
2014-04-30 01:00:00,0.123,2053
2014-05-01 01:00:00,0.122,2089
2014-05-02 01:00:00,0.11,1873
2014-05-03 01:00:00,0.093,2523
2014-05-04 01:00:00,0.092,2999
2014-05-05 01:00:00,0.086,3102
2014-05-06 01:00:00,0.09,2724
2014-05-07 01:00:00,0.096,2591
2014-05-08 01:00:00,0.091,3079
2014-05-09 01:00:00,0.081,3238
2014-05-10 01:00:00,0.086,3481
2014-05-11 01:00:00,0.077,3162
2014-05-12 01:00:00,0.075,2553
2014-05-13 01:00:00,0.075,2680
2014-05-14 01:00:00,0.077,3126
