date,price,volume
2024-02-07 01:00:00,0.637,884
2024-02-08 01:00:00,0.414,456
2024-02-09 01:00:00,0.508,313
2024-02-10 01:00:00,0.598,321
2024-02-11 01:00:00,0.63,294
2024-02-12 01:00:00,0.647,237
2024-02-13 01:00:00,0.717,196
2024-02-14 01:00:00,0.439,426
2024-02-15 01:00:00,0.332,348
2024-02-16 01:00:00,0.314,367
2024-02-17 01:00:00,0.28,302
2024-02-18 01:00:00,0.278,367
2024-02-19 01:00:00,0.271,262
2024-02-20 01:00:00,0.276,225
2024-02-21 01:00:00,0.284,401
2024-02-22 01:00:00,0.259,330
2024-02-23 01:00:00,0.235,364
2024-02-24 01:00:00,0.216,332
2024-02-25 01:00:00,0.217,314
2024-02-26 01:00:00,0.224,283
2024-02-27 01:00:00,0.233,243
2024-02-28 01:00:00,0.231,413
2024-02-29 01:00:00,0.235,327
2024-03-01 01:00:00,0.201,309
2024-03-02 01:00:00,0.209,389
2024-03-03 01:00:00,0.203,297
2024-03-04 01:00:00,0.212,223
2024-03-05 01:00:00,0.214,258
2024-03-06 01:00:00,0.218,451
2024-03-07 01:00:00,0.215,299
2024-03-08 01:00:00,0.219,353
2024-03-09 01:00:00,0.216,314
2024-03-10 01:00:00,0.213,326
2024-03-11 01:00:00,0.214,279
2024-03-12 01:00:00,0.212,252
2024-03-13 01:00:00,0.206,422
2024-03-14 01:00:00,0.198,408
2024-03-15 01:00:00,0.199,367
2024-03-16 01:00:00,0.182,326
2024-03-17 01:00:00,0.171,348
2024-03-18 01:00:00,0.163,298
2024-03-19 01:00:00,0.16,317
2024-03-20 01:00:00,0.174,396
2024-03-21 01:00:00,0.172,394
2024-03-22 01:00:00,0.172,299
2024-03-23 01:00:00,0.174,292
2024-03-24 01:00:00,0.172,298
2024-03-25 01:00:00,0.176,249
2024-03-26 01:00:00,0.167,223
2024-03-27 01:00:00,0.167,402
2024-03-28 01:00:00,0.158,416
2024-03-29 01:00:00,0.151,310
2024-03-30 01:00:00,0.156,388
2024-03-31 01:00:00,0.139,318
2024-04-01 01:00:00,0.137,271
2024-04-02 01:00:00,0.134,339
2024-04-03 01:00:00,0.131,358
2024-04-04 01:00:00,0.135,437
2024-04-05 01:00:00,0.132,302
2024-04-06 01:00:00,0.139,311
2024-04-07 01:00:00,0.134,339
2024-04-08 01:00:00,0.141,386
2024-04-09 01:00:00,0.145,295
2024-04-10 01:00:00,0.147,447
2024-04-11 01:00:00,0.147,342
2024-04-12 01:00:00,0.15,302
2024-04-13 01:00:00,0.151,447
2024-04-14 01:00:00,0.154,441
2024-04-15 01:00:00,0.158,273
2024-04-16 01:00:00,0.155,230
2024-04-17 01:00:00,0.15,483
2024-04-18 01:00:00,0.144,313
2024-04-19 01:00:00,0.143,326
2024-04-20 01:00:00,0.139,306
2024-04-21 01:00:00,0.132,349
2024-04-22 01:00:00,0.119,252
2024-04-23 01:00:00,0.11,250
2024-04-24 01:00:00,0.104,312
2024-04-25 01:00:00,0.097,310
2024-04-26 01:00:00,0.096,456
2024-04-27 01:00:00,0.1,382
2024-04-28 01:00:00,0.1,287
2024-04-29 01:00:00,0.095,305
2024-04-30 01:00:00,0.097,361
2024-05-01 01:00:00,0.105,489
2024-05-02 01:00:00,0.108,336
2024-05-03 01:00:00,0.112,425
2024-05-04 01:00:00,0.109,351
2024-05-05 01:00:00,0.109,405
2024-05-06 01:00:00,0.109,305
2024-05-07 01:00:00,0.111,218
2024-05-08 01:00:00,0.118,330
2024-05-09 01:00:00,0.119,488
2024-05-10 01:00:00,0.116,322
2024-05-11 01:00:00,0.107,349
2024-05-12 01:00:00,0.108,434
2024-05-13 01:00:00,0.107,273
2024-05-14 01:00:00,0.11,288
2024-05-15 01:00:00,0.107,345
2024-05-16 01:00:00,0.107,304
2024-05-17 01:00:00,0.105,332
2024-05-18 01:00:00,0.106,296
2024-05-19 01:00:00,0.11,368
2024-05-20 01:00:00,0.108,258
2024-05-21 01:00:00,0.105,312
2024-05-22 01:00:00,0.102,366
2024-05-23 01:00:00,0.099,331
2024-05-24 01:00:00,0.096,436
2024-05-25 01:00:00,0.098,446
2024-05-26 01:00:00,0.085,195
2024-05-27 01:00:00,0.085,313
2024-05-28 01:00:00,0.086,240
2024-05-29 01:00:00,0.085,340
2024-05-30 01:00:00,0.081,301
2024-05-31 01:00:00,0.08,266
2024-06-01 01:00:00,0.079,315
2024-06-02 01:00:00,0.081,501
2024-06-03 01:00:00,0.084,149
2024-06-04 01:00:00,0.078,196
2024-06-05 01:00:00,0.078,279
2024-06-06 01:00:00,0.084,290
2024-06-07 01:00:00,0.084,231
2024-06-08 01:00:00,0.085,906
2024-06-09 01:00:00,0.077,184
