date,price,volume
2024-02-07 01:00:00,4.098,200
2024-02-08 01:00:00,1.695,152
2024-02-09 01:00:00,1.692,106
2024-02-10 01:00:00,1.836,93
2024-02-11 01:00:00,1.907,63
2024-02-12 01:00:00,2.016,52
2024-02-13 01:00:00,1.912,57
2024-02-14 01:00:00,1.376,112
2024-02-15 01:00:00,1.175,116
2024-02-16 01:00:00,1.158,70
2024-02-17 01:00:00,1.073,71
2024-02-18 01:00:00,1.104,56
2024-02-19 01:00:00,0.979,67
2024-02-20 01:00:00,0.962,122
2024-02-21 01:00:00,0.912,98
2024-02-22 01:00:00,0.891,85
2024-02-23 01:00:00,0.879,69
2024-02-24 01:00:00,0.843,52
2024-02-25 01:00:00,0.745,63
2024-02-26 01:00:00,0.712,53
2024-02-27 01:00:00,0.719,53
2024-02-28 01:00:00,0.71,80
2024-02-29 01:00:00,0.702,104
2024-03-01 01:00:00,0.728,82
2024-03-02 01:00:00,0.741,80
2024-03-03 01:00:00,0.698,59
2024-03-04 01:00:00,0.652,53
2024-03-05 01:00:00,0.655,59
2024-03-06 01:00:00,0.658,98
2024-03-07 01:00:00,0.612,79
2024-03-08 01:00:00,0.626,96
2024-03-09 01:00:00,0.664,84
2024-03-10 01:00:00,0.669,97
2024-03-11 01:00:00,0.635,65
2024-03-12 01:00:00,0.578,62
2024-03-13 01:00:00,0.689,70
2024-03-14 01:00:00,0.587,80
2024-03-15 01:00:00,0.573,86
2024-03-16 01:00:00,0.577,71
2024-03-17 01:00:00,0.557,80
2024-03-18 01:00:00,0.545,80
2024-03-19 01:00:00,0.605,57
2024-03-20 01:00:00,0.56,72
2024-03-21 01:00:00,0.561,67
2024-03-22 01:00:00,0.601,97
2024-03-23 01:00:00,0.581,72
2024-03-24 01:00:00,0.587,59
2024-03-25 01:00:00,0.557,58
2024-03-26 01:00:00,0.532,53
2024-03-27 01:00:00,0.496,77
2024-03-28 01:00:00,0.51,73
2024-03-29 01:00:00,0.467,86
2024-03-30 01:00:00,0.449,63
2024-03-31 01:00:00,0.475,77
2024-04-01 01:00:00,0.509,66
2024-04-02 01:00:00,0.47,73
2024-04-03 01:00:00,0.467,131
2024-04-04 01:00:00,0.458,63
2024-04-05 01:00:00,0.458,92
2024-04-06 01:00:00,0.502,90
2024-04-07 01:00:00,0.474,95
2024-04-08 01:00:00,0.5,67
2024-04-09 01:00:00,0.48,66
2024-04-10 01:00:00,0.488,101
2024-04-11 01:00:00,0.502,86
2024-04-12 01:00:00,0.503,84
2024-04-13 01:00:00,0.485,67
2024-04-14 01:00:00,0.497,69
2024-04-15 01:00:00,0.481,70
2024-04-16 01:00:00,0.48,90
2024-04-17 01:00:00,0.48,77
2024-04-18 01:00:00,0.469,71
2024-04-19 01:00:00,0.464,69
2024-04-20 01:00:00,0.454,86
2024-04-21 01:00:00,0.466,102
2024-04-22 01:00:00,0.425,59
2024-04-23 01:00:00,0.405,56
2024-04-24 01:00:00,0.397,71
2024-04-25 01:00:00,0.378,82
2024-04-26 01:00:00,0.352,93
2024-04-27 01:00:00,0.343,97
2024-04-28 01:00:00,0.349,95
2024-04-29 01:00:00,0.367,105
2024-04-30 01:00:00,0.401,76
2024-05-01 01:00:00,0.361,112
2024-05-02 01:00:00,0.375,83
2024-05-03 01:00:00,0.353,85
2024-05-04 01:00:00,0.402,89
2024-05-05 01:00:00,0.391,119
2024-05-06 01:00:00,0.382,70
2024-05-07 01:00:00,0.436,71
2024-05-08 01:00:00,0.382,79
2024-05-09 01:00:00,0.381,76
2024-05-10 01:00:00,0.35,86
2024-05-11 01:00:00,0.382,88
2024-05-12 01:00:00,0.452,65
2024-05-13 01:00:00,0.397,74
2024-05-14 01:00:00,0.393,55
2024-05-15 01:00:00,0.403,93
2024-05-16 01:00:00,0.442,81
2024-05-17 01:00:00,0.483,72
2024-05-18 01:00:00,0.446,94
2024-05-19 01:00:00,0.413,81
2024-05-20 01:00:00,0.403,71
2024-05-21 01:00:00,0.386,74
2024-05-22 01:00:00,0.367,82
2024-05-23 01:00:00,0.352,78
2024-05-24 01:00:00,0.345,135
2024-05-25 01:00:00,0.346,59
2024-05-26 01:00:00,0.362,82
2024-05-27 01:00:00,0.322,60
2024-05-28 01:00:00,0.326,72
2024-05-29 01:00:00,0.347,85
2024-05-30 01:00:00,0.33,67
2024-05-31 01:00:00,0.321,60
2024-06-01 01:00:00,0.32,53
2024-06-02 01:00:00,0.332,53
2024-06-03 01:00:00,0.363,60
2024-06-04 01:00:00,0.34,62
2024-06-05 01:00:00,0.34,42
2024-06-06 01:00:00,0.373,78
2024-06-07 01:00:00,0.387,60
2024-06-08 01:00:00,0.372,70
2024-06-09 01:00:00,0.369,69
2024-06-10 01:00:00,0.356,62
