date,price,volume
2014-02-21 01:00:00,0.282,1252
2014-02-22 01:00:00,0.22,1098
2014-02-23 01:00:00,0.236,908
2014-02-24 01:00:00,0.271,582
2014-02-25 01:00:00,0.303,445
2014-02-26 01:00:00,0.291,446
2014-02-27 01:00:00,0.283,427
2014-02-28 01:00:00,0.284,711
2014-03-01 01:00:00,0.19,1257
2014-03-02 01:00:00,0.184,1236
2014-03-03 01:00:00,0.184,891
2014-03-04 01:00:00,0.176,702
2014-03-05 01:00:00,0.174,661
2014-03-06 01:00:00,0.192,593
2014-03-07 01:00:00,0.179,845
2014-03-08 01:00:00,0.165,1173
2014-03-09 01:00:00,0.154,1232
2014-03-10 01:00:00,0.149,1018
2014-03-11 01:00:00,0.166,876
2014-03-12 01:00:00,0.166,875
2014-03-13 01:00:00,0.178,492
2014-03-14 01:00:00,0.181,621
2014-03-15 01:00:00,0.153,1402
2014-03-16 01:00:00,0.131,1551
2014-03-17 01:00:00,0.139,1166
2014-03-18 01:00:00,0.138,1055
2014-03-19 01:00:00,0.141,1121
2014-03-20 01:00:00,0.154,1003
2014-03-21 01:00:00,0.151,954
2014-03-22 01:00:00,0.147,1145
2014-03-23 01:00:00,0.145,1276
2014-03-24 01:00:00,0.142,1251
2014-03-25 01:00:00,0.152,939
2014-03-26 01:00:00,0.151,979
2014-03-27 01:00:00,0.139,1067
2014-03-28 01:00:00,0.149,1052
2014-03-29 01:00:00,0.142,1331
2014-03-30 01:00:00,0.136,1420
2014-03-31 01:00:00,0.141,1194
2014-04-01 01:00:00,0.168,726
2014-04-02 01:00:00,0.148,1113
2014-04-03 01:00:00,0.143,1152
2014-04-04 01:00:00,0.14,1289
2014-04-05 01:00:00,0.135,1288
2014-04-06 01:00:00,0.135,1396
2014-04-07 01:00:00,0.135,1196
2014-04-08 01:00:00,0.133,1193
2014-04-09 01:00:00,0.138,1179
2014-04-10 01:00:00,0.14,1147
2014-04-11 01:00:00,0.14,1526
2014-04-12 01:00:00,0.148,1562
2014-04-13 01:00:00,0.142,1433
2014-04-14 01:00:00,0.137,1510
2014-04-15 01:00:00,0.134,1352
2014-04-16 01:00:00,0.127,1541
2014-04-17 01:00:00,0.141,1865
2014-04-18 01:00:00,0.128,1601
2014-04-19 01:00:00,0.141,1507
2014-04-20 01:00:00,0.135,1660
2014-04-21 01:00:00,0.128,1514
2014-04-22 01:00:00,0.131,1455
2014-04-23 01:00:00,0.137,1702
2014-04-24 01:00:00,0.133,1533
2014-04-25 01:00:00,0.124,1515
2014-04-26 01:00:00,0.124,1738
2014-04-27 01:00:00,0.123,1728
2014-04-28 01:00:00,0.126,1883
2014-04-29 01:00:00,0.125,1647
2014-04-30 01:00:00,0.134,1655
2014-05-01 01:00:00,0.135,1449
2014-05-02 01:00:00,0.107,1345
2014-05-03 01:00:00,0.098,1843
2014-05-04 01:00:00,0.1,2205
2014-05-05 01:00:00,0.087,1991
2014-05-06 01:00:00,0.089,2091
2014-05-07 01:00:00,0.101,1846
2014-05-08 01:00:00,0.095,2079
2014-05-09 01:00:00,0.081,2255
2014-05-10 01:00:00,0.09,2379
2014-05-11 01:00:00,0.072,2200
2014-05-12 01:00:00,0.071,1973
2014-05-13 01:00:00,0.071,1942
2014-05-14 01:00:00,0.079,2195
2014-05-15 01:00:00,0.11,1960
2014-05-16 01:00:00,0.112,1530
2014-05-17 01:00:00,0.1,1716
2014-05-18 01:00:00,0.103,1628
2014-05-19 01:00:00,0.096,1436
2014-05-20 01:00:00,0.101,1687
2014-05-21 01:00:00,0.092,1498
2014-05-22 01:00:00,0.097,1391
2014-05-23 01:00:00,0.094,1723
2014-05-24 01:00:00,0.102,1498
2014-05-25 01:00:00,0.1,1624
2014-05-26 01:00:00,0.098,1339
2014-05-27 01:00:00,0.092,1378
2014-05-28 01:00:00,0.093,1449
2014-05-29 01:00:00,0.095,1486
2014-05-30 01:00:00,0.096,1550
2014-05-31 01:00:00,0.1,1279
2014-06-01 01:00:00,0.088,1381
2014-06-02 01:00:00,0.091,1341
2014-06-03 01:00:00,0.097,1232
2014-06-04 01:00:00,0.095,1198
2014-06-05 01:00:00,0.088,1137
2014-06-06 01:00:00,0.094,1419
2014-06-07 01:00:00,0.092,1502
2014-06-08 01:00:00,0.096,1405
2014-06-09 01:00:00,0.093,1247
2014-06-10 01:00:00,0.093,1340
2014-06-11 01:00:00,0.095,1223
2014-06-12 01:00:00,0.094,1416
2014-06-13 01:00:00,0.096,1436
2014-06-14 01:00:00,0.092,1463
2014-06-15 01:00:00,0.09,1620
2014-06-16 01:00:00,0.094,1535
2014-06-17 01:00:00,0.09,1396
2014-06-18 01:00:00,0.091,1458
2014-06-19 01:00:00,0.087,1335
2014-06-20 01:00:00,0.077,1570
2014-06-21 01:00:00,0.077,1420
2014-06-22 01:00:00,0.07,1252
2014-06-23 01:00:00,0.068,1430
2014-06-24 01:00:00,0.073,1345
2014-06-25 01:00:00,0.073,1306
2014-06-26 01:00:00,0.077,1306
2014-06-27 01:00:00,0.081,1464
2014-06-28 01:00:00,0.081,1532
2014-06-29 01:00:00,0.078,1623
2014-06-30 01:00:00,0.08,1731
2014-07-01 01:00:00,0.086,1851
2014-07-02 01:00:00,0.077,1705
2014-07-03 01:00:00,0.084,1790
2014-07-04 01:00:00,0.085,1361
2014-07-05 01:00:00,0.092,1810
2014-07-06 01:00:00,0.091,2008
2014-07-07 01:00:00,0.095,1865
2014-07-08 01:00:00,0.091,1584
2014-07-09 01:00:00,0.093,1842
2014-07-10 01:00:00,0.086,1910
2014-07-11 01:00:00,0.097,2326
2014-07-12 01:00:00,0.104,2042
2014-07-13 01:00:00,0.107,2001
2014-07-14 01:00:00,0.105,2064
2014-07-15 01:00:00,0.106,1831
2014-07-16 01:00:00,0.104,1818
2014-07-17 01:00:00,0.105,1704
2014-07-18 01:00:00,0.1,1692
2014-07-19 01:00:00,0.103,1653
2014-07-20 01:00:00,0.1,1695
2014-07-21 01:00:00,0.098,1586
2014-07-22 01:00:00,0.101,1579
2014-07-23 01:00:00,0.104,1562
2014-07-24 01:00:00,0.101,1544
2014-07-25 01:00:00,0.104,1894
2014-07-26 01:00:00,0.104,1778
2014-07-27 01:00:00,0.107,1587
2014-07-28 01:00:00,0.106,1719
2014-07-29 01:00:00,0.105,1565
2014-07-30 01:00:00,0.109,1730
