date,price,volume
2014-02-21 01:00:00,0.212,53
2014-02-22 01:00:00,0.265,55
2014-02-23 01:00:00,0.314,36
2014-02-24 01:00:00,0.294,33
2014-02-25 01:00:00,0.299,16
2014-02-26 01:00:00,0.29,35
2014-02-27 01:00:00,0.284,20
2014-02-28 01:00:00,0.284,59
2014-03-01 01:00:00,0.196,91
2014-03-02 01:00:00,0.195,83
2014-03-03 01:00:00,0.175,52
2014-03-04 01:00:00,0.23,45
2014-03-05 01:00:00,0.187,44
2014-03-06 01:00:00,0.186,22
2014-03-07 01:00:00,0.206,38
2014-03-08 01:00:00,0.183,75
2014-03-09 01:00:00,0.173,80
2014-03-10 01:00:00,0.163,67
2014-03-11 01:00:00,0.181,66
2014-03-12 01:00:00,0.178,57
2014-03-13 01:00:00,0.155,28
2014-03-14 01:00:00,0.197,47
2014-03-15 01:00:00,0.171,91
2014-03-16 01:00:00,0.127,78
2014-03-17 01:00:00,0.14,90
2014-03-18 01:00:00,0.163,60
2014-03-19 01:00:00,0.177,69
2014-03-20 01:00:00,0.171,36
2014-03-21 01:00:00,0.171,53
2014-03-22 01:00:00,0.134,79
2014-03-23 01:00:00,0.163,77
2014-03-24 01:00:00,0.137,65
2014-03-25 01:00:00,0.14,65
2014-03-26 01:00:00,0.153,54
2014-03-27 01:00:00,0.153,50
2014-03-28 01:00:00,0.145,75
2014-03-29 01:00:00,0.139,84
2014-03-30 01:00:00,0.139,67
2014-03-31 01:00:00,0.143,89
2014-04-01 01:00:00,0.185,61
2014-04-02 01:00:00,0.151,45
2014-04-03 01:00:00,0.161,95
2014-04-04 01:00:00,0.163,64
2014-04-05 01:00:00,0.156,73
2014-04-06 01:00:00,0.139,79
2014-04-07 01:00:00,0.14,63
2014-04-08 01:00:00,0.143,78
2014-04-09 01:00:00,0.131,59
2014-04-10 01:00:00,0.144,55
2014-04-11 01:00:00,0.13,108
2014-04-12 01:00:00,0.142,67
2014-04-13 01:00:00,0.138,92
2014-04-14 01:00:00,0.127,104
2014-04-15 01:00:00,0.141,77
