date,price,volume
2013-11-28 01:00:00,0.583,10
2013-11-29 01:00:00,0.546,26
2013-11-30 01:00:00,0.38,78
2013-12-01 01:00:00,0.361,43
2013-12-02 01:00:00,0.338,61
2013-12-03 01:00:00,0.329,44
2013-12-04 01:00:00,0.316,42
2013-12-05 01:00:00,0.305,49
2013-12-06 01:00:00,0.297,65
2013-12-07 01:00:00,0.285,67
2013-12-08 01:00:00,0.252,62
2013-12-09 01:00:00,0.251,67
2013-12-10 01:00:00,0.247,67
2013-12-11 01:00:00,0.268,56
2013-12-12 01:00:00,0.289,56
2013-12-13 01:00:00,0.223,79
2013-12-14 01:00:00,0.243,77
2013-12-15 01:00:00,0.227,77
2013-12-16 01:00:00,0.223,92
2013-12-17 01:00:00,0.216,64
2013-12-18 01:00:00,0.211,43
2013-12-19 01:00:00,0.17,100
2013-12-20 01:00:00,0.137,90
2013-12-21 01:00:00,0.145,102
2013-12-22 01:00:00,0.152,133
2013-12-23 01:00:00,0.173,96
2013-12-24 01:00:00,0.171,101
2013-12-25 01:00:00,0.186,56
2013-12-26 01:00:00,0.191,102
2013-12-27 01:00:00,0.211,84
2013-12-28 01:00:00,0.205,139
2013-12-29 01:00:00,0.189,108
2013-12-30 01:00:00,0.17,116
2013-12-31 01:00:00,0.165,75
2014-01-01 01:00:00,0.163,88
2014-01-02 01:00:00,0.171,133
2014-01-03 01:00:00,0.158,92
2014-01-04 01:00:00,0.165,123
2014-01-05 01:00:00,0.163,136
2014-01-06 01:00:00,0.181,146
2014-01-07 01:00:00,0.177,110
2014-01-08 01:00:00,0.186,150
2014-01-09 01:00:00,0.195,117
2014-01-10 01:00:00,0.19,164
2014-01-11 01:00:00,0.194,102
2014-01-12 01:00:00,0.183,151
2014-01-13 01:00:00,0.155,136
2014-01-14 01:00:00,0.166,129
2014-01-15 01:00:00,0.17,119
2014-01-16 01:00:00,0.173,101
2014-01-17 01:00:00,0.165,133
2014-01-18 01:00:00,0.16,134
2014-01-19 01:00:00,0.148,171
2014-01-20 01:00:00,0.157,123
2014-01-21 01:00:00,0.158,141
2014-01-22 01:00:00,0.195,124
2014-01-23 01:00:00,0.169,138
2014-01-24 01:00:00,0.178,152
2014-01-25 01:00:00,0.175,156
2014-01-26 01:00:00,0.17,175
2014-01-27 01:00:00,0.17,160
2014-01-28 01:00:00,0.161,196
2014-01-29 01:00:00,0.167,168
2014-01-30 01:00:00,0.163,175
2014-01-31 01:00:00,0.151,142
2014-02-01 01:00:00,0.156,212
2014-02-02 01:00:00,0.155,193
2014-02-03 01:00:00,0.163,180
