date,price,volume
2014-07-02 01:00:00,0.103,261
2014-07-03 01:00:00,0.102,197
2014-07-04 01:00:00,0.128,139
2014-07-05 01:00:00,0.088,180
2014-07-06 01:00:00,0.084,152
2014-07-07 01:00:00,0.093,131
2014-07-08 01:00:00,0.084,162
2014-07-09 01:00:00,0.061,197
2014-07-10 01:00:00,0.068,164
2014-07-11 01:00:00,0.068,180
2014-07-12 01:00:00,0.058,216
2014-07-13 01:00:00,0.064,184
2014-07-14 01:00:00,0.06,176
2014-07-15 01:00:00,0.056,235
2014-07-16 01:00:00,0.058,231
2014-07-17 01:00:00,0.062,203
2014-07-18 01:00:00,0.07,202
2014-07-19 01:00:00,0.059,230
2014-07-20 01:00:00,0.056,254
2014-07-21 01:00:00,0.055,210
2014-07-22 01:00:00,0.053,275
2014-07-23 01:00:00,0.052,261
2014-07-24 01:00:00,0.05,264
2014-07-25 01:00:00,0.052,251
2014-07-26 01:00:00,0.043,281
2014-07-27 01:00:00,0.048,238
2014-07-28 01:00:00,0.053,273
2014-07-29 01:00:00,0.047,282
2014-07-30 01:00:00,0.04,329
2014-07-31 01:00:00,0.042,307
2014-08-01 01:00:00,0.052,254
2014-08-02 01:00:00,0.05,296
2014-08-03 01:00:00,0.047,290
2014-08-04 01:00:00,0.05,266
2014-08-05 01:00:00,0.044,280
2014-08-06 01:00:00,0.042,267
2014-08-07 01:00:00,0.049,272
2014-08-08 01:00:00,0.05,289
2014-08-09 01:00:00,0.048,288
2014-08-10 01:00:00,0.048,269
2014-08-11 01:00:00,0.047,282
2014-08-12 01:00:00,0.045,277
2014-08-13 01:00:00,0.042,258
2014-08-14 01:00:00,0.044,289
2014-08-15 01:00:00,0.04,315
2014-08-16 01:00:00,0.036,317
2014-08-17 01:00:00,0.03,394
2014-08-18 01:00:00,0.034,381
2014-08-19 01:00:00,0.041,378
2014-08-20 01:00:00,0.038,356
2014-08-21 01:00:00,0.041,324
2014-08-22 01:00:00,0.047,391
2014-08-23 01:00:00,0.042,350
2014-08-24 01:00:00,0.046,350
2014-08-25 01:00:00,0.046,334
