date,price,volume
2024-10-10 01:00:00,14.82,15
2024-10-11 01:00:00,8.096,40
2024-10-12 01:00:00,7.639,61
2024-10-13 01:00:00,7.003,66
2024-10-14 01:00:00,6.819,34
2024-10-15 01:00:00,7.015,68
2024-10-16 01:00:00,7.398,45
2024-10-17 01:00:00,7.429,45
2024-10-18 01:00:00,6.41,49
2024-10-19 01:00:00,6.103,74
2024-10-20 01:00:00,5.339,77
2024-10-21 01:00:00,4.404,76
2024-10-22 01:00:00,4.293,79
2024-10-23 01:00:00,3.784,62
2024-10-24 01:00:00,4.167,53
2024-10-25 01:00:00,4.013,69
2024-10-26 01:00:00,3.873,62
2024-10-27 01:00:00,3.899,68
2024-10-28 01:00:00,4.053,64
2024-10-29 01:00:00,4.147,56
2024-10-30 01:00:00,4.159,65
2024-10-31 01:00:00,4.74,56
2024-11-01 01:00:00,5.317,49
2024-11-02 01:00:00,5.331,56
2024-11-03 01:00:00,5.464,59
2024-11-04 01:00:00,5.598,49
2024-11-05 01:00:00,6.079,33
2024-11-06 01:00:00,5.891,33
2024-11-07 01:00:00,6.105,40
2024-11-08 01:00:00,6.248,44
2024-11-09 01:00:00,6.367,39
2024-11-10 01:00:00,6.319,48
2024-11-11 01:00:00,6.437,39
2024-11-12 01:00:00,6.609,27
2024-11-12 20:00:00,6.72,4
2024-11-12 21:00:00,4.874,2
2024-11-12 22:00:00,5.98,1
2024-11-12 23:00:00,6.346,3
2024-11-13 01:00:00,4.26,1
2024-11-13 03:00:00,5.995,4
2024-11-13 04:00:00,5.01,2
2024-11-13 08:00:00,6.688,7
2024-11-13 10:00:00,6.03,1
2024-11-13 11:00:00,6.82,8
2024-11-13 13:00:00,6.82,7
2024-11-13 16:00:00,6.69,1
2024-11-13 17:00:00,6.36,5
2024-11-13 18:00:00,6.57,3
2024-11-13 19:00:00,6.4,1
2024-11-13 21:00:00,6.572,8
2024-11-13 23:00:00,6.925,4
2024-11-14 01:00:00,6.41,1
2024-11-14 03:00:00,5.72,1
2024-11-14 05:00:00,6.5,1
2024-11-14 06:00:00,6.404,2
2024-11-14 07:00:00,6.44,1
2024-11-14 08:00:00,5.849,1
2024-11-14 09:00:00,6.645,4
2024-11-14 12:00:00,6.75,5
2024-11-14 13:00:00,6.62,1
2024-11-14 14:00:00,6.383,2
2024-11-14 15:00:00,6.64,2
2024-11-14 16:00:00,6.23,1
2024-11-14 18:00:00,6.582,3
2024-11-14 19:00:00,6.479,2
2024-11-14 20:00:00,6.09,3
2024-11-14 21:00:00,6.555,2
2024-11-14 22:00:00,6.618,7
2024-11-14 23:00:00,6.33,3
2024-11-15 00:00:00,6.63,1
2024-11-15 02:00:00,7.267,1
2024-11-15 03:00:00,6.62,1
2024-11-15 04:00:00,6.25,1
2024-11-15 05:00:00,6.14,2
2024-11-15 06:00:00,7.39,5
2024-11-15 08:00:00,6.75,1
2024-11-15 09:00:00,5.39,2
2024-11-15 11:00:00,6.33,1
2024-11-15 12:00:00,6.74,3
2024-11-15 16:00:00,6.64,3
2024-11-15 17:00:00,6.68,3
2024-11-15 18:00:00,6.53,2
2024-11-15 19:00:00,6.7,3
2024-11-15 20:00:00,6.731,3
2024-11-15 21:00:00,6.605,2
2024-11-15 22:00:00,6.28,2
2024-11-15 23:00:00,6.82,5
2024-11-16 00:00:00,6.58,1
2024-11-16 01:00:00,6.73,1
2024-11-16 02:00:00,7.7,1
2024-11-16 04:00:00,7.71,8
2024-11-16 09:00:00,6.845,2
2024-11-16 10:00:00,6.87,1
2024-11-16 11:00:00,7.046,2
2024-11-16 12:00:00,6.655,2
2024-11-16 13:00:00,6.85,1
2024-11-16 15:00:00,6.82,1
2024-11-16 16:00:00,7.331,1
2024-11-16 18:00:00,6.735,4
2024-11-16 19:00:00,6.72,1
