date,price,volume
2021-05-03 01:00:00,4.231,29
2021-05-04 01:00:00,3.747,1464
2021-05-05 01:00:00,3.45,963
2021-05-06 01:00:00,2.775,866
2021-05-07 01:00:00,2.056,789
2021-05-08 01:00:00,1.929,847
2021-05-09 01:00:00,1.898,738
2021-05-10 01:00:00,2.176,788
2021-05-11 01:00:00,2.127,698
2021-05-12 01:00:00,2.676,696
2021-05-13 01:00:00,2.151,623
2021-05-14 01:00:00,1.962,754
2021-05-15 01:00:00,1.932,773
2021-05-16 01:00:00,1.944,823
2021-05-17 01:00:00,1.921,762
2021-05-18 01:00:00,1.904,701
2021-05-19 01:00:00,1.85,794
2021-05-20 01:00:00,1.833,782
2021-05-21 01:00:00,1.75,742
2021-05-22 01:00:00,1.665,840
2021-05-23 01:00:00,1.583,873
2021-05-24 01:00:00,1.491,858
2021-05-25 01:00:00,1.372,888
2021-05-26 01:00:00,1.544,812
2021-05-27 01:00:00,1.628,667
2021-05-28 01:00:00,1.637,685
2021-05-29 01:00:00,1.584,629
2021-05-30 01:00:00,1.448,786
2021-05-31 01:00:00,1.401,629
2021-06-01 01:00:00,1.26,604
2021-06-02 01:00:00,1.193,575
2021-06-03 01:00:00,1.199,786
2021-06-04 01:00:00,1.134,633
2021-06-05 01:00:00,1.177,631
2021-06-06 01:00:00,1.232,654
2021-06-07 01:00:00,1.152,672
2021-06-08 01:00:00,1.124,527
2021-06-09 01:00:00,1.158,686
2021-06-10 01:00:00,1.24,642
2021-06-11 01:00:00,1.267,647
2021-06-12 01:00:00,1.257,590
2021-06-13 01:00:00,1.189,678
2021-06-14 01:00:00,1.112,672
2021-06-15 01:00:00,1.022,574
2021-06-16 01:00:00,1.013,521
2021-06-17 01:00:00,1.055,460
2021-06-18 01:00:00,1.063,569
2021-06-19 01:00:00,1.012,544
2021-06-20 01:00:00,1.0,567
2021-06-21 01:00:00,0.983,636
2021-06-22 01:00:00,0.931,562
2021-06-23 01:00:00,0.849,664
2021-06-24 01:00:00,0.801,514
2021-06-25 01:00:00,0.803,657
2021-06-26 01:00:00,0.734,528
2021-06-27 01:00:00,0.754,450
2021-06-28 01:00:00,0.746,592
2021-06-29 01:00:00,0.803,641
2021-06-30 01:00:00,0.767,420
2021-07-01 01:00:00,0.774,479
2021-07-02 01:00:00,0.747,477
2021-07-03 01:00:00,0.737,482
2021-07-04 01:00:00,0.766,551
2021-07-05 01:00:00,0.737,519
2021-07-06 01:00:00,0.724,514
2021-07-07 01:00:00,0.705,648
2021-07-08 01:00:00,0.683,536
2021-07-09 01:00:00,0.687,540
2021-07-10 01:00:00,0.649,481
2021-07-11 01:00:00,0.65,555
2021-07-12 01:00:00,0.655,630
2021-07-13 01:00:00,0.65,461
2021-07-14 01:00:00,0.649,606
2021-07-15 01:00:00,0.645,652
2021-07-16 01:00:00,0.66,540
2021-07-17 01:00:00,0.7,634
2021-07-18 01:00:00,0.703,546
2021-07-19 01:00:00,0.755,520
