date,price,volume
2024-10-10 01:00:00,19.0,31
2024-10-11 01:00:00,8.858,409
2024-10-12 01:00:00,6.015,552
2024-10-13 01:00:00,5.354,454
2024-10-14 01:00:00,5.192,442
2024-10-15 01:00:00,4.872,378
2024-10-16 01:00:00,4.492,410
2024-10-17 01:00:00,4.519,370
2024-10-18 01:00:00,4.684,335
2024-10-19 01:00:00,4.329,411
2024-10-20 01:00:00,4.077,419
2024-10-21 01:00:00,4.09,342
2024-10-22 01:00:00,4.15,330
2024-10-23 01:00:00,3.853,320
2024-10-24 01:00:00,3.664,273
2024-10-25 01:00:00,3.693,265
2024-10-26 01:00:00,3.885,226
2024-10-27 01:00:00,3.935,270
2024-10-28 01:00:00,4.037,235
2024-10-29 01:00:00,3.846,244
2024-10-30 01:00:00,3.86,207
2024-10-31 01:00:00,3.939,211
2024-11-01 01:00:00,4.064,193
2024-11-02 01:00:00,4.127,201
2024-11-03 01:00:00,4.422,223
2024-11-04 01:00:00,4.462,191
2024-11-05 01:00:00,4.669,164
2024-11-06 01:00:00,4.629,164
2024-11-07 01:00:00,4.517,197
2024-11-08 01:00:00,4.6,140
2024-11-09 01:00:00,4.72,164
2024-11-10 01:00:00,4.346,161
2024-11-11 01:00:00,4.387,160
2024-11-12 01:00:00,4.385,139
2024-11-13 01:00:00,4.145,8
2024-11-13 02:00:00,4.24,4
2024-11-13 03:00:00,4.51,7
2024-11-13 04:00:00,4.513,4
2024-11-13 05:00:00,4.513,2
2024-11-13 06:00:00,4.245,2
2024-11-13 08:00:00,50.8,1
2024-11-13 09:00:00,4.421,4
2024-11-13 10:00:00,4.244,7
2024-11-13 11:00:00,4.39,9
2024-11-13 12:00:00,4.219,6
2024-11-13 13:00:00,4.172,6
2024-11-13 14:00:00,4.255,8
2024-11-13 15:00:00,4.26,14
2024-11-13 16:00:00,4.108,7
2024-11-13 17:00:00,4.309,7
2024-11-13 18:00:00,4.29,8
2024-11-13 19:00:00,4.11,5
2024-11-13 20:00:00,4.31,13
2024-11-13 21:00:00,4.23,5
2024-11-13 22:00:00,4.242,8
2024-11-13 23:00:00,4.159,6
2024-11-14 00:00:00,4.359,5
2024-11-14 01:00:00,4.324,6
2024-11-14 02:00:00,4.351,5
2024-11-14 03:00:00,4.34,7
2024-11-14 04:00:00,4.3,4
2024-11-14 05:00:00,4.32,5
2024-11-14 06:00:00,4.361,5
2024-11-14 07:00:00,4.28,4
2024-11-14 08:00:00,4.094,1
2024-11-14 09:00:00,4.11,5
2024-11-14 10:00:00,4.2,5
2024-11-14 11:00:00,4.266,3
2024-11-14 12:00:00,4.269,7
2024-11-14 13:00:00,4.348,5
2024-11-14 14:00:00,4.256,10
2024-11-14 15:00:00,4.26,11
2024-11-14 16:00:00,4.403,8
2024-11-14 17:00:00,4.367,9
2024-11-14 18:00:00,4.359,9
2024-11-14 19:00:00,4.369,10
2024-11-14 20:00:00,4.348,11
2024-11-14 21:00:00,4.25,15
2024-11-14 22:00:00,4.358,9
2024-11-14 23:00:00,4.42,7
2024-11-15 00:00:00,4.48,7
2024-11-15 01:00:00,4.48,7
2024-11-15 02:00:00,4.275,6
2024-11-15 03:00:00,4.49,2
2024-11-15 04:00:00,4.507,5
2024-11-15 05:00:00,4.4,3
2024-11-15 06:00:00,4.29,4
2024-11-15 07:00:00,5.585,2
2024-11-15 08:00:00,4.48,9
2024-11-15 09:00:00,4.258,11
2024-11-15 10:00:00,4.21,4
2024-11-15 11:00:00,4.558,1
2024-11-15 12:00:00,4.23,7
2024-11-15 13:00:00,4.247,11
2024-11-15 14:00:00,4.319,10
2024-11-15 15:00:00,4.567,7
2024-11-15 16:00:00,4.543,9
2024-11-15 17:00:00,4.558,11
2024-11-15 18:00:00,4.55,11
2024-11-15 19:00:00,4.399,11
2024-11-15 20:00:00,4.6,13
2024-11-15 21:00:00,4.652,9
2024-11-15 22:00:00,4.593,10
2024-11-15 23:00:00,4.761,9
2024-11-16 00:00:00,4.313,5
2024-11-16 01:00:00,4.481,12
2024-11-16 02:00:00,4.9,3
2024-11-16 03:00:00,4.99,5
2024-11-16 04:00:00,4.56,2
2024-11-16 05:00:00,4.765,5
2024-11-16 06:00:00,4.853,3
2024-11-16 07:00:00,4.914,4
2024-11-16 08:00:00,27.386,2
2024-11-16 09:00:00,4.557,6
2024-11-16 10:00:00,4.351,8
2024-11-16 11:00:00,4.356,18
2024-11-16 12:00:00,4.855,6
2024-11-16 13:00:00,4.61,6
2024-11-16 14:00:00,4.53,11
2024-11-16 15:00:00,4.647,12
2024-11-16 16:00:00,4.687,7
2024-11-16 17:00:00,4.74,8
2024-11-16 18:00:00,4.807,12
2024-11-16 19:00:00,4.837,6
2024-11-16 20:00:00,4.835,14
2024-11-16 21:00:00,4.996,7
2024-11-16 22:00:00,4.792,7
2024-11-16 23:00:00,4.998,6
2024-11-17 00:00:00,4.996,7
2024-11-17 01:00:00,5.038,6
