date,price,volume
2016-11-29 01:00:00,6.494,439
2016-11-30 01:00:00,5.776,450
2016-12-01 01:00:00,5.441,447
2016-12-02 01:00:00,5.268,493
2016-12-03 01:00:00,4.785,600
2016-12-04 01:00:00,4.442,648
2016-12-05 01:00:00,4.43,507
2016-12-06 01:00:00,4.588,500
2016-12-07 01:00:00,4.305,482
2016-12-08 01:00:00,4.086,486
2016-12-09 01:00:00,4.435,471
2016-12-10 01:00:00,4.313,550
2016-12-11 01:00:00,4.119,583
2016-12-12 01:00:00,3.825,574
2016-12-13 01:00:00,3.792,492
2016-12-14 01:00:00,3.753,466
2016-12-15 01:00:00,3.716,462
2016-12-16 01:00:00,3.723,574
2016-12-17 01:00:00,3.826,599
2016-12-18 01:00:00,3.633,625
2016-12-19 01:00:00,3.536,547
2016-12-20 01:00:00,3.494,514
2016-12-21 01:00:00,3.568,547
2016-12-22 01:00:00,3.477,521
2016-12-23 01:00:00,3.342,530
2016-12-24 01:00:00,3.513,733
2016-12-25 01:00:00,4.224,960
2016-12-26 01:00:00,4.242,769
2016-12-27 01:00:00,4.141,790
2016-12-28 01:00:00,3.997,675
2016-12-29 01:00:00,3.763,717
2016-12-30 01:00:00,3.584,674
2016-12-31 01:00:00,3.516,584
2017-01-01 01:00:00,3.443,668
2017-01-02 01:00:00,3.392,727
2017-01-03 01:00:00,3.691,682
2017-01-04 01:00:00,3.727,596
2017-01-05 01:00:00,3.671,611
2017-01-06 01:00:00,3.647,642
2017-01-07 01:00:00,3.665,732
2017-01-08 01:00:00,3.671,697
2017-01-09 01:00:00,3.622,588
2017-01-10 01:00:00,3.667,577
2017-01-11 01:00:00,3.628,528
2017-01-12 01:00:00,3.442,532
2017-01-13 01:00:00,3.364,742
2017-01-14 01:00:00,3.26,811
2017-01-15 01:00:00,3.19,736
2017-01-16 01:00:00,3.195,639
2017-01-17 01:00:00,3.213,641
2017-01-18 01:00:00,3.257,602
2017-01-19 01:00:00,3.184,612
2017-01-20 01:00:00,3.051,746
2017-01-21 01:00:00,3.038,855
2017-01-22 01:00:00,3.098,795
2017-01-23 01:00:00,3.295,717
2017-01-24 01:00:00,3.247,696
2017-01-25 01:00:00,3.287,744
2017-01-26 01:00:00,3.23,755
2017-01-27 01:00:00,3.313,751
2017-01-28 01:00:00,3.301,893
2017-01-29 01:00:00,3.3,965
2017-01-30 01:00:00,3.19,766
2017-01-31 01:00:00,3.228,728
2017-02-01 01:00:00,3.165,753
2017-02-02 01:00:00,3.149,707
2017-02-03 01:00:00,3.154,763
2017-02-04 01:00:00,3.192,910
2017-02-05 01:00:00,3.131,821
2017-02-06 01:00:00,3.03,746
2017-02-07 01:00:00,3.056,700
2017-02-08 01:00:00,3.206,747
2017-02-09 01:00:00,3.13,680
2017-02-10 01:00:00,3.18,854
2017-02-11 01:00:00,3.199,872
2017-02-12 01:00:00,3.082,816
2017-02-13 01:00:00,3.051,677
2017-02-14 01:00:00,3.014,676
2017-02-15 01:00:00,2.959,678
2017-02-16 01:00:00,2.944,721
2017-02-17 01:00:00,2.912,832
2017-02-18 01:00:00,2.897,941
2017-02-19 01:00:00,2.75,816
2017-02-20 01:00:00,2.637,902
2017-02-21 01:00:00,2.884,746
2017-02-22 01:00:00,2.99,630
2017-02-23 01:00:00,2.887,716
2017-02-24 01:00:00,2.849,905
2017-02-25 01:00:00,2.888,1014
2017-02-26 01:00:00,2.775,807
2017-02-27 01:00:00,2.816,796
2017-02-28 01:00:00,2.789,718
2017-03-01 01:00:00,2.704,804
2017-03-02 01:00:00,2.681,808
2017-03-03 01:00:00,2.712,932
2017-03-04 01:00:00,2.818,933
2017-03-05 01:00:00,2.727,815
2017-03-06 01:00:00,2.627,734
2017-03-07 01:00:00,2.713,715
2017-03-08 01:00:00,2.773,720
2017-03-09 01:00:00,2.71,653
2017-03-10 01:00:00,2.681,824
2017-03-11 01:00:00,2.796,1052
2017-03-12 01:00:00,2.84,896
2017-03-13 01:00:00,2.778,705
2017-03-14 01:00:00,2.722,641
2017-03-15 01:00:00,2.663,727
2017-03-16 01:00:00,2.755,1638
2017-03-17 01:00:00,2.885,1356
2017-03-18 01:00:00,3.005,1592
2017-03-19 01:00:00,3.024,1418
2017-03-20 01:00:00,2.919,1095
2017-03-21 01:00:00,3.0,1152
2017-03-22 01:00:00,2.952,1084
2017-03-23 01:00:00,2.921,891
2017-03-24 01:00:00,2.899,979
2017-03-25 01:00:00,2.766,1172
2017-03-26 01:00:00,2.521,1004
2017-03-27 01:00:00,2.522,811
2017-03-28 01:00:00,2.643,695
2017-03-29 01:00:00,2.533,691
2017-03-30 01:00:00,2.438,840
2017-03-31 01:00:00,2.526,927
2017-04-01 01:00:00,2.619,1036
2017-04-02 01:00:00,2.565,881
2017-04-03 01:00:00,2.496,695
2017-04-04 01:00:00,2.472,723
2017-04-05 01:00:00,2.425,776
2017-04-06 01:00:00,2.436,748
2017-04-07 01:00:00,2.545,853
2017-04-08 01:00:00,2.51,859
2017-04-09 01:00:00,2.471,850
2017-04-10 01:00:00,2.444,835
2017-04-11 01:00:00,2.441,744
2017-04-12 01:00:00,2.383,771
2017-04-13 01:00:00,2.367,882
2017-04-14 01:00:00,2.385,781
2017-04-15 01:00:00,2.427,864
2017-04-16 01:00:00,2.475,807
2017-04-17 01:00:00,2.41,820
2017-04-18 01:00:00,2.445,906
2017-04-19 01:00:00,2.483,786
