date,price,volume
2024-02-07 01:00:00,25.647,267
2024-02-08 01:00:00,22.574,172
2024-02-09 01:00:00,26.225,159
2024-02-10 01:00:00,28.245,104
2024-02-11 01:00:00,25.903,130
2024-02-12 01:00:00,25.12,98
2024-02-13 01:00:00,26.47,116
2024-02-14 01:00:00,22.032,156
2024-02-15 01:00:00,17.631,186
2024-02-16 01:00:00,16.854,148
2024-02-17 01:00:00,17.203,125
2024-02-18 01:00:00,18.581,137
2024-02-19 01:00:00,19.808,107
2024-02-20 01:00:00,19.44,78
2024-02-21 01:00:00,17.979,143
2024-02-22 01:00:00,15.702,127
2024-02-23 01:00:00,15.565,129
2024-02-24 01:00:00,14.912,127
2024-02-25 01:00:00,14.235,125
2024-02-26 01:00:00,15.027,115
2024-02-27 01:00:00,15.691,81
2024-02-28 01:00:00,15.67,129
2024-02-29 01:00:00,14.823,165
2024-03-01 01:00:00,15.192,141
2024-03-02 01:00:00,15.264,134
2024-03-03 01:00:00,15.768,126
2024-03-04 01:00:00,16.596,118
2024-03-05 01:00:00,16.274,111
2024-03-06 01:00:00,16.527,151
2024-03-07 01:00:00,15.613,127
2024-03-08 01:00:00,15.295,140
2024-03-09 01:00:00,15.259,137
2024-03-10 01:00:00,14.777,137
2024-03-11 01:00:00,15.042,104
2024-03-12 01:00:00,15.037,134
2024-03-13 01:00:00,14.775,154
2024-03-14 01:00:00,13.162,191
2024-03-15 01:00:00,13.478,164
2024-03-16 01:00:00,13.57,139
2024-03-17 01:00:00,13.612,162
2024-03-18 01:00:00,13.91,130
2024-03-19 01:00:00,14.214,122
2024-03-20 01:00:00,14.498,115
2024-03-21 01:00:00,14.552,156
2024-03-22 01:00:00,14.709,130
2024-03-23 01:00:00,14.777,157
2024-03-24 01:00:00,14.904,114
2024-03-25 01:00:00,14.864,135
2024-03-26 01:00:00,14.09,100
2024-03-27 01:00:00,14.064,158
2024-03-28 01:00:00,13.929,134
2024-03-29 01:00:00,12.938,125
2024-03-30 01:00:00,11.774,174
2024-03-31 01:00:00,11.027,164
2024-04-01 01:00:00,10.641,156
2024-04-02 01:00:00,10.978,124
2024-04-03 01:00:00,11.147,182
2024-04-04 01:00:00,10.895,180
2024-04-05 01:00:00,11.472,167
2024-04-06 01:00:00,11.428,179
2024-04-07 01:00:00,11.621,163
2024-04-08 01:00:00,11.557,122
2024-04-09 01:00:00,11.82,151
2024-04-10 01:00:00,11.827,177
2024-04-11 01:00:00,11.195,156
2024-04-12 01:00:00,11.268,184
2024-04-13 01:00:00,11.243,183
2024-04-14 01:00:00,11.05,168
2024-04-15 01:00:00,11.067,175
2024-04-16 01:00:00,10.789,139
2024-04-17 01:00:00,10.606,184
2024-04-18 01:00:00,10.644,140
2024-04-19 01:00:00,10.064,149
2024-04-20 01:00:00,9.993,164
2024-04-21 01:00:00,9.609,187
2024-04-22 01:00:00,9.561,149
2024-04-23 01:00:00,9.18,151
2024-04-24 01:00:00,9.188,167
2024-04-25 01:00:00,8.87,177
2024-04-26 01:00:00,8.218,218
2024-04-27 01:00:00,8.065,169
2024-04-28 01:00:00,8.121,167
2024-04-29 01:00:00,8.132,164
2024-04-30 01:00:00,8.331,151
2024-05-01 01:00:00,8.334,175
2024-05-02 01:00:00,8.513,198
2024-05-03 01:00:00,8.492,189
2024-05-04 01:00:00,8.641,188
2024-05-05 01:00:00,8.293,179
2024-05-06 01:00:00,8.923,158
2024-05-07 01:00:00,9.055,156
2024-05-08 01:00:00,9.023,164
2024-05-09 01:00:00,9.11,149
2024-05-10 01:00:00,8.465,181
2024-05-11 01:00:00,8.722,145
2024-05-12 01:00:00,8.837,179
2024-05-13 01:00:00,8.97,160
2024-05-14 01:00:00,9.112,158
2024-05-15 01:00:00,9.108,163
2024-05-16 01:00:00,9.177,188
2024-05-17 01:00:00,9.404,177
2024-05-18 01:00:00,9.527,166
2024-05-19 01:00:00,9.366,145
2024-05-20 01:00:00,9.123,132
2024-05-21 01:00:00,9.036,155
2024-05-22 01:00:00,8.652,162
2024-05-23 01:00:00,8.169,200
2024-05-24 01:00:00,7.316,234
2024-05-25 01:00:00,7.094,181
2024-05-26 01:00:00,7.414,177
2024-05-27 01:00:00,7.637,137
2024-05-28 01:00:00,7.697,122
2024-05-29 01:00:00,7.595,123
2024-05-30 01:00:00,7.585,169
2024-05-31 01:00:00,7.253,143
2024-06-01 01:00:00,7.302,149
2024-06-02 01:00:00,7.166,125
2024-06-03 01:00:00,7.096,143
2024-06-04 01:00:00,7.298,124
2024-06-05 01:00:00,7.351,139
2024-06-06 01:00:00,7.043,120
2024-06-07 01:00:00,6.706,124
2024-06-08 01:00:00,6.61,119
2024-06-09 01:00:00,6.458,142
2024-06-10 01:00:00,6.254,151
2024-06-11 01:00:00,6.334,123
2024-06-12 01:00:00,6.474,116
2024-06-13 01:00:00,6.218,100
2024-06-14 01:00:00,6.176,138
2024-06-15 01:00:00,5.918,152
2024-06-16 01:00:00,6.018,151
2024-06-17 01:00:00,6.169,155
2024-06-18 01:00:00,6.109,123
2024-06-19 01:00:00,6.229,155
