date,price,volume
2014-07-02 01:00:00,0.382,544
2014-07-03 01:00:00,0.317,446
2014-07-04 01:00:00,0.343,358
2014-07-05 01:00:00,0.272,423
2014-07-06 01:00:00,0.3,383
2014-07-07 01:00:00,0.3,358
2014-07-08 01:00:00,0.244,487
2014-07-09 01:00:00,0.246,470
2014-07-10 01:00:00,0.23,471
2014-07-11 01:00:00,0.216,463
2014-07-12 01:00:00,0.183,577
2014-07-13 01:00:00,0.21,436
2014-07-14 01:00:00,0.207,450
2014-07-15 01:00:00,0.198,546
2014-07-16 01:00:00,0.183,476
2014-07-17 01:00:00,0.167,472
2014-07-18 01:00:00,0.163,456
2014-07-19 01:00:00,0.139,537
2014-07-20 01:00:00,0.152,501
2014-07-21 01:00:00,0.159,504
2014-07-22 01:00:00,0.158,510
2014-07-23 01:00:00,0.141,534
2014-07-24 01:00:00,0.145,501
2014-07-25 01:00:00,0.142,538
2014-07-26 01:00:00,0.14,619
2014-07-27 01:00:00,0.148,572
2014-07-28 01:00:00,0.157,585
2014-07-29 01:00:00,0.153,665
2014-07-30 01:00:00,0.161,651
2014-07-31 01:00:00,0.16,590
2014-08-01 01:00:00,0.159,623
2014-08-02 01:00:00,0.152,718
2014-08-03 01:00:00,0.144,733
2014-08-04 01:00:00,0.148,690
2014-08-05 01:00:00,0.117,747
2014-08-06 01:00:00,0.113,662
2014-08-07 01:00:00,0.128,641
2014-08-08 01:00:00,0.135,727
2014-08-09 01:00:00,0.136,695
2014-08-10 01:00:00,0.128,617
2014-08-11 01:00:00,0.14,750
2014-08-12 01:00:00,0.137,705
2014-08-13 01:00:00,0.14,702
2014-08-14 01:00:00,0.133,671
2014-08-15 01:00:00,0.13,750
2014-08-16 01:00:00,0.12,809
2014-08-17 01:00:00,0.09,1022
2014-08-18 01:00:00,0.101,823
2014-08-19 01:00:00,0.117,863
2014-08-20 01:00:00,0.125,850
2014-08-21 01:00:00,0.134,791
2014-08-22 01:00:00,0.126,826
2014-08-23 01:00:00,0.126,991
2014-08-24 01:00:00,0.137,866
2014-08-25 01:00:00,0.132,951
2014-08-26 01:00:00,0.139,901
2014-08-27 01:00:00,0.135,893
2014-08-28 01:00:00,0.138,805
2014-08-29 01:00:00,0.133,863
2014-08-30 01:00:00,0.133,1029
2014-08-31 01:00:00,0.132,918
2014-09-01 01:00:00,0.135,859
2014-09-02 01:00:00,0.132,785
2014-09-03 01:00:00,0.134,765
2014-09-04 01:00:00,0.125,771
2014-09-05 01:00:00,0.127,836
2014-09-06 01:00:00,0.132,1036
2014-09-07 01:00:00,0.13,999
2014-09-08 01:00:00,0.131,862
2014-09-09 01:00:00,0.125,726
2014-09-10 01:00:00,0.13,803
2014-09-11 01:00:00,0.11,783
2014-09-12 01:00:00,0.095,1168
2014-09-13 01:00:00,0.095,1216
2014-09-14 01:00:00,0.102,1107
2014-09-15 01:00:00,0.099,965
2014-09-16 01:00:00,0.096,1000
2014-09-17 01:00:00,0.1,1022
2014-09-18 01:00:00,0.1,993
2014-09-19 01:00:00,0.094,1115
2014-09-20 01:00:00,0.095,1433
2014-09-21 01:00:00,0.099,1148
2014-09-22 01:00:00,0.092,945
2014-09-23 01:00:00,0.088,942
2014-09-24 01:00:00,0.091,964
2014-09-25 01:00:00,0.101,912
2014-09-26 01:00:00,0.091,1001
2014-09-27 01:00:00,0.091,1374
2014-09-28 01:00:00,0.097,1266
2014-09-29 01:00:00,0.096,1041
2014-09-30 01:00:00,0.094,999
2014-10-01 01:00:00,0.092,1084
2014-10-02 01:00:00,0.096,948
2014-10-03 01:00:00,0.106,1028
2014-10-04 01:00:00,0.11,1370
2014-10-05 01:00:00,0.125,1081
2014-10-06 01:00:00,0.123,787
2014-10-07 01:00:00,0.127,678
2014-10-08 01:00:00,0.165,1020
2014-10-09 01:00:00,0.148,755
2014-10-10 01:00:00,0.13,837
2014-10-11 01:00:00,0.126,953
2014-10-12 01:00:00,0.128,854
2014-10-13 01:00:00,0.13,713
2014-10-14 01:00:00,0.134,636
2014-10-15 01:00:00,0.134,715
2014-10-16 01:00:00,0.134,592
2014-10-17 01:00:00,0.128,748
2014-10-18 01:00:00,0.128,860
2014-10-19 01:00:00,0.132,905
2014-10-20 01:00:00,0.127,587
2014-10-21 01:00:00,0.127,537
2014-10-22 01:00:00,0.132,563
2014-10-23 01:00:00,0.134,545
2014-10-24 01:00:00,0.135,596
2014-10-25 01:00:00,0.142,740
2014-10-26 01:00:00,0.127,869
2014-10-27 01:00:00,0.138,638
2014-10-28 01:00:00,0.164,615
2014-10-29 01:00:00,0.179,607
2014-10-30 01:00:00,0.353,481
2014-10-31 01:00:00,0.154,678
2014-11-01 01:00:00,0.152,736
2014-11-02 01:00:00,0.165,766
2014-11-03 01:00:00,0.169,506
2014-11-04 01:00:00,0.179,609
2014-11-05 01:00:00,0.178,512
2014-11-06 01:00:00,0.189,542
2014-11-07 01:00:00,0.178,570
2014-11-08 01:00:00,0.179,680
